Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Bharadvaja's_Twist_pose,0.35500038,0.607231,0.6272904,0.33549222,0.5888229,0.72603434,0.33696592,0.58865136,0.7496751,0.35393634,0.5339732,0.6510015,0.35750145,0.5323129,0.71430403,0.4172263,0.58103836,0.47831643,0.47633278,0.4486958,0.59146696,0.62173015,0.54607683,0.123970665,0.65048933,0.54350185,0.65255135,0.63467246,0.43231177,0.5300561,0.779501,0.6033048,0.6326042,0.72527856,0.58001626,0.72456646,0.7197465,0.44701582,0.59549004,0.8462228,0.5487055,0.49955565,0.83351797,0.3205535,0.80140746,0.6932922,0.4336594,0.40790486,0.7430553,0.46546543,0.11559133
Bharadvaja's_Twist_pose,0.14919196,0.5937906,0.35315198,0.104168355,0.5622363,0.61555666,0.11979474,0.62611187,0.5235357,0.1415965,0.52408785,0.63977534,0.15827405,0.66294324,0.7344806,0.3258712,0.41913018,0.8218902,0.3278218,0.7470091,0.742968,0.58908474,0.4122947,0.561568,0.54301757,0.8071478,0.7446918,0.6638238,0.46338964,0.39491314,0.62400466,0.6082523,0.5496463,0.7603257,0.5835614,0.6314156,0.7535925,0.65387225,0.44867566,0.9351582,0.17744479,0.6303183,0.7959047,0.2560508,0.23276718,0.9222583,0.63573647,0.7297247,0.895623,0.613038,0.32925504
Bharadvaja's_Twist_pose,0.14951862,0.46121535,0.8516659,0.11728226,0.49004933,0.9076404,0.11699675,0.4765604,0.9163331,0.13675556,0.58747107,0.7268615,0.13116434,0.5538177,0.70611614,0.30749658,0.6311106,0.84323317,0.29721785,0.49702263,0.8353535,0.5255299,0.43506914,0.8352982,0.4928645,0.65668344,0.68047345,0.68681186,0.256408,0.70992464,0.60065985,0.7001535,0.85296863,0.6899253,0.65547884,0.77250946,0.69019926,0.4826014,0.7335342,0.96141195,0.75265455,0.8124293,0.7718771,0.23231556,0.5899379,0.85216177,0.811144,0.7680067,0.7518209,0.59962934,0.87722784
Bharadvaja's_Twist_pose,0.26348203,0.22331193,0.7542459,0.23705369,0.24365868,0.84111506,0.24570943,0.19743831,0.7753276,0.25005862,0.27846774,0.6161807,0.26439685,0.18227333,0.7485842,0.3739039,0.35732162,0.7090408,0.3768039,0.1335878,0.7550795,0.56552017,0.32298994,0.7293166,0.56271875,0.11491269,0.851263,0.7255595,0.25508672,0.69210637,0.72841334,0.08102581,0.4767184,0.71134746,0.29698595,0.8932445,0.7024016,0.16061157,0.78848517,0.8161231,0.4609547,0.9106153,0.8315837,0.3596179,0.838311,0.7962107,0.23178181,0.5712518,0.80944824,0.07781933,0.5449447
Bharadvaja's_Twist_pose,0.13190621,0.5657962,0.51867235,0.09923105,0.5442492,0.6472333,0.098204054,0.5939411,0.5171136,0.13016197,0.51121885,0.7528864,0.13090532,0.6277073,0.70298135,0.333723,0.42863047,0.5865942,0.32002944,0.69334996,0.8321408,0.56592405,0.33761686,0.73427236,0.53943676,0.72672856,0.7737337,0.65914696,0.30000174,0.7570092,0.61296743,0.5874215,0.39596158,0.7211178,0.5604288,0.50631326,0.71428066,0.60711503,0.5828498,0.9423806,0.27695864,0.7002191,0.7231749,0.24098854,0.66049886,0.85772467,0.6688278,0.7018764,0.78026986,0.5324892,0.1760925
Bharadvaja's_Twist_pose,0.3556565,0.65411556,0.67401665,0.3389687,0.6462453,0.75214213,0.33954507,0.6459228,0.70369685,0.3477045,0.6098271,0.6722835,0.35320905,0.60884756,0.5855334,0.41334927,0.59684247,0.78528774,0.4302083,0.5921569,0.65820277,0.5127657,0.6548153,0.45719835,0.5478892,0.679478,0.59228826,0.579104,0.7208411,0.2280073,0.6433606,0.7663508,0.6900646,0.6138545,0.5800337,0.6558271,0.61934835,0.5489856,0.76295334,0.66588455,0.7665927,0.4246242,0.7378658,0.48061794,0.8133749,0.68268925,0.58587146,0.39802697,0.64842963,0.4391638,0.5513946
Bharadvaja's_Twist_pose,0.14600112,0.26620692,0.78563637,0.11274693,0.30390358,0.93674105,0.11493393,0.2607785,0.92205465,0.1357031,0.40421277,0.8316485,0.12795684,0.29794958,0.6003131,0.3305423,0.5595557,0.7576587,0.3508128,0.1914509,0.81955725,0.5885334,0.572909,0.86823887,0.59924257,0.21118547,0.86879194,0.81354713,0.5964972,0.8406856,0.6065769,0.37295946,0.09534761,0.77312136,0.5047142,0.7924071,0.8270065,0.33146405,0.83897495,0.8323301,0.83634526,0.77160233,0.9348817,0.6378367,0.43179673,0.8374371,0.58049226,0.13163032,0.89095354,0.5839144,0.123467356
Bharadvaja's_Twist_pose,0.24326122,0.15140043,0.63869405,0.22115797,0.16221286,0.60719633,0.22199899,0.15655294,0.53652954,0.20839342,0.22182539,0.6716746,0.21101758,0.21403265,0.67768836,0.3160426,0.3224364,0.9394602,0.32227135,0.19535857,0.74317193,0.52014786,0.23329349,0.6637075,0.5138727,0.22907645,0.6950862,0.63613176,0.10830909,0.8493455,0.64820427,0.2378555,0.16109197,0.64426297,0.31240395,0.60611546,0.63666695,0.19736175,0.67348254,0.8050636,0.24699302,0.8566315,0.7966262,0.11601138,0.8232121,0.6782761,0.5435351,0.5390871,0.6747551,0.30796832,0.5200608
Bharadvaja's_Twist_pose,0.13192523,0.36023322,0.7728127,0.105768666,0.40991366,0.706999,0.10229924,0.35133386,0.90781355,0.15488064,0.49356896,0.83193856,0.12542416,0.35438004,0.3821756,0.34728166,0.5331126,0.89015955,0.31010848,0.22076765,0.75987625,0.59715825,0.55264103,0.72101104,0.5566212,0.17640568,0.8950021,0.79570556,0.6075528,0.7710997,0.63155824,0.34552,0.47290426,0.7443955,0.4636059,0.7529779,0.7955126,0.29781523,0.75351113,0.8757854,0.8040541,0.6870192,0.9244831,0.7177679,0.69278544,0.8104976,0.61175483,0.20378806,0.8322911,0.60378593,0.17365575
Bharadvaja's_Twist_pose,0.15038866,0.42346692,0.8753929,0.113949336,0.46415058,0.95932823,0.11853815,0.42230764,0.8278463,0.14372326,0.57273346,0.8917397,0.1347498,0.47150025,0.5357893,0.3370603,0.69621456,0.88952905,0.31715432,0.3488854,0.9047048,0.5764169,0.80342585,0.9383162,0.56259215,0.2501539,0.9426544,0.73884434,0.89142966,0.59230524,0.7832382,0.120016724,0.70495313,0.69244266,0.64714223,0.7295945,0.7700897,0.4936511,0.89499134,0.8047833,0.9624042,0.45244437,0.8335934,0.94190127,0.61486316,0.7881118,0.7069063,0.26096874,0.82241184,0.86306685,0.13089554
