Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Boat,0.3413433,0.31561854,0.73912096,0.31822762,0.3127703,0.6478312,0.3232133,0.28237492,0.8555835,0.3346495,0.2863019,0.5854517,0.35249516,0.21833462,0.7774924,0.43768406,0.3307595,0.70512885,0.47405365,0.22273676,0.8096446,0.47561172,0.47174412,0.41455224,0.5153562,0.36432976,0.38171127,0.47703427,0.55316633,0.15891165,0.48557267,0.5047998,0.5117999,0.7252351,0.48050404,0.68495834,0.74587905,0.42398053,0.8016001,0.46752828,0.55581623,0.6016404,0.47765833,0.53995234,0.5934336,0.49666318,0.7677221,0.43886662,0.5147064,0.7878605,0.5765319
Boat,0.33126998,0.66775984,0.8209503,0.32443586,0.68883204,0.72721916,0.31985945,0.673825,0.64441764,0.34751093,0.73124355,0.7928285,0.33367267,0.6891976,0.52724856,0.4148494,0.7309068,0.8065657,0.40293512,0.62605965,0.64161456,0.43862605,0.6357361,0.709427,0.4354804,0.5346984,0.31174496,0.44233838,0.54358673,0.6572311,0.42124012,0.41899335,0.34911832,0.63801247,0.5972786,0.8184299,0.62453574,0.5401351,0.7356489,0.43525562,0.521767,0.47145414,0.43489078,0.45103794,0.46636277,0.4407968,0.42636698,0.23239413,0.4731855,0.28912288,0.7541926
Boat,0.34943175,0.47889987,0.8216621,0.3270151,0.4573857,0.84200835,0.32646582,0.45063648,0.8093033,0.3477258,0.3866313,0.6701248,0.34837815,0.37433463,0.7100994,0.497356,0.39498302,0.49139264,0.50708497,0.35995233,0.7461502,0.50263405,0.6319334,0.4293353,0.5079609,0.631652,0.34297645,0.3203259,0.67458564,0.25287944,0.32592303,0.68243164,0.16258419,0.8119163,0.47938567,0.38647646,0.8821664,0.49000865,0.45124188,0.56327325,0.5989474,0.18982692,0.56248266,0.59442735,0.1679215,0.47954953,0.6279454,0.24196073,0.49205774,0.6334549,0.27107537
Boat,0.4045571,0.2731429,0.73585504,0.39040285,0.2546211,0.81165147,0.39193505,0.24718975,0.6144126,0.4157713,0.20970257,0.85103273,0.4204127,0.19512917,0.7376084,0.48975214,0.26921317,0.6998637,0.5469775,0.21763444,0.79355216,0.49816567,0.4116049,0.57123464,0.5193119,0.40432116,0.7235323,0.45280743,0.5363203,0.34832597,0.45789665,0.5573737,0.54899967,0.65937394,0.4443008,0.757389,0.69995815,0.44663087,0.6779644,0.4345583,0.57093906,0.7363828,0.45591235,0.5721585,0.53827965,0.38920668,0.80215025,0.8305421,0.40694723,0.81425506,0.64333624
Boat,0.40853107,0.6541919,0.7045519,0.39292306,0.68432325,0.6632011,0.3882421,0.67299634,0.7084473,0.43408135,0.74813837,0.8040937,0.42373294,0.73361284,0.47206786,0.55198187,0.6972661,0.69314986,0.5299703,0.666386,0.63473547,0.54070014,0.474801,0.73426193,0.5292233,0.47517514,0.47622722,0.48882896,0.31775817,0.38345054,0.481659,0.32387054,0.6901013,0.84393245,0.47835532,0.7526161,0.7783934,0.48551467,0.6953811,0.5891367,0.3091451,0.8025839,0.56714237,0.3088509,0.7054436,0.47519314,0.22223246,0.20481317,0.47014073,0.22781071,0.19635609
Boat,0.25532025,0.2789285,0.7615133,0.24313982,0.24790527,0.8021193,0.24333051,0.2469145,0.86435455,0.2875021,0.19758432,0.6788079,0.29210347,0.19366015,0.8487248,0.40502375,0.24985337,0.7412618,0.40185603,0.21868789,0.70644027,0.43177387,0.42087397,0.26598996,0.42174643,0.42678457,0.3794247,0.40303344,0.5869239,0.72794557,0.40370616,0.5893643,0.3432321,0.71053654,0.3430162,0.85295045,0.75164324,0.34495437,0.7117937,0.5456728,0.57438666,0.6556379,0.5806617,0.588974,0.61592644,0.37318078,0.8444628,0.5328487,0.37289634,0.8486342,0.727399
Boat,0.31676975,0.71584487,0.814062,0.3104654,0.74045175,0.7631837,0.3093615,0.7411793,0.83586264,0.35295647,0.7770114,0.86776686,0.34868103,0.77682245,0.85779965,0.4744521,0.7461638,0.6629898,0.45004937,0.7359058,0.67133343,0.45662323,0.5971747,0.38394052,0.452279,0.604835,0.44165102,0.4253932,0.47677767,0.4515622,0.41725317,0.47579435,0.46737492,0.69517744,0.56551164,0.84286225,0.6530498,0.58421916,0.7366431,0.45942742,0.39139983,0.6885087,0.4487371,0.40578765,0.665074,0.298046,0.256129,0.5015298,0.29354328,0.26118845,0.60936064
Boat,0.36072573,0.35160893,0.8365288,0.34301662,0.33277678,0.81948054,0.34273952,0.33446604,0.7869406,0.360578,0.28248143,0.69824547,0.35986003,0.27794418,0.89062405,0.46865442,0.2963462,0.8402769,0.47004026,0.27330697,0.77789444,0.5032715,0.4404373,0.61401224,0.50844157,0.43940997,0.7375256,0.50447595,0.5943724,0.27806088,0.5034111,0.60334206,0.7990845,0.7178771,0.43252313,0.76061994,0.71927273,0.4320794,0.72856,0.50189996,0.61084783,0.4906424,0.5007124,0.6095392,0.365931,0.35902292,0.795594,0.8056731,0.36304712,0.80380076,0.69726956
Boat,0.13369077,0.46050122,0.68149257,0.115339875,0.47455314,0.7713129,0.11735752,0.44372854,0.8031645,0.118795544,0.49792954,0.5357383,0.12534568,0.4221252,0.4708321,0.22699106,0.55005664,0.8236374,0.23609191,0.3865067,0.6392577,0.3300092,0.5871741,0.6622619,0.3521218,0.35916308,0.6638012,0.42433518,0.6335908,0.6169359,0.43378386,0.30791694,0.5765107,0.4135337,0.5362721,0.7427537,0.42233887,0.43323877,0.5362099,0.51005125,0.5225931,0.5467655,0.5340469,0.43693674,0.4697043,0.6390428,0.52204174,0.30619583,0.64339936,0.45751053,0.31653437
Boat,0.35818693,0.6373068,0.590741,0.3361149,0.6598197,0.8530486,0.3353557,0.6526159,0.8850916,0.3542516,0.7228343,0.83047396,0.35195342,0.7109002,0.7996055,0.45947295,0.7163775,0.74834156,0.45342314,0.666842,0.6242111,0.50668573,0.548644,0.7331561,0.49594966,0.5462284,0.3775069,0.41092783,0.40968505,0.7198874,0.40759096,0.40839258,0.50584835,0.7499311,0.56208444,0.89747936,0.7291318,0.5583976,0.7793111,0.5378004,0.4057188,0.76242304,0.526598,0.40457666,0.7207695,0.35115755,0.23672426,0.8026416,0.35072237,0.24312913,0.4086685
