Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Bound_Angle,0.2691803,0.47979018,0.81779516,0.2417688,0.5070976,0.93666434,0.24046278,0.45475912,0.8937855,0.2603998,0.5372196,0.86727965,0.26125482,0.42473906,0.87049043,0.41342127,0.6113085,0.94285405,0.4020629,0.34634265,0.82332927,0.621275,0.6006139,0.7989937,0.6107154,0.34525615,0.9466007,0.7744915,0.5715148,0.8723208,0.7794902,0.36316198,0.78537375,0.7451466,0.5465617,0.7213385,0.7435052,0.40454066,0.9271402,0.7482474,0.8303687,0.92570895,0.7155054,0.12308292,0.97488433,0.82623196,0.5235899,0.8717847,0.83158714,0.4195118,0.6408568
Bound_Angle,0.44351366,0.49529067,0.76641375,0.42321235,0.5157574,0.6263492,0.4204141,0.47791082,0.8145214,0.4300759,0.54375833,0.8542668,0.42713675,0.46049964,0.8135957,0.5359634,0.5897177,0.73603475,0.53562987,0.40863767,0.81060505,0.68584,0.5699217,0.82619166,0.6757467,0.41770837,0.6621164,0.80272764,0.52829313,0.66951454,0.7962689,0.43663594,0.6575042,0.79884094,0.5392189,0.6922975,0.7856601,0.43847963,0.78874177,0.706871,0.7501767,0.86384946,0.71937704,0.22455232,0.7835516,0.83550316,0.52400905,0.6469246,0.8295965,0.4440953,0.88604635
Bound_Angle,0.3176868,0.47135195,0.6603165,0.30112767,0.458466,0.7013003,0.30186266,0.45631152,0.5585687,0.30949837,0.42105356,0.4702153,0.3152366,0.41025704,0.5283394,0.39117926,0.4598663,0.51826346,0.41618723,0.38683283,0.7334466,0.5252562,0.50994545,0.533037,0.5469247,0.4877339,0.6192376,0.60340536,0.57624376,0.54246217,0.63740957,0.5683123,0.5623928,0.578256,0.4596896,0.72613585,0.6119766,0.39682472,0.48880383,0.59539497,0.5647867,0.19120649,0.6964407,0.5179108,0.77856266,0.61873555,0.5149271,0.31147575,0.6423047,0.5101138,0.17052492
Bound_Angle,0.30396476,0.49272248,0.8594254,0.2782991,0.51340437,0.8550224,0.27761284,0.47059202,0.6809667,0.27831507,0.5385754,0.7492507,0.27761582,0.43778768,0.62210065,0.3885513,0.5928522,0.81952053,0.39473137,0.3865932,0.9430254,0.5703519,0.5873532,0.8333174,0.57823217,0.39407003,0.84609187,0.71166104,0.5764534,0.8948875,0.71125454,0.4291517,0.86839986,0.6893452,0.5443997,0.9259157,0.69345635,0.43327403,0.8966014,0.6272964,0.76679367,0.753559,0.6230922,0.23744415,0.82254857,0.76722944,0.5590552,0.76755583,0.77217054,0.4393415,0.7132391
Bound_Angle,0.19022752,0.5022734,0.8009245,0.14854388,0.5322214,0.91617596,0.15346293,0.467474,0.74956274,0.15473756,0.5711527,0.8172401,0.16523317,0.42716405,0.9293882,0.3687609,0.6694146,0.8507448,0.36694017,0.34055918,0.94473815,0.6194031,0.614782,0.71079105,0.61630124,0.3810411,0.6645753,0.83809143,0.5665331,0.9205283,0.8277883,0.40705612,0.7356975,0.7567341,0.58809143,0.855291,0.75224566,0.41257328,0.9396874,0.7491667,0.95299906,0.96704066,0.734433,0.04447823,0.9660952,0.89883214,0.56633997,0.8323871,0.90509593,0.4067725,0.8771545
Bound_Angle,0.35773507,0.4806363,0.52882904,0.34153438,0.4967394,0.43843728,0.34394145,0.46378696,0.5316466,0.354671,0.51916486,0.8040198,0.36134896,0.45010015,0.75878096,0.44459692,0.5662535,0.83726275,0.4514507,0.4090416,0.85584694,0.56462777,0.567249,0.62527394,0.5744246,0.41168144,0.8980575,0.6637446,0.5511464,0.69818854,0.66756034,0.42146334,0.6389424,0.6626178,0.5261798,0.80945945,0.66098815,0.44627362,0.8205035,0.63510865,0.7120922,0.8819533,0.6496732,0.2603897,0.9046264,0.7055081,0.5228628,0.59842753,0.7015043,0.45965853,0.7060327
Bound_Angle,0.71764565,0.6053667,0.23281632,0.7283028,0.62911534,0.37764823,0.71595716,0.5881559,0.27843738,0.6895421,0.6743914,0.4968664,0.6633736,0.5427707,0.44697645,0.6036662,0.74369097,0.44164833,0.6156885,0.47863132,0.2429494,0.5694701,0.9326911,0.4444157,0.6121785,0.42422146,0.09988642,0.5989359,0.701581,0.14713466,0.63238096,0.44469172,0.32598314,0.49017116,0.67318016,0.5349903,0.4858869,0.5005661,0.45522064,0.56738853,0.93030465,0.67222816,0.58976847,0.18728423,0.8431978,0.5803961,0.6546199,0.20413806,0.62300843,0.44599822,0.18392584
Bound_Angle,0.23330545,0.4656529,0.69850963,0.21320727,0.4913777,0.93076783,0.21689521,0.44038734,0.86360484,0.24060543,0.52167016,0.8939551,0.24544978,0.41689962,0.6088568,0.38076165,0.58664715,0.9399846,0.388127,0.35128987,0.9027198,0.5773122,0.55267036,0.7337416,0.5689229,0.39185792,0.82002187,0.71029794,0.53737617,0.7801704,0.7048587,0.42811906,0.78193766,0.6838182,0.5468258,0.934503,0.68024015,0.40750384,0.9059665,0.5652183,0.7715016,0.88602763,0.60015374,0.17417426,0.89626557,0.75695854,0.5382809,0.79879767,0.75607646,0.42153543,0.77704346
Bound_Angle,0.39152083,0.39605922,0.65527856,0.37075785,0.3984566,0.7036401,0.36912936,0.37893745,0.72636336,0.3679632,0.36872292,0.6012803,0.36371732,0.32728794,0.76609963,0.4591024,0.3983228,0.7556808,0.46726447,0.26624832,0.7714822,0.5911034,0.41219968,0.67718726,0.6057519,0.30856216,0.6205967,0.69378895,0.43654448,0.6458227,0.71065253,0.386319,0.23686704,0.6832034,0.37870967,0.81782836,0.68455726,0.2991623,0.7772833,0.6755665,0.53383493,0.72956645,0.68308,0.20867957,0.81158686,0.73472404,0.366418,0.45873725,0.7352874,0.40564686,0.63160414
Bound_Angle,0.29927224,0.5110304,0.7480353,0.27318296,0.5316995,0.8646792,0.2737703,0.49100396,0.91796774,0.27820218,0.55479157,0.7488742,0.2797138,0.46522135,0.76887816,0.39429015,0.6113468,0.9037992,0.39147672,0.42275703,0.79850703,0.5626036,0.59261215,0.53792185,0.56912273,0.4306005,0.784997,0.7011894,0.55406547,0.863191,0.6976074,0.45989463,0.6472059,0.65089697,0.5628375,0.9308278,0.6493187,0.4586577,0.89393777,0.6354066,0.7941214,0.8909289,0.6350763,0.22164592,0.8494762,0.72433454,0.5491579,0.7375959,0.7207044,0.464957,0.7717099
