Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Bow_or_Dhanurasana_,0.36854863,0.8305837,0.5531523,0.34802234,0.8119449,0.7376005,0.34827423,0.80916333,0.7973812,0.36735642,0.7497946,0.8344375,0.3727528,0.7389183,0.78080094,0.44247642,0.7035731,0.5546468,0.46362665,0.70549256,0.678876,0.4138303,0.54079354,0.83117443,0.43331644,0.53234273,0.44938466,0.35370776,0.3991151,0.80010664,0.37372172,0.3665343,0.6023882,0.6284919,0.51789147,0.75513256,0.6630753,0.4978979,0.58823055,0.55378795,0.30320564,0.63277036,0.59854424,0.2037844,0.9203103,0.36985278,0.36986554,0.50489974,0.374588,0.32232025,0.4054285
Bow_or_Dhanurasana_,0.5970779,0.76479936,0.43203574,0.58461845,0.7595522,0.57597345,0.58745295,0.7513347,0.5366373,0.6017224,0.7368228,0.28755572,0.6152825,0.71878403,0.35537013,0.64361286,0.704423,0.5550072,0.6526583,0.68374807,0.44216222,0.61433315,0.59418416,0.4657767,0.6253493,0.59802455,0.26641575,0.57530046,0.5299956,0.2448299,0.575697,0.50715566,0.2772958,0.7728619,0.5723833,0.46328536,0.79347867,0.55780905,0.6584089,0.67322284,0.48125717,0.099101886,0.69898856,0.44614142,0.3398782,0.573083,0.51066464,0.26697412,0.5708411,0.488942,0.44970855
Bow_or_Dhanurasana_,0.38968468,0.08236623,0.69396484,0.36749408,0.103824764,0.90740824,0.36739862,0.101011045,0.914169,0.3964218,0.1773526,0.8431352,0.3912483,0.16931377,0.66079515,0.49719015,0.23564881,0.8923251,0.46790588,0.23880936,0.7474549,0.43133095,0.4467147,0.71039665,0.40934187,0.428082,0.791891,0.33203396,0.61886287,0.70761335,0.31536576,0.570228,0.7290646,0.71449804,0.4975362,0.85870665,0.66782653,0.4818476,0.7713977,0.62302107,0.82469803,0.6987281,0.5638671,0.7390525,0.7352832,0.34396833,0.66548836,0.68441856,0.32559,0.6022396,0.5066976
Bow_or_Dhanurasana_,0.41136935,0.27352092,0.65027076,0.40408924,0.30138564,0.6756655,0.40280905,0.29932994,0.60974145,0.46230766,0.34481952,0.71323806,0.46302783,0.34289962,0.7777693,0.5535172,0.33620626,0.55855864,0.54452145,0.34046885,0.65147114,0.36235186,0.28257686,0.6490467,0.3627946,0.28652358,0.77878076,0.27378455,0.407187,0.59741396,0.27995858,0.40874353,0.421546,0.6827636,0.6110532,0.8523379,0.6696363,0.6068326,0.70176595,0.4842002,0.8166914,0.8257979,0.48384196,0.8076344,0.8357744,0.3257068,0.5720933,0.46969667,0.32619694,0.5808846,0.53680605
Bow_or_Dhanurasana_,0.32610002,0.66161317,0.7511632,0.3080567,0.6457246,0.88115215,0.30853835,0.6455552,0.7908375,0.323645,0.5939322,0.7321216,0.32876888,0.58741057,0.60883415,0.409825,0.562713,0.47897315,0.4164226,0.5445196,0.79426533,0.44302982,0.39395678,0.80327135,0.45523843,0.40317586,0.5611972,0.45169088,0.2737125,0.6283056,0.4738665,0.24247292,0.50811535,0.63433474,0.50829035,0.8055226,0.665512,0.49780634,0.72314733,0.6644193,0.24566178,0.3805419,0.6907287,0.22049351,0.761499,0.4749569,0.24849874,0.48121515,0.4866282,0.22709283,0.31495896
Bow_or_Dhanurasana_,0.55911666,0.5322079,0.29138932,0.5406261,0.52182543,0.42690638,0.5524685,0.52538586,0.38436058,0.5599756,0.4825146,0.44216213,0.5793512,0.5091974,0.38303363,0.6155808,0.4084034,0.59327024,0.5964893,0.49783012,0.2500954,0.461007,0.39253753,0.49835494,0.5099604,0.54565,0.120055206,0.37009314,0.5054608,0.20777027,0.38619402,0.56650054,0.1075046,0.74108,0.51468647,0.44903567,0.72743386,0.56231195,0.30564934,0.55780476,0.8096609,0.6580687,0.5388338,0.71012574,0.46051058,0.44744352,0.62917256,0.24168095,0.43368495,0.62431324,0.27729443
Bow_or_Dhanurasana_,0.48551127,0.8734886,0.70508635,0.46085036,0.84960335,0.8907665,0.46117187,0.852726,0.8869065,0.48459256,0.7807212,0.81121826,0.49090564,0.7838116,0.8265499,0.5615761,0.6974975,0.71629095,0.5604625,0.7051034,0.83674496,0.45183876,0.44508207,0.7247726,0.44925946,0.454538,0.6755782,0.31614515,0.27448547,0.60924876,0.3137906,0.26441997,0.54577464,0.78880805,0.40628546,0.6871305,0.7896865,0.40009907,0.5978905,0.51913553,0.20490164,0.71604186,0.52659756,0.15572521,0.813101,0.21696454,0.2478834,0.39383587,0.19535002,0.23751238,0.4764575
Bow_or_Dhanurasana_,0.4915489,0.8895513,0.74916035,0.46649355,0.86984146,0.7816631,0.46877658,0.8735004,0.79998624,0.4725073,0.79626745,0.7867599,0.48003045,0.79916024,0.843885,0.58983094,0.7431375,0.51312083,0.5650462,0.70637995,0.7238979,0.4878945,0.49504602,0.33299553,0.47651464,0.47955462,0.42200747,0.5249182,0.72473425,0.20084244,0.35603377,0.31492645,0.40222043,0.8388678,0.4915335,0.76703715,0.80499446,0.49333626,0.73543036,0.6645365,0.179974,0.36309963,0.6662541,0.18489392,0.32616472,0.3597798,0.2998265,0.34705463,0.36319643,0.29545817,0.438053
Bow_or_Dhanurasana_,0.5294919,0.320404,0.7337344,0.49430957,0.33582613,0.8445813,0.5055591,0.2976374,0.72333336,0.48871496,0.37727696,0.71465224,0.51072186,0.29313087,0.65717745,0.5394195,0.44155544,0.5240412,0.55186945,0.35396847,0.17419131,0.48849842,0.5965937,0.19211377,0.49944478,0.5095156,0.27590215,0.43003696,0.6223923,0.30050084,0.4595171,0.5755139,0.47436163,0.56949234,0.62559265,0.49078116,0.576515,0.58114433,0.3729048,0.51909834,0.7335006,0.77334946,0.5254087,0.71911824,0.25323406,0.42995113,0.631131,0.39863503,0.43287575,0.6147718,0.23049
Bow_or_Dhanurasana_,0.31378466,0.8420613,0.71457595,0.29658672,0.8228745,0.6590675,0.29580605,0.8240202,0.6682609,0.32808986,0.7754353,0.77471465,0.33293107,0.7718644,0.8229491,0.41320282,0.72292,0.6730685,0.4296538,0.72522277,0.82649505,0.39648715,0.51728565,0.8354546,0.41072297,0.51955855,0.8044294,0.36678776,0.36614296,0.7846416,0.38621286,0.34709585,0.6636206,0.61605847,0.51071185,0.771236,0.6546645,0.50435543,0.728485,0.5899722,0.24529672,0.2344589,0.6511457,0.17614332,0.8318135,0.39268634,0.3287175,0.46986666,0.406639,0.30817014,0.30676058
Bow_or_Dhanurasana_,0.41953313,0.85683507,0.6976201,0.4056349,0.8316799,0.6677691,0.40630847,0.83672,0.68166745,0.4398138,0.77440196,0.89904684,0.44381714,0.7779622,0.7474522,0.51460546,0.704076,0.59300613,0.5195994,0.7090776,0.85864764,0.40662035,0.5253085,0.63917965,0.4028589,0.5410881,0.7268278,0.2922495,0.41726184,0.53440696,0.2957181,0.3862027,0.34068602,0.72370976,0.46601596,0.53905964,0.7554593,0.44569993,0.72667783,0.54981416,0.23631854,0.6664641,0.5951018,0.11777818,0.8879075,0.3133367,0.35946295,0.4797768,0.30197063,0.31301507,0.51987976
Bow_or_Dhanurasana_,0.2986625,0.24754457,0.7251254,0.29604295,0.2668057,0.523037,0.2952101,0.2689179,0.63256353,0.34391034,0.29992414,0.69797254,0.33644938,0.3012576,0.70596063,0.40475944,0.31675512,0.7768214,0.40539852,0.3197238,0.78774595,0.36084875,0.46075788,0.6548042,0.36070013,0.4655729,0.5131428,0.2942496,0.60165435,0.66490656,0.29566434,0.59308213,0.47508743,0.6158075,0.5096936,0.83935964,0.6076424,0.51481456,0.6966156,0.5794608,0.7678143,0.6504525,0.5639987,0.76969194,0.680964,0.33205104,0.6599193,0.52266383,0.33861557,0.6636808,0.4061681
Bow_or_Dhanurasana_,0.3671366,0.6819202,0.60642016,0.3511873,0.6678336,0.5705584,0.35605395,0.67274565,0.42011425,0.3531726,0.6238988,0.52204823,0.36949313,0.6417074,0.51721823,0.40908796,0.58999413,0.3349833,0.42146528,0.5977114,0.54285336,0.4155019,0.5073061,0.1719117,0.4375721,0.5197354,0.22650968,0.37041736,0.43606633,0.522856,0.383648,0.4335088,0.289316,0.5902176,0.45365682,0.6278523,0.59701365,0.45276585,0.6129875,0.58234906,0.3206995,0.37862203,0.59097284,0.3303996,0.26719442,0.3802329,0.3264144,0.45351034,0.38614398,0.34135512,0.48103353
Bow_or_Dhanurasana_,0.4340407,0.8087201,0.8011243,0.41246665,0.79073256,0.8565765,0.4136678,0.7890656,0.89183444,0.42380893,0.72686076,0.72654074,0.4309383,0.72174644,0.91176033,0.5065224,0.68296665,0.5391422,0.51068056,0.67005825,0.738523,0.43875787,0.5068511,0.7894654,0.43960163,0.5187547,0.36331114,0.34559494,0.36009583,0.5740055,0.3584511,0.32025263,0.30247754,0.7269673,0.5168214,0.55809826,0.750199,0.50002,0.65313077,0.60640687,0.25895554,0.84901744,0.6420004,0.20284438,0.6500728,0.38286427,0.3118998,0.44883066,0.35494208,0.28044814,0.57620025
Bow_or_Dhanurasana_,0.49466634,0.16386773,0.8286036,0.47498935,0.17408033,0.77026385,0.47287223,0.17373008,0.70338655,0.4806467,0.22782777,0.9246267,0.47764352,0.22551006,0.84491307,0.54157007,0.30258265,0.83168066,0.54343283,0.29548737,0.7920591,0.46814913,0.44783086,0.47118372,0.47352928,0.44030648,0.65538496,0.3540835,0.60203195,0.64171535,0.3847966,0.5842271,0.5630643,0.70499426,0.5595225,0.8546129,0.6939233,0.55117947,0.83501625,0.5405662,0.8394313,0.6992316,0.55010384,0.7856751,0.6627983,0.35982254,0.6252402,0.6780603,0.37970278,0.6288574,0.4657237
Bow_or_Dhanurasana_,0.40656954,0.911339,0.8283189,0.37509668,0.90822417,0.73580444,0.37504163,0.87893236,0.72376794,0.37665412,0.8449642,0.6175662,0.38063312,0.78678393,0.9059651,0.47154176,0.79007506,0.6166359,0.48203698,0.6791247,0.85296345,0.4125997,0.5516062,0.7973504,0.4317575,0.4448812,0.43278676,0.3554829,0.42861265,0.66755587,0.37489393,0.280148,0.80472887,0.69709975,0.49651936,0.74207604,0.7033779,0.4170327,0.717997,0.58523804,0.2591341,0.7723629,0.6384032,0.07777279,0.928654,0.38024324,0.29341206,0.1986936,0.3769971,0.23357873,0.6541914
Bow_or_Dhanurasana_,0.39465058,0.19233759,0.85046947,0.36878678,0.22392444,0.88054514,0.3679616,0.20970969,0.87461984,0.4000734,0.30730483,0.8507779,0.38656887,0.2807466,0.66571754,0.47719026,0.4215281,0.61957896,0.4508886,0.32036024,0.6435684,0.4426027,0.6166455,0.8381156,0.40883464,0.45897892,0.74345714,0.39553067,0.7660127,0.4162082,0.36173424,0.578416,0.72278255,0.59989387,0.63062745,0.6859686,0.57800865,0.5713472,0.58781785,0.60965943,0.9103064,0.8659031,0.56252056,0.7646722,0.3251313,0.4059495,0.78172874,0.6510403,0.4004252,0.7546999,0.3624102
Bow_or_Dhanurasana_,0.5310564,0.22519265,0.701984,0.51651704,0.2380194,0.56880647,0.5153054,0.2390103,0.59618825,0.5211643,0.29475254,0.68221784,0.51848966,0.29446772,0.6453409,0.56427205,0.36473876,0.85659933,0.55954033,0.36276156,0.7112914,0.48137593,0.49984282,0.4613447,0.48445755,0.48519155,0.44844073,0.42011848,0.6292084,0.37237367,0.40958157,0.6185766,0.5002965,0.68912464,0.56527185,0.84163576,0.67328906,0.55938685,0.84521496,0.6197931,0.80217135,0.76550114,0.5991089,0.79680413,0.7283254,0.45886585,0.6825982,0.3522573,0.45780927,0.68261206,0.49689224
Bow_or_Dhanurasana_,0.47865674,0.2761283,0.7620859,0.45945883,0.29623613,0.7274712,0.45941606,0.29511657,0.7613868,0.47745755,0.34856695,0.68812275,0.4806281,0.34874344,0.6664801,0.5753706,0.3794627,0.74909455,0.56675994,0.38078132,0.68305373,0.38422617,0.3031886,0.7918675,0.39436898,0.3548472,0.33972073,0.28337175,0.4307437,0.8737198,0.30010042,0.42222255,0.14067079,0.7548487,0.59247106,0.68372124,0.7294921,0.58798534,0.76078,0.5322381,0.83420694,0.84545517,0.52828324,0.81379396,0.8114471,0.3438889,0.61390877,0.31714636,0.34671825,0.6204198,0.44917625
Bow_or_Dhanurasana_,0.44941804,0.8297032,0.6426644,0.43316206,0.8118145,0.75613964,0.43424398,0.81242764,0.66693187,0.4516667,0.75481844,0.75227875,0.4578751,0.7497257,0.8311619,0.5171982,0.669363,0.50695294,0.52133036,0.6478077,0.7600339,0.4669258,0.4666764,0.5865269,0.47313267,0.47080526,0.5769038,0.37768084,0.34332865,0.5406422,0.37838995,0.3168002,0.3804869,0.67946804,0.4538542,0.7947765,0.7111513,0.44705713,0.8621979,0.5829957,0.18133855,0.75421935,0.596881,0.16176905,0.8235747,0.38157147,0.31299332,0.63526064,0.3820381,0.29400104,0.6063764
Bow_or_Dhanurasana_,0.41612017,0.8794222,0.7598452,0.3958905,0.8573329,0.68167734,0.39355004,0.8605577,0.7641935,0.4139649,0.7941921,0.87047184,0.4167996,0.79539436,0.7991322,0.50962454,0.73610824,0.7249718,0.5057107,0.75718755,0.85510224,0.4674535,0.53502166,0.82288563,0.46738705,0.53488463,0.4929735,0.3621484,0.35441026,0.48104867,0.36335677,0.31587073,0.577634,0.7194349,0.5454551,0.7182945,0.734301,0.53132313,0.7522781,0.6320114,0.17700334,0.6936569,0.64428693,0.15944338,0.7840863,0.36318126,0.31802937,0.55589503,0.36657754,0.29059052,0.61691874
Bow_or_Dhanurasana_,0.7139956,0.5385023,0.56206614,0.6627913,0.5801413,0.5961514,0.67474383,0.50153613,0.57944196,0.66274697,0.6296011,0.63107157,0.6923866,0.4574179,0.5119944,0.6841781,0.680784,0.6962585,0.75485814,0.40894982,0.56616724,0.46155357,0.6767893,0.69734794,0.47704747,0.34366536,0.73080856,0.27648157,0.6679669,0.53544563,0.30503893,0.30905685,0.57834136,0.6494735,0.6484661,0.18135597,0.70023364,0.40791363,0.1531836,0.42555994,0.6294454,0.571917,0.47956672,0.33720496,0.22693296,0.26128376,0.66207546,0.35140947,0.27614915,0.31648004,0.49537396
Bow_or_Dhanurasana_,0.57178366,0.91808796,0.704419,0.56062543,0.9400404,0.6411345,0.54592735,0.9013347,0.5713278,0.57885057,0.9334512,0.68343,0.5510319,0.84985644,0.69024944,0.6093563,0.8018574,0.39467612,0.6319293,0.8039694,0.7027168,0.55102074,0.5979733,0.69846046,0.5518279,0.6042209,0.57149297,0.4799444,0.46342018,0.4898836,0.48550323,0.44873032,0.6096307,0.7052585,0.47118697,0.7338034,0.7175964,0.46987736,0.50194114,0.7047818,0.15145493,0.7406508,0.73824126,0.12718448,0.811876,0.5283738,0.36288768,0.7440307,0.5270795,0.35570192,0.7555009
Bow_or_Dhanurasana_,0.4599433,0.86780345,0.8586629,0.43803695,0.8568751,0.55016226,0.43903017,0.85794204,0.7278579,0.44345197,0.79834825,0.8621016,0.44705006,0.79434055,0.87660855,0.43578994,0.6595072,0.47226918,0.5074792,0.70876515,0.610489,0.43455225,0.478178,0.8202569,0.46774146,0.493742,0.3404809,0.3619847,0.33166876,0.62829775,0.41597968,0.3060199,0.5683274,0.60209334,0.4544922,0.73772734,0.6501231,0.46993965,0.855794,0.61374325,0.16308273,0.4863525,0.65315604,0.14073281,0.8184562,0.4034662,0.29460186,0.3241383,0.41646847,0.26911968,0.5500208
Bow_or_Dhanurasana_,0.40625808,0.63449585,0.33634257,0.39287505,0.63915527,0.40603715,0.39984828,0.6388215,0.3379135,0.39596814,0.64571154,0.44229957,0.4055141,0.6460059,0.35327655,0.41790307,0.6237235,0.43780237,0.43220833,0.65366286,0.45463064,0.3743594,0.5396571,0.46519026,0.3846789,0.5436625,0.1866543,0.348412,0.46549195,0.1875403,0.36830416,0.44249648,0.27408886,0.5438133,0.5234234,0.59782475,0.55317205,0.52946275,0.57266027,0.50059575,0.3582747,0.1641771,0.52605635,0.289242,0.564798,0.3981763,0.38859284,0.3509428,0.39873305,0.39217657,0.30927697
