Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Bridge,0.5806638,0.1598146,0.6436735,0.59589446,0.13838351,0.5427372,0.60221076,0.13467497,0.7543579,0.65610826,0.14920534,0.72340983,0.67003137,0.1470142,0.83826435,0.6625186,0.25833225,0.54825926,0.69629467,0.23964664,0.6328331,0.6789432,0.4402966,0.62719613,0.7231441,0.4312161,0.9185579,0.6867944,0.5769539,0.61983705,0.73091024,0.58831495,0.629943,0.5231157,0.53825945,0.7557157,0.54118115,0.546049,0.7395432,0.42461872,0.7908967,0.8632252,0.42197743,0.8113324,0.81924003,0.6753509,0.8061098,0.8089308,0.68699795,0.82043904,0.8612471
Bridge,0.6163769,0.18383692,0.6858969,0.6268011,0.170091,0.431741,0.64304924,0.17487691,0.6861725,0.6660748,0.17343022,0.6003561,0.6931423,0.18127146,0.70319045,0.6267728,0.20512591,0.660733,0.70150065,0.26851153,0.5862933,0.53694314,0.22095075,0.7786814,0.55315393,0.28792447,0.79882497,0.42466342,0.22496547,0.71403897,0.42961568,0.27525017,0.84305334,0.47442952,0.44612685,0.67429435,0.5053678,0.4781093,0.65780884,0.42341155,0.62578183,0.8268402,0.4283717,0.66833544,0.8929559,0.609315,0.65967613,0.6775003,0.62711024,0.7039471,0.93932974
Bridge,0.53811586,0.6250939,0.5907462,0.54696417,0.6459836,0.66638744,0.546297,0.6467975,0.5545271,0.5927698,0.6475293,0.78278273,0.5922956,0.646259,0.8270521,0.617301,0.5756862,0.7185827,0.6141452,0.5738836,0.6040771,0.6330169,0.7284232,0.7296242,0.62412345,0.7285085,0.8196558,0.646302,0.85561424,0.5713905,0.6367921,0.85452956,0.6414483,0.44202548,0.38681275,0.7889774,0.43909535,0.40195808,0.80840284,0.38572687,0.1453538,0.79235363,0.38445172,0.15039632,0.8685465,0.6094287,0.16659494,0.81788474,0.6036521,0.16701531,0.70720464
Bridge,0.5227818,0.24444734,0.8151519,0.52761054,0.21591827,0.66127205,0.537553,0.20945027,0.8728415,0.5832431,0.21136525,0.71149546,0.60723794,0.20783147,0.80392027,0.5636443,0.33544585,0.59475464,0.64581543,0.3093201,0.63044,0.57054585,0.5016425,0.6990381,0.67597884,0.5224543,0.906372,0.5705443,0.6399162,0.7723736,0.69859266,0.67480594,0.85236144,0.37713137,0.56556267,0.6451035,0.42351523,0.5815884,0.67613655,0.34024823,0.8298445,0.67567974,0.37696713,0.88742185,0.95358473,0.5764463,0.8051961,0.8517844,0.64690626,0.8660848,0.9402754
Bridge,0.62304246,0.1798006,0.78902954,0.6363786,0.15171836,0.74079704,0.6396135,0.15162468,0.63943017,0.7097286,0.15532658,0.7063616,0.71720946,0.15849437,0.7525074,0.7194408,0.30262572,0.72876734,0.73505425,0.3170724,0.7090643,0.7101667,0.537885,0.6295365,0.71511054,0.5324299,0.7789337,0.7154604,0.7306287,0.76745206,0.72416747,0.744026,0.25055632,0.45575494,0.52982664,0.69251925,0.45656398,0.5441992,0.54468757,0.41920003,0.8224861,0.75334585,0.4144886,0.8535163,0.8797018,0.7146988,0.7595772,0.7155123,0.7282032,0.80445313,0.71205
Bridge,0.61158264,0.2843663,0.56450987,0.6295375,0.27240077,0.7019147,0.63068855,0.27317515,0.8080273,0.67512774,0.2865905,0.74053407,0.6799058,0.2890558,0.83509845,0.649398,0.3419383,0.6743395,0.6993373,0.3729717,0.44980767,0.6431696,0.50020933,0.458697,0.6883943,0.5002611,0.3226103,0.6081629,0.5499215,0.0814786,0.6765489,0.6177902,0.25624794,0.47474155,0.495067,0.5653378,0.49745435,0.5297284,0.4813195,0.3887163,0.6434789,0.5136752,0.3932946,0.68352926,0.6673673,0.57825243,0.6218185,0.3470284,0.6406616,0.6660338,0.4129362
Bridge,0.5928921,0.18153702,0.6778252,0.6041733,0.16354534,0.70395947,0.6064951,0.16290496,0.70355487,0.6525769,0.16970761,0.64623886,0.65668374,0.1717032,0.66829145,0.6417577,0.24961862,0.69586647,0.6558636,0.24965122,0.7143036,0.65389884,0.41014397,0.5372741,0.6637769,0.40522128,0.77272594,0.6767703,0.5304109,0.37504265,0.6902609,0.53343326,0.64945203,0.49901283,0.47884333,0.7433194,0.5155793,0.4840553,0.7368153,0.5169748,0.6831762,0.37987873,0.5306767,0.7040277,0.75080484,0.5304306,0.9015489,0.52344054,0.5388882,0.91583544,0.8341323
Bridge,0.49912164,0.2873104,0.44260544,0.50961566,0.27234545,0.58991474,0.51098573,0.2698592,0.583919,0.55086654,0.27897546,0.65568584,0.5539308,0.27344674,0.72772276,0.5512444,0.34789452,0.5500335,0.56807446,0.33619264,0.68119425,0.56650174,0.4605399,0.5075028,0.5784735,0.46139762,0.5591958,0.5610961,0.5575669,0.4485758,0.5742386,0.5603939,0.37800497,0.46848443,0.5156308,0.49607348,0.49016166,0.526984,0.5314628,0.41055894,0.6775895,0.71227664,0.41082606,0.6840824,0.7799238,0.55589455,0.71083516,0.63033825,0.5683926,0.72275555,0.615264
Bridge,0.53725374,0.8255802,0.7750867,0.552888,0.8590509,0.7840572,0.54945296,0.85696125,0.59337455,0.62046224,0.86341614,0.81104046,0.61263454,0.8582597,0.6772801,0.6642343,0.728507,0.6631495,0.6194289,0.71965593,0.58349246,0.6856776,0.4973153,0.6987285,0.6561319,0.50699216,0.61320096,0.6871996,0.33948246,0.7322108,0.6634781,0.34477508,0.7025929,0.49835092,0.42531213,0.7507993,0.4822854,0.43412045,0.8514738,0.40216586,0.10288325,0.7716716,0.38643536,0.15658498,0.7598115,0.69510424,0.17397238,0.8780838,0.664113,0.21897423,0.39992642
Bridge,0.6177738,0.25668463,0.76004267,0.63162315,0.24155332,0.74731904,0.63475925,0.2380227,0.7205132,0.68442297,0.24820387,0.7421886,0.69022256,0.24429338,0.7128921,0.6651997,0.32861763,0.6020747,0.7032102,0.30069676,0.7587069,0.69657904,0.4382063,0.3304495,0.73814964,0.40614554,0.49858746,0.68692243,0.55403876,0.20864443,0.7512313,0.49986407,0.41596,0.61197317,0.588246,0.8224013,0.64424825,0.58485377,0.74265844,0.4879988,0.7906618,0.5649011,0.49455163,0.7939424,0.8069079,0.71301407,0.773752,0.7416767,0.73979855,0.762263,0.59640086
