Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Camel,0.29670802,0.33400184,0.69348687,0.31271017,0.3353763,0.56192106,0.31314078,0.33613336,0.58507484,0.33493832,0.3702411,0.61227703,0.3330718,0.36739212,0.70791036,0.331501,0.42833596,0.8383676,0.3276259,0.4170367,0.783166,0.47655988,0.42463315,0.7130837,0.4784021,0.40977323,0.7095495,0.5870282,0.4003384,0.5626017,0.59405136,0.3837176,0.51210994,0.48853496,0.5975477,0.55634564,0.48182228,0.5993946,0.6793913,0.67534417,0.59691346,0.5231174,0.6776199,0.59948045,0.7199009,0.658023,0.39527324,0.41823107,0.67150885,0.38745826,0.35011443
Camel,0.40480027,0.30449092,0.5333584,0.41575357,0.3037069,0.47383928,0.41883767,0.30564192,0.4115965,0.42651278,0.3263534,0.48863775,0.43149185,0.33313903,0.43842003,0.4033697,0.38542652,0.75723106,0.41450614,0.37317127,0.57683617,0.5505723,0.3846657,0.6533476,0.54600596,0.37094694,0.5236891,0.63163096,0.36571422,0.34294412,0.64587593,0.3558118,0.59822124,0.48283488,0.53877467,0.8190856,0.48546514,0.53941095,0.70917016,0.667945,0.52923346,0.76814353,0.67467123,0.5275112,0.78215164,0.67957586,0.37111095,0.4886625,0.68565637,0.35765985,0.46202338
Camel,0.46625468,0.31041354,0.6446387,0.4875658,0.30989787,0.49527705,0.4886345,0.31359604,0.54297113,0.5098288,0.3533539,0.84994346,0.5132625,0.35787594,0.6910972,0.4983354,0.42436698,0.733358,0.4995745,0.42667565,0.6610396,0.6471307,0.43766716,0.5631422,0.6476918,0.44623464,0.42032328,0.74108076,0.43120557,0.59205765,0.7714383,0.4416785,0.40229282,0.6126081,0.63787395,0.7311411,0.61102027,0.6489636,0.4981656,0.7506222,0.44047758,0.26849657,0.81532216,0.6232401,0.6201022,0.77288,0.3943828,0.3814786,0.80836105,0.40893567,0.19264576
Camel,0.40475503,0.6924979,0.54743105,0.41582844,0.6883188,0.3605434,0.41611496,0.6885618,0.4095676,0.42869815,0.6465905,0.5361228,0.42730874,0.65192914,0.5810793,0.40349585,0.60359836,0.6592929,0.40134424,0.61136323,0.5325134,0.51532084,0.59186894,0.48863348,0.5103065,0.6022399,0.74014884,0.61248565,0.59325385,0.54202783,0.6074943,0.6015207,0.4708382,0.49315783,0.4603131,0.5270027,0.49407804,0.46543878,0.62518346,0.6387897,0.44835177,0.61929953,0.62688005,0.45775393,0.51353395,0.63340664,0.59257513,0.5267654,0.6262428,0.5960037,0.6398741
Camel,0.4582752,0.28378716,0.6861755,0.4724939,0.2834526,0.5862039,0.47366476,0.28490198,0.5897662,0.49791667,0.32175016,0.83504367,0.5017694,0.32352364,0.7205373,0.4925645,0.3943439,0.7270555,0.49272254,0.39755723,0.6718418,0.6448313,0.4232742,0.70775586,0.65423524,0.41915873,0.8235627,0.7863473,0.44315913,0.5309659,0.78837043,0.43903822,0.48778012,0.636151,0.59976286,0.68676674,0.6394449,0.60649395,0.85586697,0.8858585,0.65343255,0.89762735,0.8988448,0.6477713,0.8309514,0.82222855,0.45182273,0.6331235,0.8565601,0.4289867,0.46420398
Camel,0.22519508,0.55581063,0.66189075,0.24163724,0.5764969,0.6768442,0.23944019,0.5756621,0.62641466,0.29431456,0.5548218,0.82864195,0.28928897,0.5568139,0.7963391,0.3402957,0.46645373,0.6959574,0.32798374,0.47665045,0.691234,0.5247807,0.43960968,0.3649657,0.5063547,0.49025363,0.34047866,0.49378633,0.39792743,0.38096046,0.4660172,0.39394975,0.6780738,0.5483872,0.25085425,0.85259235,0.5379269,0.2588294,0.80697614,0.82585037,0.25030407,0.81898785,0.7690727,0.28302082,0.36017454,0.7747339,0.4951465,0.5585647,0.7386231,0.49351913,0.68510944
Camel,0.3357354,0.40603644,0.6261351,0.34148696,0.38964924,0.5198822,0.34658316,0.39254522,0.47751787,0.37589136,0.39887452,0.5881664,0.38630125,0.40115464,0.6451692,0.38115817,0.48179072,0.4616515,0.4781917,0.45557815,0.7367355,0.25295478,0.50924706,0.855125,0.5902182,0.466053,0.4942082,0.18975839,0.4204464,0.75494134,0.71730447,0.45306796,0.34973386,0.5508277,0.6129706,0.6140443,0.5678766,0.5749995,0.4339287,0.7551529,0.5836471,0.7079156,0.7348188,0.56955016,0.3981466,0.74548626,0.4451735,0.7070263,0.7373427,0.44531038,0.32536757
Camel,0.4908341,0.7017151,0.28384757,0.49461895,0.6969791,0.19933173,0.4951682,0.69979495,0.16754973,0.46847042,0.6513227,0.34613058,0.46564892,0.66255903,0.499354,0.4165388,0.5983802,0.6169909,0.40514475,0.5928165,0.72828275,0.34776184,0.4457143,0.5754237,0.35215235,0.45246822,0.56892574,0.3328592,0.4925049,0.21527418,0.32626358,0.52518505,0.25950667,0.5338289,0.4438877,0.51907855,0.5235574,0.44100705,0.7299309,0.7193085,0.4573311,0.8242551,0.687696,0.4635199,0.84078777,0.71557456,0.67522794,0.51849467,0.6771038,0.66043335,0.7966685
Camel,0.4848012,0.53106904,0.5996135,0.50044614,0.5307333,0.7077502,0.50316936,0.527287,0.6376864,0.50673,0.4827309,0.7174008,0.51013094,0.48250088,0.61572576,0.4969674,0.43637654,0.66747224,0.48475155,0.42153665,0.6481221,0.63399607,0.41330034,0.7081666,0.62955254,0.4132634,0.75013787,0.7544561,0.43843016,0.45527625,0.74768674,0.43493652,0.5377105,0.60667527,0.21999697,0.65162736,0.60647905,0.22364885,0.78235567,0.80514604,0.24360251,0.8572406,0.78174174,0.25527135,0.66668344,0.8025467,0.44899634,0.46609464,0.79161775,0.44217634,0.50751084
Camel,0.4617733,0.28288424,0.73881245,0.4790061,0.28968427,0.7308329,0.47669065,0.29046547,0.50210476,0.4881422,0.33566365,0.7538713,0.48734662,0.33177787,0.6766746,0.45167634,0.40776724,0.7691672,0.4451428,0.39016363,0.7696456,0.6103621,0.43909377,0.64757305,0.62390095,0.43089938,0.7920563,0.7611663,0.41612527,0.5208318,0.7747991,0.41167867,0.6621263,0.59156036,0.6156119,0.6217309,0.5869009,0.6388256,0.79229796,0.8207419,0.586676,0.6668978,0.8635261,0.6367449,0.7436651,0.82332397,0.39140517,0.5230986,0.8623545,0.39955783,0.8199165
