Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Cat_Cow,0.5014344,0.55427563,0.42011875,0.49456263,0.5469555,0.42697352,0.49808156,0.548741,0.54160106,0.49448925,0.5301293,0.4017426,0.49884182,0.5409185,0.36428338,0.51935565,0.5251086,0.44865382,0.52492404,0.54676384,0.35375583,0.5913955,0.54428095,0.28426114,0.58343136,0.55640095,0.32494113,0.6417222,0.5524488,0.17357002,0.64001137,0.5608897,0.2834932,0.61158127,0.5116388,0.19425315,0.6163565,0.5424287,0.26331323,0.5533748,0.4500124,0.5242144,0.5593385,0.49793115,0.15804632,0.6511503,0.45551085,0.29692546,0.65485865,0.4642893,0.33836704
Cat_Cow,0.31467548,0.062441267,0.76065964,0.29517147,0.07989147,0.8222801,0.2941561,0.07958765,0.8076847,0.31882155,0.14882088,0.92718184,0.31643862,0.14858702,0.8794312,0.3918497,0.22322908,0.9139005,0.39122927,0.24249312,0.8588801,0.6295772,0.20239012,0.9601251,0.6356789,0.22633152,0.9683144,0.82837343,0.16592728,0.6727799,0.81276417,0.19272709,0.8532075,0.46821642,0.5676031,0.7958112,0.46920922,0.56372136,0.79274136,0.8193317,0.55866355,0.8249214,0.80171907,0.5576749,0.64677805,0.7503072,0.881977,0.8775571,0.7380001,0.8654752,0.82226884
Cat_Cow,0.50977516,0.38474345,0.5882844,0.49867564,0.39230365,0.3239746,0.49923396,0.39174056,0.38009545,0.5011902,0.4190134,0.5299654,0.50062203,0.41630217,0.48440844,0.544865,0.43372253,0.56559855,0.53743607,0.43865943,0.5274358,0.6482228,0.43167362,0.24307953,0.63976294,0.4317889,0.322579,0.6970492,0.42398643,0.39288014,0.6898514,0.43136278,0.47774985,0.59255767,0.56302077,0.4402221,0.5959018,0.5647033,0.4655268,0.6866958,0.5592001,0.40217185,0.68327606,0.56452274,0.39550054,0.69534934,0.6782466,0.4265229,0.6828588,0.65988344,0.22415465
Cat_Cow,0.44785428,0.29021776,0.78913295,0.4346491,0.29776707,0.6396797,0.43405402,0.30073205,0.6491804,0.44050133,0.33452576,0.8649538,0.43810418,0.33485278,0.773698,0.49653348,0.37548766,0.70523006,0.49418637,0.3702562,0.81903154,0.6384946,0.34056273,0.8181541,0.61924344,0.34866446,0.6836302,0.74478847,0.3104159,0.79422903,0.72867316,0.32356292,0.72177535,0.53779715,0.5896246,0.9161801,0.53914845,0.5900846,0.8471427,0.72992545,0.6496021,0.794231,0.7210397,0.65076035,0.7548366,0.72343874,0.8386184,0.7688041,0.71967375,0.8270919,0.76779586
Cat_Cow,0.5921496,0.70874953,0.5402294,0.58779645,0.7275751,0.5577164,0.5902123,0.72774684,0.5659967,0.5427506,0.7398156,0.70403326,0.5432974,0.7395089,0.69452256,0.4914145,0.67101574,0.5914231,0.4976568,0.6664379,0.6720583,0.6645853,0.6578815,0.6618747,0.68276125,0.66228896,0.82778174,0.6727227,0.76566386,0.4461572,0.6808131,0.76618373,0.53211874,0.44325948,0.4124913,0.69824153,0.4425403,0.40093338,0.62847346,0.680611,0.45230216,0.8139839,0.69175184,0.44248664,0.6311216,0.66360885,0.22803707,0.6405192,0.66784453,0.21701562,0.75958997
Cat_Cow,0.6784167,0.6284487,0.56513417,0.68384856,0.6459577,0.536499,0.6844354,0.6437482,0.5499072,0.65558374,0.6706773,0.70189416,0.655252,0.6675668,0.6894,0.60788083,0.64950037,0.70436597,0.62228173,0.6396598,0.8133791,0.74031675,0.6462109,0.8256979,0.74885327,0.64266825,0.7809181,0.8212557,0.66625196,0.5946183,0.8640623,0.6677643,0.5880687,0.64447486,0.4187747,0.8235715,0.64960885,0.41656485,0.7545392,0.81823504,0.41711363,0.5441197,0.84564775,0.41336495,0.87306046,0.82028186,0.25585964,0.55650645,0.8494991,0.22990303,0.75504375
Cat_Cow,0.3682482,0.42281672,0.5475625,0.35810944,0.4147163,0.60808784,0.35687894,0.4148907,0.6476385,0.3269387,0.4313918,0.50544626,0.32551417,0.43639773,0.6088161,0.34403095,0.5143181,0.81104004,0.34543923,0.49586478,0.66534746,0.51210606,0.45847368,0.8176846,0.49127495,0.45554754,0.8457396,0.6373862,0.42451784,0.7445644,0.6229324,0.43212858,0.5246068,0.3638517,0.7559319,0.6945587,0.35667327,0.7353838,0.7629735,0.63466704,0.7651163,0.68514484,0.59953165,0.71792877,0.8151215,0.60160923,0.9759369,0.88096863,0.56860304,0.914901,0.8305474
Cat_Cow,0.4519993,0.27662843,0.55658066,0.44994563,0.25623956,0.67512697,0.44982228,0.25419465,0.7223427,0.40574512,0.22602624,0.7138052,0.4053278,0.22061814,0.7054935,0.369735,0.29354033,0.72805774,0.36628988,0.29074857,0.66995466,0.56102395,0.2929869,0.6572774,0.5606226,0.28788716,0.87858766,0.70291346,0.29786077,0.601909,0.69510174,0.3030871,0.69968706,0.4143608,0.57956827,0.93057007,0.41470838,0.57459736,0.8134448,0.69525635,0.5779927,0.7874489,0.692583,0.57421136,0.89810956,0.7050297,0.83693063,0.79203,0.6851486,0.80325246,0.68093807
Cat_Cow,0.17826244,0.9153713,0.8088384,0.17232466,0.88957465,0.63906103,0.1741187,0.88773537,0.7073542,0.23350918,0.845047,0.74971354,0.23958859,0.84498304,0.8252715,0.35999453,0.82526046,0.85676557,0.38202128,0.8441112,0.8731834,0.58712316,0.8338095,0.7425533,0.6262983,0.84155643,0.8776558,0.72737956,0.8581068,0.7550332,0.8238325,0.85527784,0.86476433,0.4581554,0.5095995,0.8223032,0.46055552,0.4762853,0.8281187,0.7272184,0.48428512,0.7714302,0.77468437,0.42738667,0.9172899,0.69722515,0.22064646,0.8150911,0.73766375,0.15485227,0.85831726
Cat_Cow,0.4693124,0.66214544,0.63725156,0.47650805,0.68180126,0.6651838,0.47758704,0.68400425,0.6503788,0.43850145,0.70761496,0.79409325,0.44100288,0.70806366,0.80254483,0.4015752,0.66489327,0.8192187,0.4080932,0.68102837,0.818122,0.5648619,0.6519563,0.78449214,0.57351524,0.67101747,0.81629276,0.6958182,0.6547379,0.64896405,0.72411245,0.67378825,0.59829825,0.46626478,0.42196488,0.76587975,0.46299282,0.42359594,0.80139714,0.69256204,0.3921527,0.7652422,0.7158303,0.38835007,0.77293295,0.6866751,0.17691529,0.76076573,0.71275485,0.1516708,0.8339416
Cat_Cow,0.29664296,0.87491524,0.6729665,0.27977628,0.853773,0.80915856,0.28040007,0.85594875,0.8471991,0.30302104,0.8054458,0.91049844,0.30565915,0.805144,0.92723536,0.38301763,0.7526434,0.7978462,0.38042602,0.7432296,0.8281031,0.56920105,0.73567176,0.8697696,0.57191217,0.7320753,0.8676365,0.7071703,0.7515631,0.69178176,0.72671264,0.75644493,0.6844958,0.4400399,0.4461221,0.7570667,0.44425505,0.44135374,0.77462417,0.7033866,0.45268735,0.6309273,0.71573937,0.4480593,0.7723031,0.68894666,0.21314315,0.8027732,0.6998559,0.1963425,0.69283795
Cat_Cow,0.52682483,0.521556,0.41001013,0.5265506,0.5098773,0.5159899,0.53003997,0.50921494,0.46790203,0.4987908,0.47472742,0.63477075,0.5025659,0.47686383,0.52402055,0.44652143,0.50182307,0.71124893,0.4446856,0.49764332,0.7079886,0.5871126,0.5021003,0.68545127,0.58983415,0.49933037,0.75003475,0.6959601,0.48676547,0.75003487,0.6902379,0.4951563,0.5505497,0.49247602,0.69941086,0.692934,0.50004524,0.6798767,0.6921833,0.6985001,0.6623041,0.8402305,0.6933084,0.6550587,0.70514476,0.69542384,0.8383848,0.77116483,0.68661356,0.8241036,0.59980357
