Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Chair,0.3384917,0.6463468,0.48019633,0.32954562,0.6383266,0.40182605,0.3286004,0.63981366,0.43825537,0.33434737,0.60660076,0.6416506,0.33450896,0.6112036,0.668902,0.3915353,0.59356457,0.6265491,0.38808557,0.59060735,0.7850518,0.2934008,0.64002734,0.6447128,0.2985422,0.63605726,0.6486165,0.22895616,0.65931344,0.7337344,0.22572857,0.6588174,0.60816884,0.53821516,0.5084467,0.8106637,0.5377386,0.50361437,0.8039712,0.6343718,0.59423167,0.5880232,0.63552094,0.59653795,0.6945329,0.75328445,0.56475985,0.7981266,0.7581998,0.5615545,0.6276688
Chair,0.29653004,0.5031326,0.46594822,0.2832661,0.5120219,0.50667524,0.2865454,0.5008047,0.5428851,0.29732516,0.55438036,0.563336,0.30200833,0.52674365,0.62523764,0.35809258,0.5611613,0.55667394,0.38113153,0.5184817,0.8057754,0.27027896,0.42319128,0.5445482,0.31950542,0.4573772,0.21318334,0.15199186,0.33321437,0.6919618,0.14641535,0.33504683,0.40620524,0.60280824,0.65974355,0.6831632,0.59335697,0.6275908,0.5982303,0.71127445,0.49208608,0.58652836,0.6891146,0.47203922,0.5058967,0.90403533,0.56286436,0.6076479,0.87364566,0.5461758,0.44550714
Chair,0.31671467,0.56550545,0.72814536,0.2901238,0.5578377,0.6807045,0.29048565,0.5544037,0.7062529,0.29460686,0.5162283,0.5702089,0.29580104,0.513566,0.7582512,0.36293024,0.48398197,0.76302344,0.36027282,0.47720018,0.8008295,0.2640947,0.5651087,0.5202764,0.25253123,0.5746084,0.6171767,0.15832727,0.64577997,0.7289544,0.15943208,0.6477045,0.493391,0.5788759,0.3548261,0.5652153,0.57701933,0.34089163,0.8439739,0.68789923,0.52369565,0.8576784,0.6972163,0.52441204,0.7203726,0.87285084,0.45346165,0.6554488,0.8841482,0.46033946,0.5739291
Chair,0.510764,0.4785302,0.26846895,0.5085083,0.47472838,0.43588814,0.51383746,0.47376946,0.33140653,0.5233493,0.47227177,0.43728054,0.52941144,0.47291616,0.39877552,0.53606355,0.4987754,0.5791902,0.54649216,0.50036204,0.36848426,0.6363693,0.52811235,0.5368913,0.63455087,0.5313618,0.43427715,0.6760254,0.5436902,0.1811286,0.6872354,0.53262544,0.27946755,0.57143176,0.63369703,0.5826944,0.5776571,0.6336312,0.4604783,0.6463253,0.534749,0.463003,0.6476666,0.53999186,0.39393425,0.7371652,0.5917736,0.36273658,0.724491,0.59249735,0.4640755
Chair,0.29087263,0.5098181,0.6552452,0.28812498,0.49479583,0.69632107,0.29019672,0.4942885,0.73351234,0.32732397,0.4809205,0.57773316,0.32885748,0.47835165,0.56348634,0.367848,0.5054433,0.5630193,0.37674335,0.49892476,0.6662596,0.28227183,0.5905566,0.6246921,0.28649125,0.5999359,0.57541186,0.18478002,0.62885433,0.6631828,0.18868418,0.63990736,0.4874488,0.61210144,0.41920716,0.6492117,0.6117922,0.39456052,0.75935805,0.6660078,0.5768723,0.56383985,0.70291215,0.57611394,0.594544,0.7935343,0.45813537,0.5954555,0.84824765,0.46470457,0.44668803
Chair,0.41919854,0.47539866,0.41926438,0.41059855,0.4832591,0.37490124,0.4073261,0.47096705,0.38493562,0.41453233,0.48226598,0.3781605,0.40662903,0.46022898,0.41334817,0.43776593,0.50868815,0.40956393,0.43533897,0.4391424,0.44130945,0.50669795,0.5095672,0.15204939,0.477546,0.44131124,0.17849308,0.51484185,0.492441,0.37762865,0.4885343,0.4478458,0.17964567,0.5229163,0.52978635,0.6325686,0.527273,0.47684819,0.448521,0.6305885,0.48977524,0.7266918,0.6340715,0.46486416,0.5080995,0.7440458,0.50406516,0.4150075,0.73843944,0.47883397,0.59380716
Chair,0.29021156,0.4418521,0.6550644,0.2714497,0.45887995,0.80558956,0.2716136,0.44339645,0.69503605,0.27792042,0.49937436,0.46398792,0.2773141,0.46022728,0.714691,0.35769257,0.5106358,0.6737287,0.35386905,0.50085086,0.7321053,0.2554805,0.37969595,0.5556939,0.25615072,0.38328168,0.52644783,0.15113264,0.3249271,0.54660404,0.14443436,0.34457567,0.67794394,0.6159456,0.65427816,0.9112601,0.6168612,0.6291608,0.83154535,0.7075421,0.45759302,0.72509867,0.7015688,0.45141238,0.7198009,0.88768226,0.56431365,0.75562954,0.8671465,0.5582276,0.839337
Chair,0.6221511,0.68268085,0.49650282,0.60778594,0.6883721,0.47768205,0.6090921,0.68599415,0.489209,0.5792892,0.65925217,0.53237367,0.5844124,0.65516824,0.65253663,0.59192896,0.58318853,0.7653355,0.61073667,0.5671132,0.69419277,0.72282696,0.6662014,0.50027496,0.7461458,0.67679787,0.86838996,0.65139204,0.74812645,0.47208482,0.6548377,0.7605505,0.5878943,0.66906524,0.3388357,0.73559433,0.6845681,0.3234405,0.7566207,0.7661388,0.5231849,0.58985347,0.7811847,0.51484835,0.5762463,0.914036,0.44645104,0.48703304,0.94906616,0.42408153,0.81609255
Chair,0.25830463,0.445699,0.85946566,0.2376663,0.45740992,0.74733216,0.23725241,0.45552218,0.7258151,0.24920678,0.5129708,0.7988457,0.24788366,0.5081176,0.7871643,0.33106792,0.54034984,0.80702055,0.32441056,0.54188514,0.80541545,0.34998834,0.36628804,0.69051963,0.35021496,0.36942902,0.7687519,0.32735795,0.20742999,0.35356095,0.32753155,0.21922962,0.63525736,0.59620833,0.71258765,0.90017724,0.59087104,0.7152566,0.8213459,0.6155402,0.45718655,0.7704736,0.6083245,0.4665773,0.67462116,0.8144452,0.57402974,0.6439977,0.80419743,0.5740006,0.7180355
Chair,0.29799414,0.55118334,0.6030361,0.2846877,0.54354346,0.4717103,0.28189537,0.5339386,0.54202294,0.29289237,0.51567334,0.47541362,0.29512236,0.48968756,0.7368494,0.36519787,0.5516343,0.8467926,0.36817205,0.4511032,0.8334517,0.25391415,0.6025176,0.67418915,0.25333118,0.4740331,0.8624307,0.13169791,0.6235926,0.7475136,0.12949276,0.4869371,0.7592538,0.5952274,0.50087804,0.833793,0.5924106,0.42300233,0.81018466,0.7347154,0.59580785,0.9367247,0.7568931,0.4821835,0.8421862,0.8904639,0.5435663,0.76019657,0.92938465,0.4115913,0.9121129
