Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Child,0.78095454,0.44003123,0.65246314,0.77358747,0.41810894,0.6271817,0.7728235,0.41882408,0.5894265,0.73168904,0.41372705,0.6931701,0.7328024,0.41178066,0.6700337,0.69681674,0.49482408,0.6843514,0.67913914,0.4929952,0.5003328,0.78586465,0.33888265,0.6961686,0.7563141,0.34419268,0.45947215,0.8001395,0.19913839,0.48322797,0.78495234,0.21055989,0.6304135,0.6646933,0.78095835,0.8176831,0.6596348,0.7645908,0.58824545,0.7765899,0.5717718,0.7001068,0.7669299,0.562676,0.46980453,0.7792297,0.7702319,0.4625919,0.7673472,0.75212836,0.6220597
Child,0.5861538,0.45444688,0.45994246,0.57439613,0.43284106,0.45589715,0.57543445,0.434983,0.53539103,0.5237741,0.4161108,0.5239945,0.52939945,0.42248076,0.43541247,0.48403636,0.48330975,0.6844639,0.47330514,0.47851482,0.42046204,0.5641254,0.31146368,0.4771262,0.5618055,0.3070077,0.6502157,0.58413965,0.15055153,0.6245028,0.5809019,0.15453139,0.6096852,0.501115,0.8173946,0.8555694,0.49614125,0.802742,0.58257174,0.605726,0.5468868,0.63745517,0.59870106,0.5483755,0.46180078,0.6232894,0.81854934,0.71067405,0.6077906,0.80290204,0.7366491
Child,0.580242,0.50642776,0.39063784,0.57924896,0.4989551,0.40147433,0.577547,0.49328423,0.41946113,0.54910594,0.4940888,0.3228466,0.54112047,0.47845232,0.40776783,0.5096031,0.54749495,0.46882045,0.48900867,0.49335036,0.53603053,0.57686824,0.6804466,0.29240364,0.5400065,0.61520064,0.25770724,0.57279193,0.75466985,0.6259294,0.55368537,0.74205893,0.40026134,0.46235391,0.7599135,0.7401752,0.45587066,0.73831147,0.55792266,0.5540862,0.6102458,0.43384233,0.551208,0.5626047,0.2380174,0.5705551,0.75622624,0.32344678,0.5500711,0.7392302,0.25707674
Child,0.7670792,0.5236519,0.5303792,0.75819993,0.54500693,0.5124702,0.76180667,0.50709575,0.49056742,0.71864665,0.56710577,0.466764,0.7188729,0.4762382,0.47301853,0.6616071,0.6150948,0.7694821,0.6824451,0.4167858,0.62818503,0.73947334,0.6288431,0.5805109,0.7353307,0.40649587,0.50496525,0.8033015,0.6513076,0.6822329,0.79835844,0.40223357,0.7637517,0.5360912,0.57091653,0.7626398,0.5375252,0.45357293,0.66642094,0.70550555,0.6260949,0.4179725,0.70402944,0.4082158,0.5301892,0.67220926,0.61798024,0.101786755,0.62753934,0.44621098,0.28722912
Child,0.77950335,0.44682974,0.3818181,0.76879716,0.4327352,0.41004068,0.76981604,0.4323813,0.43263307,0.7342956,0.44022742,0.6198579,0.7375756,0.43553695,0.59963816,0.72499216,0.49833098,0.6951693,0.71122885,0.49750242,0.6144643,0.77902174,0.3963455,0.70876324,0.74607867,0.39126098,0.4902527,0.7836449,0.29012647,0.31762263,0.76085716,0.2873904,0.46258852,0.6873862,0.7095479,0.7426147,0.6750802,0.7067423,0.58781433,0.7694686,0.5575093,0.52472436,0.75715387,0.5544019,0.36008003,0.7743903,0.71405065,0.38034028,0.7640441,0.6951506,0.4657508
Child,0.6864777,0.5047689,0.62438965,0.68861765,0.48639598,0.58404505,0.6881376,0.48356843,0.59585387,0.6322965,0.4416386,0.53472424,0.635766,0.44749922,0.5416495,0.5191962,0.5050123,0.59732693,0.52323705,0.4966224,0.43676314,0.6547353,0.32996288,0.774466,0.6517358,0.3417055,0.7821725,0.7037699,0.14186601,0.6109001,0.6999472,0.15198669,0.7128956,0.5106384,0.86823857,0.85554457,0.49639642,0.8705359,0.7299036,0.681286,0.616258,0.88324565,0.67512786,0.6125496,0.7863788,0.6358052,0.89632756,0.63762295,0.6270617,0.89363456,0.60601336
Child,0.64937,0.4358926,0.37939233,0.6439067,0.41860098,0.52267045,0.6455421,0.42408556,0.35747567,0.62011534,0.41458735,0.6318005,0.6205775,0.42108527,0.5709217,0.5933111,0.46880785,0.6455143,0.58404917,0.465833,0.4970348,0.6609067,0.36097795,0.6330082,0.6412656,0.36986563,0.55574423,0.65609074,0.25913626,0.36101583,0.6428742,0.26586083,0.50862426,0.5859276,0.6599337,0.8138872,0.57740927,0.6531734,0.5224407,0.64862925,0.5289195,0.50046533,0.64175117,0.5228729,0.46533155,0.6477438,0.6658073,0.38603655,0.64189583,0.64834476,0.24718207
Child,0.6643614,0.5608723,0.4634255,0.65843534,0.5803683,0.51009023,0.6603152,0.5812139,0.6101239,0.6277995,0.5903457,0.5576864,0.6291987,0.5913918,0.4906909,0.5875118,0.5583791,0.57148093,0.5956956,0.549967,0.5118522,0.65488994,0.6458852,0.65505034,0.67563283,0.65322924,0.5967719,0.66234106,0.7547704,0.58637136,0.6748713,0.7710869,0.5845676,0.5566839,0.3000891,0.79997694,0.56815976,0.29886636,0.7252228,0.651023,0.4913024,0.6421387,0.6684535,0.4896995,0.65671444,0.6458239,0.3021643,0.5652678,0.66425174,0.29132825,0.4928006
Child,0.703898,0.52963054,0.4813666,0.7062435,0.5521428,0.52464217,0.70973724,0.55159456,0.7567454,0.67212296,0.56483155,0.6238056,0.6702927,0.5668784,0.60198116,0.59751445,0.5607146,0.8669064,0.634276,0.5233634,0.67691326,0.6471496,0.6158803,0.3736812,0.73404115,0.6159467,0.6793177,0.6603639,0.7079091,0.8230842,0.74085706,0.7385878,0.67790437,0.58910924,0.26916057,0.8552339,0.6136235,0.2617239,0.75900954,0.68670785,0.4684649,0.6682477,0.7093211,0.47017002,0.8801408,0.6821706,0.29067189,0.59412205,0.70909125,0.2738769,0.44255337
Child,0.65051186,0.26729852,0.730078,0.65227276,0.23387232,0.70299757,0.6510074,0.22850187,0.6933508,0.57628006,0.18877815,0.64505273,0.5788273,0.18811016,0.6382449,0.47722882,0.2815948,0.5474591,0.45855787,0.27856493,0.7675318,0.5456279,0.5651771,0.4665668,0.5388062,0.5758096,0.49035406,0.6622429,0.7790149,0.55356836,0.59959984,0.76090074,0.48285,0.46042123,0.7407537,0.7403753,0.4480699,0.7322536,0.5896159,0.6268351,0.3920154,0.7757488,0.61784655,0.39401487,0.5925705,0.65841174,0.7730272,0.49920148,0.6202153,0.76829594,0.4349655
