Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Cobra,0.3187517,0.34310955,0.7366618,0.3295797,0.3702502,0.6753192,0.32858518,0.36866963,0.6240472,0.3755709,0.3716532,0.71374977,0.3759389,0.37166774,0.7235796,0.4533785,0.3322438,0.88256264,0.45102778,0.32155138,0.9234031,0.6411922,0.32025835,0.89598393,0.6278079,0.3067562,0.719791,0.7253417,0.19553073,0.799422,0.70804936,0.19470936,0.6744525,0.6788282,0.37845516,0.80606514,0.67702144,0.36672068,0.7090759,0.6984235,0.59211195,0.63072234,0.6945338,0.5794473,0.6269395,0.6970055,0.8126925,0.75868237,0.68215317,0.7932077,0.5038558
Cobra,0.53649443,0.49345613,0.44169262,0.5271246,0.4831375,0.3512598,0.5257127,0.48258796,0.4840355,0.5406218,0.4658352,0.4626375,0.5443359,0.46699774,0.5298302,0.57825726,0.4711525,0.62310576,0.5781655,0.47460607,0.7167977,0.6566896,0.45871967,0.32271165,0.660713,0.46658903,0.22710519,0.72742736,0.4549042,0.41654918,0.7317082,0.4587792,0.63231975,0.67340016,0.39717582,0.63867134,0.6775594,0.39374736,0.5546369,0.70976657,0.27225605,0.5161557,0.72924644,0.28520504,0.29552925,0.7332762,0.14527564,0.5576389,0.74828243,0.1395861,0.2935279
Cobra,0.4779746,0.93130183,0.7880732,0.45799416,0.93055195,0.7663734,0.45673636,0.93005323,0.7015574,0.4470979,0.8870074,0.82375157,0.4445659,0.8850152,0.88015383,0.49000517,0.8177624,0.640554,0.49708876,0.8269397,0.80262536,0.51896757,0.68138444,0.57245094,0.5292725,0.6768956,0.65746486,0.62158775,0.7592117,0.44519895,0.636483,0.7496627,0.7457463,0.55611396,0.5853289,0.79521435,0.5690236,0.5840703,0.82738614,0.59055144,0.38911498,0.6984383,0.59551895,0.38394508,0.66314095,0.6047628,0.21643019,0.72975564,0.605707,0.18989418,0.6828549
Cobra,0.29306668,0.68520206,0.8406524,0.26587233,0.6861707,0.70695853,0.26881728,0.6481713,0.86737466,0.28129244,0.65727025,0.5457718,0.29767683,0.58100736,0.7538409,0.4221113,0.6992867,0.9390611,0.42198995,0.5134664,0.83394206,0.6069143,0.6941884,0.9147852,0.66374385,0.5046799,0.8432225,0.6567157,0.8221778,0.5683573,0.7190877,0.6346207,0.9069238,0.5395283,0.48873404,0.49761283,0.5572761,0.37980622,0.663985,0.52293175,0.36123264,0.67705417,0.5426665,0.22597037,0.63193905,0.48993972,0.311398,0.75485754,0.5219473,0.08752032,0.8045897
Cobra,0.29747605,0.5520649,0.48577416,0.27999404,0.5454762,0.5058212,0.2823215,0.5490093,0.5790519,0.29372615,0.5321304,0.5351025,0.29666728,0.54178506,0.6151,0.37106267,0.47286642,0.670603,0.3743863,0.5854915,0.66642344,0.4866895,0.45776907,0.3221067,0.5118582,0.6010674,0.62684524,0.61944616,0.6035933,0.47344843,0.6209828,0.60641193,0.71630955,0.52942497,0.49227503,0.6597669,0.53658825,0.49161234,0.5905584,0.59747154,0.39098716,0.62149894,0.6059116,0.4108638,0.3363669,0.6855573,0.26138237,0.7629401,0.6858011,0.38500524,0.7593466
Cobra,0.44530648,0.28228888,0.6865239,0.4463498,0.3015012,0.69292855,0.44699675,0.3005397,0.73913944,0.48398057,0.31319368,0.64112836,0.48491275,0.31458515,0.57039297,0.54100704,0.3030189,0.7111889,0.5378918,0.30451372,0.65510774,0.66248566,0.36930537,0.54781246,0.653093,0.36307684,0.65733856,0.73781776,0.30675203,0.65248775,0.7189383,0.3071181,0.6229932,0.67472076,0.45119405,0.7858703,0.67942005,0.45081866,0.67122805,0.7072723,0.60889363,0.64800084,0.7031299,0.6077771,0.70310926,0.7040344,0.77106994,0.6381961,0.702635,0.76453084,0.6919885
Cobra,0.43293062,0.21255064,0.82266384,0.4181399,0.22309506,0.8039762,0.41753188,0.22316216,0.78181905,0.42420456,0.26826286,0.8203428,0.4241316,0.26348808,0.7285047,0.5004531,0.29324806,0.83023506,0.49856228,0.30024728,0.8190896,0.64269495,0.2627261,0.68871474,0.63812774,0.26418403,0.82725865,0.641028,0.14002398,0.62964004,0.6405638,0.14120224,0.6394581,0.60856307,0.45890683,0.762685,0.6089788,0.45575282,0.74236727,0.6260757,0.6588896,0.8096951,0.62242407,0.6561889,0.73997444,0.6332317,0.8421947,0.6700741,0.6323912,0.8299431,0.7955663
Cobra,0.4524353,0.28118658,0.59113234,0.43553376,0.29963577,0.6842487,0.43448204,0.29330692,0.56243366,0.44796494,0.34939727,0.8405706,0.44370484,0.32926983,0.64917725,0.536446,0.353181,0.76334894,0.5394977,0.34694552,0.7563969,0.70678556,0.31890664,0.6391274,0.6788889,0.3190619,0.7216068,0.7062993,0.19951642,0.532842,0.6913508,0.21125337,0.53891647,0.64661753,0.50391966,0.7929822,0.6394875,0.49822578,0.65964484,0.6713574,0.7018539,0.69571835,0.6534591,0.68611777,0.5944492,0.6630503,0.8731356,0.6526381,0.6531009,0.85256404,0.73050636
Cobra,0.12740721,0.45750403,0.8108862,0.12174679,0.48913833,0.608612,0.12428239,0.42909813,0.8162105,0.19645295,0.52982724,0.72275,0.19048727,0.39495745,0.7587841,0.3041222,0.6074887,0.94077295,0.302161,0.33254853,0.8499619,0.5582219,0.6205374,0.8432155,0.55041915,0.33521554,0.68482447,0.7891815,0.6373637,0.88376653,0.7731955,0.31735963,0.8563834,0.6564321,0.55923605,0.8755469,0.6625994,0.39876327,0.8514013,0.84008366,0.5922469,0.07166281,0.8284261,0.34612736,0.09269869,0.8041201,0.6355725,0.04940181,0.79419124,0.3395189,0.057973392
Cobra,0.51069903,0.41694772,0.42117944,0.5060984,0.417588,0.35421184,0.50402033,0.4160016,0.32384372,0.50999343,0.42532355,0.61358154,0.50250256,0.42744893,0.45053136,0.51965255,0.4349725,0.61913455,0.5171006,0.44100222,0.48456037,0.5414983,0.43541637,0.4788412,0.53805774,0.4439162,0.3122135,0.56288207,0.42623946,0.39253145,0.55797887,0.43791318,0.33847028,0.5567074,0.44645077,0.43653002,0.5562556,0.45781744,0.41163132,0.57380074,0.45407823,0.20247088,0.5746172,0.4806044,0.22788171,0.59235364,0.54303354,0.3449051,0.5877883,0.540364,0.30315802
