Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Cockerel,0.38024342,0.47247618,0.723688,0.3505595,0.49852636,0.70466316,0.35178953,0.44833967,0.84656507,0.35884935,0.5275264,0.66679764,0.35939997,0.41690612,0.7388745,0.43702438,0.5863043,0.7920744,0.4470107,0.34315738,0.62294674,0.6137505,0.5517991,0.68352413,0.6093914,0.3743565,0.6562248,0.73735666,0.5496542,0.33362275,0.72524065,0.37691748,0.39933407,0.6111782,0.53005886,0.6619901,0.60886717,0.4145604,0.74336475,0.69774425,0.68064547,0.8969423,0.7014407,0.23308921,0.9076718,0.61485416,0.41728744,0.3358687,0.6280911,0.477922,0.3438164
Cockerel,0.361732,0.69155437,0.61123765,0.32082888,0.7176424,0.65313137,0.32133868,0.65190864,0.7380322,0.32135737,0.7247892,0.20842768,0.3159305,0.5692212,0.5657867,0.43507499,0.70881176,0.61796725,0.40745378,0.44015288,0.57058287,0.61898005,0.6627827,0.4615708,0.6249188,0.32761085,0.6752484,0.80166894,0.63102823,0.6914574,0.82344806,0.27342567,0.7626835,0.46733212,0.46157712,0.18198165,0.4286872,0.27721786,0.39553192,0.53243047,0.50311273,0.046181884,0.57864857,0.30244845,0.1282903,0.53867716,0.37424764,0.030785756,0.5311315,0.35833037,0.05216505
Cockerel,0.21128203,0.49936533,0.8200309,0.17216711,0.5293381,0.6257559,0.17310582,0.4603082,0.8240692,0.19018243,0.57659495,0.72808444,0.1949846,0.40889457,0.87608176,0.33242172,0.66856086,0.86414534,0.3382115,0.30765665,0.78753144,0.64101547,0.631998,0.5934938,0.6445086,0.3732077,0.36847916,0.6861537,0.40637928,0.20191339,0.6797968,0.59320253,0.23959795,0.65656847,0.5834144,0.71314216,0.6414716,0.37656143,0.8700769,0.7985669,0.82298887,0.9239203,0.8201327,0.18849613,0.695186,0.690785,0.3879255,0.41132903,0.7083201,0.5781695,0.31660315
Cockerel,0.37969795,0.47226158,0.7069339,0.3498973,0.49849546,0.625242,0.35074854,0.44834495,0.8721895,0.36359856,0.52668357,0.6883827,0.359575,0.41780168,0.67943364,0.44084585,0.58489347,0.7420127,0.45246452,0.34267983,0.85022235,0.6151105,0.55917144,0.6104304,0.61017114,0.37794697,0.65297884,0.7439178,0.5435572,0.5022541,0.72517806,0.38253748,0.31317553,0.6206819,0.5237469,0.6455904,0.61781585,0.40947667,0.75118583,0.6972027,0.682912,0.782164,0.7047308,0.2372886,0.95282936,0.63339406,0.44334638,0.29955366,0.6408579,0.49125952,0.3891679
Cockerel,0.60256064,0.33501634,0.6427873,0.58381385,0.32636717,0.4868998,0.58404493,0.32747978,0.43053478,0.5563011,0.3571554,0.75450164,0.5571003,0.356307,0.7232542,0.55143154,0.4179848,0.6454787,0.54914165,0.42284343,0.5944766,0.64793783,0.5083756,0.5607954,0.6462818,0.5045348,0.56714356,0.7624232,0.5388663,0.5763915,0.7443689,0.53470457,0.54850256,0.4676758,0.60000205,0.7175282,0.46964222,0.60028833,0.7188903,0.6334418,0.5035663,0.66792256,0.62458557,0.49527374,0.4732136,0.77211195,0.54363847,0.39423376,0.75290906,0.5384767,0.42944387
Cockerel,0.3384128,0.55534256,0.7148527,0.30945903,0.5827042,0.71034986,0.30956396,0.5272904,0.6700063,0.3183035,0.61914814,0.74865204,0.31384394,0.4833682,0.48351356,0.4475715,0.6819027,0.8548383,0.43679982,0.41386887,0.8121275,0.6662782,0.65232587,0.25716567,0.6613945,0.4348872,0.3484549,0.86014163,0.62856036,0.49754092,0.8537235,0.4649601,0.841166,0.6577954,0.60094714,0.6444678,0.64591104,0.48077482,0.6034633,0.74450463,0.79999197,0.7408311,0.7060126,0.2782013,0.588015,0.8608456,0.6282679,0.34676513,0.85332,0.4636805,0.25341523
Cockerel,0.21138643,0.5235033,0.87957364,0.17041714,0.56308365,0.77935946,0.1710646,0.4875503,0.88710135,0.19498076,0.6006673,0.8631342,0.1877263,0.44309723,0.798867,0.33873755,0.67829764,0.8979292,0.32653162,0.3447095,0.9355022,0.614726,0.6449163,0.48956567,0.62868327,0.3701889,0.7520792,0.84859705,0.59550303,0.60764015,0.8350838,0.36940375,0.5899665,0.6667282,0.59602636,0.7740293,0.6503546,0.4189371,0.8181058,0.6282469,0.8363971,0.7744079,0.66608846,0.1523166,0.9366537,0.6425391,0.4108042,0.4909986,0.7086463,0.5542617,0.48424602
Cockerel,0.5491984,0.6885199,0.47565377,0.537399,0.69177496,0.6653898,0.53610533,0.69112885,0.63380706,0.50421304,0.6696352,0.5320431,0.5033605,0.6733704,0.54688734,0.4902231,0.6198663,0.63304967,0.50729966,0.61619115,0.69068813,0.5717775,0.5151015,0.46705684,0.58222955,0.5151789,0.46532083,0.668741,0.4986091,0.5095154,0.67964244,0.50069237,0.7110912,0.47936687,0.39085156,0.6842484,0.48197845,0.39600837,0.61115885,0.52964276,0.5352998,0.3635771,0.5350637,0.57635474,0.22751555,0.62123215,0.5004925,0.1874089,0.5992023,0.51325357,0.19880055
Cockerel,0.3748848,0.48796594,0.46198806,0.34794486,0.5070748,0.80878246,0.351433,0.46314088,0.7644547,0.33248207,0.5349952,0.7781881,0.33453596,0.43515283,0.6187533,0.42037264,0.5854732,0.84103596,0.42173985,0.39089948,0.7208843,0.5964508,0.57049125,0.6009158,0.60996455,0.4103657,0.6894897,0.6691166,0.56504065,0.32225773,0.670847,0.4661017,0.27252847,0.66538304,0.5394384,0.6893803,0.6681608,0.43956605,0.65497696,0.6939415,0.6916382,0.9173143,0.6862935,0.28872362,0.78186536,0.7050236,0.483566,0.3368596,0.6921593,0.53143686,0.4681469
Cockerel,0.20161042,0.49082056,0.80952626,0.16568293,0.51794493,0.83874685,0.17015126,0.46196133,0.81332296,0.17331167,0.5563078,0.8016014,0.17668144,0.42906836,0.8514116,0.30333778,0.63251466,0.850768,0.30135936,0.3446185,0.9193727,0.53253627,0.59756887,0.5160957,0.5242088,0.3808626,0.5715069,0.70734966,0.5872987,0.83003175,0.7174066,0.40859714,0.79065937,0.5187415,0.55014396,0.82948387,0.5152044,0.42371616,0.747666,0.53013957,0.737474,0.8252801,0.5090438,0.2252439,0.8529487,0.5293113,0.57037896,0.08786172,0.5278512,0.4987187,0.116846904
Cockerel,0.30131748,0.48595795,0.81082577,0.26887587,0.5175734,0.864659,0.26984763,0.456884,0.8849626,0.28893077,0.5555773,0.9099791,0.2927095,0.42300338,0.8118729,0.39572605,0.6401279,0.6275642,0.4151804,0.3482092,0.93549854,0.6570676,0.6205268,0.45657414,0.6998337,0.39270058,0.56361914,0.8756958,0.60761863,0.7014132,0.74248993,0.49152467,0.20715043,0.69740874,0.58407986,0.75027287,0.69747704,0.41598025,0.77239805,0.81666857,0.7853779,0.80589706,0.8215708,0.2171204,0.6096269,0.7187211,0.44385374,0.4771031,0.7429865,0.586534,0.5024962
