Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Corpse,0.44126642,0.1363187,0.5530638,0.4522941,0.120605946,0.5210268,0.45487913,0.118926,0.5983713,0.49324167,0.12820065,0.7327106,0.497331,0.127602,0.7155541,0.48972884,0.21280524,0.7557248,0.5045703,0.20457469,0.69139135,0.51211464,0.3110529,0.2644843,0.5292691,0.2942186,0.4919379,0.5237779,0.40056598,0.3235939,0.5387689,0.3942857,0.5739618,0.48865536,0.45864388,0.7427878,0.5081112,0.46116439,0.6538672,0.484952,0.6546443,0.7279193,0.49000305,0.66306734,0.7794698,0.49456716,0.8507699,0.72364426,0.51187855,0.86823386,0.74856764
Corpse,0.5090106,0.25536245,0.49244112,0.51341295,0.23799723,0.39148363,0.5143657,0.2393374,0.48067322,0.549958,0.2368686,0.6380111,0.5510078,0.24326572,0.6505319,0.5493083,0.30997247,0.67360926,0.56153005,0.30448833,0.6445594,0.56665426,0.4250019,0.24712054,0.5833963,0.42715797,0.24154368,0.5677268,0.5166759,0.41099983,0.5832101,0.52676755,0.6366733,0.5398328,0.52358824,0.6971245,0.56037146,0.522314,0.62723213,0.557973,0.65536517,0.37046722,0.5672214,0.6512367,0.36343354,0.57871145,0.8058051,0.44129294,0.5873201,0.8154602,0.5229103
Corpse,0.43173745,0.19549808,0.7722078,0.42557776,0.180396,0.70913327,0.4566948,0.17587171,0.7205001,0.44297597,0.18647416,0.57016706,0.5102074,0.18962097,0.58110815,0.4290812,0.28448945,0.73289055,0.5484293,0.26622686,0.80828667,0.44924256,0.4012558,0.2771908,0.58349705,0.3981785,0.35160825,0.44539106,0.5140193,0.3695428,0.58228946,0.49125308,0.6478884,0.4402488,0.53271085,0.77438366,0.52424884,0.5097056,0.60771275,0.45784003,0.67910385,0.42617595,0.53989124,0.683474,0.66013145,0.4688577,0.8056397,0.83022606,0.54363245,0.83942044,0.66462535
Corpse,0.42825294,0.19863936,0.54031795,0.4421526,0.18299453,0.5229428,0.44384035,0.18359,0.52809227,0.49663222,0.19476493,0.72778004,0.4982186,0.19560027,0.6310039,0.48776218,0.27690694,0.43589413,0.50366235,0.28226686,0.57976353,0.4874417,0.40631709,0.297561,0.49985445,0.39367035,0.33323845,0.4987169,0.48404709,0.358059,0.502936,0.4954099,0.27644736,0.4757881,0.49271205,0.60390323,0.4930654,0.4903984,0.5301524,0.47925428,0.63745743,0.39929008,0.4867508,0.6557862,0.34903815,0.49814028,0.8388387,0.46510246,0.5097101,0.8507472,0.3417026
Corpse,0.55102175,0.8332753,0.7439023,0.56713635,0.85542196,0.66829365,0.55997336,0.85271084,0.6931006,0.61413926,0.8468411,0.7967798,0.6003402,0.8450193,0.62725437,0.64146876,0.78899986,0.79337835,0.5773711,0.7589418,0.64982843,0.680689,0.6639339,0.75656277,0.5943468,0.6524003,0.5305194,0.7225108,0.57844365,0.58157873,0.59947354,0.5557099,0.25952277,0.6118108,0.5334793,0.62532234,0.5683796,0.5261037,0.804769,0.64737624,0.32186833,0.82204205,0.5890154,0.32912853,0.87015796,0.67589897,0.10962362,0.7477559,0.59768623,0.1773218,0.6308071
Corpse,0.37687072,0.8417636,0.46408325,0.3948815,0.856484,0.6119821,0.37430304,0.8592951,0.47082517,0.44047055,0.8537717,0.7135372,0.39524773,0.8583822,0.66299,0.4885206,0.77927524,0.7075695,0.34777224,0.771115,0.7188048,0.5494262,0.64212793,0.73129034,0.3228896,0.6500671,0.7689052,0.61036927,0.5274608,0.7554415,0.27209687,0.5495317,0.55812633,0.45220238,0.51259756,0.74439496,0.35389188,0.5211901,0.7546572,0.44854578,0.3136011,0.65300286,0.32046017,0.31279114,0.6091287,0.47566053,0.09951067,0.71480775,0.3624511,0.12492885,0.81908554
Corpse,0.5639677,0.76361394,0.48930022,0.5806861,0.776561,0.65684825,0.57366526,0.7758326,0.61498314,0.615117,0.7646978,0.6573603,0.60431033,0.76144886,0.39650875,0.6162864,0.71228224,0.76568985,0.5937057,0.7037252,0.49170336,0.64472693,0.61767036,0.65226525,0.5998772,0.61759067,0.26939628,0.6674457,0.53200644,0.432317,0.58204734,0.53028303,0.2550804,0.58447164,0.5056887,0.73419595,0.5487096,0.50788504,0.73210895,0.60098684,0.38308993,0.587003,0.56036055,0.38991866,0.55765784,0.6141766,0.23231031,0.4317099,0.5505136,0.2845985,0.6314254
Corpse,0.4721831,0.76371175,0.5263253,0.48769557,0.7780875,0.53662914,0.4864803,0.77795017,0.4309896,0.52499396,0.7637325,0.5592845,0.52315515,0.7669829,0.5682948,0.52953005,0.71345925,0.62570214,0.5147064,0.70082563,0.4209009,0.55111986,0.5973716,0.5736036,0.5425983,0.6046787,0.42195505,0.5658818,0.4982152,0.6107057,0.5481599,0.4945693,0.4789108,0.52101696,0.49748668,0.64026487,0.50211775,0.4938397,0.62789,0.5360517,0.2961245,0.5441169,0.5235102,0.29396006,0.7067691,0.5457677,0.13317582,0.46165767,0.5334303,0.14343213,0.6319243
Corpse,0.4572553,0.22019662,0.5379891,0.45232567,0.21118046,0.5923471,0.47643328,0.20929842,0.50819945,0.46194458,0.21635272,0.5563268,0.5066284,0.21518582,0.6631734,0.44294226,0.28663367,0.7145281,0.51861596,0.26557195,0.8093627,0.41874284,0.3743388,0.20174657,0.55171645,0.35990006,0.6984272,0.40679166,0.4344841,0.38696095,0.5824561,0.4544126,0.75650066,0.43705755,0.49737826,0.8010981,0.51060385,0.5010936,0.6664952,0.43197146,0.6219352,0.4739697,0.49709323,0.6440335,0.47303173,0.4342131,0.74058545,0.3080203,0.50809807,0.76961184,0.50720936
Corpse,0.5021378,0.11944267,0.7318715,0.48686,0.1152105,0.66211975,0.5188474,0.105984464,0.63239884,0.46539634,0.14158441,0.7198837,0.53376305,0.1288928,0.54438436,0.43500125,0.1884508,0.8477259,0.57940257,0.20416254,0.8465034,0.3839643,0.29874152,0.8104115,0.6471911,0.29608428,0.8274887,0.29919076,0.3772386,0.7979757,0.73746395,0.36183825,0.86012155,0.46169513,0.37877658,0.690806,0.56087846,0.37094438,0.86103517,0.42491576,0.6113214,0.72148794,0.6137812,0.62061006,0.7639609,0.3709973,0.867749,0.8628893,0.691811,0.8453772,0.89438283
