Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Cow_Face,0.31364816,0.5004068,0.54688174,0.28566474,0.5272326,0.8355915,0.28296024,0.47810268,0.7884718,0.3045004,0.556493,0.8720364,0.29603732,0.4428831,0.73481226,0.45487946,0.6275188,0.8154645,0.39936063,0.39371842,0.88022447,0.6590909,0.6346484,0.74913687,0.19097662,0.35941997,0.6687639,0.5386162,0.5429448,0.1452722,0.32197198,0.4527052,0.5409048,0.79472244,0.5877302,0.818766,0.78701603,0.38338336,0.7959588,0.90529364,0.50967145,0.84030324,0.71120745,0.46153137,0.60738873,0.89774364,0.33534604,0.6897532,0.90556896,0.6737726,0.8982922
Cow_Face,0.44613346,0.48152983,0.75703907,0.42903656,0.499644,0.7459324,0.43088663,0.47081786,0.74937546,0.44401833,0.5317539,0.77555156,0.44366506,0.46901637,0.56904805,0.5099816,0.5660602,0.63338876,0.54043216,0.4253,0.76724035,0.3581009,0.5550341,0.7490092,0.67600745,0.4347713,0.8113028,0.48641887,0.5165208,0.17788489,0.64824057,0.5150611,0.15465383,0.7761508,0.55588293,0.6597923,0.76560163,0.4335348,0.8059728,0.85977775,0.5105725,0.40648347,0.76573753,0.5095793,0.53631026,0.81536967,0.39403585,0.7868311,0.81355923,0.62396187,0.79773855
Cow_Face,0.34097984,0.49728608,0.6611293,0.31634054,0.5160037,0.81780446,0.3193771,0.478302,0.8939458,0.3296642,0.5372769,0.7931813,0.32932642,0.4489954,0.77655417,0.44168764,0.5912642,0.8726155,0.411347,0.40915188,0.8364414,0.568629,0.5712551,0.65179545,0.27841556,0.43657917,0.7482332,0.5797108,0.52278495,0.14725707,0.30498588,0.514955,0.19339655,0.7007569,0.54147255,0.838661,0.6873761,0.40230012,0.7338617,0.75622505,0.508674,0.520647,0.6292144,0.4725679,0.77347904,0.756471,0.33407015,0.81099397,0.7754318,0.6367229,0.91704965
Cow_Face,0.44174093,0.39400312,0.7068662,0.42285195,0.400209,0.7386888,0.42532802,0.36748195,0.8296704,0.43216506,0.38913798,0.65076643,0.4441249,0.32102096,0.86005956,0.4910621,0.40347663,0.8721656,0.5411942,0.30252007,0.77183884,0.59964883,0.42736962,0.18314339,0.68008554,0.23365751,0.89967775,0.5817322,0.43936363,0.43518683,0.63402265,0.34028593,0.2465252,0.76308143,0.40704378,0.79208326,0.77306265,0.3336148,0.70171154,0.8055545,0.5475233,0.41891363,0.6877736,0.5104472,0.6433254,0.8250347,0.35506603,0.4129979,0.80117345,0.48243183,0.3097138
Cow_Face,0.21171811,0.5240005,0.8564967,0.17556205,0.55137116,0.8823775,0.18295224,0.49881315,0.6743354,0.19488136,0.58785415,0.8940614,0.19927962,0.4697399,0.8314116,0.36077303,0.669629,0.892078,0.3286807,0.4262291,0.8905792,0.5884486,0.72845924,0.89222443,0.07389324,0.43093672,0.89116204,0.5310722,0.637272,0.63028,0.12292479,0.5314934,0.1687972,0.7170567,0.60149795,0.9137375,0.70433754,0.4377116,0.6377793,0.6364445,0.47836784,0.7440433,0.8438594,0.42121303,0.71604174,0.8294084,0.24576207,0.9253567,0.8375788,0.69349456,0.8802134
Cow_Face,0.39397937,0.42282385,0.50779164,0.37598366,0.43507335,0.5616265,0.37800145,0.4086105,0.61558354,0.3842564,0.4488323,0.53278255,0.3875183,0.3941489,0.6302603,0.45388028,0.47956192,0.77359223,0.44355026,0.37397522,0.6449502,0.56379706,0.489394,0.594807,0.52749145,0.37875175,0.2100663,0.50204283,0.48323035,0.30385825,0.45697397,0.45998386,0.07689222,0.628388,0.45695233,0.60500854,0.62340254,0.38064113,0.5644437,0.6276288,0.40818128,0.19718024,0.6242322,0.40873435,0.28547832,0.66800433,0.30669886,0.5216591,0.66757184,0.43462974,0.15044746
Cow_Face,0.36389017,0.536466,0.5846914,0.35161817,0.53085816,0.60714746,0.34928364,0.52835566,0.69777304,0.36551782,0.50158423,0.46376878,0.36286268,0.50057405,0.52590615,0.41894552,0.4985578,0.5004727,0.39603606,0.47280133,0.5247644,0.4967637,0.46803004,0.3412275,0.28980586,0.45222685,0.5266849,0.5612629,0.56586105,0.25178233,0.34632516,0.44781336,0.27706936,0.58480054,0.46679375,0.7500327,0.5840717,0.4583326,0.69880474,0.61343914,0.6247781,0.36078462,0.60525006,0.6183742,0.16683048,0.61720556,0.53981936,0.18994997,0.629492,0.51624185,0.31018922
Cow_Face,0.38314328,0.68514276,0.68228257,0.36190408,0.7028648,0.67908084,0.3632127,0.704754,0.7054519,0.312081,0.6859188,0.65957886,0.31736138,0.6828075,0.8247513,0.32528123,0.5529651,0.57041246,0.37207657,0.5694341,0.66628593,0.4270074,0.3401994,0.3655888,0.47419074,0.33266783,0.789426,0.32752463,0.458636,0.3801277,0.3323351,0.45920724,0.5966392,0.54471254,0.24850777,0.7213445,0.571034,0.27280885,0.6350684,0.5611847,0.54681855,0.3882879,0.5345455,0.5545406,0.39396507,0.6985289,0.3370734,0.64946526,0.69200927,0.34197858,0.4924871
Cow_Face,0.2721783,0.47167656,0.8059045,0.2575687,0.48958656,0.9345465,0.26031598,0.45013162,0.8656134,0.28383237,0.5146448,0.67505115,0.28748068,0.4288438,0.8558433,0.38521066,0.5714171,0.774112,0.3886807,0.37763277,0.8901301,0.53500766,0.6133377,0.82217723,0.5322136,0.33545032,0.69244593,0.65413773,0.6789353,0.8248293,0.6637567,0.25733596,0.6966727,0.6711033,0.5182861,0.75782406,0.6493542,0.38073805,0.75781095,0.7458594,0.46505842,0.6581481,0.5993996,0.44966525,0.79788435,0.729802,0.30123222,0.7750687,0.71342975,0.5981849,0.6026127
Cow_Face,0.5147514,0.4883985,0.3717882,0.5038973,0.4763777,0.4134461,0.5014335,0.499964,0.3728654,0.52641726,0.45503834,0.4975055,0.5179063,0.51617193,0.49133623,0.597421,0.43998605,0.59277,0.57662666,0.5443964,0.38241175,0.70699126,0.441867,0.49896902,0.4589764,0.56745696,0.7299786,0.6188271,0.46374354,0.14521651,0.51542586,0.53277147,0.17735568,0.8213876,0.45111018,0.65491724,0.81868654,0.5345364,0.74965656,0.7745937,0.44456565,0.58889544,0.78411794,0.53172845,0.3177313,0.90862215,0.4789012,0.4376125,0.91104984,0.5122208,0.59189916
