Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Crow,0.60736835,0.7073976,0.5431233,0.60841125,0.7245778,0.5662021,0.6059746,0.72595656,0.50548273,0.5725104,0.7332205,0.7264225,0.5708931,0.7340833,0.6818629,0.5103333,0.6740352,0.7445967,0.543708,0.6700449,0.60065836,0.6026554,0.5528717,0.40921223,0.6297662,0.5562973,0.74297655,0.6905444,0.5564961,0.38138157,0.7451672,0.5757211,0.75686955,0.37158746,0.48512977,0.8205792,0.37488726,0.47802436,0.723743,0.5731287,0.58502036,0.6034792,0.58098465,0.6123983,0.786422,0.59207237,0.39579013,0.6493634,0.602992,0.38082364,0.82008797
Crow,0.5164979,0.83271724,0.7481926,0.5233083,0.85192513,0.8328673,0.49500477,0.850083,0.51992875,0.5093715,0.83781123,0.5851407,0.44600564,0.8357235,0.772893,0.45021683,0.7572973,0.5552784,0.46457398,0.7599685,0.62982595,0.5714902,0.6393135,0.36410028,0.5898016,0.6325303,0.74279386,0.6735015,0.63482976,0.46415472,0.7112582,0.633134,0.90001696,0.31022814,0.51910436,0.7641684,0.30660814,0.51664627,0.6925282,0.4955481,0.66569394,0.7567879,0.5011459,0.6722846,0.69940734,0.54292357,0.48139104,0.59829617,0.55292994,0.47072968,0.6208755
Crow,0.57393205,0.2739769,0.71245044,0.55297536,0.26459152,0.60246694,0.55480105,0.2632009,0.7698917,0.50168186,0.29639646,0.6998339,0.5049114,0.28985062,0.65576077,0.49391133,0.38371465,0.7251439,0.4720866,0.37701574,0.5753101,0.6051866,0.555953,0.6306583,0.54616773,0.51043916,0.3565386,0.74163234,0.5509584,0.9126856,0.7070002,0.54599607,0.5150409,0.30919966,0.6507771,0.72799915,0.3058285,0.63968575,0.6432897,0.5360684,0.48136017,0.5541784,0.51997924,0.48387396,0.62487084,0.5280814,0.7182073,0.76197034,0.5090971,0.68437684,0.48147228
Crow,0.58526385,0.69328487,0.72256154,0.56811595,0.71433866,0.82492936,0.56733966,0.7164024,0.8754409,0.51190525,0.6978998,0.50833714,0.5120997,0.6976555,0.8802232,0.48147887,0.6119413,0.6583931,0.48748955,0.6060395,0.7817171,0.61923397,0.47216055,0.5684188,0.6226162,0.45387125,0.759914,0.7682772,0.45698756,0.6695451,0.7780947,0.448529,0.550961,0.26828665,0.37823185,0.87178844,0.27138117,0.36799222,0.70211643,0.5126804,0.49913463,0.5987926,0.5191966,0.4946093,0.6935389,0.49695656,0.26823205,0.62275755,0.50541884,0.24992889,0.6320791
Crow,0.56650746,0.7015325,0.694752,0.54390043,0.7123157,0.7758738,0.54329234,0.7124507,0.81260425,0.50022656,0.66997486,0.6643159,0.49867886,0.66402125,0.8156677,0.4783735,0.5773057,0.6406347,0.4874741,0.58124316,0.7398335,0.6727981,0.46697393,0.6055339,0.6773618,0.46825406,0.5296658,0.7904605,0.4181849,0.45776182,0.81407446,0.40758106,0.69956785,0.34572315,0.31993535,0.5516045,0.34703028,0.31928137,0.739575,0.58419013,0.48104057,0.58581704,0.5806124,0.49497747,0.80281234,0.581602,0.26159677,0.68031365,0.58490974,0.25185668,0.6106115
Crow,0.53962845,0.7138071,0.6008282,0.53112054,0.7365852,0.4567205,0.5145796,0.73544645,0.41759095,0.47578552,0.7228266,0.18199025,0.43684584,0.7040546,0.39671317,0.43801823,0.58654207,0.43313265,0.41965637,0.5850475,0.5727809,0.58211964,0.44550043,0.42797303,0.5835855,0.4095097,0.6015305,0.73330617,0.450981,0.74137956,0.7922482,0.3977352,0.38202155,0.21065255,0.3213662,0.53454727,0.20756252,0.30700895,0.5618678,0.4855951,0.4304023,0.57512635,0.48618066,0.41238502,0.6297035,0.52658325,0.17908955,0.651756,0.5254337,0.16767235,0.24890302
Crow,0.5657858,0.628409,0.78087974,0.54983974,0.64882034,0.753025,0.54757047,0.62994784,0.6616002,0.4901787,0.6452534,0.623709,0.49143744,0.5986457,0.67110896,0.45057434,0.6181272,0.5970203,0.464479,0.49596077,0.66105145,0.60341364,0.5744404,0.8298042,0.5912045,0.35903952,0.8961131,0.7454043,0.56815463,0.8888828,0.7490958,0.36253247,0.70902646,0.21143182,0.45882925,0.5904899,0.23404424,0.3471666,0.86820054,0.45402098,0.4966485,0.37832445,0.4818532,0.4117774,0.664283,0.45125073,0.29259157,0.44894987,0.45959318,0.26023993,0.7495125
Crow,0.6059398,0.69287515,0.81057763,0.585673,0.71439284,0.8495731,0.5849965,0.7159572,0.8863421,0.52878475,0.6974457,0.82256925,0.5249122,0.69568413,0.9175223,0.5046758,0.608563,0.7592336,0.50398153,0.6055781,0.82828057,0.61168027,0.4870648,0.71305245,0.6127848,0.47330317,0.9255088,0.75252587,0.48390785,0.78658354,0.76607877,0.47526908,0.72021914,0.25772777,0.416554,0.77027434,0.25581166,0.41848388,0.868725,0.49844092,0.498379,0.45642787,0.49726334,0.51939803,0.6360435,0.408314,0.28520995,0.7636129,0.4116677,0.27350658,0.73305094
Crow,0.56369245,0.30762377,0.61647534,0.5466414,0.30041945,0.6388528,0.5449835,0.29529214,0.58026123,0.49304026,0.33004597,0.8780097,0.49783894,0.32049844,0.79421324,0.49059883,0.4184942,0.7786242,0.5038682,0.3911893,0.72252756,0.6464097,0.53475076,0.47988337,0.65654576,0.4652392,0.60382986,0.78452677,0.58025515,0.816484,0.7840154,0.49960056,0.7028474,0.36502683,0.65282804,0.83676744,0.3591879,0.6324215,0.79086745,0.51435196,0.4877141,0.66432756,0.53199154,0.48345962,0.44465083,0.57616574,0.67409354,0.6879717,0.572277,0.6563272,0.48952743
Crow,0.57459646,0.3582802,0.46656835,0.564511,0.35243082,0.41677383,0.5730768,0.3471802,0.56339085,0.5332544,0.36844045,0.48244783,0.5522638,0.3573054,0.4186394,0.514265,0.41369465,0.5264869,0.52048564,0.39462268,0.3479032,0.5653724,0.5008446,0.3753695,0.557969,0.49060935,0.3124442,0.64738315,0.48782915,0.5095468,0.6434092,0.47194213,0.3094888,0.39072573,0.5232395,0.42663398,0.39276502,0.50287753,0.32748386,0.5390919,0.5147778,0.3413949,0.53971815,0.49763682,0.29961443,0.47085518,0.5998603,0.47220743,0.46632397,0.59710217,0.27893022
