Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Dolphin,0.58541876,0.47617167,0.46913347,0.5909997,0.48967284,0.5058578,0.59303075,0.47808495,0.65977836,0.5678364,0.5078214,0.52577007,0.57104015,0.4766087,0.57979274,0.5103632,0.5432215,0.82366914,0.5160255,0.45663697,0.5472283,0.598702,0.57530075,0.76845485,0.63570815,0.47734174,0.68897146,0.62632656,0.6060334,0.62589306,0.64350307,0.5787085,0.55460894,0.2728674,0.44446966,0.6810056,0.27033,0.38512504,0.7095246,0.4389175,0.3747601,0.54288185,0.44808975,0.3435938,0.71946955,0.54604244,0.32828325,0.35045692,0.5628594,0.30191058,0.60335946
Dolphin,0.66946876,0.65741545,0.6976442,0.6799294,0.6846744,0.8365338,0.67860603,0.68394583,0.8592495,0.6450447,0.730587,0.85300046,0.6435487,0.7271647,0.69167364,0.5679756,0.71000785,0.8526632,0.5755449,0.7224343,0.5763482,0.6658564,0.7802135,0.52206266,0.73627,0.8046383,0.8572799,0.6813699,0.9012017,0.6953512,0.7109636,0.9244894,0.7649802,0.30213493,0.47220102,0.816463,0.30290318,0.46730423,0.8246942,0.48072702,0.25189966,0.86699826,0.48221856,0.24304192,0.8015902,0.6362144,0.074460626,0.74084365,0.65321875,0.06171708,0.8023444
Dolphin,0.6336302,0.33425912,0.54355395,0.6502228,0.3081774,0.71096253,0.6484361,0.30645236,0.63942975,0.6216749,0.25341436,0.7458994,0.62455463,0.25347978,0.7299857,0.52513456,0.26317886,0.8090334,0.52460366,0.26664847,0.81305456,0.7311361,0.2360299,0.8569441,0.70981604,0.23657788,0.852436,0.7319456,0.09470365,0.792309,0.71467996,0.11144938,0.8540603,0.2680607,0.49075648,0.71951777,0.27433425,0.4886345,0.8750775,0.48485205,0.69340515,0.7298521,0.4828803,0.68272513,0.8846396,0.69327664,0.9139037,0.8707784,0.6499391,0.86057377,0.83932155
Dolphin,0.6756656,0.6089184,0.5348479,0.6831234,0.622881,0.3431495,0.682153,0.62223107,0.43737572,0.6672815,0.65142775,0.5791865,0.6648152,0.6525252,0.56456697,0.6135557,0.66523576,0.84838504,0.61377573,0.6579393,0.719406,0.71256286,0.686989,0.76295364,0.73377115,0.67962235,0.8360783,0.7215214,0.78510743,0.671982,0.7401299,0.7934665,0.52173454,0.4043643,0.499965,0.88064826,0.40265673,0.49744448,0.842206,0.5580168,0.38306996,0.8163783,0.55639935,0.3800864,0.8235718,0.6872258,0.2730167,0.7609629,0.6935233,0.25717247,0.6664022
Dolphin,0.6317743,0.38305324,0.31693125,0.6356895,0.3732304,0.340536,0.63282007,0.3692797,0.42938656,0.63367003,0.36546636,0.23002505,0.62547654,0.35212716,0.34247327,0.5776662,0.33993113,0.5258236,0.5434054,0.36572748,0.31130844,0.63713735,0.36146554,0.30340964,0.5648726,0.36846027,0.45748943,0.65810776,0.35209742,0.5905574,0.63812083,0.36150703,0.31665283,0.48911095,0.48718402,0.6352686,0.47416788,0.49080953,0.6801713,0.5853129,0.589046,0.71637547,0.5666434,0.6010944,0.5922169,0.64432704,0.69304657,0.58572006,0.6107497,0.6856372,0.5616661
Dolphin,0.72501916,0.60343087,0.6509039,0.7237896,0.62932116,0.7913632,0.7227996,0.62971556,0.81689286,0.6770238,0.6517092,0.6976034,0.6736183,0.65395457,0.71675664,0.6228185,0.6066486,0.79063874,0.62874115,0.60779554,0.70880425,0.7446372,0.70522374,0.7334168,0.7625335,0.7110687,0.9008098,0.7562571,0.85460776,0.59545326,0.76953655,0.8736045,0.7686767,0.30450112,0.45372614,0.8755656,0.30992985,0.45100784,0.8195862,0.5273759,0.25740215,0.9452037,0.524295,0.25163063,0.88914347,0.71159244,0.08794065,0.8288452,0.7225697,0.0703774,0.8805255
Dolphin,0.666517,0.38483426,0.75844276,0.66846377,0.3608252,0.5978002,0.6643551,0.36092377,0.60924757,0.62717694,0.3276953,0.7275453,0.6260956,0.32667762,0.65961677,0.54995924,0.3666619,0.7850598,0.54593724,0.3696085,0.78501284,0.71554506,0.27801222,0.77714366,0.6980001,0.28908566,0.7186003,0.7250548,0.13180296,0.45369336,0.70814896,0.15731217,0.7531921,0.2761162,0.52556,0.9187548,0.28051353,0.5204189,0.88997644,0.47247273,0.72624224,0.76705354,0.48941174,0.70929724,0.72379655,0.6632017,0.8917493,0.80914694,0.6700856,0.8473475,0.67043746
Dolphin,0.62610203,0.3909081,0.6019218,0.6357693,0.37199765,0.6216888,0.63430804,0.37187594,0.557562,0.6005233,0.34250462,0.7511637,0.599815,0.34298167,0.6382214,0.546739,0.3733741,0.8800211,0.53917307,0.3663313,0.7203452,0.6757331,0.3145283,0.8643279,0.6318286,0.3138306,0.6387299,0.68782777,0.16780293,0.6904971,0.6494977,0.19435808,0.5510376,0.32130957,0.5462965,0.69395316,0.31525517,0.5414679,0.82458305,0.47831053,0.7030661,0.8609216,0.481702,0.6945052,0.84274834,0.6437013,0.8395484,0.86339104,0.6204264,0.78830093,0.8372709
Dolphin,0.71196866,0.25356692,0.62884057,0.7091943,0.23302151,0.68225557,0.7075495,0.24172162,0.6331623,0.6406966,0.23128034,0.7474614,0.6396075,0.2355577,0.73107773,0.601078,0.2907441,0.8083656,0.5666627,0.29698417,0.80440193,0.7777456,0.18623608,0.9187717,0.7002475,0.22431627,0.45424548,0.7365997,0.07440953,0.7781139,0.7063609,0.09938041,0.8096847,0.26269886,0.54392534,0.87912154,0.26045603,0.5318073,0.8662066,0.48344192,0.7290294,0.92946035,0.485136,0.7202352,0.8734705,0.6540881,0.94682956,0.7531015,0.6444558,0.91010344,0.8893881
Dolphin,0.60676783,0.5416902,0.33346677,0.61180997,0.56256187,0.5750466,0.6241666,0.54151154,0.5918963,0.5738496,0.5805344,0.4173949,0.5969832,0.5288129,0.47536865,0.4891939,0.58871305,0.75535697,0.53656715,0.47172263,0.68469745,0.590237,0.6108949,0.57562137,0.6774433,0.48852992,0.8105658,0.638674,0.6958515,0.60491925,0.7335206,0.59945047,0.88007146,0.20318753,0.42548344,0.7616287,0.23467702,0.32973272,0.81737137,0.38278654,0.35877147,0.60759646,0.39888674,0.2746423,0.91975224,0.47042793,0.33647975,0.47560757,0.49289748,0.23188822,0.8834152
Dolphin,0.67344844,0.41968027,0.45009845,0.6718441,0.4029737,0.44075555,0.67085415,0.4056828,0.49088264,0.62487423,0.39931458,0.7513765,0.6258023,0.3936719,0.7376448,0.5857916,0.46510726,0.83833414,0.56852174,0.43395156,0.74382365,0.6952275,0.35394996,0.83768415,0.6522341,0.34729993,0.62076074,0.6920662,0.21308738,0.3613835,0.668583,0.22798637,0.5409289,0.32495612,0.6313199,0.757763,0.31932592,0.6165093,0.72073275,0.50745004,0.77069557,0.80459595,0.5077494,0.76251805,0.79763496,0.6581922,0.8941348,0.7646644,0.64427626,0.8746843,0.7789096
Dolphin,0.68669236,0.6070449,0.5742112,0.6930274,0.6316781,0.7647392,0.6948881,0.6317069,0.7756777,0.65179145,0.6642917,0.7191989,0.653692,0.6647017,0.6434314,0.57920504,0.6399487,0.5548649,0.5763595,0.6359007,0.57820874,0.69735974,0.70772624,0.7430352,0.72787386,0.71403766,0.82757425,0.6990299,0.8431598,0.6557933,0.72833896,0.8606676,0.79903567,0.28892213,0.4395942,0.83166665,0.28523436,0.43237188,0.7904326,0.4978771,0.24635243,0.8627722,0.49603802,0.24057844,0.89987713,0.6746001,0.08784203,0.70660406,0.67984533,0.08002295,0.81016105
Dolphin,0.69988775,0.57599694,0.63254833,0.70924336,0.6012009,0.83206946,0.7096349,0.5998496,0.8426758,0.6721887,0.6403718,0.68494666,0.67236763,0.6418881,0.74200547,0.57912666,0.6387158,0.7423669,0.5784079,0.6178673,0.68946534,0.71741754,0.6960472,0.5614508,0.75868106,0.68944967,0.7649552,0.7243233,0.84636664,0.62575215,0.7555274,0.85680777,0.6991219,0.2743682,0.4306292,0.66173416,0.26876646,0.4077297,0.7657389,0.51185673,0.2615566,0.9033559,0.51195157,0.24674036,0.803977,0.69010556,0.09311063,0.683724,0.71070397,0.055241838,0.8410077
Dolphin,0.59891856,0.39647928,0.6933834,0.5920098,0.38603866,0.6549241,0.5957527,0.37202087,0.59660226,0.5413061,0.37527472,0.633794,0.5510404,0.35197458,0.8102126,0.5284036,0.43812948,0.8934088,0.5046482,0.35713506,0.53658795,0.7050735,0.4333655,0.79407096,0.6394817,0.3354544,0.57132614,0.70309645,0.25560567,0.70085675,0.67374796,0.2595346,0.8338611,0.23830643,0.63693434,0.84078676,0.236254,0.5483933,0.75350565,0.4253602,0.7475257,0.73127526,0.42824313,0.64894015,0.875371,0.60405785,0.88709885,0.83508605,0.5551211,0.732208,0.81788445
Dolphin,0.6786536,0.3835844,0.6025274,0.68575716,0.3706468,0.6350185,0.6818209,0.36788818,0.57066673,0.6483933,0.3532907,0.6541664,0.6501304,0.34829682,0.6991542,0.5886445,0.3983734,0.85329294,0.56531966,0.35581854,0.8163496,0.724856,0.37463295,0.8631073,0.67098397,0.32071605,0.58482504,0.7348265,0.23132543,0.37018532,0.6984095,0.22841457,0.7776055,0.37900177,0.5639363,0.7089963,0.37050617,0.5504029,0.8205251,0.5494079,0.71652126,0.82572216,0.53326935,0.70456326,0.78315103,0.6401867,0.8869345,0.8271541,0.6100103,0.81359553,0.81407386
Dolphin,0.668241,0.5212225,0.7693143,0.6836652,0.54518,0.6575499,0.68170005,0.5437579,0.6514749,0.65325123,0.5900734,0.63545674,0.64917165,0.58587027,0.6660149,0.558854,0.57912624,0.68300104,0.55833066,0.57493323,0.55049217,0.7079633,0.65535223,0.5573951,0.7478035,0.65552783,0.86603045,0.70844144,0.7933501,0.70605093,0.7456061,0.81224227,0.7470589,0.2837821,0.3973323,0.8046658,0.28285766,0.38953435,0.80816853,0.498624,0.2263348,0.87878305,0.4939122,0.21215263,0.88212645,0.6712067,0.08619985,0.74615365,0.6835588,0.058337785,0.79570144
Dolphin,0.7071639,0.43681782,0.5974827,0.71580946,0.41926917,0.6072886,0.714142,0.42229807,0.6341644,0.6936452,0.3856714,0.7040484,0.6924246,0.38621214,0.64990306,0.64096034,0.3818844,0.7723365,0.6463434,0.39930618,0.49683803,0.7588573,0.33954346,0.8753864,0.7289637,0.35552013,0.64849746,0.76662856,0.23059313,0.79220635,0.73810476,0.24678096,0.7453559,0.43363404,0.48430538,0.8734856,0.43182048,0.48931533,0.8083408,0.5844219,0.5965703,0.85088915,0.58157015,0.6031121,0.7532825,0.72184646,0.71564806,0.75685716,0.700107,0.70565754,0.7926683
Dolphin,0.6685673,0.33288416,0.70589787,0.65514094,0.3108767,0.6576924,0.66416156,0.3147186,0.7816247,0.5956103,0.29497382,0.7255969,0.6262049,0.30137146,0.53438914,0.54892397,0.3307714,0.8151398,0.56812,0.38208646,0.7527278,0.69166726,0.21478374,0.8534959,0.66844374,0.33036858,0.37109277,0.6973382,0.09851384,0.9058714,0.6860272,0.11910753,0.32035694,0.26967672,0.51511186,0.80644315,0.273242,0.5203934,0.7606759,0.5026366,0.7288693,0.7984024,0.4949617,0.7298606,0.7554309,0.7181213,0.92876434,0.8038589,0.6576702,0.8986213,0.8049464
Dolphin,0.5466022,0.57762164,0.43452296,0.54763746,0.56447643,0.5162187,0.5442976,0.5647146,0.4872609,0.5203452,0.55641407,0.5321987,0.517254,0.55768406,0.62367076,0.49475807,0.59260297,0.65767807,0.4794029,0.5879613,0.46021226,0.58779037,0.58027196,0.68000793,0.55145276,0.5673639,0.5461109,0.58127207,0.4770061,0.7803903,0.55602664,0.48014888,0.5054791,0.28598195,0.7003054,0.8373004,0.2793529,0.6986968,0.75771016,0.42577928,0.8057583,0.7583417,0.42471048,0.8046279,0.82870084,0.53389406,0.90704155,0.468709,0.5229029,0.8907803,0.7968578
