Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Dolphin_Plank,0.49292263,0.9027912,0.6648544,0.47952968,0.9222522,0.70326316,0.4775382,0.9229849,0.7088396,0.43012634,0.90972793,0.8390807,0.4319169,0.908514,0.7889079,0.38910177,0.81158555,0.71235955,0.41548163,0.8189798,0.6603758,0.44379827,0.65969926,0.57583123,0.46751124,0.64995044,0.8010334,0.55065054,0.7107906,0.55732316,0.5960322,0.7100844,0.81180054,0.4069291,0.5273271,0.8664723,0.43123668,0.5277227,0.8342226,0.46919736,0.26993817,0.6578176,0.48581898,0.2687451,0.72398096,0.5220976,0.04491974,0.7178369,0.5274172,0.036452964,0.79552674
Dolphin_Plank,0.42839783,0.17692155,0.8121682,0.40858606,0.16709447,0.7465302,0.40770143,0.16928276,0.7884898,0.36985016,0.1983594,0.88691807,0.37104955,0.19730511,0.8575207,0.38988963,0.2828658,0.56731015,0.37786135,0.30055258,0.8711905,0.5493087,0.29482386,0.8746831,0.5310156,0.3092352,0.7281914,0.68350124,0.27323148,0.9306891,0.6268863,0.28939918,0.6745018,0.45770764,0.5130939,0.8944466,0.45103467,0.5152666,0.82913464,0.5331454,0.69531435,0.8920961,0.5245565,0.6939665,0.8345746,0.57732767,0.8837077,0.8000507,0.5771371,0.8766708,0.77233756
Dolphin_Plank,0.486209,0.2829255,0.55581087,0.4725923,0.28127337,0.38685325,0.47730133,0.27833137,0.58200645,0.44935223,0.3034163,0.6320748,0.45747602,0.29213038,0.4350928,0.4724088,0.36695987,0.67224866,0.45733523,0.35534832,0.61665255,0.57991016,0.3760469,0.6931669,0.54428923,0.36794165,0.3025083,0.5848518,0.28998303,0.56630176,0.561307,0.2860254,0.595935,0.48831618,0.5451461,0.62413627,0.4800873,0.54026693,0.58726263,0.5125703,0.68520874,0.6156673,0.5076692,0.6774722,0.5162905,0.5400616,0.82707864,0.58214927,0.53279763,0.81161857,0.642256
Dolphin_Plank,0.4778386,0.8446258,0.67256504,0.45570245,0.84137666,0.7051647,0.45769393,0.84049195,0.76718235,0.44999692,0.7938989,0.77903277,0.45308188,0.78899807,0.80571115,0.49588746,0.7375055,0.60973436,0.49353668,0.695602,0.7765712,0.62168205,0.75346273,0.75518453,0.64397764,0.7210907,0.7857696,0.6341568,0.84967816,0.75023746,0.63868695,0.8554267,0.62596816,0.48173702,0.48039842,0.68302166,0.49029446,0.4754719,0.74619776,0.52087677,0.2761504,0.78362477,0.5283398,0.2695911,0.60456353,0.56684965,0.10247511,0.83213174,0.57419217,0.0766776,0.7193058
Dolphin_Plank,0.43624035,0.12887025,0.62093383,0.41970733,0.11075475,0.7068056,0.4175137,0.11465338,0.6920171,0.37732288,0.12528029,0.7425703,0.3739953,0.12888701,0.67259103,0.40399593,0.20567657,0.7972223,0.39011696,0.24676332,0.80422723,0.5617087,0.20209306,0.8760436,0.5422488,0.26164103,0.79202515,0.7022681,0.20822933,0.8481956,0.66407245,0.26439145,0.7583893,0.4456142,0.44856247,0.81446266,0.43443212,0.4583576,0.8523257,0.5404295,0.65643704,0.79083467,0.5276002,0.6608631,0.8142498,0.6358808,0.86775213,0.80654305,0.6198823,0.85412365,0.8386271
Dolphin_Plank,0.57688046,0.79495746,0.6334915,0.56019723,0.79921603,0.64365745,0.5614207,0.79812855,0.46187913,0.5384343,0.7686689,0.6296614,0.5436338,0.76911616,0.6608783,0.5487381,0.68660194,0.71175975,0.55917144,0.6927079,0.6276373,0.67427385,0.6534738,0.5885469,0.6964009,0.6571314,0.7747544,0.66623884,0.7432397,0.2608906,0.6967669,0.758736,0.48217344,0.5559672,0.49625242,0.71191376,0.56647855,0.49439386,0.75012076,0.6168885,0.31614718,0.5464689,0.6227352,0.31341064,0.57593006,0.6454444,0.17269678,0.6809894,0.64967936,0.14908516,0.6201391
Dolphin_Plank,0.43737772,0.077202916,0.5521755,0.4098096,0.08234846,0.52218455,0.4088525,0.07956426,0.50173354,0.39451268,0.13254696,0.7619215,0.39448878,0.13221283,0.5951154,0.4546589,0.18211262,0.6937318,0.45078382,0.21220213,0.8206841,0.6330366,0.18436247,0.54945755,0.6231284,0.21595314,0.53081363,0.6463084,0.05449246,0.5511111,0.61504596,0.07166056,0.3450219,0.51729345,0.47981918,0.6821659,0.511842,0.483974,0.45104384,0.5602547,0.6974966,0.6998213,0.5378463,0.6947378,0.7450039,0.57590127,0.9227796,0.7734487,0.56018066,0.91353613,0.6437279
Dolphin_Plank,0.5195318,0.12132777,0.60458326,0.5032473,0.10849495,0.5881524,0.50293565,0.108217314,0.5317309,0.46520978,0.12611994,0.68005365,0.46630892,0.12864661,0.5282755,0.4673216,0.19917047,0.757961,0.46865436,0.23949894,0.71951425,0.6439436,0.21228723,0.57399327,0.6353925,0.26159218,0.80196786,0.64679354,0.087872334,0.50834125,0.6351462,0.11478634,0.39868703,0.5006911,0.45819488,0.65703976,0.49015123,0.45848978,0.61279,0.57046777,0.689196,0.8834512,0.56111807,0.6837395,0.75714695,0.5804278,0.90816975,0.7553615,0.57481647,0.87334037,0.7457658
Dolphin_Plank,0.4816195,0.10582663,0.5584601,0.46260902,0.08741179,0.81259215,0.46049103,0.08950063,0.8033968,0.4246296,0.11163082,0.8237532,0.41954297,0.113591954,0.7135249,0.46154746,0.2056808,0.80312973,0.4119741,0.24205974,0.80007124,0.6488677,0.20065978,0.90643567,0.57198715,0.25546533,0.41480052,0.6519495,0.056240346,0.7581487,0.5704056,0.15496744,0.41587815,0.47341937,0.50966066,0.6731537,0.44540533,0.5100356,0.6504634,0.51703715,0.73543143,0.63394326,0.4797224,0.7273005,0.8105349,0.5616898,0.9482066,0.76063454,0.51471287,0.92159694,0.8246886
Dolphin_Plank,0.6340861,0.2559333,0.64318997,0.61429495,0.24810706,0.51137894,0.6156498,0.24714734,0.44097418,0.58543736,0.2759543,0.86520815,0.58944607,0.2699865,0.71089697,0.6085812,0.3442184,0.7661491,0.60384804,0.3589572,0.7134288,0.7546651,0.36568844,0.5880368,0.7365181,0.37331498,0.5935583,0.7661143,0.26685667,0.72411925,0.74878985,0.27188784,0.3866407,0.63937026,0.554131,0.5060543,0.6346741,0.5540856,0.43436375,0.67146176,0.68182975,0.68630004,0.66923815,0.678175,0.6182988,0.6896886,0.84542304,0.5477748,0.69133425,0.8398858,0.63117397
