Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Downward-Facing_Dog,0.66887414,0.36270282,0.73680127,0.6711624,0.34148163,0.46277195,0.6696422,0.3409692,0.49316466,0.634926,0.32099754,0.82294583,0.63560605,0.31971037,0.80772,0.5784393,0.36395445,0.88425523,0.5742009,0.36557102,0.75668085,0.7197116,0.30082104,0.5969401,0.710664,0.30897516,0.6868646,0.80004406,0.20591901,0.6063608,0.7884457,0.2143157,0.8377528,0.43629226,0.5798273,0.6550099,0.44028053,0.5754285,0.73100835,0.5897351,0.6954788,0.87066454,0.5933108,0.7022607,0.7177381,0.75291234,0.82527655,0.9125559,0.7420083,0.8181923,0.7732586
Downward-Facing_Dog,0.8063611,0.46182427,0.43315127,0.80281657,0.46899447,0.60994023,0.804117,0.4709807,0.5991403,0.77143574,0.47379914,0.53266656,0.77067095,0.47340247,0.57575744,0.71544874,0.43714026,0.61292475,0.718782,0.4510041,0.44988322,0.82651013,0.46455288,0.57158124,0.8423735,0.4927869,0.36452806,0.8968845,0.5018676,0.5278191,0.908213,0.50914824,0.70667464,0.57859623,0.22403547,0.72251344,0.5830724,0.22596315,0.64542776,0.74664277,0.11369017,0.67589414,0.74888736,0.112703145,0.7471554,0.8557777,0.007958598,0.18022516,0.85737693,0.00025179796,0.20643091
Downward-Facing_Dog,0.5715964,0.50307393,0.5514032,0.5805288,0.48433495,0.58665955,0.5784963,0.48440614,0.7100073,0.5649211,0.4500815,0.6215424,0.56306815,0.44984987,0.55227745,0.51304567,0.4570753,0.6588959,0.5045408,0.43978372,0.5813596,0.5937735,0.37654978,0.61149,0.561574,0.36878106,0.71703285,0.6264886,0.2813591,0.72654235,0.6053178,0.28018898,0.7601202,0.3524222,0.5912544,0.8038383,0.35386074,0.5797771,0.6244197,0.4828532,0.68998224,0.7852199,0.4813755,0.68174165,0.62433314,0.59391046,0.7719546,0.7266897,0.5881725,0.7370088,0.87017137
Downward-Facing_Dog,0.6300027,0.55601275,0.60624564,0.63790774,0.58254755,0.71805584,0.6381198,0.5807239,0.57437867,0.5955621,0.6202422,0.75262785,0.59972316,0.61808175,0.79303706,0.5117036,0.61707455,0.8517172,0.5276098,0.5895391,0.64866716,0.625153,0.6958608,0.71831334,0.68591785,0.7032007,0.86869717,0.70865256,0.80680937,0.86627084,0.76893294,0.8271095,0.80775714,0.26808125,0.3372513,0.7368315,0.2686593,0.31635517,0.896777,0.50597423,0.20827724,0.7066844,0.51092726,0.19818233,0.8957663,0.69887495,0.1403886,0.8666458,0.74365664,0.115288906,0.71896106
Downward-Facing_Dog,0.6093321,0.60614645,0.5896547,0.61100173,0.6314375,0.76945186,0.6113304,0.62757736,0.7452778,0.5726986,0.6463442,0.82396424,0.57177526,0.639398,0.7007249,0.51942843,0.6190722,0.7516532,0.5272203,0.5821331,0.830578,0.6260461,0.70695704,0.5967305,0.65297586,0.6830104,0.7614713,0.7077423,0.79773384,0.80155724,0.7442952,0.78687936,0.74245507,0.26540112,0.41466933,0.64838713,0.2602783,0.4021771,0.7859878,0.48377275,0.30106366,0.87724274,0.47929585,0.29528177,0.8469924,0.6615888,0.21948054,0.77284414,0.6721638,0.17598094,0.9002877
Downward-Facing_Dog,0.6106345,0.5014925,0.40747043,0.6265364,0.4876037,0.57419693,0.62597775,0.48807022,0.47098666,0.61429244,0.4451136,0.5406622,0.61392057,0.44646212,0.72369164,0.54336417,0.45449597,0.72264576,0.533816,0.4180085,0.80109334,0.6679911,0.39107603,0.7432417,0.6159037,0.36982214,0.8256078,0.7032092,0.28074315,0.2266132,0.6685196,0.27091348,0.8298727,0.33082885,0.6337165,0.7446796,0.330684,0.6085489,0.7355689,0.49188027,0.7268445,0.6277988,0.49442562,0.69878066,0.7658265,0.6291932,0.7953179,0.7416304,0.61272234,0.7490366,0.6882422
Downward-Facing_Dog,0.50872463,0.3589512,0.32029274,0.5181708,0.34913492,0.5140813,0.51690036,0.34835455,0.622723,0.50412935,0.31663576,0.6168365,0.49725837,0.31954306,0.42142835,0.45523524,0.3221701,0.6398141,0.43420646,0.34031016,0.6907301,0.5277046,0.27621692,0.49762675,0.48866236,0.30601767,0.67756164,0.5917836,0.22464807,0.760587,0.53464276,0.2506253,0.4494126,0.29382202,0.4930297,0.8103746,0.2877385,0.48880142,0.72557884,0.43903795,0.60449386,0.656307,0.42989525,0.60463023,0.7624006,0.56356287,0.6947552,0.6657624,0.53610396,0.6725779,0.8719203
Downward-Facing_Dog,0.58124036,0.41727543,0.65842354,0.58282757,0.40312466,0.67298514,0.580902,0.40253183,0.7897022,0.55999136,0.3668586,0.56677496,0.5616893,0.37333652,0.65100396,0.50855225,0.362103,0.777617,0.5061152,0.37271422,0.65957594,0.6190945,0.32295477,0.6148488,0.6084222,0.32332504,0.8658681,0.7025338,0.2614731,0.7082613,0.68836796,0.26995456,0.53203815,0.3518515,0.56980693,0.8509914,0.34868714,0.5690218,0.81506956,0.558181,0.59562826,0.88413507,0.55437547,0.5992652,0.7087283,0.68071276,0.7508082,0.81318605,0.66340977,0.7387854,0.7897441
Downward-Facing_Dog,0.6145253,0.39965835,0.7576241,0.6152639,0.38438693,0.79593545,0.6140812,0.38079175,0.8048397,0.57913256,0.35379797,0.7165482,0.58000106,0.3534621,0.5934832,0.52949667,0.37957036,0.6429093,0.51655114,0.38222682,0.63978755,0.63003343,0.2794037,0.73453826,0.5971446,0.30044755,0.7380609,0.7002423,0.16108814,0.85807985,0.6617454,0.1904779,0.5781871,0.32279518,0.57447183,0.8940486,0.3204476,0.5738566,0.7965438,0.5006509,0.728563,0.7677518,0.49609306,0.7249549,0.8727965,0.6871308,0.8664516,0.7933409,0.638242,0.8339593,0.7464019
Downward-Facing_Dog,0.6142264,0.63799554,0.7084145,0.61303174,0.6649373,0.7998869,0.6133179,0.6632344,0.8333839,0.57068276,0.67989725,0.84896183,0.56981295,0.6792535,0.8430002,0.5197585,0.62763876,0.7344571,0.522593,0.6249037,0.68533593,0.62811613,0.72861075,0.86051625,0.6361233,0.7378579,0.71272945,0.7009872,0.83044845,0.6852353,0.7230206,0.8454569,0.774093,0.2979599,0.39655265,0.79937893,0.30512697,0.39369804,0.82093525,0.5008697,0.2705934,0.8011454,0.5013639,0.2687782,0.8356736,0.689621,0.1679535,0.7555594,0.692796,0.15907511,0.8005863
Downward-Facing_Dog,0.59820276,0.53742594,0.73467046,0.6017415,0.5168611,0.7237435,0.59969014,0.51828915,0.74467474,0.56239575,0.48277387,0.66112405,0.5637437,0.4855783,0.67613065,0.4845358,0.51960593,0.7655594,0.48089114,0.5123082,0.70686954,0.62020713,0.41540146,0.83711517,0.5974522,0.41635972,0.7173845,0.6808182,0.26804784,0.71413153,0.6455898,0.29828504,0.75146717,0.26248765,0.7007895,0.9069519,0.27200723,0.6925952,0.8150951,0.44851345,0.8525565,0.8815498,0.46555382,0.8352931,0.8279794,0.6306101,0.97907656,0.7220613,0.6207864,0.9233861,0.7632518
Downward-Facing_Dog,0.66905034,0.4351146,0.64023894,0.6715802,0.42033824,0.5791362,0.6709102,0.41474357,0.46875593,0.65312386,0.40665698,0.5245859,0.6534945,0.40606883,0.64164215,0.6320248,0.42389318,0.814184,0.6156487,0.41292223,0.47833508,0.7070122,0.36812654,0.69597286,0.6777844,0.36677146,0.5941751,0.75777954,0.31374043,0.41519365,0.7244366,0.30760235,0.266728,0.49218813,0.56151026,0.78058946,0.48519018,0.55798495,0.6213388,0.617735,0.6371599,0.73293424,0.6102868,0.6339024,0.60470015,0.724074,0.7140274,0.6842563,0.71155167,0.7057874,0.7073634
Downward-Facing_Dog,0.70206374,0.48939946,0.6354326,0.71458673,0.50536686,0.69625574,0.7145607,0.50719064,0.68858397,0.69138366,0.54146665,0.6135919,0.69247085,0.54423434,0.7261497,0.6314833,0.5724694,0.78057456,0.6444691,0.57140195,0.66627604,0.7065235,0.6520158,0.758486,0.7232727,0.65056187,0.77889365,0.7617852,0.7321021,0.76576656,0.7926112,0.75146776,0.75148195,0.41200387,0.4045523,0.6304231,0.4265519,0.3921146,0.6688933,0.6110627,0.30898058,0.8738953,0.60842896,0.30306908,0.87713957,0.75377303,0.22458611,0.65663415,0.7681264,0.20634131,0.8726409
