Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Eagle,0.61025536,0.40461186,0.44399416,0.6023778,0.41126326,0.62161624,0.60390145,0.3952358,0.500872,0.6009445,0.42648846,0.60714054,0.6047562,0.3903285,0.3910108,0.63997155,0.44396484,0.5193767,0.63811636,0.39455974,0.45634648,0.6999487,0.44219616,0.308663,0.6800007,0.39391887,0.3008612,0.7046592,0.41350037,0.1723376,0.6923465,0.3921054,0.14198734,0.74523646,0.45472032,0.53140706,0.746035,0.41914394,0.49205208,0.81421834,0.40620133,0.49950093,0.8158145,0.39462155,0.3312913,0.9348659,0.4146112,0.29640582,0.9317507,0.41583723,0.4675561
Eagle,0.2982481,0.28192514,0.43268433,0.28853908,0.29485872,0.5294797,0.28502885,0.271066,0.39256662,0.30479673,0.30236366,0.63206595,0.2965769,0.24579237,0.60026973,0.36565912,0.32585514,0.6681388,0.3470753,0.21736829,0.49377584,0.32446483,0.2910494,0.2566702,0.2751866,0.2724292,0.16003957,0.23237629,0.2815867,0.49872556,0.229155,0.2747941,0.31509227,0.5467147,0.3005242,0.61009705,0.53384244,0.22699498,0.6249144,0.650411,0.25372568,0.53953755,0.61721706,0.27365687,0.29090407,0.75708264,0.24769202,0.3617204,0.75826824,0.26039097,0.45665878
Eagle,0.26897466,0.6122487,0.7378899,0.25191215,0.6235175,0.6174412,0.24740176,0.6048724,0.6666597,0.23502415,0.60708344,0.46590653,0.22184885,0.5618129,0.67141056,0.2802137,0.5870102,0.6215361,0.2856441,0.47967774,0.5729894,0.38475314,0.5646248,0.31439856,0.39864194,0.56002265,0.6404897,0.32125717,0.6519355,0.36459813,0.3236677,0.6538297,0.60445553,0.47574353,0.43471026,0.59056795,0.46727562,0.375816,0.6694125,0.60220015,0.492203,0.39934567,0.5534961,0.5454741,0.65317,0.70624727,0.41951627,0.38885874,0.7787442,0.44973275,0.30966654
Eagle,0.2504127,0.3833764,0.5171258,0.23243351,0.39632767,0.44096884,0.23361802,0.3714601,0.40880895,0.23543885,0.4128216,0.636063,0.24108505,0.3497197,0.6729497,0.28056857,0.43776658,0.59550375,0.29679355,0.33536553,0.6489718,0.36983204,0.41544512,0.5349928,0.36732396,0.4102239,0.2788506,0.24273144,0.431104,0.38286817,0.23613438,0.42833528,0.4246018,0.52009195,0.4383518,0.8060277,0.5239264,0.3665581,0.7919368,0.66724503,0.4099137,0.78969216,0.6493736,0.4088505,0.503942,0.77260894,0.39157224,0.58746403,0.68122685,0.40289733,0.37493247
Eagle,0.38033602,0.6663405,0.74656194,0.36314896,0.6736203,0.4215217,0.36293218,0.6694743,0.5089482,0.33390883,0.6345704,0.39611283,0.33618748,0.6240579,0.5925094,0.36180615,0.5464879,0.6655104,0.3821291,0.54731196,0.6146356,0.48595384,0.60208786,0.32649076,0.5320937,0.58245945,0.68081063,0.43670624,0.7100439,0.41145054,0.45065138,0.7171938,0.31980366,0.4368951,0.25147295,0.581915,0.45739084,0.23909064,0.7709758,0.5248862,0.45657814,0.5515586,0.53685033,0.45715502,0.6684179,0.7034307,0.33533004,0.64638597,0.71224886,0.3305864,0.38494873
Eagle,0.18590488,0.3504132,0.59915686,0.158301,0.3735731,0.6009387,0.15964876,0.32651782,0.5774178,0.14719951,0.3994181,0.84528434,0.1465132,0.29364145,0.72002184,0.21406639,0.4390112,0.70749843,0.20449756,0.2544701,0.61352634,0.31662688,0.37640917,0.25705525,0.3875668,0.29335183,0.35381383,0.322578,0.35364464,0.28896964,0.3329173,0.3495321,0.4108549,0.39351717,0.39411795,0.40057185,0.36661255,0.2552979,0.39997452,0.3887253,0.35480744,0.26886046,0.39474565,0.3356591,0.22616297,0.61162895,0.31652144,0.28371438,0.71418643,0.3273969,0.5637875
Eagle,0.17565235,0.52753544,0.43509555,0.15603924,0.5495912,0.6875861,0.15806305,0.51435494,0.62215227,0.17279819,0.5725904,0.7350408,0.17305811,0.483394,0.6878923,0.26063758,0.61534196,0.8231331,0.24257155,0.43951735,0.747197,0.3201814,0.52262914,0.5092703,0.3009602,0.51667774,0.100439884,0.17242883,0.5322876,0.32615063,0.16782182,0.5271687,0.33838853,0.500098,0.57744706,0.76946825,0.50301003,0.47163653,0.7014254,0.6984132,0.5296891,0.43133754,0.67293775,0.5272354,0.66495895,0.831892,0.5036621,0.45604014,0.9015965,0.5259121,0.8332259
Eagle,0.26430336,0.5194648,0.16861293,0.2554569,0.50786996,0.16150728,0.2565692,0.530462,0.22683322,0.26836592,0.49995893,0.42534626,0.26516336,0.5426392,0.49662703,0.31623614,0.47134566,0.5647708,0.30850992,0.5594529,0.4982564,0.2843807,0.47366697,0.30642226,0.3190384,0.56387293,0.10531356,0.22957677,0.49653503,0.21474789,0.21586649,0.5128805,0.368029,0.4803632,0.4938805,0.51467305,0.47913012,0.5530345,0.6469165,0.6319518,0.4986495,0.41740748,0.61558867,0.53516597,0.33724725,0.7729969,0.5142778,0.62501615,0.7526318,0.527887,0.3383642
Eagle,0.31964618,0.50366986,0.608329,0.3013026,0.515101,0.5876991,0.30541068,0.49050492,0.6440431,0.30962273,0.5229562,0.53091973,0.3140907,0.46497965,0.58208066,0.36301777,0.53773314,0.6293235,0.37972867,0.44377396,0.77254117,0.40763295,0.5493765,0.2915135,0.42220575,0.53859097,0.36538708,0.28791234,0.5327323,0.63103026,0.40258,0.53186685,0.28874892,0.5405462,0.52483815,0.5339533,0.54119843,0.46240795,0.5682046,0.66942513,0.5239627,0.48546308,0.6479766,0.563901,0.46946985,0.7447955,0.48230982,0.5087572,0.7176048,0.49439517,0.27575362
Eagle,0.14001112,0.566465,0.70190966,0.1226947,0.5666575,0.5533072,0.12518013,0.54581153,0.58061105,0.13158676,0.54057276,0.6870418,0.13748716,0.49631268,0.77421373,0.2344942,0.5506855,0.72018003,0.23127966,0.46037382,0.79451007,0.30999705,0.6104188,0.5226857,0.31547028,0.5938532,0.61665565,0.18902758,0.6343416,0.48052844,0.1871812,0.62974083,0.42510748,0.49054855,0.45788288,0.6340533,0.4819493,0.41527122,0.6953347,0.6921547,0.52427995,0.6941065,0.62071735,0.60402906,0.8482989,0.92521703,0.46936268,0.76265514,0.79705465,0.46003717,0.606065
Eagle,0.36379308,0.45436835,0.49936932,0.35377452,0.46553,0.5696313,0.35307908,0.4481523,0.68459374,0.36337888,0.48579553,0.44703302,0.365259,0.44000536,0.5628381,0.3975669,0.5009876,0.5054768,0.40213874,0.43790063,0.62234706,0.36379528,0.5059584,0.48102894,0.37873062,0.48515123,0.25027582,0.2989723,0.5044368,0.35518876,0.2977367,0.4985042,0.54163337,0.5475143,0.4872135,0.6502911,0.54166436,0.45338795,0.641073,0.64981693,0.49540824,0.28915316,0.5951523,0.5232544,0.6323202,0.72745985,0.46748307,0.30312836,0.6536647,0.4762841,0.42137918
Eagle,0.38890532,0.47568375,0.32136697,0.37943533,0.48283464,0.36374182,0.37799335,0.48808682,0.19016525,0.39675024,0.5065961,0.35173294,0.397057,0.53077453,0.2733959,0.4648225,0.50946254,0.61403084,0.4451081,0.5335591,0.5284147,0.49538928,0.42624855,0.29271013,0.4875367,0.4346438,0.1374841,0.40281755,0.42314485,0.21474972,0.39772645,0.42413872,0.33064863,0.64344525,0.5565588,0.6389986,0.6348695,0.58308643,0.36981863,0.73086965,0.45959207,0.331179,0.70512414,0.47825855,0.26600355,0.8508414,0.5453831,0.3819933,0.8132594,0.5578355,0.22543988
