Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Eight-Angle,0.5423003,0.3085882,0.36500323,0.541688,0.30110022,0.4476751,0.53600496,0.31811464,0.45501462,0.55457467,0.292558,0.27692887,0.5278928,0.32714134,0.36810356,0.5787862,0.25728515,0.44630495,0.5271177,0.3506755,0.35448518,0.5828645,0.2096369,0.3799592,0.5297353,0.40881234,0.15144949,0.58590186,0.21862662,0.3041034,0.5654176,0.4245455,0.13724242,0.60073215,0.31455782,0.09649938,0.5712173,0.37093166,0.25089353,0.61792815,0.4796347,0.18555754,0.5893167,0.49643862,0.3141568,0.6003984,0.72719276,0.5819076,0.6000145,0.7310729,0.3295504
Eight-Angle,0.7394948,0.75388294,0.5074864,0.7306598,0.7812825,0.46860194,0.721518,0.75767714,0.45786306,0.67885405,0.80219513,0.39155328,0.6435353,0.73477006,0.6039227,0.58186805,0.80309224,0.722034,0.5478741,0.62848157,0.56245154,0.6684133,0.8080411,0.25494838,0.6189528,0.45206708,0.3162915,0.7642574,0.8153567,0.8036864,0.7944723,0.5112705,0.45619303,0.6469126,0.6121705,0.2994853,0.5891159,0.5392275,0.46570572,0.70389336,0.5191562,0.5293391,0.60142356,0.4479731,0.5996613,0.68710864,0.22006208,0.605378,0.67088187,0.19300063,0.49012652
Eight-Angle,0.6300217,0.36212516,0.46400017,0.61823684,0.37512234,0.45607385,0.6221938,0.35809278,0.5668642,0.5921769,0.39655554,0.38848692,0.5925183,0.3511809,0.4192494,0.56806964,0.4521241,0.34642595,0.56994236,0.29300803,0.51680654,0.58107805,0.47641894,0.37134054,0.5835768,0.24891391,0.30564103,0.65804225,0.47033337,0.5121809,0.6612074,0.25987968,0.65484697,0.47865534,0.40271473,0.1935314,0.49576446,0.2957729,0.066555195,0.5645368,0.25834203,0.24073088,0.57848334,0.22619715,0.09222244,0.6620244,0.25876272,0.18756929,0.5789959,0.08526981,0.45883444
Eight-Angle,0.4902482,0.65503275,0.53270364,0.477763,0.6710106,0.5567896,0.47657388,0.64476097,0.6317513,0.4517277,0.686717,0.3503335,0.4337292,0.6168061,0.3650307,0.4337144,0.7479425,0.6597765,0.41803986,0.55683655,0.5303095,0.4844952,0.7452219,0.27562368,0.44524524,0.446385,0.21316619,0.52883977,0.73878896,0.6510932,0.46472457,0.2991041,0.39076006,0.4491854,0.6271908,0.17897846,0.44539505,0.51970446,0.47759327,0.48087788,0.6081589,0.18736525,0.46948972,0.4444139,0.25343898,0.5211688,0.5099619,0.18761118,0.48020032,0.291113,0.52061296
Eight-Angle,0.53121704,0.5278952,0.56149596,0.50507843,0.5552681,0.82915115,0.5083669,0.5116113,0.7795942,0.48513454,0.5855843,0.74674267,0.486284,0.4934334,0.6212589,0.5092536,0.63668,0.7745331,0.49824882,0.43953183,0.51889974,0.5760689,0.703667,0.8319536,0.59183395,0.33302858,0.30118418,0.6985863,0.7187159,0.7879404,0.6960553,0.33640364,0.7936317,0.59107643,0.51792294,0.36097842,0.53175646,0.44279167,0.5042014,0.58272773,0.34160998,0.4420064,0.5810715,0.33889547,0.4095485,0.6045169,0.13324633,0.62963164,0.61969703,0.3150822,0.23783311
Eight-Angle,0.55383986,0.66313297,0.6141652,0.5530519,0.6869347,0.5242177,0.5337934,0.663734,0.5605412,0.5488026,0.7145618,0.4736095,0.5048843,0.65560144,0.36398512,0.54699665,0.7353321,0.50318885,0.48894063,0.59067637,0.5124581,0.5661513,0.7480473,0.65577966,0.5376085,0.48172364,0.57596177,0.6207872,0.7343721,0.69963175,0.6128965,0.48450252,0.37141332,0.54314476,0.57164156,0.41763306,0.5183559,0.49805295,0.52924675,0.5836618,0.60006,0.23995982,0.5556699,0.4994739,0.14903536,0.61750054,0.5017557,0.5612812,0.57404387,0.32726607,0.55253744
Eight-Angle,0.55522174,0.63814235,0.49649724,0.52636397,0.669672,0.48150334,0.5255057,0.61800367,0.5774216,0.4779948,0.71627045,0.5296805,0.47651342,0.5906222,0.5297353,0.4426318,0.78711,0.68229544,0.4568224,0.5301974,0.5358395,0.44024256,0.9198918,0.8019051,0.49540696,0.41421837,0.4847571,0.5903402,0.9199786,0.8569063,0.5804647,0.41778257,0.42174286,0.47203895,0.7152759,0.1817221,0.46612653,0.5511105,0.20225008,0.49422494,0.76979125,0.08005466,0.38280654,0.42362976,0.57980347,0.48647726,0.7123853,0.118114345,0.4726871,0.17011157,0.56844896
Eight-Angle,0.54318565,0.6638291,0.6640819,0.54878193,0.6963543,0.5705075,0.5203613,0.66577077,0.5585305,0.5391648,0.79473627,0.55026513,0.41748568,0.6857891,0.38510603,0.47409892,0.91796243,0.68708265,0.40517122,0.5955405,0.41517204,0.5065851,0.8936005,0.6093443,0.49151766,0.47132945,0.6828249,0.64393353,0.8760723,0.788044,0.63114417,0.48605093,0.753412,0.42207605,0.6668217,0.12891111,0.35315353,0.54132366,0.13312909,0.51579285,0.49640238,0.34686515,0.445484,0.44376,0.49752647,0.60301936,0.18216334,0.67313665,0.5918335,0.17428893,0.46996966
Eight-Angle,0.4253468,0.2476066,0.7057752,0.37644297,0.26168334,0.75837666,0.4006539,0.20509845,0.8471029,0.3601512,0.29409304,0.71089536,0.41532156,0.17591436,0.8248967,0.406939,0.3983289,0.66000235,0.48084465,0.18959942,0.6326042,0.51221794,0.54089963,0.5560656,0.5927081,0.21821754,0.32028058,0.67454225,0.5525836,0.43914884,0.6784231,0.20205317,0.378125,0.4268729,0.5110101,0.32644245,0.5148269,0.4107192,0.51563096,0.5292136,0.6147654,0.17911214,0.5872677,0.4089345,0.3937718,0.5963095,0.74278206,0.56230015,0.58302534,0.6772798,0.20661737
Eight-Angle,0.5559369,0.8336827,0.67083526,0.5301894,0.8815037,0.82109576,0.48827523,0.81322783,0.8451526,0.53028107,0.88331604,0.4579687,0.42768845,0.7295689,0.84248716,0.59248596,0.8389456,0.46502578,0.4849642,0.56043553,0.6903721,0.8460419,0.85495025,0.7070101,0.57634264,0.2857107,0.1995734,0.6679046,0.8520251,0.45759052,0.8397322,0.22516051,0.78373,0.6999021,0.48596528,0.5048656,0.6408918,0.33685508,0.3164882,0.6257163,0.34678233,0.13415724,0.44882345,0.3787345,0.7486154,0.62472856,0.22361414,0.20661947,0.59078115,0.13068764,0.31375983
Eight-Angle,0.3829679,0.68440366,0.7178792,0.35318086,0.71206486,0.9016824,0.3531158,0.662654,0.8908867,0.3670652,0.7458758,0.7871264,0.36379054,0.6387492,0.6002455,0.4444631,0.7907945,0.8853743,0.45235732,0.57530427,0.59788024,0.54107136,0.7988091,0.79644483,0.5615275,0.5223277,0.19208498,0.6472454,0.7719529,0.8384131,0.6180201,0.5284858,0.21192822,0.5896046,0.63632417,0.3866361,0.56592727,0.53845155,0.32756558,0.41265205,0.48784494,0.26270458,0.41445088,0.48915482,0.66797215,0.58070385,0.3064059,0.64713645,0.56934816,0.34220117,0.31697378
Eight-Angle,0.651917,0.7824923,0.5743694,0.6726122,0.811378,0.5434335,0.6279767,0.7970675,0.5460863,0.6932157,0.8097176,0.6135421,0.5944056,0.7772712,0.5955377,0.6523682,0.7361692,0.3365839,0.6032196,0.6778701,0.71520305,0.68614024,0.64546114,0.3825644,0.5978105,0.4909257,0.3898374,0.7496418,0.6657871,0.48360887,0.6877822,0.28024134,0.41543737,0.6746815,0.443831,0.40416414,0.6355651,0.4215642,0.4170338,0.68557376,0.45024168,0.14159608,0.584345,0.48538768,0.56321126,0.7203705,0.19698775,0.34788564,0.6931931,0.27080813,0.5581741
Eight-Angle,0.5547832,0.6777552,0.5618427,0.55629826,0.70877415,0.61321497,0.5152221,0.68011284,0.5911953,0.55388796,0.7289856,0.63597965,0.44450778,0.67085224,0.6518973,0.5677346,0.66569465,0.44131505,0.4072101,0.60647565,0.6852446,0.60011405,0.626579,0.3100481,0.4339685,0.43072543,0.17336833,0.6135313,0.71229696,0.43625954,0.60256904,0.39784247,0.23054977,0.45664632,0.46705976,0.38501745,0.3303745,0.46981144,0.3882986,0.5517442,0.3896116,0.19921306,0.4323431,0.34439933,0.64388,0.5897458,0.15128645,0.48722386,0.5581297,0.14033931,0.42760184
Eight-Angle,0.51165164,0.7268318,0.6576064,0.47582296,0.7645305,0.77506804,0.47387713,0.6993409,0.83434635,0.45846605,0.7985178,0.8305679,0.45378962,0.65818346,0.63573456,0.5083623,0.85429317,0.8304886,0.5045199,0.5886839,0.5191216,0.52875066,0.91600096,0.8782869,0.52417505,0.44390255,0.44198745,0.6719955,0.90812457,0.92669445,0.6591227,0.47843957,0.36591896,0.6017374,0.67095363,0.2511711,0.53841823,0.5548553,0.41327026,0.57275003,0.47325274,0.35979128,0.5472208,0.41800293,0.080159225,0.55531406,0.12655415,0.3909261,0.53797835,0.13970111,0.52812773
Eight-Angle,0.5504895,0.36781287,0.7390642,0.5152532,0.3837582,0.8288691,0.526492,0.34531355,0.62531775,0.4947514,0.41634053,0.55861133,0.5200542,0.3340346,0.5651543,0.52459604,0.5152786,0.36685666,0.5300634,0.33834633,0.2686238,0.5023435,0.6180857,0.46572083,0.5104092,0.27292508,0.75042444,0.631452,0.69490314,0.3260373,0.6173699,0.2434252,0.857766,0.52517384,0.61198616,0.12552066,0.5339472,0.52241254,0.28191182,0.5111767,0.719326,0.115535825,0.4710065,0.6517663,0.102523394,0.5084126,0.7824129,0.27005586,0.4786114,0.72831213,0.23275357
Eight-Angle,0.49255407,0.7489428,0.64203435,0.45434418,0.78619605,0.68503124,0.44514862,0.71822864,0.69111073,0.425336,0.8276261,0.789279,0.4140592,0.66939986,0.7023348,0.4926671,0.9099654,0.7526608,0.4535347,0.5939953,0.5372381,0.5398642,0.9161889,0.7481371,0.5890319,0.5031439,0.3901773,0.679571,0.89098567,0.8768164,0.6929755,0.50794196,0.7174617,0.59933376,0.70559055,0.43370858,0.5305146,0.5750241,0.32244733,0.560996,0.53192276,0.17822844,0.3709198,0.49385658,0.6904636,0.4987869,0.26779255,0.38265908,0.483225,0.27450266,0.5519203
Eight-Angle,0.6562707,0.3425817,0.45434034,0.626477,0.37525362,0.5097345,0.6393246,0.31577766,0.52067184,0.5604091,0.4158751,0.29822963,0.5718806,0.26287574,0.5088672,0.51831084,0.46861044,0.67903066,0.58664364,0.18462251,0.8864238,0.6572422,0.5945953,0.1294238,0.6292897,0.19604777,0.7010931,0.6870112,0.82866365,0.48336324,0.76204944,0.2204976,0.81235474,0.5688614,0.4639217,0.3645172,0.5990065,0.31398645,0.011831933,0.66135013,0.55083,0.41305655,0.66784716,0.5063154,0.3210798,0.6832036,0.6007404,0.23896456,0.6861428,0.5983862,0.15333673
Eight-Angle,0.6566284,0.5152326,0.59611285,0.63911754,0.5332646,0.64802414,0.63881856,0.4987689,0.584916,0.634205,0.5494993,0.6852514,0.62810594,0.46632403,0.6975178,0.6610628,0.58059,0.56815755,0.674876,0.41299453,0.5836389,0.68931985,0.66533095,0.29497537,0.69014764,0.32218602,0.6821539,0.6877752,0.8536363,0.576749,0.80795825,0.35257158,0.8391549,0.6954598,0.5371122,0.34243464,0.71649826,0.43842512,0.5073848,0.69955534,0.674761,0.35622904,0.7027705,0.64549816,0.59175336,0.69565874,0.85144866,0.430577,0.7989088,0.6411076,0.35536873
Eight-Angle,0.50173277,0.5298339,0.47162238,0.49644184,0.54786056,0.48223376,0.4935692,0.52484256,0.61376995,0.49496636,0.5731815,0.6535463,0.48621166,0.52104753,0.51786345,0.51685,0.5999751,0.4393079,0.4924904,0.4900388,0.4685994,0.5544392,0.62280923,0.44616163,0.5432351,0.41647542,0.26712602,0.61359745,0.61342514,0.46629882,0.6000449,0.48722517,0.22169077,0.5516959,0.48953626,0.35374114,0.53729373,0.42365664,0.41805866,0.5842232,0.48705265,0.13234201,0.52140164,0.36062068,0.39236832,0.524613,0.36698422,0.33486813,0.51604295,0.318774,0.46132228
Eight-Angle,0.42361787,0.6467872,0.6995249,0.39283025,0.6749094,0.60671866,0.3968175,0.6262959,0.6785321,0.3799101,0.71199304,0.8220712,0.38920128,0.6023665,0.55071336,0.41985524,0.7892724,0.7521368,0.41736054,0.5572694,0.51105726,0.4631176,0.8273431,0.7328166,0.4913075,0.4607971,0.31404546,0.58791465,0.8256081,0.75881374,0.6004983,0.47169656,0.58292985,0.5286535,0.6608347,0.54927367,0.49968344,0.5685251,0.43945062,0.46019286,0.48266357,0.37527812,0.3872551,0.45016524,0.43743572,0.47338927,0.22181389,0.5197741,0.47985005,0.2122194,0.51243484
Eight-Angle,0.53612036,0.60791767,0.5385898,0.50974345,0.63274807,0.7791601,0.50833046,0.5897916,0.6800877,0.49060988,0.66473114,0.69803697,0.4850285,0.56668127,0.50718623,0.5328134,0.71246254,0.6758405,0.51794535,0.51607525,0.34985656,0.5505146,0.7246911,0.6010994,0.56515944,0.4273964,0.56490386,0.66547483,0.7085668,0.8239344,0.65896875,0.44590348,0.24053863,0.61007994,0.5944013,0.20870276,0.5519742,0.5001045,0.3293062,0.57181144,0.45439866,0.49218222,0.5698216,0.44056186,0.31821784,0.56328344,0.27760527,0.41790316,0.5579352,0.26108903,0.4132427
Eight-Angle,0.41784889,0.36900613,0.57769376,0.39240062,0.38769808,0.64523923,0.39564526,0.3431945,0.69369787,0.38129753,0.41267815,0.52093583,0.38590515,0.29901809,0.52017796,0.40194768,0.44945136,0.52126163,0.41272485,0.24829702,0.3831872,0.48711357,0.50899464,0.39707732,0.48861995,0.2275473,0.5689167,0.601319,0.5070763,0.71717864,0.60673493,0.22659023,0.48609957,0.45840514,0.470864,0.3544151,0.4976282,0.36058813,0.33896413,0.44514674,0.59752107,0.16628303,0.48188365,0.5150249,0.20259686,0.49022982,0.76588047,0.27084795,0.4986446,0.6133271,0.07664546
Eight-Angle,0.5621897,0.64020693,0.53119504,0.5260094,0.66522145,0.6318137,0.5310809,0.6161383,0.5915545,0.49066862,0.69849455,0.657247,0.49379188,0.5867695,0.6662997,0.5239993,0.75124913,0.48325247,0.47623426,0.53578967,0.65379375,0.4128209,0.75512713,0.4517868,0.48000833,0.43914425,0.26818153,0.56130934,0.7470228,0.68931204,0.5656407,0.47680515,0.44460338,0.371918,0.62597543,0.20871046,0.44402012,0.54173976,0.1513911,0.4659429,0.5456194,0.1417638,0.43086714,0.43010265,0.4390867,0.4909622,0.21276395,0.5267222,0.4886567,0.19568124,0.36566988
Eight-Angle,0.5623244,0.5125058,0.31831843,0.5477423,0.5335491,0.46720564,0.5468852,0.49901995,0.3586782,0.5357439,0.55683357,0.5906124,0.5348971,0.4846713,0.46636575,0.5626569,0.5940644,0.6135795,0.55256224,0.46039405,0.5264967,0.6500645,0.59984636,0.37398574,0.6416725,0.42818132,0.47351283,0.7351558,0.61060125,0.5741706,0.6656343,0.42462587,0.26881957,0.64097935,0.55510813,0.43325505,0.6154471,0.4726257,0.36391574,0.65557635,0.48926213,0.33793414,0.63234544,0.4114106,0.24335535,0.72384864,0.43643156,0.085863285,0.68054783,0.25324643,0.3998368
Eight-Angle,0.5236107,0.6376193,0.47910988,0.49388087,0.66844416,0.7057637,0.491473,0.6176098,0.674185,0.4657361,0.711744,0.7064176,0.4608881,0.58724153,0.62282044,0.48486724,0.78324956,0.69204044,0.4484895,0.5054856,0.4301378,0.5076988,0.8111321,0.7225096,0.44800362,0.38730046,0.4641714,0.63083357,0.77911824,0.88548404,0.55619055,0.18749666,0.52561855,0.5792874,0.5998929,0.25577348,0.5138521,0.47633144,0.31069818,0.61327046,0.5125213,0.31990722,0.5715012,0.40123457,0.14991127,0.5756295,0.20787913,0.20964907,0.5663684,0.17295687,0.36027592
Eight-Angle,0.43490574,0.67488176,0.49735156,0.3981967,0.702296,0.813895,0.408281,0.6562561,0.6947084,0.3798625,0.7405712,0.75945544,0.39740956,0.63627964,0.6092663,0.41553533,0.83443207,0.6797023,0.44003782,0.60099906,0.562514,0.52239186,0.91309494,0.92056453,0.5809764,0.5336724,0.27148056,0.6784324,0.91074777,0.66174436,0.6627038,0.5305603,0.6666985,0.5235713,0.7858911,0.7171658,0.53071225,0.67394817,0.53120506,0.6054223,0.5173704,0.40971965,0.43977398,0.44263187,0.8153669,0.6257144,0.2495378,0.6431037,0.6563666,0.51210237,0.06789169
Eight-Angle,0.5806921,0.7031272,0.5607697,0.55164003,0.72912985,0.7904172,0.5532313,0.6811868,0.78200716,0.532001,0.764435,0.6486866,0.5359166,0.6517787,0.6295437,0.57900685,0.8388057,0.7618777,0.5538508,0.5951966,0.5260243,0.58712965,0.8897629,0.6336299,0.61898583,0.47806454,0.3438729,0.72199494,0.88052255,0.86151916,0.71431863,0.48804227,0.47675368,0.6685756,0.6988122,0.27050674,0.59800446,0.5761538,0.37246504,0.59027916,0.51098573,0.4638229,0.62739354,0.4672516,0.20533326,0.6200204,0.2407034,0.7343571,0.6138757,0.22823262,0.3570908
Eight-Angle,0.5128865,0.2820373,0.3985459,0.49112102,0.30093643,0.67651945,0.4924688,0.2697436,0.5879883,0.46736807,0.3581196,0.5203282,0.48013145,0.26949784,0.24563724,0.49560308,0.42179495,0.25645342,0.50866365,0.26041332,0.39423084,0.56617767,0.52238625,0.23608984,0.5828182,0.31446904,0.26846668,0.65462613,0.51901704,0.17970991,0.6258106,0.3005256,0.40328476,0.54964286,0.51484424,0.28592458,0.5795242,0.42675528,0.24958552,0.56755733,0.51107967,0.21045527,0.5835827,0.4574226,0.27095065,0.5723351,0.7247858,0.32671335,0.64925426,0.51590717,0.21629278
