Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Extended_Puppy,0.5662691,0.6661959,0.48943642,0.55844367,0.6812614,0.58593744,0.5685079,0.6783476,0.64799047,0.5303736,0.66617405,0.7160623,0.55061847,0.6589111,0.3957157,0.48349687,0.6144745,0.7439403,0.53697646,0.58767873,0.58362573,0.5145971,0.7290756,0.80468184,0.6203573,0.72481424,0.73253506,0.52896523,0.8412078,0.7895502,0.6240054,0.8763902,0.5222063,0.35920918,0.3521384,0.67666394,0.3895777,0.34149766,0.60330445,0.52664196,0.30218992,0.5241673,0.59917,0.29223117,0.65708184,0.5213249,0.12396478,0.7140129,0.58387506,0.08388701,0.6684778
Extended_Puppy,0.69450617,0.6657634,0.45806122,0.6832147,0.67845285,0.51918536,0.68163896,0.6730094,0.4865958,0.6792705,0.65921265,0.5771401,0.679439,0.6580379,0.59134245,0.6750441,0.5861312,0.5297297,0.6753922,0.5712896,0.59913796,0.71322775,0.7411894,0.56617266,0.7149429,0.7446924,0.51496655,0.61372805,0.68517977,0.70805585,0.61309,0.68849033,0.4159021,0.48298535,0.31147605,0.7777248,0.48595047,0.3083616,0.74097085,0.6344593,0.33597407,0.08772984,0.7128168,0.2664099,0.5677197,0.6298193,0.3064187,0.43623126,0.6292587,0.30093104,0.40328237
Extended_Puppy,0.6584266,0.33538845,0.61950725,0.65458554,0.3131751,0.4571491,0.6566985,0.31653133,0.41608787,0.60312253,0.3074574,0.8238651,0.60906386,0.30924886,0.5258605,0.5737297,0.37326518,0.77200043,0.55505764,0.37884662,0.57307094,0.6591922,0.23087148,0.69956666,0.6296835,0.23771371,0.6732868,0.6548159,0.114073284,0.6306747,0.64189464,0.12767942,0.5957162,0.40997824,0.66081995,0.8568831,0.40182912,0.6547422,0.6541707,0.65693605,0.65552044,0.93652695,0.6402194,0.65068346,0.8020836,0.6102254,0.8807871,0.7102622,0.6081233,0.87510204,0.8155776
Extended_Puppy,0.846339,0.3747454,0.39625573,0.8422047,0.37403595,0.43640032,0.8442895,0.3706958,0.38520458,0.8485455,0.38609713,0.5752874,0.8516791,0.3751233,0.41068318,0.8605347,0.4114094,0.5522049,0.8583548,0.4135121,0.39329672,0.8739046,0.34139037,0.30320257,0.8751268,0.34,0.30342236,0.8877409,0.27772313,0.16769539,0.88585943,0.29965895,0.3197792,0.8124354,0.54167306,0.1635691,0.81390613,0.5481459,0.23477785,0.88757265,0.58162975,0.322996,0.88754606,0.5832646,0.27645612,0.84560245,0.67664707,0.21714465,0.84317315,0.67752343,0.34388787
Extended_Puppy,0.66982615,0.34350377,0.612041,0.6638458,0.3296817,0.5882927,0.66565204,0.33003908,0.5507304,0.6278715,0.34672385,0.7257286,0.63047314,0.34669414,0.7280726,0.61655945,0.3899348,0.73497546,0.5971336,0.38707176,0.5648726,0.67519903,0.27659732,0.5389935,0.6492209,0.27589917,0.71047765,0.6854282,0.15709794,0.72452486,0.6598307,0.16778195,0.67706203,0.48296988,0.61279196,0.8329099,0.48126334,0.60119545,0.58247066,0.6883939,0.6247348,0.875453,0.66748816,0.61590433,0.8134514,0.63022166,0.8126891,0.8731381,0.61477244,0.77409047,0.7505089
Extended_Puppy,0.6055367,0.4838934,0.66934323,0.5895482,0.49842542,0.67232937,0.5838063,0.47336802,0.63295907,0.5502828,0.57587063,0.8926706,0.55193186,0.48696226,0.5947368,0.5580889,0.6550512,0.7917464,0.5525598,0.48414743,0.6104752,0.65858036,0.50784814,0.8458313,0.60429215,0.33110327,0.65114546,0.68628395,0.33497694,0.7649807,0.6315797,0.15819491,0.6767672,0.2995795,0.85192966,0.7752583,0.2849714,0.7238802,0.7160525,0.5977205,0.88509727,0.93067414,0.54611367,0.68691814,0.6935089,0.528824,0.9132932,0.4169679,0.5169756,0.77684575,0.45727828
Extended_Puppy,0.535365,0.74566776,0.4445197,0.5244209,0.75336707,0.7034339,0.52483565,0.75029075,0.6996197,0.49964157,0.72352386,0.662818,0.5029845,0.72494155,0.6291813,0.48215944,0.6644596,0.5660251,0.49775884,0.66151875,0.8130619,0.5216389,0.793723,0.59461236,0.53910595,0.78994894,0.46741623,0.5383551,0.9028963,0.46558318,0.54876316,0.92765737,0.36662728,0.32563025,0.44840792,0.5690099,0.33513254,0.4272758,0.75234395,0.5139567,0.39954272,0.5826833,0.53734523,0.37917432,0.7118018,0.4854834,0.23074332,0.715681,0.50646853,0.18451464,0.75772274
Extended_Puppy,0.6049011,0.2752827,0.4833925,0.59902114,0.26706454,0.63559806,0.5946156,0.26702693,0.41049254,0.573561,0.29901847,0.511034,0.5610537,0.29617268,0.57884383,0.577824,0.3647391,0.69765633,0.53491294,0.36187956,0.60255283,0.6264859,0.23180819,0.8401303,0.58564574,0.23425937,0.655515,0.62370545,0.10024163,0.77345294,0.59709185,0.112377346,0.7166688,0.39617053,0.62518346,0.85367817,0.38258252,0.6144786,0.5817964,0.63222027,0.6577415,0.89444417,0.58366233,0.6534038,0.7103198,0.60980266,0.88218224,0.8328327,0.57364255,0.8595045,0.73830885
Extended_Puppy,0.63967246,0.3768021,0.5140673,0.6357822,0.35897806,0.57286,0.6364378,0.35886693,0.5942652,0.58431554,0.34348375,0.46971172,0.5915107,0.34097645,0.5160506,0.5490721,0.39892617,0.7038279,0.5318877,0.3959573,0.6978378,0.62426656,0.25213975,0.657952,0.5984625,0.26239502,0.5855622,0.65441954,0.09855519,0.69994926,0.63079053,0.11927294,0.45219827,0.37682655,0.7166586,0.69615996,0.37062618,0.6896444,0.82926065,0.632483,0.6897641,0.73605305,0.60274965,0.6622849,0.7876839,0.6080595,0.91991246,0.72883093,0.5830699,0.85525364,0.7678074
Extended_Puppy,0.6757979,0.65647286,0.42234063,0.66645706,0.67435163,0.59841526,0.6722369,0.6741806,0.53905296,0.63191587,0.6626223,0.6878955,0.6431627,0.66157573,0.55795443,0.59354377,0.6127113,0.74933976,0.63749164,0.59985995,0.5671273,0.6244015,0.7232448,0.84285367,0.6944141,0.7349282,0.7400536,0.63441366,0.84134984,0.74237925,0.6899424,0.8613156,0.34264594,0.47397125,0.32640278,0.84162444,0.49238747,0.31696817,0.7321183,0.62697005,0.32589066,0.5134084,0.7298935,0.34783074,0.8460613,0.6218107,0.14478527,0.55202854,0.69548064,0.11072144,0.7940856
