Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Extended_Revolved_Side_Angle,0.4782569,0.24388061,0.29744777,0.47502503,0.24150619,0.4501723,0.48015347,0.23789099,0.4595135,0.4772713,0.2576968,0.6143942,0.48706955,0.24842381,0.3986307,0.4783348,0.3219565,0.6959684,0.5387686,0.26235038,0.5012069,0.5431941,0.36471614,0.65553296,0.59855545,0.28543615,0.47531202,0.6131395,0.371794,0.6063654,0.621033,0.3272957,0.23635729,0.6242586,0.4226055,0.566176,0.6335671,0.38476247,0.49002355,0.6734778,0.51171744,0.47851294,0.62014705,0.28408542,0.42784387,0.7208363,0.648612,0.68325096,0.73021966,0.2845355,0.69854945
Extended_Revolved_Side_Angle,0.45349592,0.76474285,0.5298664,0.46162418,0.788324,0.82687217,0.45347914,0.78466773,0.66148627,0.5114486,0.80215484,0.8292515,0.490951,0.7948499,0.67086875,0.5975454,0.7782192,0.67519194,0.46568072,0.71221435,0.4032507,0.6807489,0.69441515,0.8480926,0.43783936,0.6501682,0.6156867,0.5523735,0.7007999,0.6715055,0.53242725,0.6914274,0.44810072,0.60887367,0.51168627,0.75218564,0.5925552,0.51068825,0.76263666,0.74443865,0.36745825,0.7983795,0.6887467,0.6930674,0.7195063,0.85177976,0.22550878,0.9058621,0.86134773,0.7132552,0.8387922
Extended_Revolved_Side_Angle,0.48834085,0.67786753,0.54594517,0.49022132,0.68952703,0.5384417,0.48211914,0.6749558,0.5350085,0.50666577,0.69507545,0.5086749,0.48874056,0.6686085,0.35469267,0.5471687,0.67413193,0.3618383,0.48114645,0.62243927,0.48157072,0.6130589,0.63652426,0.5803945,0.48143905,0.5606131,0.43281016,0.59381866,0.6329076,0.12961017,0.53277063,0.5727964,0.2520683,0.5839146,0.5827714,0.44602916,0.5535374,0.5424489,0.4718452,0.62300223,0.62600625,0.44093683,0.6243582,0.44587785,0.3152056,0.7152118,0.63544714,0.268922,0.68837565,0.349097,0.19028774
Extended_Revolved_Side_Angle,0.40497383,0.7136999,0.6541769,0.42523634,0.7299787,0.75459975,0.4063681,0.7303053,0.67462087,0.4663462,0.714767,0.5605787,0.430691,0.7171295,0.62610996,0.5311705,0.65714765,0.8439946,0.39023894,0.6417041,0.65087515,0.643702,0.6431271,0.5424954,0.31540734,0.7280863,0.5694867,0.7346997,0.6286521,0.7861088,0.2510869,0.8311734,0.9370094,0.5474248,0.47058594,0.6762179,0.51186043,0.41982713,0.8901655,0.5566648,0.65460825,0.6926111,0.6342782,0.29513353,0.75757724,0.7336049,0.6257203,0.5572429,0.7141903,0.17004807,0.76401776
Extended_Revolved_Side_Angle,0.49365717,0.48905316,0.34031555,0.4928862,0.4944171,0.3928662,0.48905313,0.48955107,0.3343009,0.50076765,0.4961738,0.24477571,0.48653045,0.48457572,0.24534415,0.5408213,0.48971096,0.35973257,0.50158393,0.47375193,0.28430507,0.5822668,0.4926933,0.30580753,0.48686486,0.48546988,0.15632404,0.59370095,0.49122077,0.25350514,0.3684337,0.53539497,0.62595654,0.599257,0.4608302,0.34336242,0.59227747,0.44363332,0.23749103,0.62101126,0.41755125,0.19539984,0.63261294,0.4933395,0.32270128,0.70384634,0.49263927,0.37917444,0.70581317,0.49605635,0.35529807
Extended_Revolved_Side_Angle,0.4597541,0.68997484,0.8041445,0.45134187,0.6916866,0.6435895,0.44380888,0.68576014,0.68431497,0.4463913,0.65947074,0.75066566,0.43203837,0.6533059,0.8097464,0.5255669,0.63396025,0.82616407,0.40253156,0.59541684,0.8138197,0.6494082,0.61163026,0.7310066,0.31589803,0.6816357,0.6970294,0.7512933,0.58191067,0.70847464,0.2440005,0.75714093,0.84834063,0.57764256,0.45037368,0.7958581,0.53529847,0.37417054,0.7535634,0.55576223,0.63789994,0.67758626,0.6513257,0.23562215,0.8679513,0.7390987,0.58583045,0.6872476,0.7437568,0.11760563,0.7651767
Extended_Revolved_Side_Angle,0.39864257,0.35025927,0.76321137,0.37862378,0.354699,0.7803759,0.39556757,0.33146292,0.821109,0.37529716,0.37332213,0.65715694,0.40941313,0.33406484,0.73069197,0.41243476,0.42448413,0.82300055,0.4867607,0.34347844,0.88894516,0.29700994,0.37634978,0.80972755,0.58132094,0.35915476,0.591738,0.20869605,0.3206742,0.7763775,0.6090917,0.35581255,0.66975474,0.5808978,0.53137386,0.83387506,0.6034011,0.45657492,0.6496988,0.6914541,0.6464519,0.83215797,0.63113254,0.31513414,0.8911295,0.78106236,0.7589869,0.7143611,0.7813588,0.30901405,0.8971748
Extended_Revolved_Side_Angle,0.35278553,0.67316663,0.2894035,0.38263607,0.69647276,0.2506776,0.35059872,0.68529725,0.35418957,0.4248625,0.69768935,0.2602727,0.39003646,0.68425083,0.39926207,0.53072804,0.6394936,0.6527488,0.3654319,0.54588634,0.8405286,0.6601283,0.5774308,0.38253403,0.47085863,0.40367693,0.7006574,0.81072074,0.53431904,0.19603826,0.6004483,0.40570045,0.7591631,0.5906687,0.4380175,0.6202864,0.5623767,0.36327887,0.7182107,0.62121385,0.57761735,0.55700237,0.66157436,0.24246766,0.5596912,0.8195196,0.53068966,0.584408,0.69091797,0.13131551,0.70794284
Extended_Revolved_Side_Angle,0.35113427,0.7479439,0.6435422,0.36014435,0.77754855,0.8059448,0.33335233,0.76106167,0.85292995,0.3997884,0.78955126,0.84608805,0.3355615,0.7606119,0.8482988,0.45174584,0.7644895,0.8715832,0.345174,0.66506296,0.52502084,0.6003788,0.7566846,0.9258817,0.27829066,0.5171426,0.9096393,0.71958905,0.73349404,0.80133706,0.40795466,0.525422,0.7137014,0.51719767,0.5082751,0.66580814,0.48869166,0.4846953,0.8390346,0.6380694,0.33640847,0.81666,0.4844425,0.73883706,0.40766805,0.68456715,0.14971928,0.87607276,0.72049326,0.72822917,0.7858554
Extended_Revolved_Side_Angle,0.36669722,0.13714194,0.82314605,0.34314245,0.13454518,0.7886396,0.3474769,0.12938976,0.7485132,0.29279765,0.17504583,0.8634456,0.3065854,0.16233288,0.7972954,0.24423966,0.3144226,0.77245206,0.41880485,0.20064737,0.79192513,0.28808898,0.46082646,0.9545511,0.55433714,0.27624223,0.8707249,0.37287596,0.37526312,0.60317004,0.7219712,0.24565613,0.41997632,0.4203053,0.50713634,0.78425455,0.48074222,0.4769873,0.7405864,0.49115944,0.270615,0.4557639,0.5992663,0.7146446,0.8970343,0.73560894,0.23694323,0.79354066,0.6840632,0.9110134,0.89670783
Extended_Revolved_Side_Angle,0.34434927,0.13721693,0.7775178,0.3208085,0.12957263,0.86155236,0.3239547,0.12870629,0.73024565,0.27003264,0.16959874,0.8278689,0.28075215,0.16506858,0.88092625,0.21930723,0.320437,0.9392675,0.38924605,0.20455346,0.8190743,0.26665092,0.46332005,0.8611483,0.53674346,0.2758284,0.69698703,0.35931578,0.35379755,0.66710794,0.38789696,0.33339578,0.7525862,0.39314303,0.5149367,0.8732375,0.44966742,0.46969113,0.76946133,0.46129015,0.2769454,0.36638817,0.57439876,0.7141872,0.9244433,0.70898706,0.23878573,0.88016164,0.6623986,0.91480386,0.94559896
Extended_Revolved_Side_Angle,0.41395918,0.40056592,0.51844966,0.40739045,0.39671686,0.5240743,0.41587934,0.39062214,0.47846135,0.42213732,0.3924781,0.5886099,0.4399282,0.3804037,0.71507984,0.4354758,0.42902178,0.5844024,0.48558682,0.3913393,0.64712936,0.3296416,0.38949805,0.5503182,0.5758306,0.39668238,0.8831036,0.2790868,0.3314306,0.7745118,0.58489436,0.40906623,0.5095267,0.5331089,0.5520249,0.706475,0.5538159,0.5086342,0.6494218,0.6359588,0.6465468,0.8188275,0.5914618,0.38851222,0.62051326,0.71518713,0.7389847,0.71042347,0.7136568,0.399502,0.76873976
Extended_Revolved_Side_Angle,0.35065782,0.2750518,0.7150818,0.35346782,0.26128012,0.79347473,0.36528805,0.25848815,0.8079348,0.38540888,0.2677882,0.67214745,0.41043058,0.2671568,0.69783103,0.35118574,0.35728976,0.80677795,0.47726092,0.32199684,0.9074413,0.29930925,0.23431465,0.70288724,0.6021397,0.3399336,0.8325467,0.2704017,0.16855988,0.62126696,0.705416,0.33794355,0.8805146,0.47297215,0.56515217,0.8880987,0.51333624,0.5082077,0.5504976,0.5958961,0.71636486,0.8627434,0.53443485,0.3248308,0.4523649,0.6954176,0.8707932,0.859468,0.69728684,0.33268338,0.6541532
Extended_Revolved_Side_Angle,0.43854427,0.76794714,0.7408629,0.44830322,0.78712475,0.85805136,0.43563536,0.78131026,0.5729743,0.48799738,0.7866444,0.82138854,0.4621663,0.7730946,0.8262819,0.57255656,0.7246521,0.75438195,0.4327288,0.70037436,0.6283347,0.67919546,0.7044739,0.34508815,0.31149262,0.6744032,0.8801391,0.7751584,0.6972755,0.89001054,0.21790873,0.67233175,0.8575126,0.5617633,0.500311,0.7377326,0.5323992,0.4906913,0.7115706,0.671647,0.33669552,0.8155734,0.59262115,0.6992425,0.5297534,0.7334091,0.16384886,0.79703915,0.7751831,0.69224656,0.51051325
Extended_Revolved_Side_Angle,0.5051405,0.66636485,0.39802197,0.5131271,0.6679548,0.33288866,0.50736296,0.6683577,0.35885504,0.520054,0.6610475,0.4267632,0.50505704,0.66779673,0.48750103,0.52744395,0.6321846,0.5230928,0.48892552,0.62835115,0.39786103,0.59120375,0.5747464,0.52604276,0.55970854,0.6075575,0.22672598,0.6817534,0.59875214,0.6203583,0.5365601,0.6092189,0.27768245,0.53123075,0.5064877,0.48377058,0.50357306,0.46884218,0.7927852,0.569292,0.5979856,0.30461925,0.6113497,0.38046905,0.7883636,0.6782709,0.59558344,0.37611032,0.68293965,0.3068831,0.7292005
Extended_Revolved_Side_Angle,0.33507636,0.6939886,0.8278395,0.35428172,0.7170513,0.75498205,0.3399044,0.7182911,0.61694807,0.40712753,0.711818,0.7877355,0.3739369,0.7167747,0.7210904,0.48823512,0.67015904,0.85869426,0.3503294,0.64192724,0.5672726,0.6207687,0.6759855,0.72022164,0.28895372,0.77266914,0.7413926,0.75067127,0.6869221,0.78339237,0.23234417,0.89425373,0.88378716,0.5325224,0.47905964,0.854434,0.49665266,0.4040925,0.6595168,0.5349441,0.6786641,0.71903974,0.6222378,0.24552347,0.90391636,0.7437366,0.68812203,0.59432256,0.73523206,0.07945177,0.9538436
Extended_Revolved_Side_Angle,0.31731576,0.20326799,0.8388999,0.31008762,0.19076191,0.7108083,0.34042788,0.17913823,0.89450175,0.33153746,0.20687951,0.73255926,0.39676988,0.18942271,0.85591006,0.3118495,0.3121316,0.6691116,0.491985,0.25813156,0.7750161,0.23771659,0.21847108,0.8781954,0.63309926,0.2715399,0.6655717,0.18016124,0.12789512,0.93020713,0.77557206,0.27340114,0.63854253,0.51287174,0.55810624,0.9366643,0.5512565,0.46457812,0.9060761,0.6715122,0.7385098,0.94455767,0.57368773,0.2719254,0.90277535,0.7985775,0.90948856,0.92052174,0.79454255,0.27146,0.8899925
