Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Extended_Revolved_Triangle,0.45851964,0.6586787,0.7135457,0.47690618,0.6690924,0.6041906,0.46754095,0.6756979,0.57362443,0.5199234,0.6539958,0.6834849,0.5019659,0.671595,0.6035479,0.57262486,0.59387666,0.732028,0.45539507,0.61458606,0.30351028,0.6672205,0.5729982,0.68853456,0.34499997,0.6033796,0.77400833,0.7533903,0.5588845,0.61473227,0.23110987,0.61143297,0.7741544,0.51306516,0.4206757,0.66733325,0.48089114,0.40550998,0.63874924,0.5558275,0.38256103,0.5372784,0.59662277,0.4613944,0.29351893,0.6358928,0.29929394,0.78384596,0.7555543,0.52844864,0.48516715
Extended_Revolved_Triangle,0.45999604,0.4482469,0.25128365,0.4590833,0.4479798,0.3703283,0.47288385,0.44227573,0.2914847,0.4502339,0.4551802,0.5481224,0.47300312,0.4461601,0.5603504,0.42486146,0.49444285,0.675405,0.49581417,0.4449818,0.5515437,0.36612916,0.4917104,0.40519723,0.5652372,0.45399073,0.29337108,0.3175424,0.48744968,0.48032302,0.60232306,0.45307666,0.3613148,0.48721278,0.5627745,0.60948044,0.52061254,0.5144211,0.3844729,0.56209224,0.629684,0.67158645,0.588473,0.4683766,0.64439666,0.66099405,0.6881805,0.69318444,0.6245036,0.4569106,0.36572704
Extended_Revolved_Triangle,0.48155436,0.39016518,0.4231608,0.47302812,0.38991612,0.519272,0.4834923,0.38433868,0.4876943,0.4612298,0.39423996,0.61126804,0.48263037,0.3897994,0.50803167,0.43616843,0.4296936,0.4662043,0.5059244,0.4160179,0.59926987,0.40170607,0.45686424,0.13422342,0.56152874,0.4435785,0.47451907,0.32706505,0.43344128,0.22452708,0.5875594,0.43911853,0.6593772,0.45809108,0.50105625,0.5471153,0.5007021,0.47834307,0.47165233,0.516664,0.56697136,0.31858185,0.5541452,0.44584122,0.28200918,0.58595836,0.62395734,0.54088277,0.5799022,0.6242295,0.44749594
Extended_Revolved_Triangle,0.45058456,0.6075515,0.56103593,0.45833284,0.62125796,0.7105844,0.4429002,0.6141082,0.6924356,0.48191863,0.6167609,0.7043629,0.44755077,0.60652167,0.5277554,0.54478496,0.5785563,0.69813794,0.43051824,0.5639497,0.5440253,0.623908,0.5373899,0.6673134,0.33082277,0.5357799,0.75854355,0.70794266,0.51253396,0.7763658,0.25259688,0.5322265,0.8148691,0.5452288,0.43662402,0.68756765,0.515276,0.41042224,0.7347679,0.62868446,0.52615494,0.23301122,0.62809503,0.36223194,0.53363264,0.74562585,0.49919045,0.38092348,0.7046429,0.30928522,0.6884788
Extended_Revolved_Triangle,0.5080107,0.16981347,0.140009,0.4940997,0.161501,0.20191456,0.5067917,0.16282907,0.21654628,0.4994128,0.17288567,0.24340287,0.5201479,0.17640859,0.25910926,0.46830916,0.2426466,0.4954777,0.5797092,0.22618926,0.395553,0.3252773,0.2831466,0.3102477,0.69115037,0.22183612,0.21190332,0.21655455,0.2836393,0.27333808,0.7997816,0.21126737,0.16253722,0.5334786,0.40573886,0.54709506,0.5549661,0.34638655,0.47407588,0.6704527,0.4424618,0.66435385,0.6976897,0.268309,0.41710854,0.79618186,0.47988904,0.5170822,0.83410704,0.21482652,0.4703762
Extended_Revolved_Triangle,0.47288862,0.6775863,0.6307151,0.48667377,0.68987185,0.6175698,0.46848425,0.696474,0.68394154,0.5112185,0.68954825,0.65859365,0.47668785,0.7012144,0.45496413,0.57479084,0.6474834,0.8611811,0.4252052,0.6580025,0.7374212,0.65999156,0.6602584,0.84302104,0.3303787,0.6465568,0.86034214,0.7526457,0.69132334,0.6868115,0.2358295,0.65428793,0.780204,0.525005,0.47358572,0.7704878,0.48643818,0.43240044,0.833214,0.65508664,0.6146188,0.7986606,0.62075686,0.3382755,0.9149721,0.751391,0.6871798,0.5826278,0.7354462,0.24741304,0.76322377
Extended_Revolved_Triangle,0.40944448,0.7193328,0.749113,0.42519823,0.7375849,0.75990343,0.4067033,0.7357904,0.5885472,0.46625602,0.7297854,0.7219334,0.43077117,0.7224187,0.6892185,0.5512585,0.65229166,0.5765791,0.36747053,0.6302098,0.8449664,0.6863871,0.63763803,0.39287972,0.26096463,0.6158565,0.77861214,0.7500575,0.64374006,0.60598403,0.16024794,0.6421885,0.82643086,0.5651858,0.49920082,0.7797704,0.5128563,0.4270267,0.79503715,0.70488006,0.61930144,0.67712295,0.67759484,0.27044117,0.9448932,0.8250309,0.7598272,0.754382,0.8206216,0.15155748,0.87041014
Extended_Revolved_Triangle,0.44322735,0.7345909,0.6398119,0.46421158,0.745534,0.659649,0.44764233,0.74359494,0.74975044,0.51253015,0.7220263,0.72593164,0.48318654,0.72848666,0.6335654,0.56380874,0.66853577,0.78983444,0.414162,0.6622433,0.78608644,0.6799644,0.70070904,0.89852935,0.3025854,0.66076887,0.84898275,0.7824833,0.7458896,0.41911092,0.21066591,0.67611283,0.8692389,0.5109804,0.46188617,0.80114627,0.47040045,0.41723073,0.8226284,0.67092097,0.57849497,0.8028018,0.63824785,0.33433726,0.91914576,0.79055095,0.69116247,0.6941404,0.7910081,0.24997187,0.84841865
Extended_Revolved_Triangle,0.5134207,0.51096255,0.24560194,0.5051949,0.50210977,0.39107478,0.50306743,0.49345425,0.36914986,0.4986534,0.5039799,0.45492476,0.49877805,0.48414657,0.3639567,0.4855252,0.5733452,0.30587074,0.48821446,0.503127,0.25051537,0.5487071,0.67395175,0.08608785,0.5221038,0.48607233,0.1384722,0.5474236,0.6177312,0.05132961,0.61034244,0.48525435,0.3443175,0.48042846,0.63160825,0.24414757,0.4866128,0.59411174,0.21271648,0.55675787,0.7019177,0.26048714,0.575199,0.5333272,0.32299596,0.6450413,0.73556465,0.3121002,0.6267449,0.49698532,0.25417742
Extended_Revolved_Triangle,0.4239958,0.7997383,0.8706279,0.4303025,0.8198876,0.8885066,0.40006065,0.80156094,0.77698815,0.4503154,0.80235696,0.67500913,0.37997937,0.7617442,0.87592226,0.53876454,0.71380246,0.87132746,0.36127058,0.6769434,0.774998,0.6754525,0.6731661,0.9363884,0.21623515,0.6600237,0.83681583,0.80493593,0.6831935,0.90960073,0.10492438,0.65577775,0.7511648,0.5449654,0.44889894,0.6697011,0.5126642,0.41513598,0.84396464,0.73168844,0.3216447,0.9183486,0.7330702,0.5410917,0.74194896,0.8944542,0.18614279,0.9362348,0.9272398,0.64128363,0.89267075
