Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Feathered_Peacock,0.81066096,0.4716172,0.65481734,0.804063,0.45528346,0.6921873,0.8023067,0.45586812,0.6429199,0.7622884,0.46961346,0.78805864,0.76038283,0.46343553,0.8043412,0.72215945,0.5224778,0.7890639,0.7289175,0.51713735,0.64922404,0.8615164,0.5365296,0.7312013,0.84393555,0.5362232,0.66893864,0.8676665,0.42845988,0.63127166,0.8523749,0.43555346,0.5652358,0.46537468,0.4762314,0.6746353,0.45523292,0.47307715,0.6582816,0.32031223,0.6459287,0.75707245,0.32138297,0.63644737,0.61880213,0.18966807,0.4526382,0.36016572,0.21948306,0.45275405,0.6317215
Feathered_Peacock,0.7709554,0.3265241,0.47532645,0.7639732,0.31440708,0.5540376,0.7624748,0.31571922,0.48329604,0.7343562,0.31605214,0.5991218,0.7367868,0.3086842,0.4819065,0.70207673,0.35278648,0.6897227,0.7025136,0.35116705,0.64064395,0.79669875,0.3599568,0.79231954,0.77896994,0.36387745,0.7044312,0.7886063,0.2686736,0.44485566,0.77239174,0.279666,0.564767,0.49334034,0.34188247,0.49232543,0.48865825,0.34226668,0.39379013,0.3555878,0.33637646,0.30436036,0.36042252,0.33441693,0.20807798,0.32863072,0.3273252,0.3309769,0.28260243,0.32354072,0.2798905
Feathered_Peacock,0.7405961,0.26714262,0.43758306,0.7436312,0.24799463,0.50759375,0.74365443,0.25217092,0.5160667,0.71295154,0.21678944,0.4569361,0.7161322,0.21975566,0.47968078,0.65031904,0.24507993,0.66652375,0.643991,0.27945545,0.5437213,0.8104493,0.25835016,0.6976172,0.74796575,0.3072083,0.6330023,0.78048766,0.16531825,0.8084056,0.77141273,0.23534971,0.21535505,0.35409603,0.17553946,0.68006295,0.35479268,0.20522793,0.56250876,0.24605747,0.3683692,0.58726114,0.24348563,0.36223266,0.43658277,0.21090463,0.15837851,0.71314454,0.20925124,0.16279389,0.57960874
Feathered_Peacock,0.8802865,0.5654116,0.6720101,0.86653066,0.5730181,0.646384,0.86698645,0.5717026,0.72304416,0.8321299,0.55323464,0.822546,0.8302938,0.54792887,0.7344483,0.8119872,0.49593785,0.66611856,0.816116,0.47027373,0.7222475,0.8900933,0.51445895,0.3966359,0.9446234,0.44464964,0.6901325,0.91161364,0.5539383,0.6393791,0.93170726,0.5537025,0.47227505,0.59077245,0.45216575,0.72002476,0.5941452,0.43935946,0.684112,0.39792007,0.4843197,0.74429244,0.39566252,0.48208332,0.67344016,0.22838117,0.5527205,0.7048495,0.22667266,0.5569466,0.60086787
Feathered_Peacock,0.8814236,0.49276146,0.57575357,0.867474,0.48300856,0.5993032,0.86873204,0.4840333,0.6617052,0.81387454,0.51504946,0.69942445,0.82145506,0.50573707,0.6889051,0.7799015,0.59226394,0.57006603,0.77994734,0.58228344,0.65091205,0.93674886,0.6193686,0.62920064,0.92729867,0.61480397,0.56994075,0.93919474,0.4943152,0.6050095,0.923701,0.49225315,0.36747202,0.536142,0.6491491,0.7253268,0.531976,0.6412628,0.7192311,0.34188324,0.56880456,0.6520252,0.34168056,0.56159335,0.6991938,0.1546777,0.49413127,0.65249735,0.15845272,0.50536203,0.3595605
Feathered_Peacock,0.635818,0.5449066,0.26201156,0.6440663,0.5520278,0.41191158,0.642323,0.55152994,0.35745344,0.6615968,0.5582472,0.29676476,0.6565599,0.557035,0.31399786,0.6373251,0.5138667,0.43241355,0.62093055,0.5286931,0.14984545,0.6557444,0.51774186,0.22759362,0.65137964,0.52874994,0.20301428,0.7031969,0.51902,0.3879415,0.6962837,0.52156496,0.27672294,0.5161657,0.5040971,0.48425367,0.50794643,0.5078226,0.62903917,0.3732321,0.54648644,0.58217174,0.37057072,0.5426837,0.6301034,0.26350757,0.5755627,0.6073842,0.2600302,0.57499677,0.62095815
Feathered_Peacock,0.91182286,0.4932629,0.6328985,0.90369296,0.48050708,0.63256747,0.89944416,0.48235053,0.45622006,0.85469383,0.48969686,0.7598558,0.8573795,0.48576137,0.5579597,0.81793666,0.5472393,0.6826373,0.80856735,0.53082186,0.6747909,0.9483271,0.55865717,0.86774474,0.92653924,0.5546796,0.3286722,0.9611313,0.51067173,0.14174372,0.95375353,0.49860564,0.15960267,0.55296946,0.5390135,0.6919823,0.5519042,0.5378554,0.5916389,0.3280461,0.5194247,0.65039855,0.32960996,0.518727,0.7030152,0.1274364,0.5192542,0.7352625,0.12784551,0.52037126,0.75827163
Feathered_Peacock,0.8591639,0.5718266,0.33480066,0.85091907,0.5907053,0.5120681,0.8542971,0.58654654,0.52414,0.81920695,0.60945135,0.60613066,0.8169599,0.5996987,0.595063,0.7728422,0.56337637,0.5450101,0.77135795,0.5613829,0.4122366,0.8667591,0.5594003,0.28199494,0.88078207,0.5662377,0.3118928,0.8676966,0.649198,0.2682925,0.88007814,0.65299875,0.3744345,0.548887,0.55993664,0.7352218,0.5434784,0.5551293,0.53196865,0.43023807,0.5891207,0.6388117,0.42574823,0.5838181,0.377822,0.26567468,0.59873515,0.5653847,0.26435006,0.60122985,0.4914307
Feathered_Peacock,0.5170372,0.5876051,0.11098797,0.55830383,0.58753896,0.2213374,0.510578,0.5960143,0.08912223,0.5666016,0.5999515,0.115609646,0.55551964,0.6055525,0.1257933,0.5543058,0.5658035,0.19692428,0.4752212,0.5884148,0.071602374,0.63224244,0.57366157,0.19556527,0.41400504,0.58358085,0.32457083,0.7031941,0.54769933,0.29566264,0.3050997,0.588793,0.23269057,0.5680207,0.5615352,0.40286943,0.5278631,0.57179666,0.33454168,0.59981275,0.55304617,0.38263825,0.5598816,0.55156034,0.35895625,0.7063711,0.5494655,0.3924351,0.7040653,0.54906476,0.2840298
Feathered_Peacock,0.78322077,0.65472203,0.41978192,0.7849617,0.64456594,0.4169538,0.7820688,0.6449845,0.4169233,0.7799742,0.6298971,0.52534354,0.77714527,0.6290622,0.52365214,0.73291475,0.66608244,0.5747144,0.7234482,0.66160506,0.5770231,0.7323583,0.6824647,0.2244945,0.7856326,0.68277526,0.21618545,0.83681315,0.6646857,0.6057039,0.8297841,0.66243565,0.6844246,0.51333773,0.67199016,0.5567543,0.51012784,0.67152786,0.55931824,0.3575255,0.67097956,0.61054707,0.35476735,0.6629585,0.62264884,0.19100413,0.6535563,0.7215971,0.19282135,0.6514096,0.693853
