Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Firefly,0.37630463,0.5762609,0.6023324,0.35082588,0.5829056,0.8184574,0.3499046,0.55554503,0.74912643,0.3539003,0.54889846,0.5421707,0.34419662,0.48280662,0.49298,0.4522602,0.5337906,0.7242969,0.44566786,0.3638017,0.5629825,0.6033665,0.5199206,0.7347169,0.58593816,0.2332609,0.70000064,0.7318708,0.49629936,0.82285464,0.75075644,0.19476737,0.67021936,0.6060517,0.36498383,0.60600805,0.61775285,0.25863713,0.5791054,0.48540384,0.5901129,0.5823032,0.5004805,0.36344227,0.38326573,0.46570638,0.8009107,0.7611583,0.50723517,0.35694677,0.24627376
Firefly,0.40559807,0.61367315,0.6938536,0.38259995,0.61541605,0.77534056,0.38250002,0.59772575,0.72383505,0.3715929,0.57177013,0.553528,0.3661106,0.5303357,0.64931166,0.43991724,0.5722009,0.7010031,0.42490909,0.41865742,0.86593854,0.5364977,0.6514511,0.23177978,0.58687073,0.33390003,0.8302387,0.6751042,0.49550858,0.504769,0.7458737,0.34953684,0.8002592,0.5737981,0.3840553,0.43580702,0.52590436,0.22119716,0.8157674,0.46222916,0.57406783,0.7427869,0.47396046,0.36443523,0.7784563,0.5974794,0.76673704,0.50467926,0.6776857,0.4984544,0.35278323
Firefly,0.37716025,0.64720654,0.4136476,0.36000085,0.64937687,0.43425,0.35528943,0.6162723,0.42059153,0.36872938,0.62805796,0.21954316,0.36165088,0.5304253,0.44576594,0.5061909,0.5943407,0.58144724,0.4755488,0.48567435,0.6119892,0.47444874,0.64350754,0.24676606,0.4392118,0.5474499,0.08604616,0.33542487,0.69991356,0.40432364,0.32210973,0.6460298,0.10930389,0.82125694,0.42615467,0.4239802,0.81480265,0.32217684,0.6391686,0.67386776,0.55403095,0.33017018,0.5336687,0.4594585,0.4404666,0.8878092,0.46851096,0.32157254,0.89429814,0.41539708,0.4146356
Firefly,0.44261438,0.5110614,0.62276393,0.41786695,0.5367824,0.6079173,0.42165247,0.49454963,0.57137537,0.40801275,0.5578224,0.6323647,0.40419394,0.4697379,0.64108264,0.43969002,0.5964686,0.9121363,0.43968275,0.4249655,0.71704614,0.53541803,0.69200426,0.5683383,0.51898474,0.3266674,0.78156644,0.6598083,0.6821941,0.7820224,0.65208757,0.3456276,0.83009046,0.50259167,0.5484831,0.6403528,0.48665652,0.4502346,0.57086533,0.4655833,0.69811964,0.73592675,0.47254947,0.3159872,0.6131124,0.50744516,0.86381364,0.79553425,0.492545,0.13407706,0.730234
Firefly,0.3963382,0.5137991,0.76526356,0.37616155,0.53214645,0.61618286,0.37710455,0.49143657,0.7608576,0.3976533,0.55627,0.8556886,0.39614797,0.47402933,0.67428845,0.4713915,0.58983636,0.91653675,0.4740726,0.43605784,0.6086721,0.6292805,0.63630426,0.7985049,0.6348643,0.3947931,0.72867703,0.75847274,0.63624305,0.9540054,0.7473964,0.3641318,0.91547114,0.6423705,0.5637268,0.81061816,0.6398933,0.46391332,0.8672365,0.49983123,0.689974,0.60037243,0.49191257,0.33774978,0.6622925,0.33150893,0.81523675,0.8142536,0.33880526,0.20670633,0.8528827
Firefly,0.28352845,0.7344657,0.50168437,0.26202962,0.7263541,0.5184114,0.26367247,0.7118497,0.5777959,0.25435317,0.67395115,0.26788864,0.25497648,0.6514681,0.4964255,0.3240396,0.591162,0.25723234,0.31691146,0.6095993,0.6019164,0.4744209,0.5880183,0.5281621,0.48091456,0.5884641,0.30460665,0.6063744,0.5304671,0.37242627,0.63210726,0.5274698,0.8563549,0.5299388,0.45477745,0.47963604,0.54569554,0.45610034,0.7179986,0.34366903,0.63718987,0.37361258,0.34046644,0.619716,0.5545817,0.37120163,0.6525209,0.06795916,0.22133833,0.80127573,0.5241618
Firefly,0.45861512,0.50308895,0.7147584,0.43187663,0.53186285,0.5684134,0.43253636,0.48454,0.4542892,0.41792303,0.55941206,0.7345087,0.41261822,0.459091,0.7776799,0.44119912,0.5948419,0.73849964,0.43603724,0.4160108,0.7036225,0.5204814,0.68284,0.7540704,0.50565493,0.31653622,0.8488027,0.6480718,0.6661684,0.9006993,0.629672,0.3349488,0.80643886,0.42378038,0.5342753,0.3443385,0.44367313,0.43548232,0.51124835,0.47194505,0.6940288,0.63491505,0.455252,0.3215393,0.64263636,0.5310416,0.8369527,0.72284204,0.52552176,0.16638498,0.70776933
Firefly,0.521208,0.4952987,0.61198777,0.5050911,0.5145692,0.5695606,0.5020568,0.48863623,0.48154774,0.5208461,0.5578451,0.42358488,0.5080929,0.4975713,0.22425586,0.60429275,0.592161,0.622733,0.60330766,0.489237,0.6922638,0.7507953,0.6497298,0.6168916,0.73122,0.50936735,0.49294,0.8548474,0.6872878,0.44643173,0.8401074,0.5298304,0.61651015,0.7509039,0.67263925,0.41596577,0.74257493,0.6013531,0.4125059,0.5901325,0.6381709,0.39976484,0.5009442,0.6288548,0.19505219,0.45949918,0.62638557,0.4051504,0.4651632,0.34475693,0.25248548
Firefly,0.52139515,0.5341154,0.59845495,0.5103891,0.5509391,0.4521341,0.50965023,0.5238359,0.5763189,0.5051124,0.55776894,0.6618624,0.50115067,0.5023658,0.59622747,0.5138173,0.58701015,0.76981336,0.5080794,0.4756579,0.73238105,0.5794987,0.6178873,0.6351757,0.5817249,0.4411214,0.64193076,0.6458734,0.5993658,0.58017397,0.6532354,0.45313707,0.58346534,0.5495885,0.5297053,0.42565238,0.53454256,0.4700222,0.6470856,0.5650423,0.6482761,0.43750355,0.5804353,0.3986439,0.33166134,0.62179005,0.7693235,0.6634424,0.64574945,0.28306141,0.34360817
Firefly,0.43324524,0.50365406,0.5129115,0.41334656,0.51539624,0.3926424,0.40567008,0.4892202,0.4001752,0.40782586,0.49431917,0.40384516,0.39406607,0.4444961,0.6123058,0.46529788,0.5041953,0.632487,0.4301982,0.37224057,0.7233058,0.5665663,0.5157343,0.8582578,0.5534267,0.26821294,0.90978855,0.666145,0.48090273,0.80129856,0.6912201,0.25966033,0.85132706,0.5892867,0.41800404,0.61009943,0.58520204,0.3330204,0.49749216,0.4641824,0.59103453,0.58528584,0.42496586,0.31395614,0.45197454,0.37887034,0.7228139,0.58324045,0.22992271,0.29667422,0.8144518
