Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Fish,0.53242064,0.9020447,0.646041,0.56090665,0.8859214,0.5503367,0.5580636,0.8920287,0.4813156,0.56621534,0.8093859,0.6588933,0.5655106,0.8279583,0.6923332,0.54202485,0.70045656,0.55104846,0.45752466,0.7531216,0.2844365,0.5861964,0.49439192,0.437595,0.3903747,0.55195886,0.2907969,0.4804005,0.34191996,0.20615372,0.32725853,0.46127522,0.34109676,0.4704386,0.3591513,0.4923972,0.40894097,0.3811831,0.4655607,0.47455063,0.107456364,0.71881014,0.46752554,0.105083734,0.4507644,0.476363,0.32599702,0.13847911,0.34796137,0.36671752,0.22725014
Fish,0.69725865,0.21932532,0.6479709,0.7180029,0.22329506,0.6370153,0.7141378,0.23268847,0.5658344,0.70776063,0.25707215,0.64572227,0.7021163,0.29949504,0.6531153,0.57470155,0.2730937,0.6115255,0.6353801,0.40756217,0.33986697,0.43526432,0.35014778,0.667312,0.4469535,0.4193008,0.5917631,0.2845125,0.41152218,0.49363098,0.28928816,0.41174352,0.72064835,0.5806924,0.5068674,0.5791796,0.6119151,0.57877797,0.5335976,0.53661335,0.451067,0.14341468,0.6029708,0.67992294,0.58304936,0.5476336,0.505728,0.098266006,0.56197584,0.7420617,0.6217509
Fish,0.40664214,0.7643081,0.445252,0.41662228,0.76203185,0.46288016,0.4179165,0.7666313,0.48363674,0.42476496,0.73345625,0.5679181,0.4272342,0.7476813,0.57130915,0.4062205,0.671425,0.73880166,0.3943173,0.6668207,0.69725037,0.48236567,0.5236944,0.80127484,0.4681605,0.5277407,0.4976395,0.34667706,0.47523266,0.7710904,0.3414964,0.47600543,0.23730294,0.4444802,0.39819977,0.69139916,0.421065,0.4068195,0.6376372,0.4529533,0.1670063,0.5073012,0.45222956,0.1680595,0.4728519,0.47324246,0.03590201,0.26053953,0.46835133,0.040123954,0.26160777
Fish,0.6871091,0.8174035,0.45678908,0.69842184,0.81657237,0.43403563,0.6975115,0.81943166,0.4768773,0.70860887,0.7772949,0.5497565,0.7108672,0.7883815,0.4803252,0.66311413,0.7170752,0.64740133,0.663492,0.722569,0.4361888,0.69699013,0.7248353,0.29786322,0.7047357,0.6895513,0.29561913,0.7897481,0.6628071,0.738959,0.7720492,0.6659487,0.43804723,0.7202162,0.5209658,0.70852745,0.7115207,0.5107548,0.64325655,0.7305836,0.35694945,0.61502284,0.7177645,0.35809165,0.5279508,0.73746645,0.19716722,0.57433677,0.7286374,0.19966185,0.6854815
Fish,0.6568978,0.11371139,0.60643506,0.67139035,0.12089185,0.5174878,0.670741,0.12757327,0.4744689,0.67261,0.1848328,0.5211007,0.67500985,0.19973336,0.56788343,0.62361157,0.27092788,0.6694297,0.6278976,0.29623994,0.7254644,0.67156494,0.47438103,0.49045286,0.69129336,0.4773703,0.5372405,0.6500998,0.63888854,0.380925,0.6620397,0.63998544,0.6510834,0.65724164,0.6185617,0.6962493,0.69132555,0.61367536,0.6513014,0.67708147,0.8096804,0.25674388,0.7109429,0.8629079,0.33768517,0.6748537,0.8037803,0.17257404,0.7015847,0.8128268,0.044901825
Fish,0.5855866,0.19971997,0.6175142,0.60026866,0.20360954,0.3947739,0.59615034,0.2044672,0.5227269,0.59392565,0.23741634,0.59231555,0.5925087,0.24190724,0.6059956,0.5582207,0.28944927,0.68283,0.56858957,0.27971017,0.5107885,0.63142663,0.3819142,0.42073727,0.6382748,0.36528432,0.59638894,0.6450039,0.48799345,0.470418,0.658162,0.48668936,0.44860473,0.5878773,0.49109444,0.7153172,0.601544,0.4893796,0.58850837,0.6255846,0.63451564,0.6253634,0.62447715,0.63491523,0.5660502,0.634355,0.7809417,0.4143994,0.6378105,0.7863934,0.5647145
Fish,0.49298054,0.85580784,0.6843209,0.5098082,0.85453,0.625837,0.51038074,0.85430676,0.610326,0.51653725,0.80629855,0.60742885,0.51730174,0.81138176,0.6071872,0.47780302,0.7579211,0.7818894,0.47243655,0.7501235,0.71690816,0.55923134,0.6630163,0.70593274,0.5395763,0.6606214,0.44780296,0.573809,0.5753027,0.31671396,0.55600685,0.56227595,0.27199632,0.52043307,0.5266745,0.70841736,0.50697577,0.51941943,0.69086176,0.5354614,0.347008,0.6268108,0.5209772,0.34931934,0.4917985,0.5482979,0.19640142,0.60776055,0.5363702,0.20192738,0.61930597
Fish,0.54305047,0.9059365,0.68048495,0.571933,0.8901639,0.46909556,0.5633522,0.9045714,0.4926984,0.5956936,0.8151656,0.7360676,0.58052975,0.85088825,0.53489614,0.5545419,0.7095456,0.8132436,0.49424672,0.8014,0.7088703,0.6204305,0.5537157,0.6000784,0.530624,0.66806185,0.18847364,0.61125726,0.45272025,0.42040473,0.5494229,0.55552346,0.17884135,0.54114693,0.44663534,0.5935996,0.49989605,0.4823461,0.66353106,0.5294854,0.22839099,0.69680536,0.4915096,0.299594,0.26669908,0.5270483,0.0815802,0.54185003,0.5244674,0.19501592,0.15703122
Fish,0.5243656,0.22480255,0.29309168,0.54416597,0.21909337,0.35080665,0.54665214,0.22650427,0.26386777,0.5743302,0.2504283,0.44708547,0.5726894,0.2690646,0.5755903,0.52316,0.33255184,0.48005822,0.5553035,0.35579872,0.5479269,0.5729892,0.50714886,0.19797206,0.674279,0.50162995,0.6750232,0.53576463,0.63697964,0.265847,0.62973833,0.64688414,0.43558514,0.5525341,0.62185854,0.4882062,0.61268556,0.60761285,0.5141471,0.594161,0.90634966,0.25120553,0.5991166,0.90428984,0.5342346,0.5336162,0.7202148,0.2883162,0.5569214,0.7149283,0.18015277
Fish,0.51452464,0.8364216,0.72547114,0.53286797,0.8302521,0.59783965,0.5333846,0.8315683,0.5153854,0.5425077,0.77461517,0.8527686,0.5338312,0.7837317,0.7306995,0.49622035,0.7031807,0.67882025,0.45624313,0.72214913,0.4691826,0.59768623,0.55777216,0.76294047,0.5367924,0.55538714,0.3751204,0.57164454,0.42137438,0.7362059,0.5367827,0.47164747,0.12104689,0.5381594,0.4394291,0.5672729,0.49840102,0.43632877,0.49660695,0.58421445,0.5460851,0.3378956,0.5045068,0.24842896,0.64774716,0.5764976,0.41308296,0.11155775,0.52567875,0.08674236,0.6721098
