Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Four-Limbed_Staff,0.5683929,0.8587007,0.6811806,0.5512369,0.87301946,0.59574676,0.55073696,0.8722705,0.5350372,0.5133817,0.8514973,0.7927188,0.5119835,0.85147214,0.836041,0.50198406,0.7745252,0.7935259,0.504441,0.77373105,0.6839899,0.5248905,0.6348089,0.4259409,0.53345746,0.6334953,0.7035516,0.6359976,0.6657266,0.45900336,0.6578994,0.66220844,0.8282162,0.52784324,0.5320885,0.793775,0.5376318,0.52925885,0.78085524,0.5720584,0.34158215,0.5651997,0.5786262,0.3360055,0.6523701,0.5869314,0.138777,0.66951525,0.59180695,0.13344075,0.76846623
Four-Limbed_Staff,0.49330106,0.20731981,0.5834603,0.47871718,0.20707892,0.59820443,0.47807282,0.20615788,0.620705,0.45917466,0.23522116,0.7101916,0.46168944,0.23468852,0.6168914,0.47041917,0.29500484,0.7218007,0.46622032,0.2819619,0.7539123,0.5113632,0.4146723,0.748477,0.5005653,0.38893035,0.19644126,0.5771981,0.3838639,0.56934506,0.574659,0.37309656,0.38324416,0.49112087,0.486253,0.7613678,0.5006417,0.4837264,0.5581916,0.48665592,0.640103,0.40289554,0.52375954,0.63672495,0.2972968,0.45955622,0.77251136,0.6017793,0.5303891,0.7716376,0.58191127
Four-Limbed_Staff,0.47176814,0.8491234,0.6302038,0.4548627,0.85285544,0.54629415,0.457119,0.852402,0.6104025,0.43511736,0.8321209,0.64406425,0.43779168,0.82861716,0.5910165,0.462442,0.7597334,0.5189542,0.46975508,0.75593567,0.708754,0.47871536,0.6364501,0.4624206,0.48407206,0.6039295,0.29867303,0.55441314,0.66342837,0.2817683,0.5088679,0.40983516,0.39093935,0.47798127,0.5465197,0.7191821,0.47786465,0.53510433,0.5230646,0.50338066,0.49597982,0.44392976,0.50611526,0.43661433,0.5955219,0.51594055,0.40372476,0.42761105,0.5289373,0.3653376,0.5448322
Four-Limbed_Staff,0.50514334,0.15401636,0.40590894,0.48497537,0.14801294,0.34864113,0.48460156,0.14974761,0.3245668,0.470285,0.17977917,0.6774308,0.46950763,0.18057767,0.608901,0.49887487,0.2391783,0.73277694,0.4904923,0.23913218,0.5241732,0.48774567,0.36430666,0.6566014,0.48534966,0.36699325,0.55463535,0.58574224,0.35546494,0.7096487,0.57961184,0.3589501,0.52781856,0.52159095,0.48308674,0.79567254,0.51778865,0.48687863,0.7834377,0.5354055,0.6829645,0.64197713,0.5210075,0.6775546,0.64568424,0.53875613,0.8749942,0.6393864,0.5269114,0.83732957,0.7829134
Four-Limbed_Staff,0.77042276,0.10793149,0.5961014,0.75351304,0.11085785,0.5580702,0.7541109,0.10976661,0.5442058,0.7486605,0.148766,0.78388894,0.7489448,0.14406452,0.5921634,0.77456075,0.1873493,0.6855992,0.7535395,0.19550762,0.48292622,0.7626705,0.29421085,0.57056206,0.7462598,0.29245028,0.3894622,0.85125744,0.25611863,0.8354286,0.7951849,0.27599046,0.11287658,0.7735698,0.4013258,0.6211788,0.7585131,0.39951146,0.66970193,0.7782778,0.5618596,0.47980946,0.7661031,0.552244,0.6277284,0.7762341,0.70130545,0.69980854,0.7654342,0.6802138,0.68182427
Four-Limbed_Staff,0.5848336,0.8434673,0.65256596,0.57260054,0.86100835,0.5659961,0.5722377,0.86189413,0.57208955,0.5318054,0.85451496,0.53461576,0.5336985,0.8607017,0.6264426,0.5232091,0.79749376,0.60974735,0.53773797,0.79977083,0.58213836,0.52602994,0.6631062,0.5416791,0.54120594,0.6638986,0.6261162,0.6288636,0.66455466,0.42701474,0.65535957,0.67815775,0.79289705,0.52677774,0.54513836,0.7192384,0.5387343,0.5449864,0.7569531,0.55569386,0.34522432,0.5409253,0.5606081,0.3435546,0.58972687,0.57533985,0.16683184,0.6334305,0.58017194,0.15694608,0.7275533
Four-Limbed_Staff,0.51933026,0.13427092,0.54296565,0.50278306,0.12698175,0.4740719,0.5002697,0.12933229,0.46912783,0.48507085,0.15726614,0.64592725,0.4803054,0.163199,0.64312935,0.5231496,0.2040513,0.8302484,0.46690768,0.23662148,0.62325335,0.5095519,0.34246492,0.7074565,0.465438,0.34975424,0.8723444,0.61696196,0.296788,0.84182996,0.5290634,0.31124163,0.15375368,0.53077954,0.46516332,0.73334754,0.49146527,0.46853694,0.81549704,0.55974597,0.672568,0.7747749,0.51822126,0.6542253,0.8236259,0.56891924,0.8847202,0.83903384,0.5230673,0.8424093,0.7323426
Four-Limbed_Staff,0.77526873,0.83987004,0.6422439,0.75814146,0.8424361,0.5201863,0.75925195,0.83982986,0.60066736,0.73794603,0.80649745,0.6797528,0.73737323,0.80617696,0.7769784,0.71782964,0.7529116,0.5991559,0.7355168,0.73923606,0.6020725,0.6837452,0.60902935,0.37859118,0.7019112,0.6015241,0.43409982,0.7985682,0.66269803,0.5553926,0.81044596,0.6519538,0.6255683,0.68057513,0.5160055,0.73719907,0.6908036,0.5053065,0.62934047,0.7226283,0.31451592,0.7402241,0.73152965,0.30974135,0.5750867,0.7437163,0.14309174,0.7537156,0.74911433,0.13441369,0.82418793
Four-Limbed_Staff,0.43746606,0.88904023,0.4730959,0.420637,0.90138996,0.37663242,0.4210188,0.9008312,0.3745408,0.3878033,0.8738268,0.5717723,0.39543968,0.87845486,0.5629089,0.35901925,0.77274734,0.6481433,0.41462702,0.7924002,0.7937802,0.36885262,0.61998135,0.5107495,0.41830122,0.6372569,0.87040997,0.45125636,0.6436971,0.42495602,0.54763657,0.66318524,0.8401681,0.3779939,0.5167089,0.6814787,0.41143462,0.5162253,0.7411634,0.3990817,0.31048623,0.47742987,0.43573466,0.28260273,0.733087,0.4134267,0.13876732,0.7547061,0.45478722,0.08482193,0.75041544
Four-Limbed_Staff,0.42673686,0.07012057,0.7894043,0.40783015,0.07465698,0.567759,0.40673462,0.07487248,0.60593075,0.40336266,0.123838685,0.79398185,0.40360466,0.122227594,0.7552721,0.4492504,0.19784269,0.74278444,0.4374826,0.21073674,0.6927981,0.47695944,0.34898296,0.6586098,0.4667999,0.34963527,0.6508331,0.60474074,0.34370184,0.64625853,0.57949823,0.33561558,0.47453403,0.47423255,0.46261263,0.76552635,0.4638118,0.46398556,0.7235509,0.48895764,0.6873824,0.805448,0.48070973,0.6831127,0.77212495,0.52321774,0.8942396,0.7938169,0.513898,0.88201916,0.8071556
