Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Frog,0.8030708,0.6096572,0.41821688,0.79569656,0.6187752,0.47910637,0.79733264,0.6097786,0.41794747,0.80626553,0.61950225,0.4670947,0.8072795,0.60586756,0.36564556,0.8531646,0.5884092,0.28960243,0.84622735,0.5689512,0.39568362,0.7871949,0.54439014,0.39015055,0.8075027,0.5282052,0.29307678,0.8385822,0.5241401,0.2689035,0.8420199,0.5114419,0.26297197,0.91017294,0.52772146,0.3406186,0.8964647,0.51011676,0.2434616,0.8826407,0.4010857,0.45381477,0.8764072,0.3942879,0.5075536,0.86868876,0.49726322,0.106741525,0.865452,0.5028992,0.19095053
Frog,0.54350114,0.91585034,0.6646837,0.51415765,0.90679055,0.5403835,0.5163807,0.9073317,0.53558236,0.50089985,0.84471494,0.5509968,0.5088307,0.84706956,0.653266,0.5441568,0.7187266,0.53085,0.5847774,0.7430699,0.7486281,0.48348287,0.5714878,0.1789771,0.50554717,0.62524444,0.35078627,0.4828348,0.5388432,0.5380504,0.48328158,0.5359181,0.2537753,0.67263764,0.466778,0.6694927,0.6769725,0.46740314,0.6435229,0.5880332,0.084188454,0.5757204,0.5292219,0.14817548,0.35236192,0.6331636,0.3125969,0.16361836,0.6288999,0.29242095,0.1742665
Frog,0.3312701,0.6526445,0.66912204,0.30713353,0.6529766,0.7532441,0.30845836,0.6284528,0.7692429,0.31582123,0.6178206,0.50906086,0.3239817,0.5637619,0.6078261,0.41484,0.6385547,0.7460554,0.404085,0.47985294,0.66781414,0.55390817,0.7036579,0.84086084,0.3921924,0.33468667,0.7244552,0.669936,0.7821693,0.77299285,0.52608925,0.3647394,0.45235974,0.61428463,0.48915264,0.7366792,0.6094799,0.42488542,0.7937837,0.53391254,0.30224437,0.09667223,0.5915464,0.17954339,0.74782205,0.5334557,0.35454893,0.3438673,0.5484092,0.3261885,0.22512153
Frog,0.34947518,0.043569744,0.6787296,0.3380771,0.06543301,0.6634504,0.33173174,0.057298195,0.4199655,0.39713365,0.13544782,0.7262188,0.38223013,0.1264033,0.17609563,0.49175465,0.2062829,0.5657483,0.44858265,0.20297752,0.25040713,0.3608864,0.4511438,0.47574133,0.31309468,0.3843892,0.6702731,0.6115635,0.4654718,0.35608968,0.48378375,0.412374,0.47636965,0.6966409,0.45782793,0.34788033,0.60690325,0.46072927,0.19255543,0.72956425,0.5487337,0.047225785,0.56808585,0.7285603,0.23392473,0.76463866,0.7188117,0.031089956,0.6289038,0.61556584,0.14000969
Frog,0.6888707,0.8340949,0.5709332,0.6892902,0.85428554,0.59036547,0.6707906,0.8350687,0.5162535,0.7063377,0.8547225,0.4072227,0.6633257,0.8219079,0.65329176,0.7570063,0.83941716,0.7081803,0.6605923,0.7639025,0.4605272,0.7628921,0.9289503,0.65313715,0.64395887,0.6780624,0.46719426,0.7591935,0.97354734,0.37654895,0.63307995,0.61676544,0.44448486,0.77659136,0.6208656,0.4089319,0.71669585,0.6083869,0.392523,0.7814949,0.53778946,0.23111306,0.7208789,0.47706035,0.47080925,0.80567235,0.34257823,0.47029594,0.7597762,0.47810122,0.07793697
Frog,0.40336487,0.9374893,0.7012175,0.38108987,0.93747276,0.7530064,0.3801817,0.915834,0.8360971,0.38350067,0.90563357,0.6492785,0.38065475,0.858342,0.8751227,0.4752433,0.88663524,0.55248,0.4294992,0.78694147,0.76273775,0.6227171,0.88680965,0.6266148,0.3800531,0.6354746,0.85035497,0.66617167,0.8959434,0.7970388,0.5020461,0.6353431,0.7491081,0.62345606,0.6411095,0.7907485,0.6183809,0.6236295,0.8371232,0.6452554,0.36713096,0.7627913,0.65366656,0.35747302,0.6690513,0.6410114,0.12736826,0.8665824,0.5864187,0.5484667,0.32041273
Frog,0.6582652,0.48785385,0.4107604,0.6441687,0.48426193,0.39224228,0.64460903,0.4838393,0.46334228,0.6501752,0.45796287,0.4345213,0.65105873,0.45398316,0.55669135,0.6838093,0.40722966,0.3966696,0.6914942,0.41485152,0.53148293,0.7115993,0.33208942,0.20013812,0.7351695,0.33133277,0.29319668,0.7243065,0.31299418,0.29439732,0.7418763,0.30983388,0.30197707,0.7141139,0.2593263,0.30489632,0.72165465,0.23113942,0.3285614,0.7272274,0.14212728,0.40781745,0.7278127,0.13736077,0.32419282,0.7474099,0.24362756,0.09016293,0.7547694,0.24442217,0.099839866
Frog,0.69565743,0.045569535,0.6259029,0.6694029,0.051674392,0.7441229,0.6661743,0.055952284,0.7263002,0.67495364,0.11330814,0.8618875,0.6725419,0.12331666,0.724465,0.71748775,0.19934642,0.68147314,0.71428144,0.22445635,0.42427906,0.5437999,0.3688738,0.7069261,0.5415486,0.3888791,0.44508326,0.74589074,0.4665294,0.63534504,0.7439854,0.46897942,0.44143015,0.7689848,0.5453147,0.4080796,0.77138877,0.5871578,0.34928522,0.77515036,0.59249896,0.21440618,0.74353886,0.63419414,0.06944325,0.7963385,0.6109268,0.09869352,0.80322516,0.75970274,0.11543276
Frog,0.4674887,0.70432806,0.5946733,0.44940338,0.72151226,0.8060469,0.4488008,0.6870853,0.61522466,0.46183455,0.7376484,0.81976885,0.45994335,0.6672734,0.7760396,0.5680998,0.7465982,0.893827,0.51536787,0.62631136,0.8195278,0.70220125,0.758977,0.85401154,0.530297,0.4900063,0.7273926,0.7095801,0.8758628,0.71366143,0.59126955,0.5658377,0.5239755,0.7005635,0.5724135,0.58477604,0.667124,0.538318,0.7242595,0.6846413,0.3386429,0.5536096,0.6840526,0.32866618,0.60567826,0.68948746,0.14796212,0.6049736,0.68963414,0.14373887,0.44751233
Frog,0.37197694,0.030312162,0.63085204,0.33780414,0.051063295,0.6564171,0.33571544,0.048000723,0.6742966,0.3534294,0.13252056,0.70933414,0.34856138,0.13057832,0.5979675,0.44949076,0.20966147,0.79617655,0.43795082,0.22332819,0.6383048,0.3467212,0.4572822,0.87399715,0.35217988,0.45563433,0.4696486,0.5660553,0.5591897,0.51539445,0.56425804,0.55592483,0.47594124,0.6220662,0.5360059,0.5722907,0.6334749,0.5419616,0.47274697,0.5623317,0.71673834,0.45866093,0.57669604,0.72873867,0.50149274,0.63773024,0.9801864,0.24586044,0.63633376,0.98163134,0.16828041
