Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Garland,0.69770896,0.34953383,0.45697168,0.7007699,0.32075527,0.34857628,0.7006845,0.324093,0.42540935,0.6226483,0.29212564,0.3740899,0.6319626,0.28528735,0.38624945,0.5263026,0.35888523,0.64684653,0.53388673,0.37368867,0.22484018,0.760636,0.49627346,0.8964275,0.6669205,0.54003114,0.14251718,0.70657456,0.6495482,0.44430387,0.6963717,0.6452366,0.32308465,0.43360767,0.76929146,0.74874896,0.42204934,0.7685029,0.6694327,0.45435834,0.43098864,0.61681485,0.44889456,0.42182863,0.536009,0.6641161,0.6332037,0.2591684,0.6572099,0.6425352,0.3353005
Garland,0.27458492,0.48993394,0.8569935,0.25296238,0.51219726,0.849643,0.25344974,0.46673912,0.840473,0.27996176,0.54639465,0.7915147,0.28194022,0.43728173,0.6389301,0.41018927,0.61945933,0.9144673,0.40152532,0.3575472,0.8416503,0.6004135,0.6995912,0.693284,0.5827281,0.2841744,0.80821407,0.5408449,0.52621365,0.45779318,0.5447663,0.4705907,0.6790308,0.6867189,0.53488004,0.83965975,0.6963304,0.41902915,0.8510374,0.44510168,0.70424116,0.8099168,0.46856487,0.27511165,0.7776404,0.7258588,0.6332384,0.8729298,0.74157125,0.33701283,0.8395172
Garland,0.38936833,0.4974132,0.49652776,0.35350326,0.5274726,0.8200281,0.35489184,0.46958786,0.7051298,0.35106498,0.5618251,0.61124533,0.3517369,0.43304542,0.8090202,0.4668969,0.61334956,0.4491035,0.4751073,0.3682543,0.9055476,0.67920095,0.68314356,0.8143757,0.6847835,0.29295707,0.6791973,0.67523867,0.5145522,0.5429816,0.6720586,0.46228313,0.61682844,0.6624927,0.56520534,0.6909854,0.6652358,0.44903132,0.67908114,0.5452525,0.72217304,0.49420002,0.5382106,0.24688897,0.6786919,0.76891863,0.63813776,0.57784724,0.7712208,0.3499385,0.82153887
Garland,0.2812222,0.51727515,0.6328706,0.26291454,0.53691196,0.8444088,0.26552033,0.49432936,0.66653603,0.2921392,0.5646298,0.8071125,0.29627576,0.47046825,0.67790157,0.3855868,0.6110403,0.7912856,0.39680585,0.42935732,0.9375645,0.53599936,0.7214312,0.6624322,0.55756044,0.3625769,0.72458696,0.5622186,0.612786,0.3925104,0.56466454,0.5276321,0.52750635,0.6820733,0.5687772,0.8153739,0.69361633,0.4660953,0.84973955,0.5309015,0.7332107,0.82690144,0.5410976,0.3517085,0.6782525,0.7434679,0.67300534,0.7427286,0.7527524,0.3978269,0.3448278
Garland,0.43426666,0.2713841,0.7767339,0.39948285,0.28122154,0.71483356,0.39971057,0.2774103,0.78453296,0.38620448,0.36275813,0.7853489,0.38376942,0.35869098,0.66780263,0.44844717,0.49563456,0.54244936,0.39476183,0.4706491,0.48242745,0.63508815,0.7649694,0.47255853,0.30880234,0.7389959,0.27768746,0.614613,0.7629427,0.095630676,0.33725107,0.8251096,0.20029972,0.4686355,0.8973659,0.68981475,0.4149747,0.8611753,0.5125403,0.41936246,0.5770202,0.43657,0.38857713,0.56969136,0.35718122,0.6048667,0.7628013,0.3925164,0.5857666,0.71795857,0.26111788
Garland,0.55243325,0.7449,0.3762362,0.54255366,0.7612063,0.4004001,0.5415339,0.73574513,0.43242747,0.52342314,0.7791924,0.5209345,0.51640975,0.71858215,0.47183523,0.53070205,0.81464076,0.5860291,0.5369943,0.6582635,0.46087602,0.66872704,0.8063613,0.47374436,0.6730386,0.6607246,0.2925816,0.7853812,0.8281779,0.62965274,0.79936683,0.69272125,0.63893765,0.6596557,0.73082757,0.26993576,0.6446399,0.62163943,0.2227534,0.66956204,0.7992251,0.41810387,0.65042716,0.6081138,0.42263287,0.7905161,0.8220489,0.21587685,0.7540761,0.6232723,0.2941834
Garland,0.63656914,0.7438276,0.58625066,0.626869,0.7674812,0.62146527,0.6238373,0.7731722,0.56570673,0.5513875,0.76371527,0.60020626,0.5497217,0.7669348,0.6464314,0.52404386,0.6524159,0.49061528,0.52869093,0.65145874,0.47678012,0.64052445,0.4319735,0.3249702,0.67170066,0.42135847,0.8474752,0.70218396,0.25696135,0.46842736,0.7109467,0.25744706,0.43487155,0.54696643,0.29497844,0.7656268,0.5579499,0.29642597,0.7337519,0.5327116,0.6307047,0.41963693,0.53998226,0.6418198,0.522062,0.66787916,0.2852828,0.36350924,0.66816705,0.4139954,0.11765755
Garland,0.3640637,0.2822998,0.60778385,0.3505905,0.30710214,0.7103859,0.34910238,0.26688993,0.5714746,0.37853265,0.34598514,0.7949118,0.37194175,0.25107706,0.53024954,0.49088195,0.3919199,0.82311106,0.48953065,0.21124256,0.87140584,0.64317906,0.46005854,0.42454675,0.64477307,0.11694353,0.63186866,0.6604908,0.3195453,0.59891576,0.6580574,0.262062,0.32593855,0.7510306,0.37281695,0.6489617,0.7463055,0.27075994,0.7249691,0.63384336,0.46550456,0.7556151,0.64816195,0.108648434,0.43654865,0.7969454,0.42307884,0.5083828,0.8058949,0.1913187,0.66488504
Garland,0.39645,0.56606525,0.62986344,0.37646866,0.56073767,0.5131843,0.37752083,0.556263,0.6317929,0.3838675,0.5192308,0.5427131,0.38609716,0.51248354,0.51151,0.44444278,0.48668307,0.64604944,0.4728278,0.490532,0.48074704,0.5672651,0.5134683,0.25564367,0.60617447,0.51936704,0.5341864,0.6019691,0.5307666,0.30204314,0.6178339,0.5293105,0.3326082,0.6219646,0.35038713,0.6696083,0.6448553,0.35115188,0.6186276,0.6032088,0.5142064,0.39461684,0.6154215,0.5191661,0.4389021,0.7059817,0.44114035,0.535182,0.7392932,0.43668026,0.5156943
Garland,0.34174773,0.6311622,0.6244361,0.31364527,0.6544541,0.4709226,0.30854902,0.60097814,0.8545178,0.32661602,0.6580966,0.4989052,0.3168354,0.53996104,0.85925907,0.4249425,0.6786531,0.70623785,0.4204425,0.44260657,0.8275079,0.52120507,0.7333078,0.72058815,0.6050778,0.2616126,0.8510518,0.6375988,0.6237188,0.68827564,0.69351035,0.3839944,0.77258056,0.5695817,0.5551171,0.65327567,0.5714134,0.444075,0.71544707,0.48905435,0.70521027,0.45625487,0.45443884,0.31599563,0.4899333,0.6483522,0.5982376,0.49485147,0.6932465,0.38513118,0.6784033
Garland,0.37529275,0.45504713,0.4068514,0.36253747,0.46793658,0.48278865,0.36323813,0.44369364,0.6702731,0.36660793,0.492515,0.78619057,0.3705199,0.43225536,0.7480764,0.4192287,0.5212506,0.715221,0.4204637,0.4021801,0.7530502,0.52706283,0.5578178,0.6906966,0.52036256,0.33575946,0.62300414,0.4848611,0.4683837,0.5767212,0.49025136,0.42181924,0.5448527,0.5741696,0.5004397,0.58141816,0.5742888,0.4241924,0.54625636,0.54934925,0.57521856,0.5048642,0.54150736,0.31798837,0.6336988,0.63051945,0.47823972,0.4507636,0.6249053,0.4175475,0.65431404
Garland,0.19072892,0.502191,0.8095352,0.15849939,0.534163,0.8253308,0.15718083,0.4720273,0.79709905,0.18366043,0.5709909,0.90562534,0.18144491,0.43369198,0.9061688,0.308693,0.6417875,0.9143036,0.30714783,0.35556352,0.9177851,0.54650545,0.77076817,0.8914433,0.5551166,0.22306421,0.84715223,0.5360602,0.5242853,0.36525768,0.54489195,0.4702689,0.794516,0.68011695,0.5828899,0.5654144,0.68674034,0.41569173,0.6837552,0.56032735,0.8243449,0.8094034,0.5180719,0.17262776,0.813089,0.8477675,0.70969194,0.77467334,0.8271614,0.27339178,0.8907329
Garland,0.3040399,0.66908455,0.6453421,0.28410107,0.6588293,0.6800197,0.28466952,0.6588672,0.65163755,0.2851868,0.6133574,0.6993621,0.28788412,0.60942,0.7279118,0.36701727,0.5993768,0.60978985,0.37024015,0.59473425,0.6394983,0.5039591,0.6709113,0.4830914,0.5169345,0.66607255,0.6160371,0.433272,0.6995398,0.38143733,0.4310591,0.6947975,0.52664816,0.5447721,0.4580662,0.74048793,0.5507623,0.44454595,0.83235574,0.4778603,0.63737833,0.37699795,0.4716008,0.6227773,0.60444784,0.62237316,0.56954944,0.4603091,0.6488776,0.5623511,0.7601166
Garland,0.31110775,0.5183533,0.63448364,0.28961542,0.5377771,0.9167975,0.29100978,0.49293733,0.8939121,0.30867946,0.563272,0.7448826,0.31409156,0.45881107,0.7987036,0.42630193,0.6122711,0.94382584,0.4251341,0.3916989,0.81290036,0.60905325,0.70286906,0.6267518,0.6210954,0.32182154,0.6624373,0.6287269,0.5466561,0.73056823,0.62891704,0.47704187,0.7784838,0.7231703,0.5318767,0.6147197,0.7168214,0.4089415,0.8753537,0.5869219,0.72023916,0.8031304,0.5836591,0.25236452,0.59732443,0.6981929,0.53556013,0.17442246,0.7377075,0.3237596,0.6262712
