Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Gate,0.3311009,0.58180034,0.7416915,0.3625928,0.61797947,0.66469324,0.30745947,0.60933703,0.81239474,0.4418962,0.6188823,0.7244558,0.3096508,0.6097646,0.67379576,0.5602807,0.50111574,0.6025828,0.29320452,0.44950524,0.67688584,0.73689735,0.51432955,0.65212464,0.12958185,0.6290118,0.80146897,0.83037436,0.64240366,0.8595018,0.040912654,0.8106293,0.9107543,0.6777013,0.29560575,0.9431705,0.65288836,0.115427315,0.59089863,0.80990076,0.51413363,0.83214694,0.9755501,0.16066629,0.8990373,0.9484999,0.79484284,0.65480983,0.8498905,0.27657396,0.7769196
Gate,0.33213246,0.48774934,0.7659037,0.33779898,0.50712496,0.79657185,0.32663205,0.49863958,0.6999309,0.37648427,0.51684874,0.7985297,0.34912965,0.49681938,0.7730108,0.4621849,0.49892828,0.7010658,0.35828692,0.4318996,0.86736554,0.58209616,0.5374765,0.76935375,0.27628052,0.50923675,0.7209392,0.6770557,0.5728559,0.6252492,0.2114923,0.5777097,0.74152875,0.5820346,0.40389615,0.7489865,0.57359046,0.32173294,0.5752126,0.69472104,0.5572351,0.76830655,0.7647078,0.31018066,0.717876,0.7578359,0.6991904,0.7661419,0.7557534,0.3368014,0.6586919
Gate,0.29737726,0.6058941,0.6890936,0.3198112,0.643803,0.8639402,0.2944645,0.6334695,0.8739529,0.40941274,0.65122825,0.684174,0.34699136,0.64311385,0.5712406,0.5574613,0.57143503,0.79466754,0.3156471,0.50568825,0.68655014,0.7525336,0.6081628,0.9387561,0.16076845,0.65595216,0.65390193,0.8804934,0.7612718,0.8554785,0.07534727,0.8015547,0.9212528,0.6635926,0.30508852,0.76211625,0.60758525,0.17253062,0.70516795,0.763371,0.5874981,0.4862525,0.93959844,0.11051106,0.46907747,0.9204772,0.8212779,0.7184487,0.94218373,0.14573568,0.71611005
Gate,0.37982184,0.49059945,0.7001128,0.3863542,0.5084046,0.7195555,0.37026778,0.49957266,0.61596334,0.41762632,0.5115079,0.7420466,0.38406926,0.49785578,0.68406487,0.48149613,0.48316273,0.856885,0.3913777,0.43170735,0.6311775,0.57709605,0.50227207,0.7691531,0.28503624,0.48638183,0.6587608,0.65829504,0.53602576,0.7640322,0.21928121,0.5510315,0.8230361,0.59222776,0.40129876,0.90093803,0.5921052,0.32831988,0.74415946,0.67316204,0.51033866,0.75641733,0.7392997,0.31513247,0.25757927,0.7528297,0.6384934,0.76235265,0.755992,0.3123753,0.6798554
Gate,0.37068096,0.39578465,0.5995663,0.34686726,0.39045447,0.57703847,0.3750214,0.37504125,0.459196,0.33215728,0.41051492,0.7336762,0.39260122,0.3769431,0.5933708,0.34908074,0.4880903,0.8870021,0.45495975,0.3998521,0.8207842,0.25787425,0.40380785,0.96220446,0.593654,0.35825512,0.6105009,0.20557377,0.27950954,0.8867707,0.67462265,0.2884648,0.6101937,0.5861752,0.60922784,0.82022256,0.58680123,0.4972779,0.91572446,0.7666502,0.5944106,0.6250794,0.6769675,0.36058772,0.44502285,0.6995123,0.5626272,0.65623194,0.7508927,0.24192622,0.43279895
Gate,0.50283056,0.26544422,0.48116377,0.5096011,0.25935665,0.71771413,0.51355815,0.26116252,0.6077707,0.5230567,0.29052582,0.72949654,0.53151226,0.292845,0.7107779,0.4729294,0.35405567,0.71601796,0.5673569,0.34621996,0.7687973,0.46196926,0.23242033,0.5867039,0.6816001,0.35221893,0.8783619,0.47505608,0.15975842,0.7988592,0.7615998,0.34927997,0.8030012,0.5419661,0.56536067,0.8109284,0.58436537,0.52030337,0.7734855,0.6659054,0.7173232,0.6880032,0.7673194,0.51805925,0.7909531,0.7531869,0.840232,0.8242696,0.7495703,0.5137112,0.57468057
Gate,0.38879862,0.4028363,0.5522301,0.3772847,0.4002164,0.5872472,0.39500904,0.38774535,0.5706747,0.37749436,0.40761238,0.6504991,0.41833425,0.38066402,0.6094055,0.39300418,0.46230486,0.7073594,0.46932626,0.3968987,0.74593276,0.32978928,0.39962837,0.40646616,0.562048,0.3839887,0.38561288,0.27730176,0.3272759,0.661948,0.64222085,0.34606105,0.6014726,0.55145085,0.53890747,0.87232655,0.5636708,0.46495423,0.83713245,0.6405998,0.53394234,0.18958637,0.6394662,0.37798828,0.5896509,0.707067,0.5374077,0.8240392,0.7048625,0.26914388,0.3650755
Gate,0.34112343,0.53196937,0.5740967,0.34335345,0.555024,0.67459124,0.3332703,0.54662704,0.7147276,0.38708904,0.563622,0.6229851,0.36464465,0.54781026,0.6570244,0.48171705,0.51472646,0.37910327,0.3538998,0.45830455,0.85022986,0.6023814,0.5575712,0.6732572,0.24511018,0.51761806,0.8272327,0.7130666,0.6624599,0.53254616,0.2252324,0.6329255,0.77310795,0.58848387,0.3652696,0.8611564,0.5773192,0.28408417,0.67609113,0.670096,0.5375778,0.73406065,0.79503083,0.28195035,0.6621623,0.7303989,0.6672425,0.6927928,0.73914135,0.30421522,0.4318759
Gate,0.31741425,0.4511919,0.5996369,0.3215482,0.4394924,0.61008483,0.3329226,0.43770522,0.6600751,0.35014242,0.4460452,0.6460616,0.36895186,0.4369297,0.6864923,0.33258763,0.5062822,0.8014703,0.42449656,0.4516016,0.7989466,0.28950748,0.42254487,0.40142864,0.5273717,0.4227216,0.74955046,0.27941293,0.32596502,0.7320276,0.61086047,0.36373028,0.7260777,0.53122765,0.62159526,0.9143632,0.53349334,0.53602135,0.8258819,0.70935893,0.6332583,0.7056571,0.6260078,0.38877973,0.7132581,0.68536985,0.59794235,0.4904317,0.6850471,0.27431464,0.654168
Gate,0.32244542,0.50029975,0.73147607,0.33227056,0.5476335,0.6078482,0.2842599,0.5120237,0.7214469,0.36543626,0.567036,0.7565255,0.25488815,0.49657446,0.7558248,0.45967215,0.5218761,0.7298112,0.26117173,0.40462315,0.7370815,0.6486695,0.6035265,0.7875408,0.15746422,0.5820559,0.68751365,0.8063273,0.69196844,0.7533297,0.11501001,0.79080504,0.6992118,0.5966483,0.335657,0.8577904,0.60672015,0.16140683,0.77050406,0.76199543,0.5562731,0.82257515,0.9233878,0.15823336,0.9179042,0.89757127,0.7563923,0.3673208,0.82193244,0.2853558,0.9005502
