Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Half_Lord_of_the_Fishes,0.3398839,0.34005454,0.54341197,0.3185328,0.33590695,0.7918211,0.3157847,0.35421625,0.7016875,0.33342552,0.35423547,0.8651325,0.32697377,0.4024639,0.7594883,0.4418427,0.28747588,0.9289731,0.43478706,0.48693174,0.8167803,0.6134283,0.27039564,0.9161102,0.54850715,0.56757814,0.5384969,0.74808246,0.1838259,0.8891639,0.41391674,0.54723746,0.66188854,0.75230944,0.38428506,0.6675941,0.75604594,0.4107683,0.693524,0.55460685,0.569454,0.7308789,0.71847564,0.66551024,0.60359,0.7441376,0.6681655,0.73438084,0.73674357,0.66280913,0.34561092
Half_Lord_of_the_Fishes,0.2717645,0.5293322,0.8064069,0.24259843,0.5418891,0.9034459,0.24657667,0.49326423,0.9011125,0.2572257,0.5346705,0.77982116,0.27551556,0.42593226,0.8761565,0.4002685,0.642307,0.6757525,0.39913017,0.35912067,0.70858747,0.53760606,0.7237137,0.90625256,0.5611693,0.2894345,0.71100545,0.63117427,0.5902967,0.49237943,0.7656913,0.3440807,0.45903572,0.77707106,0.6198514,0.87016547,0.78018886,0.452735,0.7794735,0.5203359,0.35137242,0.5203757,0.83102834,0.17893425,0.95151305,0.78390795,0.33498433,0.48637137,0.90684986,0.514907,0.84319013
Half_Lord_of_the_Fishes,0.27766496,0.5852984,0.84108365,0.25864786,0.57518125,0.64629805,0.25465453,0.5606725,0.87924194,0.26691255,0.51836497,0.6399522,0.26767576,0.49063984,0.7784568,0.38573053,0.6108601,0.68864125,0.36510378,0.40432,0.8824561,0.5430028,0.69852346,0.9354131,0.499652,0.30079153,0.7300679,0.68397355,0.80519366,0.9137825,0.57688487,0.41666037,0.6564244,0.6918132,0.53639853,0.7990112,0.65887225,0.4155644,0.6848475,0.4820764,0.30931973,0.62082666,0.67466104,0.2338835,0.6883138,0.7185251,0.2334923,0.62115294,0.75656116,0.4813159,0.8132706
Half_Lord_of_the_Fishes,0.35912418,0.57942057,0.67757857,0.34184211,0.57757753,0.6645718,0.3414459,0.560328,0.68370175,0.34770328,0.55250806,0.56879365,0.35336086,0.50950307,0.8933228,0.44797617,0.6214341,0.82131726,0.43040335,0.4467769,0.7544344,0.57672155,0.62266284,0.801788,0.54440826,0.44684666,0.43178475,0.7090217,0.63525635,0.80438054,0.40048724,0.4816747,0.35144743,0.6841636,0.5741956,0.721844,0.6845119,0.5028801,0.7326827,0.53567934,0.41992462,0.76412344,0.69524866,0.33198348,0.68229777,0.68447256,0.32465866,0.60057646,0.7174338,0.53580195,0.49073535
Half_Lord_of_the_Fishes,0.32272777,0.6019859,0.8349916,0.3031191,0.62187356,0.73329556,0.30699366,0.5829173,0.87037575,0.31854498,0.65236026,0.8602796,0.3246233,0.5671212,0.8214619,0.41516918,0.70014906,0.80377704,0.40165737,0.52572703,0.72651935,0.5826525,0.6968337,0.8725776,0.5514704,0.44239214,0.78432477,0.72969097,0.7205094,0.8424157,0.69862175,0.41453576,0.40737283,0.69359154,0.60807306,0.74388623,0.6735061,0.53649765,0.6201068,0.4739229,0.42181075,0.6232889,0.46744525,0.40577164,0.25272182,0.7113828,0.40188476,0.44881976,0.705628,0.39714053,0.7259063
Half_Lord_of_the_Fishes,0.31257147,0.575342,0.6633107,0.28977573,0.56668866,0.8703213,0.2897492,0.5529526,0.8991342,0.3049831,0.5169901,0.72292614,0.31030476,0.49198198,0.9030866,0.41988236,0.6018727,0.8916262,0.41859427,0.39516532,0.87028307,0.57757974,0.6760313,0.94607407,0.52576196,0.29029644,0.9511411,0.7208125,0.7490544,0.82502854,0.6862201,0.20725884,0.5739176,0.6956901,0.50631315,0.7382802,0.66224116,0.42029163,0.74369717,0.4892907,0.33427072,0.5559788,0.69031787,0.19988914,0.8007123,0.71070933,0.2170097,0.35248715,0.72277623,0.39799914,0.40104008
Half_Lord_of_the_Fishes,0.30831355,0.59568614,0.75361687,0.29084182,0.61822796,0.9127348,0.2896813,0.6089539,0.7365951,0.3139732,0.6802203,0.8363053,0.31141976,0.66334087,0.7596563,0.4160047,0.6299214,0.74351573,0.4180889,0.7245298,0.85248506,0.54893106,0.4833828,0.568369,0.55833477,0.8200667,0.7407703,0.53308517,0.4401481,0.39234054,0.7102611,0.8861194,0.84629524,0.73226196,0.65098596,0.82632333,0.7100904,0.65952843,0.77488446,0.6929386,0.38199902,0.713436,0.5353528,0.48311746,0.19604619,0.7355979,0.1631495,0.81439906,0.70954305,0.36300853,0.538573
Half_Lord_of_the_Fishes,0.26422966,0.6284412,0.7891771,0.24061036,0.62218237,0.7773681,0.2404739,0.5997221,0.9055504,0.25403917,0.57684547,0.6912044,0.25891808,0.53014,0.7893915,0.38770768,0.65075904,0.85004866,0.38366735,0.44877428,0.79326004,0.56796443,0.7344461,0.8456469,0.49650684,0.34848717,0.78542626,0.7225668,0.8537874,0.8656527,0.31815425,0.37105227,0.8406851,0.7284367,0.60571176,0.8896018,0.7170331,0.48369816,0.643068,0.49025452,0.35837197,0.81971186,0.7286567,0.21932755,0.8542197,0.7438448,0.21844089,0.73170954,0.7966586,0.4598822,0.7774112
Half_Lord_of_the_Fishes,0.4123639,0.4484719,0.78503305,0.39111808,0.47204465,0.6772277,0.38999555,0.44257456,0.6744648,0.40199193,0.51970613,0.87581027,0.39560518,0.4505112,0.7380057,0.5010171,0.5649771,0.65869844,0.4915859,0.39245725,0.76191664,0.61539286,0.60437715,0.78322643,0.647818,0.35802647,0.93276966,0.60971546,0.47105834,0.33556464,0.76279396,0.3060152,0.8127667,0.7672546,0.49037987,0.6273004,0.75472784,0.40075755,0.7720438,0.7915373,0.6410812,0.88466007,0.6354765,0.5313002,0.37889174,0.80403274,0.42161477,0.6531246,0.7905828,0.6548159,0.3859329
Half_Lord_of_the_Fishes,0.31530434,0.41159874,0.6057909,0.2999366,0.43284193,0.6798468,0.2941351,0.42145708,0.48563042,0.3157005,0.4968954,0.7069039,0.30259582,0.4739308,0.55120623,0.4097272,0.59221786,0.77634495,0.34868276,0.39787674,0.5830102,0.560482,0.6850122,0.6703914,0.4603347,0.37987363,0.6157482,0.5856651,0.52419484,0.6116753,0.5413263,0.35489625,0.47547555,0.63414943,0.5166502,0.655584,0.6275739,0.3851238,0.71201545,0.66107655,0.7678272,0.5580473,0.55594635,0.57329756,0.6060938,0.7283054,0.58137023,0.5272108,0.7166312,0.61448526,0.2867244
Half_Lord_of_the_Fishes,0.32631916,0.4152401,0.7795364,0.30690193,0.400579,0.77995795,0.3067581,0.40323317,0.58623606,0.30493507,0.3450006,0.6532197,0.30901173,0.35298672,0.72365874,0.4208749,0.22887363,0.6957253,0.3973162,0.42113528,0.8601173,0.5787982,0.22055899,0.83690023,0.5670785,0.4330132,0.2280387,0.7198271,0.18982595,0.8119603,0.67221195,0.45024106,0.098586135,0.66309273,0.38081905,0.47707635,0.69725245,0.35852623,0.8043944,0.48625582,0.5304406,0.34805816,0.5015545,0.52447695,0.6765606,0.7050662,0.60691047,0.34976664,0.7143739,0.58624995,0.39957234
Half_Lord_of_the_Fishes,0.3839675,0.53300685,0.7689072,0.3388719,0.5657435,0.83456516,0.3452121,0.49711195,0.70988524,0.3131126,0.61596817,0.7696719,0.33024463,0.46705225,0.67616844,0.37617365,0.6359095,0.77560014,0.4814815,0.471059,0.6465525,0.5868153,0.6532357,0.7491884,0.71446216,0.4043499,0.8665982,0.49332994,0.72507566,0.7448108,0.9244712,0.2826829,0.80729246,0.6218139,0.5618147,0.42597866,0.7122597,0.47096896,0.52302206,0.5883537,0.7957848,0.83861965,0.5922526,0.78734887,0.47001764,0.751358,0.57684684,0.37907338,0.7982767,0.59968525,0.43501985
Half_Lord_of_the_Fishes,0.32434598,0.15808381,0.63121676,0.30752537,0.17946094,0.77015156,0.3066324,0.17640747,0.8035742,0.32444155,0.23062377,0.5803991,0.32155865,0.22017735,0.6574486,0.4016875,0.3131001,0.81540316,0.41173133,0.1442625,0.87920773,0.5433718,0.36539942,0.7779198,0.52157944,0.18859015,0.24707112,0.6616111,0.43874323,0.5384816,0.5613664,0.28858638,0.05593208,0.66462314,0.28350055,0.78271204,0.66114444,0.18768038,0.80845976,0.7028175,0.4165128,0.9113999,0.51350015,0.34219474,0.38880792,0.71604276,0.2153485,0.48749095,0.690392,0.4562169,0.6593754
Half_Lord_of_the_Fishes,0.29455805,0.607784,0.5141144,0.27488184,0.5952539,0.7727645,0.2740908,0.58479416,0.8632532,0.29380095,0.5409812,0.6620253,0.29703838,0.5206902,0.8759525,0.39624277,0.63992184,0.93609166,0.41284624,0.43636566,0.7909122,0.5657823,0.6905223,0.87412924,0.54766905,0.34852335,0.75577915,0.6826508,0.7359515,0.8731657,0.66615367,0.2505781,0.63132733,0.68862003,0.5935862,0.88985217,0.69353396,0.5149013,0.7938063,0.50343287,0.3950977,0.45701137,0.67298096,0.2849308,0.61291057,0.6892832,0.25660375,0.49806964,0.73074967,0.5114934,0.68857396
Half_Lord_of_the_Fishes,0.290643,0.44098473,0.7984072,0.26904568,0.4614728,0.92083806,0.27167585,0.41976032,0.7842504,0.28259233,0.4919562,0.8184173,0.28950316,0.4042011,0.81488967,0.3987371,0.5441392,0.76947963,0.4045094,0.34682393,0.8684684,0.5317754,0.62613857,0.76712346,0.56600916,0.27132818,0.92682457,0.6693481,0.7374214,0.8102481,0.69294137,0.18830428,0.899465,0.7010359,0.5036263,0.5966325,0.7067901,0.40884233,0.8512179,0.6904117,0.73735106,0.7248106,0.4931815,0.59143865,0.6265586,0.7348944,0.48401162,0.7099092,0.69615823,0.7356545,0.59362996
Half_Lord_of_the_Fishes,0.43118364,0.5130468,0.7854237,0.41106656,0.53048575,0.7909021,0.40899828,0.49462712,0.7706177,0.41314015,0.55636287,0.84551007,0.40885854,0.47879484,0.758371,0.50874966,0.5995581,0.9105562,0.49738392,0.43378407,0.6866692,0.66097784,0.6265412,0.8102829,0.5976512,0.38088143,0.5733261,0.79361564,0.66280633,0.67221034,0.45187292,0.37790954,0.5702948,0.7967772,0.5746989,0.7270176,0.8037671,0.48749954,0.6824048,0.5976441,0.3908407,0.7018648,0.7951476,0.3222386,0.70369375,0.7658367,0.34238958,0.41520023,0.84299785,0.5313412,0.5760069
