Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Handstand_pose,0.609514,0.49771783,0.42898607,0.6121513,0.5064008,0.4601554,0.61119306,0.5025874,0.4611676,0.5871253,0.51367086,0.49604377,0.58584535,0.5095967,0.5472412,0.5365895,0.48740134,0.48035887,0.53703785,0.48019746,0.36039552,0.59853125,0.4756829,0.4700066,0.6131033,0.47237527,0.36817828,0.67717695,0.47671938,0.2970947,0.69453835,0.47304916,0.6845399,0.38628423,0.4713803,0.42848372,0.3870679,0.45739895,0.3234331,0.24619332,0.47972494,0.7279078,0.24492562,0.47520825,0.73186535,0.15080553,0.48576626,0.50029045,0.14753857,0.48719934,0.39614332
Handstand_pose,0.7328247,0.49430528,0.57588255,0.73506784,0.49702513,0.5198218,0.73422825,0.4864254,0.5133383,0.7134022,0.50286883,0.51596016,0.7119988,0.46661553,0.47192115,0.6655392,0.5426527,0.68157125,0.6685137,0.4365995,0.6288288,0.7776217,0.5692672,0.49371895,0.77597094,0.4008149,0.7192601,0.8827165,0.5901883,0.31928602,0.88055515,0.3785704,0.57533675,0.47649094,0.5094126,0.7098417,0.4776977,0.45485452,0.599636,0.29642552,0.497919,0.74031353,0.29564804,0.47554472,0.46160355,0.14402871,0.4943074,0.67229575,0.14560431,0.49207836,0.5860563
Handstand_pose,0.76616335,0.50081253,0.49345437,0.76745737,0.5160334,0.5821432,0.7663694,0.48678744,0.54663146,0.7334107,0.533595,0.6296488,0.73355275,0.45848766,0.5436037,0.6883611,0.5609787,0.6394267,0.690851,0.43269056,0.7586858,0.79938215,0.5820582,0.7856692,0.7979881,0.39498612,0.6041883,0.9093856,0.6130865,0.72939444,0.9069176,0.36853012,0.7927821,0.49012825,0.52657634,0.77715456,0.4910792,0.45207852,0.7001128,0.29916295,0.5224116,0.82137567,0.30213678,0.45995045,0.8337256,0.13467062,0.504528,0.57596153,0.13767673,0.4816199,0.38757086
Handstand_pose,0.6158759,0.49696395,0.384443,0.59676206,0.51822543,0.4258663,0.5943465,0.48114666,0.50693905,0.5636525,0.55223465,0.48676506,0.56672764,0.4470579,0.4121988,0.5497897,0.585745,0.44677424,0.5586671,0.4123878,0.5183573,0.7209172,0.6255476,0.16862199,0.7377834,0.36799872,0.46833283,0.88997597,0.6306736,0.7013254,0.8818672,0.36720896,0.5824522,0.3641516,0.5409128,0.55656445,0.3616814,0.4668606,0.53285265,0.14420463,0.6699039,0.59445137,0.21411759,0.4585674,0.16911784,0.10504215,0.45982713,0.37089026,0.100879915,0.43194094,0.49177465
Handstand_pose,0.7990712,0.4952851,0.59280014,0.7920625,0.4837241,0.61352944,0.7909688,0.4834647,0.6303231,0.7536305,0.47903526,0.6630705,0.7575069,0.47617903,0.6753789,0.7231348,0.5128424,0.5388038,0.7160388,0.4974092,0.5825484,0.83009094,0.54209954,0.6666838,0.8136628,0.5232427,0.43661645,0.93394446,0.5434796,0.77768767,0.9216049,0.5228446,0.33590025,0.5137546,0.5313267,0.760506,0.51404786,0.52772754,0.65785664,0.33161205,0.534151,0.683864,0.33024997,0.53037345,0.617255,0.1641869,0.52942646,0.62912136,0.16498087,0.5320768,0.7166612
Handstand_pose,0.74846125,0.48550636,0.4725639,0.746104,0.47684473,0.64437026,0.7478806,0.4789627,0.5977656,0.7260857,0.48015374,0.5101614,0.73058003,0.48390505,0.4417479,0.69506687,0.50895184,0.6886085,0.68193024,0.51976526,0.5541003,0.7784027,0.53655076,0.4199474,0.77015656,0.5382943,0.29046002,0.8032258,0.53662413,0.15166286,0.8036484,0.5407787,0.1665158,0.5610353,0.5350709,0.49531505,0.5544954,0.5219279,0.5379689,0.60030234,0.6438495,0.48226896,0.453697,0.48355377,0.50774854,0.5131748,0.65796864,0.46524787,0.3783377,0.39773214,0.6248776
Handstand_pose,0.72338486,0.5685975,0.62232244,0.74128664,0.55531794,0.70740056,0.74145705,0.55554664,0.676137,0.7301759,0.50803214,0.6740238,0.7320842,0.5060247,0.6889006,0.6381542,0.5119277,0.50695795,0.6346424,0.51025164,0.57260114,0.7990973,0.5361287,0.3615568,0.790636,0.52570796,0.47853038,0.9389101,0.51948065,0.68126315,0.89698577,0.5114876,0.45738393,0.35268393,0.5407834,0.72553855,0.3580828,0.53730804,0.77181435,0.1088091,0.5305725,0.6270347,0.108933814,0.5270552,0.7741073,0.00950636,0.5076735,0.04142632,0.032354,0.526438,0.090136625
Handstand_pose,0.6094646,0.35569465,0.6491081,0.6327495,0.34393486,0.72818315,0.63069946,0.3506591,0.77953404,0.64174646,0.27600756,0.62790954,0.643058,0.29210502,0.5039186,0.5304534,0.23805323,0.7828205,0.53400576,0.24355122,0.7513029,0.7284714,0.22529769,0.6161745,0.71618235,0.22394466,0.53355026,0.89951336,0.18525712,0.4932953,0.84744316,0.19786267,0.4379122,0.14860679,0.2484635,0.6553815,0.14334941,0.2572205,0.67991596,0.14309001,0.5799777,0.66625875,0.151365,0.5781812,0.66275656,0.10595944,0.85773224,0.2706022,0.10556851,0.85478514,0.27684024
Handstand_pose,0.6561658,0.515331,0.47138822,0.6707116,0.4984919,0.40947798,0.67109185,0.5279206,0.45269185,0.6642228,0.49411902,0.6404837,0.6633243,0.54523593,0.6426155,0.6055827,0.4699536,0.6088538,0.5957593,0.5585566,0.65265876,0.6724994,0.43605435,0.5686437,0.6818539,0.5772007,0.49033806,0.75158376,0.42620626,0.5911832,0.7542573,0.57763994,0.4514858,0.43671656,0.48105276,0.70548034,0.43379286,0.5498318,0.7630809,0.38295582,0.36885172,0.7068332,0.3816479,0.6521773,0.75384635,0.35172895,0.45094106,0.46278048,0.3511277,0.5588539,0.42651272
Handstand_pose,0.7360643,0.60794437,0.61579734,0.7508527,0.61325693,0.52115816,0.74583215,0.61592364,0.62233454,0.7396318,0.6261974,0.6634413,0.7350186,0.62620556,0.5873248,0.68146884,0.6371238,0.72387236,0.6789483,0.63954383,0.69955987,0.7859572,0.6476317,0.5264873,0.8019884,0.64468515,0.85365415,0.869865,0.6574798,0.30703714,0.918052,0.6533791,0.79143006,0.45561674,0.62760806,0.78105503,0.4574973,0.6208314,0.70439875,0.4448179,0.44972336,0.84934133,0.2610839,0.610954,0.8907918,0.44720414,0.30115214,0.8339945,0.10089089,0.61129725,0.77442914
