Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Happy_Baby_PosE,0.65925014,0.8643722,0.7217589,0.690526,0.90621376,0.8159233,0.67917836,0.9035822,0.70938545,0.7988293,0.9112965,0.83284914,0.7812606,0.90587527,0.6360679,0.8461842,0.68559396,0.7946814,0.72000235,0.71247464,0.59436244,0.63420534,0.63044304,0.36606613,0.6296421,0.64998674,0.6479391,0.3896822,0.579362,0.33953252,0.3937622,0.5842133,0.18342705,0.7894087,0.09465297,0.57234466,0.75657064,0.10934714,0.50854886,0.6681503,0.45944583,0.4992502,0.64141357,0.4298105,0.33304116,0.21367133,0.410044,0.39691344,0.28037468,0.41309515,0.21078005
Happy_Baby_PosE,0.7343097,0.654394,0.47271156,0.74567723,0.65668935,0.4449559,0.73766875,0.6572693,0.4675098,0.77369153,0.6478383,0.5196995,0.76034856,0.6433008,0.4433783,0.77810013,0.6029274,0.47592068,0.76026624,0.6025944,0.54966426,0.7128314,0.5626207,0.17374997,0.7062857,0.55199313,0.23669724,0.64438295,0.5446018,0.39756343,0.6432609,0.5438549,0.40136725,0.77243644,0.42792967,0.23055692,0.7550355,0.4348782,0.31881654,0.76318055,0.5763075,0.17523204,0.76216555,0.5826354,0.22921033,0.64953816,0.5381143,0.18165182,0.6590587,0.5414627,0.22494318
Happy_Baby_PosE,0.5565331,0.74141556,0.60207534,0.572179,0.75911796,0.74521035,0.56661284,0.75936925,0.7242036,0.6195069,0.7460422,0.77188754,0.6106677,0.7509412,0.69584,0.63437194,0.66544855,0.56275016,0.607068,0.6688529,0.5434561,0.522211,0.62188035,0.65254104,0.5263742,0.61804235,0.58927476,0.40664887,0.62508136,0.65833086,0.4015284,0.61034954,0.5249037,0.62527555,0.41004518,0.5694739,0.58815217,0.40956807,0.5163804,0.5286518,0.6149662,0.533591,0.5229237,0.5946153,0.3958972,0.35084066,0.55017906,0.36998028,0.3567874,0.55196846,0.5744185
Happy_Baby_PosE,0.49609092,0.24322614,0.701859,0.49864277,0.22596058,0.5821817,0.51672614,0.22637261,0.56518716,0.53848267,0.23030055,0.58037764,0.57585925,0.23294304,0.68542755,0.50272185,0.31866276,0.55620414,0.5869678,0.32686797,0.6526795,0.42241538,0.35412046,0.40178734,0.446738,0.35684243,0.5394071,0.27803892,0.3859266,0.34237003,0.29347658,0.38443932,0.40657204,0.47263488,0.5862278,0.7351431,0.53755486,0.6146599,0.6242735,0.42825052,0.4365544,0.40896657,0.53520876,0.4381562,0.44255093,0.30580407,0.45957902,0.31329834,0.30236778,0.4586073,0.24704558
Happy_Baby_PosE,0.6307545,0.62472004,0.4505584,0.6386057,0.63327575,0.48013094,0.635811,0.6344195,0.45073783,0.6771086,0.632666,0.6224683,0.6722159,0.6328214,0.50547445,0.68921673,0.5716832,0.6482965,0.68166655,0.57088524,0.5576136,0.6118153,0.5409444,0.31496286,0.61807793,0.54080254,0.29819012,0.51645607,0.54974854,0.45563117,0.5129025,0.5501714,0.4201743,0.6674405,0.35517856,0.45551795,0.6534973,0.36498076,0.56026995,0.62642556,0.5338951,0.33022994,0.63189715,0.53234875,0.2201851,0.5166155,0.5436572,0.23302346,0.51484793,0.54915476,0.29657412
Happy_Baby_PosE,0.6393129,0.1493582,0.8088474,0.6624899,0.118681654,0.8305873,0.6775091,0.11214471,0.7333713,0.7663725,0.13970867,0.6903394,0.79207635,0.13860796,0.7578001,0.694698,0.35082233,0.65306276,0.8007046,0.3302058,0.82563,0.54164237,0.40662888,0.38241476,0.5625133,0.40046147,0.6968716,0.2893558,0.5310297,0.28853393,0.3413882,0.42954394,0.6469133,0.62960273,0.9310245,0.3822856,0.75613385,0.892624,0.4970806,0.5667694,0.5323684,0.41010466,0.6160388,0.499039,0.26720172,0.21712622,0.5899126,0.51667476,0.20808621,0.59073156,0.48729542
Happy_Baby_PosE,0.5256153,0.16800278,0.72495896,0.5238258,0.14825326,0.7898728,0.5558643,0.15018941,0.6816765,0.540686,0.15166351,0.5860424,0.6154322,0.15839851,0.8033946,0.50756043,0.25576448,0.47780067,0.6284587,0.23362346,0.74881756,0.4276796,0.2843923,0.56771934,0.45110062,0.25551462,0.8496905,0.29861003,0.2305661,0.66400933,0.32028356,0.1920066,0.8143434,0.46853086,0.51121604,0.6249845,0.51633805,0.54373944,0.49979937,0.4391105,0.45271587,0.23676583,0.4735773,0.76568496,0.8198083,0.4461785,0.49765742,0.09245462,0.5170649,0.9245099,0.87659496
Happy_Baby_PosE,0.6697588,0.27563712,0.6564478,0.669676,0.2461733,0.7936125,0.70782286,0.26655287,0.6633352,0.6671093,0.2427799,0.5585233,0.7469489,0.30182865,0.6994766,0.587058,0.30080873,0.58599734,0.7036093,0.40757313,0.71716624,0.41067362,0.3481897,0.7370838,0.65272313,0.54766095,0.866318,0.24495123,0.3556504,0.67128056,0.57985336,0.7133532,0.71776444,0.4412644,0.57187694,0.79647624,0.48293036,0.61444104,0.76655334,0.4705963,0.34382647,0.11603529,0.7117514,0.43095323,0.27009574,0.23102699,0.3739431,0.2995784,0.23703012,0.41514757,0.14366256
Happy_Baby_PosE,0.6117372,0.7716882,0.826633,0.6366794,0.8085531,0.8138656,0.6315462,0.8100316,0.78786606,0.7411918,0.8062504,0.7048676,0.73447865,0.80467427,0.77339655,0.77883667,0.6121433,0.72262704,0.7379696,0.6224191,0.5291623,0.563945,0.5001783,0.7852416,0.5539851,0.4966772,0.65066725,0.3163137,0.58811194,0.60086006,0.25171655,0.46920547,0.14846307,0.7128356,0.08851656,0.55479413,0.694347,0.1077961,0.50206405,0.579676,0.4751979,0.2533496,0.5873339,0.4262842,0.4249246,0.23583496,0.4684276,0.6990891,0.23620902,0.46568364,0.510366
Happy_Baby_PosE,0.71475226,0.3491741,0.7662131,0.7285142,0.333137,0.87577856,0.7331892,0.331787,0.6414336,0.7803661,0.3495106,0.7936755,0.78962564,0.34896213,0.8712155,0.76822126,0.4357538,0.77634996,0.78845334,0.43088776,0.7377289,0.61421347,0.48998743,0.677648,0.6229719,0.49620712,0.6384827,0.47744116,0.5381303,0.52388084,0.4731018,0.5260241,0.46793574,0.7676928,0.7379704,0.53897154,0.8010186,0.7442684,0.53988487,0.63897336,0.504619,0.7685466,0.6618283,0.515966,0.36130852,0.45933908,0.612233,0.3895243,0.4463976,0.6145972,0.22596397
