Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Head-to-Knee_Forward_Bend,0.6989765,0.57620376,0.3878584,0.6958361,0.59492767,0.5315379,0.69357586,0.5881262,0.5081463,0.6676175,0.6091191,0.30129004,0.65549487,0.5997559,0.44091982,0.6270504,0.5822435,0.5760419,0.6004681,0.55210257,0.43915173,0.6755851,0.65345615,0.25192463,0.66533667,0.66181153,0.20925722,0.6861465,0.70266265,0.3175717,0.69762284,0.70891863,0.27233353,0.68752044,0.37971115,0.6188756,0.69771415,0.34015554,0.7486806,0.7053196,0.56150913,0.25581652,0.7659439,0.3494374,0.48585886,0.72365713,0.46312553,0.11184504,0.7416494,0.41038844,0.18972707
Head-to-Knee_Forward_Bend,0.7586245,0.74014956,0.37302038,0.7544842,0.7556729,0.66139656,0.7533162,0.7526266,0.6141419,0.7151728,0.7625586,0.39899418,0.71218354,0.7594707,0.5379414,0.6938488,0.73135626,0.76374567,0.69093364,0.7224291,0.53721005,0.74801624,0.8396568,0.5751576,0.7638181,0.8339697,0.35463768,0.7550066,0.89982545,0.55439603,0.77154756,0.9100104,0.584394,0.75122064,0.52767515,0.6538621,0.7599156,0.5090673,0.77687967,0.7772132,0.6843246,0.16024858,0.80740243,0.595434,0.6382087,0.8054792,0.628669,0.16041233,0.80887705,0.606273,0.27723515
Head-to-Knee_Forward_Bend,0.48160642,0.44469443,0.73041564,0.4649089,0.45921457,0.72424877,0.46611723,0.43290532,0.7289059,0.4698538,0.48225743,0.5757836,0.4726466,0.4233696,0.46879265,0.51817703,0.5165004,0.7735308,0.5067247,0.40446687,0.72877085,0.6242837,0.53599143,0.48855874,0.59871644,0.35364228,0.6914055,0.69712985,0.47997832,0.61376935,0.67193973,0.30069193,0.65049255,0.6297959,0.54643226,0.65386313,0.6292817,0.47536626,0.46327195,0.6532487,0.55498856,0.43558002,0.63405615,0.36325103,0.39849785,0.74122787,0.5525349,0.37452078,0.7029822,0.47683856,0.27137333
Head-to-Knee_Forward_Bend,0.282126,0.48915774,0.8616558,0.25891694,0.47644737,0.9250541,0.25886965,0.47503746,0.8905159,0.26388597,0.41856346,0.79288673,0.26419374,0.41376793,0.86412215,0.38923532,0.40124857,0.78481734,0.39925846,0.38788745,0.792954,0.51658326,0.5549709,0.6365995,0.519892,0.55982447,0.7493668,0.5860396,0.6952064,0.7365734,0.5899288,0.70057803,0.70411754,0.658455,0.33276522,0.79136133,0.6838648,0.27240783,0.7703047,0.6794069,0.60396546,0.774225,0.78901005,0.43703243,0.7107121,0.70678437,0.86861306,0.7342358,0.7261888,0.43725675,0.7056798
Head-to-Knee_Forward_Bend,0.5990853,0.3496118,0.59634745,0.58049464,0.33089727,0.58486944,0.57721376,0.33627006,0.49643922,0.5373487,0.37617946,0.8356294,0.5257982,0.37949637,0.5340275,0.5628643,0.4677727,0.5096239,0.49182352,0.48735726,0.52311754,0.694589,0.2600738,0.6051773,0.630946,0.31746992,0.36378077,0.7136854,0.08805939,0.552902,0.63273114,0.14990544,0.30942005,0.60350245,0.9317895,0.8190749,0.5660427,0.8697755,0.36821893,0.67268616,0.7366747,0.7512106,0.64572674,0.47426867,0.31545538,0.73527133,0.94658196,0.30239415,0.64583415,0.67669773,0.17074242
Head-to-Knee_Forward_Bend,0.41563416,0.40075782,0.61038095,0.3920441,0.41082639,0.62380165,0.39679885,0.39051288,0.42950502,0.3666264,0.47437894,0.79114723,0.3686972,0.4241839,0.43594435,0.39043438,0.57424444,0.6157191,0.42473438,0.43175027,0.5742516,0.56739044,0.47394094,0.457777,0.51860267,0.3755796,0.5846232,0.57895875,0.33050713,0.5182589,0.56070966,0.2567157,0.49450135,0.5186859,0.6465153,0.69258094,0.51758313,0.5397874,0.6105934,0.52869314,0.8231653,0.92524034,0.52161676,0.41189492,0.42604363,0.56310195,0.592676,0.5788535,0.59722674,0.23375049,0.3488836
Head-to-Knee_Forward_Bend,0.61137986,0.64691716,0.43134382,0.60497373,0.6684388,0.49472877,0.60482067,0.665998,0.5124065,0.5628473,0.6696999,0.58027834,0.559097,0.663594,0.4626419,0.52453643,0.60436064,0.73315865,0.522209,0.5941755,0.5203912,0.6179614,0.70078456,0.5019985,0.64782226,0.7072768,0.72448945,0.62423,0.8268559,0.45652115,0.6409885,0.8469055,0.41992027,0.5619867,0.37464052,0.5051764,0.563777,0.3348456,0.60911745,0.6103151,0.5696506,0.31978738,0.6266932,0.27033418,0.61234933,0.62731916,0.8287017,0.5183642,0.62234044,0.438635,0.47276452
Head-to-Knee_Forward_Bend,0.3033459,0.5078133,0.8682635,0.27600202,0.5333,0.93475354,0.2781153,0.48949492,0.9048471,0.284677,0.5841867,0.8987864,0.2861339,0.48742408,0.7350076,0.37684843,0.68650335,0.90591216,0.4190251,0.4586155,0.8986038,0.5171354,0.8003249,0.85745966,0.5271936,0.31701896,0.91154766,0.63501793,0.8918861,0.9306085,0.57793576,0.14284645,0.86588097,0.646925,0.71559286,0.91477823,0.6549557,0.57604134,0.79095876,0.6856633,0.8822484,0.8685784,0.6816052,0.39197642,0.5981195,0.73644406,0.62572664,0.80424565,0.7280521,0.15317899,0.6965531
Head-to-Knee_Forward_Bend,0.7474271,0.59925044,0.4120328,0.7424654,0.61690176,0.54218954,0.73789555,0.6160799,0.6126971,0.6899554,0.62572616,0.60286474,0.6890666,0.62866455,0.6343318,0.6234185,0.5550239,0.59819674,0.61217207,0.52304256,0.63465804,0.608768,0.33329436,0.5001032,0.61970526,0.4115817,0.13634239,0.5720901,0.16912371,0.421872,0.57540214,0.16536987,0.59342045,0.742997,0.3560336,0.34177664,0.7447132,0.28311977,0.39400077,0.7759173,0.56240743,0.16640154,0.58210635,0.07072934,0.5988572,0.8063253,0.82981426,0.5473408,0.7992721,0.19792125,0.7136687
Head-to-Knee_Forward_Bend,0.43315545,0.47545463,0.7835153,0.4025722,0.5025436,0.69597894,0.40040937,0.45727453,0.6864613,0.38084084,0.5652054,0.53433424,0.37969723,0.46130943,0.65044874,0.4106497,0.66876525,0.7827576,0.42573655,0.43150404,0.8250234,0.6470168,0.6048336,0.81250066,0.5982577,0.4170763,0.8719157,0.7081879,0.48189262,0.7847103,0.68208754,0.3991421,0.47879836,0.44286132,0.7400803,0.46379194,0.48592362,0.59209514,0.46902356,0.53609514,0.94786906,0.84132856,0.567894,0.52267396,0.3223442,0.4978688,0.7796325,0.31235468,0.5442605,0.5532958,0.0845119
