Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Hero,0.37084115,0.44588336,0.6583367,0.35816175,0.43240008,0.3356071,0.35523215,0.4313415,0.46217194,0.3791996,0.40315795,0.53077924,0.38108066,0.3971373,0.8046978,0.44553068,0.42375335,0.74162173,0.4472301,0.40920517,0.6770626,0.41247442,0.5183337,0.5092764,0.41733372,0.5184393,0.6498045,0.32031628,0.47402173,0.6452499,0.3140262,0.47460613,0.6270107,0.7020623,0.41286585,0.8028176,0.71158636,0.40579206,0.6937274,0.73261017,0.613148,0.7486539,0.7426115,0.6138214,0.68892884,0.7553134,0.4357088,0.79945934,0.77569914,0.4252684,0.70748544
Hero,0.1813226,0.52390486,0.7966938,0.14564766,0.5577861,0.8876821,0.14430398,0.54883724,0.7845311,0.16881391,0.65743744,0.8227729,0.16698535,0.6420196,0.7633536,0.37307492,0.70421076,0.8875858,0.35943186,0.65183485,0.64640695,0.6586602,0.537877,0.8565474,0.6088836,0.5103948,0.7038946,0.7417196,0.3135131,0.79675716,0.7094518,0.3304213,0.68288666,0.81954604,0.6446401,0.7597649,0.774196,0.6052635,0.62258184,0.8670827,0.19260238,0.8644178,0.82234985,0.20233613,0.68454623,0.9091157,0.58400446,0.80259824,0.8559465,0.57506675,0.68465096
Hero,0.1723285,0.50053453,0.60031736,0.14598183,0.4820015,0.76320744,0.14605173,0.4865547,0.7225735,0.16343868,0.42689416,0.7653042,0.16456588,0.43542424,0.52824897,0.31252918,0.34028667,0.7008449,0.32284522,0.47849384,0.8748552,0.52529806,0.35540637,0.26757368,0.56317663,0.47821108,0.687375,0.64712554,0.41808626,0.20052059,0.68798923,0.5759162,0.8249482,0.66609615,0.3413945,0.71723986,0.675641,0.4323957,0.6949947,0.85932034,0.6542262,0.397175,0.8670835,0.66575164,0.7605714,0.82143813,0.31703073,0.36650747,0.85351914,0.37535116,0.14221591
Hero,0.22352184,0.45166993,0.7690718,0.19695826,0.47067875,0.7669708,0.19606641,0.46965638,0.72549707,0.2076456,0.5386823,0.9002596,0.20463543,0.53394103,0.74890786,0.3337687,0.55672413,0.9242874,0.3336072,0.5531177,0.88346744,0.57459354,0.53569746,0.77640396,0.5735762,0.5409031,0.50808144,0.6889756,0.39965346,0.83568543,0.6774553,0.40303782,0.57379806,0.7181949,0.5433552,0.82653,0.71034926,0.53536946,0.83708704,0.8179173,0.23299041,0.93317056,0.7846207,0.23504336,0.86772305,0.8405637,0.53706974,0.7803088,0.814255,0.5336551,0.7631473
Hero,0.27969605,0.51050305,0.67209125,0.25865084,0.5252915,0.7905425,0.25755283,0.48746696,0.787823,0.27020225,0.5330829,0.6980568,0.26990888,0.45084912,0.79385287,0.3757633,0.56776106,0.85275465,0.38640308,0.39382538,0.88303035,0.51263624,0.5780759,0.602264,0.5400568,0.372262,0.6940097,0.61505157,0.5825008,0.87955165,0.6319755,0.45676154,0.815217,0.6191006,0.5449761,0.8101467,0.6344179,0.4253246,0.74292886,0.7626731,0.614403,0.70769835,0.77775973,0.5181871,0.6104224,0.6764778,0.5542531,0.3860188,0.7050823,0.4703408,0.3972698
Hero,0.54370016,0.46655473,0.44405344,0.53560257,0.46511757,0.40585127,0.5332093,0.45911798,0.42074686,0.5145397,0.42884654,0.41848388,0.51028436,0.42422175,0.5141806,0.53384054,0.4272392,0.71549416,0.5344808,0.36436516,0.6532193,0.51477,0.5048845,0.3423535,0.512647,0.5192688,0.47798055,0.47756827,0.6005819,0.500087,0.48344782,0.6037957,0.68223023,0.74864143,0.46274856,0.7951939,0.7776103,0.41969758,0.57509094,0.81031156,0.64660424,0.8282075,0.8436993,0.6181063,0.50322086,0.83208364,0.44744518,0.38920742,0.8602581,0.42656004,0.6195885
Hero,0.29764432,0.47441366,0.7929597,0.2790783,0.461538,0.7250077,0.27947184,0.46165037,0.5060869,0.28339958,0.4098699,0.67716604,0.28449503,0.40916678,0.75206965,0.37862775,0.4040535,0.6516661,0.3870325,0.3752031,0.8819465,0.5538,0.45366004,0.61867595,0.5641571,0.44006196,0.69208753,0.6306186,0.5407378,0.45828864,0.63727665,0.53599393,0.7562533,0.66932213,0.4070947,0.8417323,0.68207246,0.38363516,0.8202678,0.71518075,0.63781863,0.82145894,0.7373246,0.6356651,0.81672,0.7370242,0.4003181,0.63496757,0.7597659,0.39033896,0.5908167
Hero,0.2813185,0.68513536,0.62326646,0.25976366,0.7011136,0.78318113,0.25923467,0.69747466,0.8915325,0.26280633,0.7540301,0.6007304,0.2632572,0.7489248,0.50634557,0.38250738,0.76141775,0.61827844,0.37768796,0.76509583,0.6651183,0.55820405,0.76579446,0.6581185,0.5535239,0.7702713,0.52881676,0.64417297,0.70207167,0.59988075,0.63219404,0.6975396,0.43506047,0.6871519,0.77173567,0.7663881,0.6815744,0.7684626,0.70674074,0.7288264,0.51796144,0.68922997,0.71580464,0.51616144,0.922327,0.76271063,0.756837,0.6552147,0.75208986,0.75815237,0.7593777
Hero,0.24143857,0.47900113,0.70987386,0.2242997,0.47961938,0.5434697,0.22576582,0.45838886,0.7304411,0.22885863,0.45351267,0.17544784,0.23322567,0.408614,0.35374343,0.32413867,0.44998425,0.44905925,0.3476577,0.3849322,0.7236083,0.4818662,0.4885708,0.20376435,0.5183861,0.39769608,0.6760723,0.5542029,0.5315051,0.4642595,0.58819306,0.5082408,0.34452775,0.5700273,0.4766717,0.63743854,0.6001888,0.39793715,0.627765,0.6345956,0.5915837,0.33400992,0.67834496,0.55307037,0.5645284,0.6357885,0.40956214,0.17697512,0.66082644,0.3784578,0.5585197
Hero,0.42464465,0.49073154,0.7001933,0.41219407,0.48159695,0.5244845,0.41242206,0.47759256,0.6961623,0.42361698,0.45569673,0.3383607,0.42741242,0.4472753,0.66881895,0.48137748,0.44815704,0.5717,0.48529232,0.44078112,0.48604396,0.5770197,0.45265684,0.32051507,0.5819228,0.4313026,0.39872864,0.624305,0.4912925,0.3827966,0.62738883,0.4825724,0.3733782,0.63982624,0.4353261,0.66000533,0.64538443,0.4329773,0.55838794,0.6663129,0.574929,0.31251684,0.66501933,0.5790918,0.66247916,0.68994445,0.4563481,0.3478173,0.68892777,0.45479366,0.3813787
Hero,0.31951767,0.4754824,0.7799023,0.30027708,0.49389362,0.85551184,0.3012045,0.4560087,0.79245466,0.31112963,0.51603585,0.49121082,0.31508124,0.43578854,0.7451089,0.42204598,0.5721475,0.6988349,0.4291566,0.38088742,0.8961188,0.5682604,0.67614734,0.94767755,0.57498413,0.2737821,0.7712507,0.6958344,0.60351044,0.8414279,0.6904871,0.35662362,0.5488957,0.6795496,0.54324144,0.8239584,0.6781832,0.41827184,0.7052797,0.7817296,0.5347658,0.82089704,0.7868406,0.4215635,0.6661477,0.7357017,0.578409,0.51497275,0.7259883,0.4168457,0.56148845
Hero,0.30826423,0.5464405,0.60190475,0.28560835,0.5304714,0.7376436,0.28768307,0.52782935,0.84267277,0.2974241,0.47141704,0.59750336,0.3020741,0.46357375,0.87216324,0.43092793,0.47924423,0.85056776,0.45217246,0.46087196,0.8118133,0.62083095,0.51349926,0.48364237,0.65387046,0.49087748,0.8831859,0.69348425,0.63584447,0.5445495,0.7206149,0.63592905,0.5349674,0.74106055,0.48309523,0.7537785,0.7684158,0.47671834,0.8127018,0.78925234,0.7288936,0.5868372,0.8298683,0.74172795,0.8055723,0.83305985,0.4913648,0.43587485,0.8737881,0.49441385,0.71898514
