Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Heron,0.36568174,0.5935221,0.7081858,0.3489137,0.623247,0.6493032,0.3473004,0.6152313,0.7865115,0.3858361,0.69187474,0.8772452,0.3833216,0.6845396,0.8500402,0.54447746,0.6841869,0.8141896,0.5183611,0.63159305,0.50137943,0.45554376,0.45359206,0.6602901,0.4538189,0.451473,0.43336645,0.3285036,0.3018154,0.69311047,0.3311677,0.29729065,0.39352977,0.8752349,0.5948641,0.6777821,0.8433438,0.55388886,0.75525707,0.58365554,0.41004556,0.6168103,0.85431576,0.22025359,0.8950902,0.3380771,0.2529146,0.55238944,0.34773368,0.26258776,0.36381182
Heron,0.39309272,0.6464873,0.729099,0.38257673,0.668671,0.7939608,0.37678596,0.66675955,0.72143674,0.42036706,0.71944803,0.6520674,0.40783453,0.7171378,0.45330158,0.5155719,0.70696604,0.8109563,0.49051943,0.69803435,0.49867642,0.42024848,0.5241583,0.7310283,0.4268335,0.5312695,0.25059488,0.3686865,0.38502333,0.6393192,0.37343255,0.38160944,0.21554938,0.7874633,0.6300612,0.6287336,0.72734046,0.6258424,0.63617504,0.82151055,0.31117186,0.87471926,0.5611776,0.47808588,0.63877827,0.8673076,0.57894635,0.717517,0.40130782,0.33282283,0.4471363
Heron,0.53866035,0.37335867,0.5957819,0.5267915,0.38567692,0.6191345,0.5276615,0.3599828,0.4959716,0.5363933,0.40592483,0.50910413,0.5385155,0.3419645,0.42063904,0.59755147,0.42786756,0.42656803,0.6022281,0.34652558,0.57974976,0.56675696,0.48749027,0.16209595,0.58416176,0.43218714,0.22136857,0.51410425,0.5754427,0.26076382,0.49767,0.53989685,0.26347923,0.7898466,0.43138936,0.52445245,0.7921543,0.36925215,0.48875955,0.68172395,0.51849234,0.33722213,0.7327216,0.42041156,0.053859476,0.8456458,0.4472631,0.10801469,0.85066044,0.4430814,0.16214113
Heron,0.52039194,0.64780605,0.5457027,0.5128221,0.6732851,0.43880242,0.50587964,0.6585019,0.34379083,0.5491598,0.7252928,0.5343729,0.5371023,0.6960621,0.13630055,0.6591367,0.7206936,0.6215983,0.62124497,0.63484657,0.35929143,0.6356531,0.54332846,0.69265777,0.6307983,0.5398973,0.399839,0.48314488,0.5416345,0.43253303,0.48438457,0.5381794,0.30719578,0.91089565,0.6393023,0.5867366,0.8837467,0.57629603,0.4795679,0.66039133,0.5561623,0.132083,0.882877,0.37216258,0.54220295,0.9312528,0.5422155,0.053337105,0.8938912,0.35620242,0.08636881
Heron,0.44078007,0.6346904,0.41254634,0.4344186,0.6404458,0.39310896,0.43532372,0.6392333,0.38690785,0.44450176,0.66172355,0.44647005,0.4422506,0.65663344,0.46565312,0.4828911,0.6762787,0.59518826,0.48806247,0.6524242,0.5257511,0.45698184,0.5783892,0.32520756,0.50281084,0.56882876,0.49062198,0.4487047,0.54879373,0.4970954,0.44760966,0.5342555,0.42015222,0.62189007,0.6659665,0.54886144,0.63154745,0.63799024,0.38811868,0.5855112,0.6094547,0.16719425,0.62766683,0.6192648,0.19818003,0.6375052,0.64650524,0.17453754,0.6438057,0.6319138,0.17553379
Heron,0.2551097,0.39216512,0.67354184,0.2359078,0.36195174,0.58576053,0.23712756,0.35971162,0.6767143,0.28700534,0.2796302,0.79657745,0.292604,0.28271085,0.6996998,0.41347352,0.30893204,0.39034086,0.4224026,0.2874315,0.6377348,0.25982088,0.5075654,0.46683958,0.25729173,0.52830476,0.6562752,0.15300435,0.5871404,0.11831178,0.113739386,0.6710192,0.3870709,0.86205417,0.43173367,0.45913646,0.93054694,0.37716743,0.6164153,0.91589236,0.8125172,0.5149882,0.4835044,0.5372495,0.15281259,0.091750935,0.6829406,0.13359529,0.08579337,0.69125515,0.21220669
Heron,0.26071852,0.6391911,0.75205106,0.22667329,0.6785041,0.9523982,0.2229023,0.62683713,0.8886734,0.24605961,0.757691,0.75091684,0.22767453,0.64068615,0.804064,0.41166764,0.72327924,0.9355083,0.39018506,0.6728843,0.80806684,0.35305247,0.45354584,0.7573097,0.35435387,0.4473227,0.5574399,0.187264,0.3181233,0.7649093,0.19397612,0.32109344,0.28075975,0.8391584,0.63550675,0.79280263,0.7743252,0.59063905,0.73608303,0.89278567,0.19221789,0.89852345,0.49322382,0.36069897,0.33147445,0.93296427,0.55702525,0.7450824,0.8890449,0.54534763,0.28770605
Heron,0.47686696,0.7257673,0.48520017,0.46097335,0.74568063,0.410063,0.46265626,0.727792,0.63304025,0.46661463,0.8025023,0.5613255,0.4696439,0.7670559,0.20699118,0.5501907,0.85222656,0.57652783,0.550341,0.7659428,0.47039735,0.506743,0.63192225,0.5945723,0.5233575,0.6139698,0.52291113,0.45307457,0.5106808,0.2684433,0.45749274,0.47091073,0.51192784,0.8380544,0.690333,0.7260622,0.80818033,0.6776929,0.62243986,0.8483947,0.36223435,0.8953646,0.82744485,0.37970114,0.37630472,0.8940439,0.60587436,0.44880083,0.87503093,0.60395944,0.37713474
Heron,0.40423098,0.50155836,0.56057113,0.36486492,0.5110395,0.7778121,0.36567664,0.50678366,0.8101929,0.35329404,0.59011906,0.7298019,0.35688537,0.5891442,0.8103635,0.45683613,0.7519241,0.8686984,0.4530449,0.63605595,0.74619037,0.20496176,0.5583097,0.72721106,0.30618995,0.5358345,0.18549126,0.075443484,0.49864626,0.6176311,0.18255228,0.43049753,0.44799852,0.89078784,0.63446736,0.7776184,0.8243719,0.5937916,0.7673408,0.89581585,0.18983814,0.85680085,0.88317066,0.19338821,0.3113945,0.95598805,0.5196884,0.58169574,0.88839144,0.53282845,0.33496732
Heron,0.2722127,0.73168,0.6371523,0.256708,0.75122744,0.5152502,0.25621444,0.7448125,0.5473646,0.28273717,0.7945676,0.45156223,0.28525415,0.79348946,0.24130923,0.41267622,0.7834416,0.7208745,0.4007294,0.7824413,0.65972847,0.4937743,0.60778916,0.78912514,0.49120706,0.61345905,0.5345133,0.38249156,0.5057742,0.7865129,0.38146353,0.51219153,0.43593493,0.74952465,0.72291535,0.6992404,0.7023282,0.72259426,0.600513,0.5514831,0.49695694,0.47612244,0.50590223,0.49764454,0.48318878,0.34990555,0.32342905,0.47995636,0.34900704,0.32624605,0.401011
