Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Intense_Side_Stretch,0.7185844,0.5197503,0.41013762,0.7347275,0.53506005,0.56141883,0.73216146,0.5049008,0.512631,0.70919275,0.56006837,0.47741586,0.7037404,0.48485827,0.38211814,0.5961826,0.6082448,0.7183207,0.58338946,0.43129584,0.68482816,0.44696274,0.69739187,0.7748963,0.4386414,0.36251938,0.75508285,0.42928964,0.56389004,0.44824836,0.42939514,0.48745114,0.6156051,0.37207285,0.5840037,0.701822,0.37997046,0.48983002,0.79441345,0.586451,0.61110395,0.52986807,0.5881878,0.42207924,0.57173127,0.7006909,0.5866254,0.14562735,0.8484453,0.53208953,0.72982734
Intense_Side_Stretch,0.42422312,0.52877647,0.37213612,0.40919748,0.5250412,0.45240024,0.41310903,0.5195987,0.53462553,0.3797563,0.5418985,0.6509519,0.39124218,0.5263615,0.38644236,0.3885352,0.57923424,0.5685388,0.38064834,0.5675822,0.4697072,0.47685117,0.5814267,0.6982324,0.46564665,0.57747096,0.30369192,0.489735,0.51688856,0.19795312,0.47641844,0.56028646,0.28089392,0.24560282,0.7102672,0.5335778,0.25036883,0.6956094,0.47085848,0.41271213,0.71697,0.34727886,0.39534536,0.70129573,0.3049364,0.4745993,0.6949643,0.41520053,0.45208526,0.6940495,0.35416988
Intense_Side_Stretch,0.57604396,0.8437228,0.5137717,0.57573444,0.85186327,0.43601415,0.574623,0.8606272,0.4120235,0.5598891,0.86656946,0.43911514,0.5524967,0.87892425,0.6361841,0.5328304,0.81026864,0.29329506,0.5077032,0.8487203,0.33446082,0.52473485,0.7966683,0.08196437,0.39581576,0.8240493,0.8004269,0.520955,0.84523225,0.27189922,0.5273388,0.8450204,0.4108445,0.4136853,0.6618156,0.6073091,0.402111,0.6903923,0.6999793,0.553607,0.58882517,0.69216806,0.5703367,0.77301383,0.49767163,0.68201095,0.5338621,0.83624136,0.6800315,0.84319144,0.633224
Intense_Side_Stretch,0.5666902,0.6375886,0.64232475,0.5631714,0.66099805,0.68261814,0.5653184,0.66710824,0.6994347,0.5094571,0.6847921,0.67924774,0.5121332,0.68419987,0.747072,0.44650394,0.62190336,0.4761143,0.44196358,0.6452942,0.7594441,0.33035323,0.5878207,0.36473334,0.29622957,0.7062288,0.77133584,0.28589162,0.5838155,0.8125245,0.27978808,0.59196186,0.28381944,0.296006,0.37316078,0.76261073,0.29950777,0.3921427,0.8787332,0.5482249,0.2954026,0.89520013,0.5526217,0.47439244,0.6659633,0.7629114,0.2384306,0.8376171,0.78416675,0.55666494,0.67184913
Intense_Side_Stretch,0.58361053,0.333868,0.7366979,0.5800665,0.32238424,0.65334207,0.57728744,0.31890875,0.5295993,0.5256835,0.3100089,0.76901203,0.522083,0.29820135,0.7112971,0.4419708,0.33926892,0.851981,0.44986108,0.32925898,0.8204531,0.35653543,0.3358376,0.28089437,0.39717585,0.33446157,0.36484724,0.27664223,0.34189367,0.6099879,0.2824255,0.33753365,0.6293036,0.28474596,0.57888645,0.89473873,0.29852295,0.55481106,0.70573676,0.50529194,0.7237925,0.8405961,0.5275966,0.41870365,0.8469902,0.7263871,0.85710675,0.913441,0.71824723,0.30050403,0.87383175
Intense_Side_Stretch,0.4427578,0.7329148,0.676438,0.42163488,0.7383808,0.7033071,0.42127424,0.73896044,0.6861787,0.3880013,0.703219,0.7001942,0.38788047,0.70530105,0.776183,0.41592374,0.6343671,0.7023805,0.4289923,0.6430079,0.86667395,0.39820668,0.4913038,0.67837477,0.40367725,0.49956214,0.475907,0.44329056,0.5306879,0.3556221,0.43886542,0.56305987,0.18378471,0.5184422,0.39147446,0.74587154,0.5250927,0.40621877,0.76659197,0.69027823,0.29650307,0.83761907,0.7154837,0.514099,0.817604,0.8427805,0.20538783,0.8896979,0.883218,0.6344052,0.9259478
Intense_Side_Stretch,0.5768398,0.6020862,0.46863043,0.5808745,0.60876524,0.50944275,0.5840558,0.6062576,0.46871305,0.5720292,0.6350952,0.67415076,0.56788397,0.62402415,0.44736144,0.51572037,0.6346736,0.33755133,0.5419807,0.61440676,0.46412152,0.4260504,0.6294849,0.6218923,0.43658155,0.63132036,0.711402,0.55565184,0.61166376,0.28402907,0.5660393,0.6112355,0.29412216,0.40747303,0.49657688,0.6504704,0.4119633,0.46767217,0.7551715,0.5690099,0.56865627,0.3884569,0.5566041,0.42269015,0.68847156,0.677719,0.62090546,0.58611244,0.66510725,0.37476093,0.72175914
Intense_Side_Stretch,0.75014526,0.6685069,0.6272855,0.73423517,0.6846567,0.68981874,0.7327949,0.68100166,0.7340947,0.6595476,0.6798436,0.75256574,0.65961754,0.6576961,0.7866621,0.5999399,0.6735414,0.57660884,0.59330994,0.55804366,0.54222757,0.36647204,0.672187,0.7457843,0.38789275,0.5259526,0.62560934,0.45271352,0.6473499,0.23662664,0.39051738,0.59853345,0.3246465,0.3711322,0.47636572,0.6594492,0.34851402,0.35032517,0.6055912,0.634915,0.5081265,0.19740078,0.6164798,0.2625003,0.61595136,0.9092671,0.5852171,0.5163466,0.8856389,0.18048435,0.65935
Intense_Side_Stretch,0.59550256,0.62454504,0.5005899,0.5926691,0.6310772,0.543462,0.59100956,0.6302622,0.52281773,0.5672189,0.62315404,0.59446913,0.5696291,0.61648554,0.57741123,0.54876256,0.58601844,0.69173145,0.5440712,0.5965152,0.584809,0.63505447,0.63670695,0.50964844,0.6466931,0.6523973,0.2804519,0.6697109,0.5507549,0.41766664,0.697088,0.7101288,0.648891,0.41689074,0.44782242,0.69997954,0.41434607,0.4337384,0.7192026,0.56268823,0.5224174,0.40597415,0.5580221,0.36999568,0.7005569,0.6656837,0.5481139,0.16119918,0.6951809,0.32660463,0.70064384
Intense_Side_Stretch,0.54254246,0.36758956,0.39426196,0.5532912,0.37367412,0.47234583,0.5543058,0.37624285,0.45418793,0.53134686,0.4048781,0.56445193,0.5305985,0.40929624,0.4611323,0.4841461,0.39510134,0.61594474,0.47726318,0.38739356,0.6143039,0.34060836,0.36720067,0.541081,0.34097642,0.36641267,0.6645316,0.34368876,0.36412573,0.31868583,0.34425238,0.36524513,0.3443975,0.328115,0.25189975,0.5836955,0.32027066,0.22990684,0.68651634,0.5163704,0.32055026,0.26594394,0.5007808,0.15723863,0.6032904,0.65377474,0.40296033,0.3021172,0.65076137,0.09571606,0.7375667
