Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Locust,0.8826084,0.8949795,0.7362685,0.86538005,0.9006886,0.7562849,0.8670262,0.90091556,0.7410826,0.8461925,0.8668895,0.61410403,0.8485281,0.86676174,0.84998244,0.833755,0.77779585,0.6111416,0.8851121,0.79569066,0.6458427,0.8530986,0.6560728,0.32297578,0.9098841,0.6410403,0.7024204,0.88089937,0.55306923,0.3676739,0.92690945,0.540434,0.33948743,0.80093163,0.5802027,0.70752,0.8290425,0.58028555,0.59516484,0.77764106,0.35978934,0.6823429,0.8813005,0.33404878,0.64492166,0.6781052,0.18447073,0.93004674,0.88789564,0.13131082,0.89160955
Locust,0.6667725,0.11271191,0.5528914,0.65416706,0.10810887,0.56593746,0.65307564,0.10876243,0.4728009,0.6364228,0.13067152,0.63270104,0.63354695,0.1321088,0.50587064,0.6726976,0.16847645,0.67340076,0.6230765,0.21739699,0.4444906,0.6732993,0.30129942,0.17450719,0.6386704,0.3436386,0.18393464,0.6861441,0.34183338,0.37672943,0.66244185,0.35350364,0.47665608,0.68998706,0.40404606,0.5408206,0.6682539,0.41092694,0.5338713,0.7051209,0.48061344,0.44075474,0.68705595,0.48580134,0.20515536,0.6629916,0.6103383,0.31250358,0.65842795,0.61056,0.34021896
Locust,0.7272769,0.8847729,0.70841736,0.7083679,0.8857467,0.66451883,0.7103068,0.8841868,0.6826002,0.6929129,0.84369975,0.69756454,0.69782656,0.8409834,0.6326307,0.68604904,0.75936526,0.76253223,0.72775006,0.75449854,0.79700977,0.67566645,0.6090488,0.49523932,0.7311332,0.6044559,0.36007324,0.74211514,0.6067752,0.25730324,0.7623434,0.62591726,0.18933575,0.64153844,0.50920594,0.79347587,0.6564844,0.50060284,0.7814419,0.5272079,0.2992445,0.62425596,0.5201018,0.29501313,0.7224762,0.36972877,0.14661479,0.7798321,0.36217007,0.14824946,0.80208546
Locust,0.48878485,0.09207164,0.5296964,0.46951404,0.08585667,0.57587415,0.46895453,0.08569693,0.5879071,0.44777447,0.12647925,0.67358506,0.44846076,0.12443791,0.59564424,0.48693588,0.19628167,0.80816346,0.45155573,0.22490442,0.66899824,0.50793463,0.35074788,0.6143294,0.47281492,0.3622205,0.55332786,0.552013,0.474191,0.649177,0.51627225,0.46648192,0.52710336,0.5500855,0.46644792,0.6569267,0.5205299,0.4634373,0.70390725,0.5270678,0.65262914,0.52233213,0.48918912,0.63621134,0.5905934,0.44141877,0.8520045,0.5564521,0.42305565,0.83186626,0.5751999
Locust,0.8812505,0.86718506,0.77097565,0.87118083,0.8883371,0.59776294,0.8715028,0.888357,0.628394,0.83306134,0.87611413,0.7643703,0.83423316,0.8768369,0.7951602,0.83231443,0.7832629,0.61927533,0.8477893,0.790337,0.59248537,0.87051266,0.63594913,0.54892325,0.88620937,0.63492715,0.70024866,0.87575394,0.50992393,0.7028587,0.88403887,0.5094007,0.58229715,0.7859888,0.5859395,0.7855925,0.7901646,0.58503866,0.61235476,0.6821692,0.39836213,0.7883863,0.67937785,0.39803272,0.75770485,0.5213437,0.2677986,0.83046585,0.52011144,0.27384338,0.83214796
Locust,0.50438875,0.045414895,0.4990598,0.48405614,0.0420523,0.54380774,0.48469687,0.040490784,0.50676197,0.46664125,0.08543044,0.56728727,0.468111,0.08379323,0.5605593,0.5137873,0.1862614,0.7786198,0.49601346,0.20050973,0.73319197,0.5409298,0.3267161,0.48581305,0.5349623,0.33253193,0.69141567,0.5302574,0.45788175,0.49853083,0.5296889,0.45884594,0.70521224,0.6311681,0.41640136,0.74003345,0.61997247,0.4164454,0.63393116,0.62594324,0.6646363,0.7764397,0.61582863,0.6618518,0.6886211,0.60548383,0.86202914,0.66982454,0.5945087,0.84683853,0.78738344
Locust,0.5259594,0.09522136,0.6538306,0.5089363,0.10033771,0.80743647,0.5080803,0.099654905,0.7993447,0.5184431,0.14194591,0.71071863,0.5168536,0.13964409,0.5648911,0.59581304,0.20181732,0.810798,0.55944866,0.23440588,0.6760645,0.62482697,0.34525228,0.5413743,0.59585637,0.35038918,0.5118239,0.68330586,0.48074046,0.7794562,0.6504568,0.46492913,0.4514828,0.6543642,0.4463928,0.6869689,0.6284392,0.4454071,0.71595097,0.62643695,0.6207061,0.6276767,0.5930724,0.6039018,0.51405376,0.54935163,0.8176678,0.49461696,0.53590155,0.7869684,0.4565031
Locust,0.63243437,0.830267,0.59505,0.6173163,0.83736366,0.6008328,0.6218645,0.8333833,0.67746156,0.57466334,0.80542356,0.5199961,0.5867772,0.7985098,0.5104093,0.52442473,0.741845,0.51270765,0.59594,0.6747216,0.6382756,0.49738097,0.62762713,0.34801304,0.567213,0.5402179,0.5192225,0.48729727,0.558428,0.35347292,0.57282966,0.51007277,0.09689688,0.51397663,0.51420444,0.7219862,0.538984,0.46631607,0.72665423,0.4865625,0.36107337,0.6184216,0.53235525,0.30656812,0.5025935,0.4254075,0.24485518,0.789879,0.45169225,0.13818158,0.78088456
Locust,0.5408535,0.11741156,0.7115855,0.5276997,0.11072944,0.68378466,0.5233227,0.11142184,0.58073074,0.5138179,0.14486818,0.59651566,0.5018318,0.14541534,0.5915496,0.5383866,0.21340081,0.76541907,0.48438418,0.23754878,0.61001945,0.6022144,0.3537531,0.8500617,0.5056931,0.35260728,0.5039261,0.6201331,0.46214205,0.7026029,0.58077323,0.40144607,0.0917408,0.5370482,0.47512174,0.6029717,0.5080048,0.48535213,0.7722654,0.47040415,0.6545334,0.64073366,0.45011467,0.655712,0.6246906,0.38178343,0.8698947,0.68028605,0.38258058,0.86345255,0.76482123
Locust,0.47937942,0.234967,0.5925501,0.46500567,0.24742633,0.42126092,0.46503836,0.24297634,0.69574714,0.4742638,0.2861849,0.60624444,0.47095445,0.27814057,0.5715579,0.51456696,0.31781423,0.6367182,0.5090839,0.30314216,0.44277883,0.5080765,0.45072424,0.30017108,0.50154597,0.44770804,0.25259584,0.50369203,0.49454296,0.429542,0.49859986,0.49694648,0.4763826,0.6008737,0.46559787,0.7248601,0.5962038,0.4551271,0.6501341,0.5784286,0.6169991,0.61645055,0.56591374,0.614793,0.4870455,0.5442627,0.75630486,0.37451044,0.5388354,0.7350854,0.6484034
Locust,0.6013541,0.059114844,0.7477161,0.58297443,0.06640904,0.68138164,0.58235985,0.062476218,0.5686032,0.5798106,0.11899732,0.6484567,0.58117604,0.11278714,0.4824667,0.6523873,0.20456533,0.834835,0.648936,0.19528572,0.6333866,0.65455884,0.3596567,0.410665,0.6457585,0.38272536,0.3701782,0.6419965,0.51012856,0.29510948,0.6408706,0.5059991,0.7288461,0.75158185,0.44852847,0.7955151,0.74968255,0.4455928,0.68749,0.7321889,0.66406053,0.47451004,0.72336364,0.6656282,0.6181352,0.6110139,0.86512554,0.6981347,0.6157118,0.85735065,0.47245875
Locust,0.68177,0.8844913,0.70477206,0.6620557,0.8892062,0.54791355,0.6622427,0.8867282,0.5634378,0.64424425,0.8563421,0.5389228,0.642806,0.8487122,0.74919516,0.6611102,0.77236307,0.6671877,0.6860145,0.7800862,0.86690205,0.7007352,0.6563405,0.34084898,0.72271883,0.64922726,0.49807414,0.7430248,0.5839299,0.3733645,0.7652693,0.5717022,0.60256755,0.68438804,0.5463126,0.77925354,0.70263696,0.54419917,0.6674754,0.6827097,0.36192697,0.7594507,0.73495704,0.3414694,0.7082873,0.6368925,0.18862514,0.82817864,0.72170645,0.1549641,0.7649885
Locust,0.68865895,0.11994048,0.42078802,0.6753924,0.11153297,0.43881783,0.6704128,0.111980736,0.3581773,0.6584233,0.1366003,0.48737192,0.64816564,0.14009324,0.23910181,0.7053954,0.20086147,0.6209923,0.64444804,0.23517284,0.3591954,0.73992395,0.3188853,0.7442907,0.66276526,0.35666522,0.2584254,0.7879555,0.41745114,0.6315242,0.66887784,0.4461734,0.4367212,0.74371564,0.40412974,0.53971636,0.70997393,0.4113894,0.56170416,0.7593547,0.59064764,0.35621676,0.723676,0.59238905,0.46629617,0.7358564,0.7662345,0.42654634,0.7228477,0.7604894,0.48904428
Locust,0.3438013,0.72243613,0.6037686,0.322047,0.7363283,0.63408,0.32226193,0.7331423,0.57935375,0.279149,0.7142494,0.46525288,0.28418234,0.71715623,0.7004618,0.28758144,0.6602341,0.76458514,0.2921579,0.6562646,0.7760971,0.28575975,0.7835891,0.5381352,0.2894461,0.78750354,0.5192457,0.25307262,0.89250106,0.4968824,0.2550214,0.8911458,0.6699636,0.34830192,0.45285222,0.70458704,0.3568131,0.44820073,0.7755836,0.2968567,0.2655321,0.81998396,0.30433112,0.25082105,0.75801104,0.17231025,0.14577146,0.6824452,0.17298004,0.120904595,0.38176396
Locust,0.6106193,0.775914,0.7035899,0.598075,0.7684063,0.6103576,0.59751934,0.7672442,0.565721,0.6152851,0.73998016,0.77825654,0.6159506,0.7332343,0.7851801,0.6646624,0.69691414,0.7439943,0.67006505,0.7006639,0.7740688,0.69588923,0.5886335,0.5152726,0.7072957,0.59021986,0.45989835,0.7917221,0.63335216,0.44042802,0.8114231,0.6298712,0.7146137,0.7501736,0.5240159,0.7702806,0.76458716,0.5180832,0.7585827,0.7491108,0.37284678,0.7023933,0.7603436,0.35498467,0.5336095,0.7187515,0.2452959,0.52129847,0.72485197,0.21804327,0.61372364
Locust,0.56773293,0.8821881,0.80038726,0.5512829,0.8735926,0.66976756,0.5523787,0.87504965,0.6994179,0.5637171,0.8282848,0.6503183,0.5677793,0.8299043,0.6830349,0.5882773,0.77291906,0.5620928,0.60230744,0.7733648,0.7511744,0.5703573,0.6490368,0.54923224,0.57247204,0.65100837,0.48811057,0.54639935,0.53599596,0.5726928,0.5429011,0.5359584,0.59390515,0.6797405,0.5691774,0.6776056,0.6847333,0.57468927,0.64786315,0.67537904,0.3725963,0.6580213,0.6839246,0.36926216,0.592608,0.57914746,0.20379524,0.7532961,0.5832912,0.19730935,0.43723476
