Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Lord_of_the_Dance,0.32902277,0.56092644,0.64617944,0.31110606,0.567323,0.56558365,0.3061553,0.54880023,0.7113005,0.31254837,0.5572776,0.47157618,0.30516773,0.5146908,0.65768033,0.359502,0.5627478,0.80548567,0.31414202,0.45970935,0.70399034,0.35229605,0.63067687,0.68213433,0.27423644,0.4100066,0.43684274,0.27464172,0.6779834,0.7149291,0.23886114,0.3761269,0.8369902,0.48248425,0.44947848,0.7727541,0.4309483,0.39144197,0.6414532,0.60724264,0.4326939,0.79579705,0.3639413,0.31756932,0.804152,0.75628734,0.41496873,0.9274266,0.25138077,0.36941808,0.62194186
Lord_of_the_Dance,0.23443417,0.38942403,0.6072793,0.22433999,0.39734024,0.8452452,0.22154266,0.39921144,0.82290447,0.2354383,0.43834567,0.7241927,0.22810227,0.43457082,0.8980071,0.28050628,0.49466357,0.7831332,0.31601453,0.4029565,0.66131634,0.26343575,0.61105514,0.9234824,0.28513676,0.3042146,0.7158505,0.23265177,0.71412516,0.8395703,0.23356837,0.23940146,0.8890667,0.44280785,0.5638322,0.89542097,0.49579284,0.5344021,0.7404544,0.39367542,0.74567086,0.8272084,0.65849084,0.55127764,0.8205974,0.25612983,0.7251207,0.6458687,0.8253059,0.5728765,0.9429406
Lord_of_the_Dance,0.33902368,0.63590425,0.7037644,0.31678694,0.64361054,0.7849735,0.32024944,0.6335088,0.66432714,0.3127795,0.6203954,0.67539144,0.3116398,0.591732,0.6880823,0.3657003,0.6271413,0.719777,0.30700538,0.54136246,0.6881099,0.37174848,0.7241071,0.904697,0.27578896,0.45249072,0.92217064,0.35636684,0.8134098,0.8164106,0.2257992,0.36160296,0.84868616,0.48852953,0.44533348,0.7011021,0.4200603,0.4257233,0.7173142,0.6234425,0.42372146,0.90782493,0.37605408,0.24992952,0.6432782,0.78378457,0.42548597,0.9435196,0.24359648,0.33762994,0.7757216
Lord_of_the_Dance,0.20679212,0.5239275,0.2539981,0.19469754,0.5197744,0.33403677,0.19300169,0.5124214,0.26378518,0.19944702,0.52422756,0.26182562,0.19575173,0.507659,0.21657674,0.22647947,0.57082236,0.4023503,0.2418736,0.50898266,0.2608291,0.16370635,0.5481347,0.43500602,0.1668171,0.5489718,0.20183323,0.08625652,0.44645742,0.74449027,0.08263551,0.45068312,0.30192807,0.40102226,0.60873497,0.44649842,0.4349157,0.5395338,0.35668346,0.4359735,0.48109424,0.21860331,0.64046735,0.4873279,0.629447,0.44115832,0.50205964,0.10076519,0.84076405,0.50095487,0.50098634
Lord_of_the_Dance,0.2800607,0.35623762,0.60464406,0.25963518,0.3643022,0.8396071,0.25893968,0.36012417,0.6805119,0.2584262,0.40309784,0.85361576,0.25587323,0.39960822,0.6341185,0.3188875,0.39794934,0.8228273,0.2586305,0.5154939,0.9123295,0.30354014,0.28684658,0.7786983,0.27204722,0.6062317,0.72269017,0.29690424,0.1758385,0.8699805,0.28909156,0.7189198,0.6437461,0.42246488,0.62212765,0.6188523,0.37480435,0.66238016,0.7508089,0.5954298,0.65264153,0.70959467,0.4347243,0.82521456,0.8367893,0.7680504,0.6225638,0.82670444,0.30130357,0.7467691,0.89203703
Lord_of_the_Dance,0.32264736,0.6694157,0.82344633,0.3013124,0.67439914,0.6772879,0.30006886,0.64797384,0.8230566,0.30687493,0.65640575,0.7527903,0.307801,0.5968795,0.847939,0.3917401,0.6688046,0.89674664,0.35246903,0.53913563,0.7740931,0.27727827,0.7300135,0.89000636,0.3031687,0.4329855,0.695694,0.26585948,0.6396346,0.38694188,0.2440516,0.52090096,0.6762189,0.56270117,0.4672067,0.637586,0.51120716,0.42685965,0.74031925,0.73993224,0.43251795,0.89196664,0.39496136,0.2560735,0.85480714,0.91089416,0.44952238,0.95735055,0.29794958,0.43293625,0.3126717
Lord_of_the_Dance,0.37793642,0.7120657,0.50789154,0.37449574,0.7138578,0.4945567,0.37244505,0.7108154,0.51772356,0.3934834,0.7309879,0.40697286,0.3954269,0.71819293,0.35747784,0.41835418,0.74897224,0.36024585,0.42312384,0.72751606,0.5102415,0.33149874,0.7499994,0.46495384,0.33181915,0.7432643,0.26322603,0.3059144,0.79482347,0.5341147,0.33797657,0.7435988,0.26836517,0.4769836,0.79627216,0.5397564,0.47892606,0.7842592,0.5154237,0.5962232,0.8247543,0.39398044,0.39678597,0.86690354,0.33297053,0.68111634,0.81845635,0.68897253,0.46481183,0.8157522,0.074270666
Lord_of_the_Dance,0.18576303,0.6399864,0.5344253,0.16724384,0.6327208,0.5862814,0.17085244,0.62272674,0.6089365,0.17599328,0.603892,0.7245383,0.18816154,0.5659749,0.7037397,0.25938296,0.6485024,0.92883694,0.26499563,0.51504016,0.86221397,0.13283195,0.6974752,0.9276892,0.22887658,0.39324677,0.5749252,0.08183255,0.5889848,0.8448399,0.14016865,0.4577437,0.8441482,0.49353623,0.49735022,0.7266437,0.43904167,0.45923522,0.7547064,0.7078848,0.46624666,0.95349413,0.40064782,0.23617834,0.8396978,0.9290385,0.46249366,0.9549125,0.25056455,0.37918353,0.6256459
Lord_of_the_Dance,0.29999638,0.687047,0.68010485,0.28850672,0.6675928,0.61929834,0.2874763,0.6730888,0.7045095,0.30165356,0.63265544,0.58428454,0.30390263,0.63666236,0.7316409,0.35447106,0.6208379,0.53924197,0.3722084,0.6391605,0.7009778,0.2243988,0.6250167,0.4025052,0.22401263,0.63960034,0.84763384,0.121028714,0.54155296,0.6647375,0.11121676,0.55644184,0.5351664,0.45488176,0.4795106,0.8228218,0.5091164,0.48817638,0.7054587,0.29253584,0.36181253,0.7201285,0.7150172,0.5011987,0.8974032,0.14302799,0.4723223,0.567039,0.911193,0.48428607,0.88301015
Lord_of_the_Dance,0.28764382,0.39699176,0.76786566,0.27228016,0.40481734,0.67241746,0.2701154,0.4049534,0.7009988,0.2736115,0.4473731,0.9098616,0.26941043,0.4447239,0.9307913,0.30646992,0.5191262,0.846464,0.33199927,0.43185857,0.70567304,0.29697382,0.60728806,0.74500203,0.32452092,0.32760638,0.76170135,0.28081256,0.7136115,0.82777035,0.2886359,0.2563214,0.84441525,0.43821245,0.6173546,0.8097474,0.4788162,0.5874118,0.8097924,0.4146144,0.7746786,0.89402443,0.6191659,0.6173761,0.651549,0.29681566,0.72458637,0.71204036,0.7834441,0.5969181,0.900161
Lord_of_the_Dance,0.39937449,0.39370936,0.60903645,0.39093322,0.40117604,0.5852681,0.3913644,0.3993437,0.644106,0.39697513,0.43897715,0.46940446,0.39555773,0.4295081,0.54796004,0.43079224,0.48741952,0.65324634,0.4518699,0.4223725,0.5681772,0.388328,0.5583404,0.60289973,0.4552338,0.3663414,0.3285351,0.36047405,0.6235056,0.90360117,0.44719097,0.30011868,0.52047354,0.5215547,0.547802,0.735335,0.54934615,0.5326881,0.70687497,0.48262197,0.6767241,0.75892186,0.66663235,0.54349285,0.6203097,0.36603463,0.62974113,0.5450877,0.74020845,0.5501386,0.40924972
