Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Low_Lunge,0.35043693,0.518306,0.70446175,0.34276587,0.49946067,0.6515089,0.3445757,0.50026566,0.47195718,0.36085138,0.47212988,0.7615355,0.37021044,0.46824655,0.6320055,0.42939487,0.49029738,0.6145368,0.44171482,0.46079496,0.8349046,0.31052038,0.43488082,0.64453095,0.3132488,0.4222667,0.746829,0.23177463,0.3650599,0.6332142,0.22696882,0.35853347,0.83737195,0.64330673,0.48923546,0.6669284,0.6436258,0.503258,0.76721054,0.7575169,0.34625295,0.90409696,0.5563104,0.6926584,0.74824303,0.7165021,0.17053698,0.850541,0.74848145,0.7074678,0.90761405
Low_Lunge,0.25598216,0.5795876,0.7894347,0.24790412,0.5614245,0.6966182,0.24960782,0.5569893,0.805755,0.2688968,0.5242371,0.86929405,0.2780896,0.5122869,0.91803604,0.3428742,0.5470893,0.78139275,0.3478934,0.47324228,0.8825536,0.42674753,0.4349192,0.5393379,0.43384713,0.3895523,0.72395176,0.5206489,0.4692328,0.24858111,0.4811077,0.28804585,0.81920695,0.5532233,0.53146255,0.9201002,0.5654268,0.4701455,0.8893135,0.49411792,0.69321215,0.85474545,0.69930834,0.33335373,0.88058347,0.68885165,0.68548673,0.8441467,0.5172441,0.28340563,0.61781657
Low_Lunge,0.43855113,0.41568553,0.75082326,0.437127,0.43483004,0.6433327,0.43625712,0.43542647,0.60087514,0.4733233,0.45509517,0.6433432,0.47175068,0.4591693,0.5734226,0.54868555,0.4231887,0.63567466,0.55066293,0.4368142,0.8818407,0.4016822,0.4776692,0.76666754,0.4006033,0.47684836,0.5006443,0.30382785,0.53536373,0.7502271,0.3016219,0.54251266,0.70911276,0.7867687,0.4136539,0.74574596,0.7804872,0.43094474,0.6217001,0.7238803,0.20306931,0.9099355,0.91335666,0.5429831,0.85251135,0.9170275,0.2102255,0.80360657,0.919423,0.746857,0.5730662
Low_Lunge,0.35014164,0.49601954,0.7214688,0.34817398,0.51627004,0.5588142,0.34362695,0.5102934,0.62319916,0.37422058,0.5432285,0.626076,0.362317,0.53200054,0.6440832,0.4308584,0.53211474,0.7619217,0.41216978,0.49311614,0.5748271,0.33701414,0.5803482,0.61365205,0.31377718,0.54210705,0.57211584,0.26068696,0.6413587,0.8502341,0.25415224,0.5918519,0.85885376,0.6222878,0.4897805,0.7689507,0.6123869,0.44684306,0.8756112,0.7234183,0.59823984,0.8794004,0.5516388,0.30961666,0.8854384,0.70961756,0.7454683,0.8520089,0.7042483,0.28342444,0.89320207
Low_Lunge,0.4646396,0.2003664,0.5210604,0.45382357,0.18958616,0.44573686,0.4564819,0.19080414,0.48541605,0.42473394,0.19809388,0.50884247,0.42834356,0.19978476,0.45664862,0.43543947,0.2513949,0.6533363,0.41956508,0.2617373,0.47266012,0.5916239,0.2606018,0.33998188,0.5086828,0.2541772,0.47478428,0.61367226,0.2540428,0.45152298,0.59086794,0.2601409,0.26920924,0.5200717,0.429727,0.7327338,0.5226196,0.44433933,0.59779537,0.47688624,0.26338285,0.39533812,0.5962872,0.51059955,0.5782253,0.6060877,0.2659658,0.32877472,0.5928897,0.6436328,0.7474464
Low_Lunge,0.38546264,0.5424189,0.49167204,0.38438666,0.52965146,0.7153702,0.38381708,0.52937883,0.7133815,0.40186164,0.5101107,0.6028812,0.40331665,0.50910884,0.55792177,0.4633944,0.52173835,0.71635395,0.4676026,0.5216258,0.7055854,0.34199443,0.5029902,0.7016868,0.33909675,0.50097185,0.45174867,0.25353402,0.45562476,0.793006,0.2499445,0.45175096,0.7360845,0.6950556,0.53236866,0.88886315,0.69445586,0.5416606,0.84605795,0.78892297,0.43226495,0.7428961,0.6143913,0.7324182,0.9628347,0.7995113,0.2555508,0.7499559,0.79932845,0.74888694,0.89912677
Low_Lunge,0.36343998,0.47598165,0.72298807,0.35697758,0.49903664,0.6083544,0.33916536,0.47372693,0.7431088,0.36777872,0.51691794,0.78948396,0.32883045,0.46333343,0.7746439,0.41853642,0.5178942,0.7470528,0.3528103,0.40856728,0.74576086,0.5347711,0.47236377,0.78787047,0.37626812,0.29345515,0.836374,0.45425835,0.41820928,0.44317573,0.43815148,0.3851768,0.49594095,0.53853405,0.3522163,0.5368377,0.524123,0.30407146,0.61697155,0.7102143,0.25138295,0.7580407,0.5615944,0.5092074,0.64629227,0.70628667,0.08620475,0.74282724,0.7330242,0.53439254,0.6162369
Low_Lunge,0.18751653,0.39283305,0.76066875,0.190572,0.3667,0.8174706,0.19180065,0.36594346,0.87155926,0.23294336,0.35472333,0.7138465,0.24267386,0.35282153,0.62613034,0.29487172,0.4236701,0.7727277,0.33710337,0.38362968,0.7175313,0.17079154,0.36987102,0.7056619,0.17173539,0.30724415,0.7446265,0.07732599,0.26286635,0.72793454,0.07488917,0.24317573,0.74197984,0.57555103,0.5376034,0.86187744,0.58435047,0.52179754,0.8522289,0.7417292,0.4281308,0.71404845,0.55927694,0.77919626,0.91758347,0.7321877,0.18499711,0.8140154,0.83298445,0.7528091,0.8652529
Low_Lunge,0.3514299,0.5917134,0.753269,0.3438805,0.57517314,0.69907355,0.3411606,0.57614964,0.50197697,0.34596878,0.5428368,0.644626,0.3571542,0.5372243,0.65779227,0.42091864,0.55485547,0.78172076,0.434453,0.5083152,0.7896876,0.31587452,0.57519746,0.76390433,0.30486134,0.54025793,0.80007356,0.19343121,0.57578284,0.90201503,0.18963566,0.5136007,0.8293667,0.6348009,0.5178825,0.8502755,0.6419923,0.50127435,0.78805864,0.7012596,0.38284758,0.8669506,0.59867144,0.69520855,0.9169106,0.6374527,0.24826118,0.785351,0.78904855,0.6995088,0.8313627
Low_Lunge,0.29113236,0.5352061,0.5299284,0.28671357,0.5252227,0.62583333,0.2908286,0.524638,0.59492093,0.3145856,0.514952,0.56680155,0.32296365,0.5145213,0.66585344,0.3558417,0.5292349,0.7160533,0.3625741,0.5207057,0.80346274,0.4435427,0.49634075,0.56520736,0.44867432,0.48568618,0.76482,0.5156098,0.48662305,0.39358494,0.51708746,0.47466436,0.6151332,0.5155064,0.51778156,0.7767816,0.52116543,0.51598316,0.74291784,0.6107998,0.449277,0.640988,0.50293225,0.67212564,0.7759321,0.6111362,0.34274426,0.6051929,0.624706,0.66186255,0.60334426
