Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Noose,0.3400525,0.41364825,0.7018748,0.32273138,0.40049124,0.74399674,0.34558102,0.3749505,0.711147,0.34534895,0.39924794,0.373323,0.40997192,0.3413246,0.7455993,0.38836667,0.54166853,0.811344,0.52779686,0.3490905,0.78222877,0.5430627,0.63779134,0.3629448,0.67155665,0.37545478,0.6345637,0.6294126,0.60571486,0.2808271,0.7472006,0.54582304,0.5273622,0.6576708,0.68218416,0.78554803,0.6908593,0.60707265,0.7474338,0.58606684,0.4144184,0.34175435,0.6408143,0.37207454,0.6565166,0.78751624,0.5766975,0.54821193,0.7795297,0.5470077,0.68267125
Noose,0.3394908,0.48143548,0.5111154,0.3213676,0.46579373,0.47252962,0.3451212,0.45691162,0.2931974,0.3395166,0.43796495,0.18042593,0.40005767,0.40328577,0.35871825,0.41739994,0.5524485,0.65413743,0.47661677,0.3839212,0.31629258,0.5883276,0.55704916,0.6682433,0.62243354,0.40514648,0.06287788,0.7249475,0.50587726,0.49517238,0.7094746,0.45684293,0.10589988,0.7181251,0.61924255,0.47659135,0.720554,0.5193255,0.38427222,0.5861691,0.35684514,0.3331251,0.6180568,0.33129472,0.50989085,0.79656374,0.4988,0.23351027,0.78778857,0.48952752,0.20912963
Noose,0.019769017,0.27962336,0.77000123,0.01613176,0.26618692,0.8410983,0.03431437,0.22987755,0.80929047,0.065549225,0.26741433,0.5077143,0.14730148,0.2214946,0.79787004,0.09967449,0.5669499,0.9366918,0.38512027,0.2889771,0.7510863,0.3600599,0.69316906,0.24553315,0.6123218,0.436162,0.09961703,0.4657385,0.65542865,0.1340811,0.74758476,0.5427143,0.51608664,0.65591073,0.82352614,0.46863216,0.6580237,0.77045137,0.45878017,0.5115304,0.3597678,0.36375448,0.506655,0.35581794,0.6314585,0.8802007,0.58342505,0.7207653,0.82987624,0.5643719,0.40821987
Noose,0.15446845,0.6337017,0.6593142,0.122817665,0.6123412,0.5049675,0.12403383,0.6287825,0.670941,0.1397702,0.51157886,0.58475083,0.1455663,0.57626444,0.79564416,0.3827494,0.36694586,0.4679844,0.30956438,0.72301537,0.8462767,0.6245841,0.25685,0.574023,0.5793879,0.73980325,0.8088686,0.8020939,0.44893694,0.56253034,0.82647634,0.61884,0.40588528,0.8870973,0.47290486,0.28634468,0.87646204,0.63124174,0.39374232,0.5331678,0.33088568,0.15221067,0.56828994,0.7349415,0.08556295,0.9049693,0.3533608,0.52783173,0.84336853,0.6168792,0.3374542
Noose,0.3719251,0.57809263,0.4964428,0.3820732,0.599387,0.73612124,0.36740172,0.5892074,0.64665204,0.42841756,0.60834384,0.6320809,0.38772005,0.58400035,0.48249492,0.52343494,0.5621889,0.71588314,0.368367,0.48303008,0.71536404,0.59715873,0.5284893,0.32701528,0.38467327,0.40469787,0.5604783,0.6575201,0.40406588,0.5192074,0.38674122,0.42916647,0.3224836,0.5391298,0.3262568,0.6279484,0.51772064,0.3014984,0.6886965,0.55756503,0.5415073,0.36366144,0.5488292,0.53019816,0.40369925,0.6657238,0.39409998,0.3087904,0.6684315,0.38692388,0.5632509
Noose,0.27437025,0.46836153,0.70680314,0.23790911,0.45547396,0.62085456,0.26301527,0.4294395,0.800989,0.23103866,0.41636556,0.5626865,0.28983846,0.36108163,0.766691,0.28248006,0.46489295,0.68379086,0.43811405,0.3724549,0.6570746,0.26501012,0.63707596,0.9393897,0.616515,0.572251,0.39038295,0.4151597,0.5892952,0.57735205,0.44666722,0.5969026,0.6183621,0.6302421,0.5815444,0.6198332,0.6674097,0.45665982,0.6913987,0.5872495,0.43301144,0.24366142,0.60714495,0.34605715,0.77386564,0.80472594,0.5155699,0.67234856,0.82733107,0.41110662,0.461418
Noose,0.47548667,0.38862893,0.47009042,0.46590123,0.39026552,0.42772156,0.4723797,0.37704605,0.46088696,0.46162486,0.38875204,0.3725091,0.47227693,0.3587633,0.3987618,0.48543403,0.41230154,0.5483057,0.5024937,0.3507038,0.5230642,0.5394226,0.4289626,0.3576931,0.55496037,0.3461361,0.34724644,0.5757906,0.40999565,0.3792279,0.57814515,0.36888635,0.31365702,0.5821016,0.4324613,0.48432136,0.59163874,0.39421004,0.3340039,0.58423144,0.4278345,0.2658351,0.60757345,0.37519208,0.13292916,0.6250137,0.4226159,0.11036114,0.6269916,0.39895117,0.13580674
Noose,0.11259077,0.6411489,0.71238333,0.11384023,0.70704466,0.7837153,0.07426523,0.63797504,0.7626654,0.22723052,0.7506405,0.8052302,0.09251428,0.62366587,0.5420968,0.36226052,0.7242001,0.7305294,0.2847175,0.44119218,0.34903193,0.6662042,0.8285498,0.8361545,0.42312917,0.16301502,0.49032435,0.79652935,0.56217104,0.15684761,0.5987418,0.2756091,0.3518312,0.74308074,0.35550222,0.43853927,0.7855817,0.27831694,0.4922802,0.47991344,0.74545807,0.53484243,0.47396332,0.6677806,0.37993804,0.85262775,0.52491254,0.3535387,0.8066445,0.5451564,0.15017867
Noose,0.10699389,0.44858417,0.7481766,0.08404818,0.42022818,0.7397333,0.09418637,0.39557484,0.6771882,0.1392743,0.3644597,0.4845777,0.17665775,0.31502482,0.60699344,0.22417468,0.5973265,0.86700755,0.420725,0.29651836,0.7522762,0.49234995,0.68439937,0.31967726,0.6813122,0.3918659,0.2808686,0.62502646,0.6835548,0.17850119,0.7009386,0.4822043,0.12276908,0.6867257,0.7375217,0.6355285,0.7174825,0.6158729,0.3628372,0.5302076,0.34760714,0.3783723,0.5411581,0.33261532,0.45951623,0.90204865,0.5357265,0.6541412,0.8871869,0.5326723,0.56939274
Noose,0.15389314,0.74415964,0.6471452,0.11559075,0.71563625,0.62186587,0.117693715,0.7317865,0.6445211,0.14729843,0.5658433,0.35770512,0.14781336,0.64568245,0.8604059,0.42473346,0.23355398,0.59777796,0.31269112,0.82015526,0.464207,0.7108488,0.23924133,0.097786635,0.5699255,0.94388986,0.78430015,0.87633085,0.3327077,0.051909894,0.7821816,0.7558318,0.2666317,0.87335104,0.45328256,0.16875957,0.855064,0.76229614,0.35856792,0.50119984,0.22627684,0.14041522,0.6035133,0.65763545,0.025640832,0.92225456,0.2778693,0.13804337,0.87733155,0.49921048,0.04340215
