Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
One_Legged_Pigeon,0.33085066,0.5422537,0.59299946,0.3360087,0.5620882,0.58364296,0.32972294,0.5601356,0.59835714,0.38396496,0.57689273,0.66941583,0.36869594,0.5764691,0.5796817,0.45569903,0.5517863,0.4554161,0.4270957,0.5126587,0.778383,0.34710255,0.6331436,0.6958852,0.3416954,0.6145316,0.3441934,0.5033185,0.68256,0.29133487,0.41537055,0.64135325,0.211479,0.68145317,0.56316185,0.8627264,0.6929583,0.50869703,0.8333292,0.76249194,0.77203476,0.8489205,0.7179354,0.3310089,0.8724374,0.5793113,0.7004641,0.6436913,0.75747603,0.50359017,0.81468326
One_Legged_Pigeon,0.34915617,0.4373591,0.54925627,0.35827643,0.4329069,0.5849369,0.36425066,0.4330501,0.483411,0.3905742,0.45249107,0.5941198,0.40851015,0.45125526,0.5428152,0.36238432,0.53885776,0.78496766,0.43826,0.48709404,0.7211076,0.26891795,0.45089,0.92779654,0.59339726,0.39613995,0.66717255,0.3819084,0.40090993,0.8098195,0.6991849,0.31726047,0.6024392,0.6299648,0.5884574,0.7866765,0.6301375,0.5560832,0.6730674,0.63743216,0.7475102,0.8825485,0.49801382,0.46212113,0.106178045,0.46944606,0.40072373,0.18503799,0.4641877,0.40505436,0.47740588
One_Legged_Pigeon,0.35338393,0.5364437,0.76731783,0.3359779,0.5252345,0.76522595,0.33714515,0.5171466,0.66932994,0.34817392,0.4924237,0.63599765,0.35536316,0.4744598,0.6876637,0.42146403,0.5099031,0.55881137,0.43032986,0.47486126,0.57586944,0.3639359,0.4315312,0.1712098,0.32506087,0.37155336,0.2861345,0.34170502,0.38494742,0.281507,0.42078862,0.32087076,0.26508105,0.6632623,0.4709289,0.5365172,0.69031686,0.4449812,0.55561036,0.6702091,0.31619516,0.46195027,0.679664,0.30665672,0.44110474,0.5116892,0.31956604,0.34906864,0.50760067,0.30685884,0.35724813
One_Legged_Pigeon,0.44996887,0.19811429,0.6565811,0.43387797,0.19978912,0.7006368,0.43494025,0.20034315,0.727212,0.41394058,0.24407965,0.8742657,0.41710067,0.24089438,0.86502117,0.4416693,0.34877107,0.82229906,0.466905,0.25995144,0.74803555,0.4721691,0.47243237,0.6708619,0.58892876,0.2634241,0.7842204,0.54317445,0.54696316,0.286784,0.6853257,0.24647531,0.68690515,0.66563684,0.43791938,0.8751938,0.66689646,0.39409792,0.76979995,0.7159572,0.6289498,0.88697326,0.6634171,0.25361538,0.21704696,0.5737244,0.5554015,0.57954955,0.7102996,0.242082,0.44268024
One_Legged_Pigeon,0.26203445,0.36867,0.6416927,0.24370949,0.39193335,0.6973641,0.23772842,0.3875655,0.7940249,0.27215979,0.4583825,0.89475036,0.26328817,0.4538178,0.68257725,0.39639956,0.5806044,0.6750459,0.34873036,0.4074579,0.70327616,0.48284882,0.731327,0.8008588,0.16387776,0.38374597,0.6805142,0.33646527,0.66896987,0.7768501,0.18409534,0.5008255,0.39197156,0.65503335,0.56970423,0.85682535,0.6627059,0.4561592,0.6923535,0.8053722,0.839507,0.81144327,0.72716886,0.2797594,0.9051728,0.573195,0.76097196,0.8181188,0.7906814,0.44201162,0.81665987
One_Legged_Pigeon,0.35853544,0.3404238,0.6218291,0.34371266,0.3570908,0.4428708,0.34115675,0.3511344,0.66199416,0.35595834,0.40688863,0.74697334,0.35051483,0.3976332,0.7666084,0.44158354,0.45060173,0.8108811,0.4067134,0.36795294,0.73991036,0.5305746,0.58166784,0.81218064,0.3514334,0.39893964,0.11680798,0.42609626,0.53993917,0.8187087,0.3147971,0.44537005,0.2789414,0.67254347,0.43842614,0.84418637,0.6669637,0.38134867,0.76642925,0.7833076,0.61235255,0.7614012,0.7128412,0.24514616,0.9369479,0.5886446,0.5649785,0.51649016,0.75489724,0.36982974,0.66712993
One_Legged_Pigeon,0.25100783,0.44854954,0.53546137,0.24098319,0.4357736,0.5674561,0.24457005,0.43305883,0.59522516,0.27189714,0.42786387,0.7203245,0.27949482,0.4265055,0.7297301,0.38716942,0.42131087,0.54688054,0.3309062,0.51748824,0.7248089,0.4973126,0.30146158,0.68674296,0.17030868,0.44160837,0.58261585,0.3827007,0.3122178,0.81801116,0.26330155,0.3396219,0.5866753,0.6021152,0.44363472,0.82345724,0.6258894,0.52012,0.68094605,0.711988,0.27290693,0.7416989,0.7118939,0.74334973,0.8492757,0.5120457,0.3030594,0.17863208,0.741255,0.5454694,0.8298553
One_Legged_Pigeon,0.26461095,0.43290675,0.57495975,0.27752072,0.41219935,0.788045,0.2773482,0.40841302,0.71992743,0.336643,0.40914366,0.60528487,0.33235386,0.40138194,0.6376147,0.38636443,0.44116557,0.55181825,0.3794469,0.4754012,0.5961382,0.39960307,0.29548675,0.56979144,0.34797117,0.2932108,0.5461314,0.4128554,0.1647256,0.6108976,0.42818856,0.15805355,0.2604661,0.67212135,0.57382816,0.627432,0.67634976,0.6284995,0.76800454,0.78293264,0.34637856,0.8170262,0.7838504,0.9234738,0.8866478,0.5569559,0.20893382,0.93593264,0.79437125,0.6342622,0.8113684
One_Legged_Pigeon,0.36540112,0.59632057,0.62234956,0.37240112,0.60457367,0.5266992,0.3760206,0.6020348,0.4442036,0.41023093,0.5726125,0.46465722,0.41605788,0.5753291,0.56370574,0.42220291,0.498911,0.7538619,0.42780802,0.5266208,0.82816195,0.28034905,0.5489007,0.6076723,0.2806855,0.5480991,0.510522,0.35503146,0.63724697,0.41321537,0.3684755,0.6407096,0.7310988,0.68973863,0.48856342,0.84483176,0.6686122,0.528116,0.7102687,0.717661,0.24523988,0.7901561,0.7118177,0.7306657,0.828523,0.72495717,0.41208667,0.38344148,0.50909936,0.6730179,0.6724486
One_Legged_Pigeon,0.2400233,0.54981047,0.6880896,0.21161525,0.54751706,0.74243057,0.2239047,0.51577145,0.58358437,0.22615172,0.534741,0.2549877,0.25771502,0.45396352,0.75457364,0.35539082,0.5937756,0.7097061,0.43338263,0.36454064,0.67065096,0.1384933,0.60561675,0.5745194,0.54657483,0.21535102,0.07310674,0.17531456,0.54450995,0.20213006,0.54521,0.21525009,0.2045135,0.805652,0.58528006,0.36851054,0.79003185,0.4061461,0.4485049,0.89350915,0.7680205,0.24513605,0.9222787,0.13194671,0.4054959,0.9250422,0.53260344,0.46011454,0.5785961,0.2022143,0.48491833
