Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Peacock,0.48437184,0.5992254,0.23928368,0.48546475,0.6036989,0.30584562,0.48687991,0.6028241,0.2436362,0.48886502,0.6098411,0.18591043,0.48796928,0.60563606,0.19824003,0.45385295,0.59324944,0.28768188,0.46873075,0.60673743,0.32321125,0.44042552,0.5408263,0.29308575,0.45906836,0.5630718,0.15737519,0.44074774,0.5311905,0.17420103,0.48988062,0.6182012,0.13070035,0.46718085,0.5999987,0.40958202,0.47452995,0.59370124,0.4057272,0.45267248,0.538682,0.26638362,0.48891816,0.612657,0.22670524,0.44615346,0.52227926,0.1262212,0.4976934,0.6262072,0.19858606
Peacock,0.47868532,0.8618645,0.7171311,0.4634372,0.87688917,0.59587765,0.46355137,0.87552416,0.6647551,0.42799422,0.85367584,0.73022676,0.42760718,0.8527758,0.8595589,0.39347738,0.76942915,0.56542516,0.41308668,0.7739177,0.6624146,0.40910983,0.6332133,0.43222693,0.42804712,0.6363074,0.3955685,0.48867404,0.5930295,0.43019214,0.49591187,0.5878911,0.33310944,0.38247406,0.538716,0.6587908,0.39276224,0.5346784,0.71617705,0.40338916,0.3395399,0.50833815,0.40640554,0.3343332,0.6251271,0.3310603,0.13977934,0.58687395,0.3329472,0.13282527,0.7898918
Peacock,0.5803572,0.79630154,0.6070412,0.5711268,0.811945,0.5717555,0.5679312,0.8103235,0.67092806,0.5436159,0.796166,0.5308681,0.5385863,0.7957871,0.55353504,0.51763195,0.7364333,0.74652433,0.52106106,0.71950495,0.84306026,0.52970636,0.5958808,0.6502828,0.53509367,0.5972215,0.5413821,0.6279629,0.56735903,0.5696993,0.6364212,0.56182814,0.68254805,0.48580033,0.52742857,0.7971772,0.48549742,0.5287332,0.6707982,0.46946308,0.36919984,0.6933616,0.47706735,0.35866708,0.5443949,0.43633243,0.20340444,0.6718752,0.44168746,0.19493698,0.60323113
Peacock,0.6629927,0.14266255,0.7199958,0.6500088,0.1258681,0.7496163,0.6484328,0.12807138,0.7980692,0.6102095,0.1413296,0.7558301,0.6084001,0.14220151,0.7338332,0.59766126,0.22327478,0.793434,0.57307345,0.22181392,0.6338125,0.5575607,0.3964807,0.51302236,0.5454766,0.39741573,0.7258993,0.6751312,0.43008938,0.5453086,0.6699247,0.4238215,0.83029497,0.49974057,0.45321497,0.8203426,0.495881,0.45170176,0.72684085,0.48483637,0.6757544,0.8054337,0.47329703,0.6691402,0.6786854,0.39290297,0.86436313,0.70635647,0.3901886,0.84415746,0.76655436
Peacock,0.57172865,0.06923227,0.7781402,0.536411,0.07336779,0.81057674,0.53664654,0.0658133,0.7996354,0.50216573,0.1528618,0.8335388,0.505439,0.13291821,0.72988874,0.54873824,0.30166426,0.8705149,0.51895314,0.27745733,0.51031035,0.5484641,0.54579663,0.7223803,0.5386184,0.52964354,0.63150334,0.73769474,0.5134995,0.89087087,0.72946393,0.5134097,0.48518494,0.38316414,0.5899938,0.554027,0.3744013,0.5961412,0.76909477,0.3581672,0.72909373,0.14539906,0.30378735,0.72960925,0.11047643,0.36853546,0.823143,0.4755442,0.36618307,0.8106195,0.38588727
Peacock,0.77056676,0.9119658,0.7846598,0.7438386,0.92290115,0.7331292,0.74034995,0.923833,0.7034159,0.6875036,0.8752145,0.70605534,0.684628,0.8747917,0.6333755,0.6567344,0.7625678,0.73960954,0.63919955,0.7384723,0.8060555,0.64564544,0.5500976,0.7873767,0.6417459,0.52127314,0.8307099,0.7936476,0.5549295,0.6688682,0.79371816,0.50010955,0.8103759,0.5141538,0.46833006,0.73264074,0.5135144,0.44476813,0.84725565,0.38812113,0.2719419,0.782352,0.38995135,0.24203506,0.884922,0.22941963,0.124437355,0.76617074,0.23254961,0.11135951,0.7484061
Peacock,0.55020666,0.0484168,0.69240916,0.53049713,0.039226305,0.6963586,0.53058344,0.039222516,0.6951324,0.49436527,0.07174866,0.82814175,0.49311486,0.068627805,0.76901054,0.49134228,0.16439871,0.7530507,0.4721094,0.16736302,0.60349214,0.49548832,0.34682265,0.5929921,0.47175005,0.3379076,0.43379173,0.61495274,0.3886753,0.6459494,0.5991237,0.38373122,0.58275324,0.44544438,0.41789898,0.60018504,0.43501002,0.41601533,0.6547015,0.46929744,0.6459195,0.52331287,0.45335042,0.63868934,0.50459176,0.4356633,0.8743658,0.66937035,0.43447238,0.85742277,0.5286475
Peacock,0.7112861,0.7360101,0.63554317,0.7025773,0.74804384,0.61583954,0.7042884,0.7493927,0.5252391,0.67088354,0.7308122,0.7034108,0.6661438,0.73029613,0.53799284,0.64548934,0.66576535,0.7781033,0.64500576,0.6579188,0.9172397,0.63363796,0.5305553,0.7325286,0.63499737,0.53454304,0.8322632,0.7350565,0.52510345,0.6567728,0.7429562,0.51443523,0.8256764,0.561481,0.48533612,0.71138257,0.5583359,0.4739807,0.6919065,0.47815323,0.35126296,0.6890944,0.48399955,0.3489149,0.42408496,0.36496535,0.24234955,0.7688419,0.35791826,0.22882679,0.6878587
Peacock,0.6297663,0.7547388,0.3666449,0.6654318,0.77044475,0.49356505,0.660184,0.77942455,0.3972683,0.6681617,0.8731761,0.5604618,0.6702698,0.8956621,0.5216116,0.45595866,0.88423795,0.6043857,0.47407323,0.8625456,0.5303567,0.524855,0.54299,0.5017373,0.5256912,0.53677046,0.34238702,0.82577354,0.43602517,0.53293663,0.7507673,0.42038193,0.23739754,0.28553015,0.34115544,0.7676195,0.2844486,0.32086664,0.7752376,0.7796165,0.64111453,0.36581355,0.7898401,0.6549445,0.82926106,0.627577,0.16365616,0.67095363,0.6269501,0.15937501,0.8251488
Peacock,0.6139066,0.8646498,0.7756402,0.5915789,0.86881113,0.58821243,0.59359956,0.86979324,0.64193153,0.57486385,0.82803214,0.72606206,0.5760778,0.83048475,0.75443166,0.56337494,0.73602074,0.87182575,0.59581935,0.7366805,0.78258914,0.5777781,0.56355476,0.6547422,0.5924466,0.5659919,0.85300905,0.68769544,0.5532775,0.43037614,0.71243304,0.56517935,0.9094809,0.49876037,0.52473754,0.7747355,0.50852114,0.5207727,0.7546507,0.40708935,0.34738642,0.82262003,0.41201618,0.3408394,0.5735391,0.26702175,0.18302342,0.81536895,0.26778957,0.17377779,0.9121829
