Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Pigeon,0.6493692,0.79604703,0.43950063,0.6622188,0.77150756,0.50933844,0.6630539,0.773612,0.4573465,0.6358622,0.7132066,0.4838699,0.63939077,0.71854913,0.5619461,0.5285174,0.7014102,0.62829965,0.51403004,0.7175804,0.6465066,0.74305564,0.8751934,0.79186374,0.613302,0.81591475,0.46319354,0.7141386,0.65828645,0.835065,0.6886969,0.6821077,0.40902093,0.36426,0.34539905,0.83968747,0.35103604,0.34530357,0.77995116,0.7199933,0.14280021,0.8814189,0.61055374,0.19394097,0.67535186,0.7085806,0.50587136,0.73815453,0.6299714,0.4744511,0.7565485
Pigeon,0.5719534,0.7536491,0.50702894,0.57475895,0.7372724,0.38144717,0.57681906,0.7380025,0.35363728,0.5593307,0.6818193,0.4313507,0.56306636,0.68649876,0.41735545,0.4774829,0.67253196,0.60904163,0.48278317,0.6553076,0.48222992,0.65330446,0.83181214,0.75484157,0.6448044,0.80319095,0.6071591,0.6535021,0.64705837,0.6405977,0.6484553,0.65467757,0.34160438,0.41158676,0.37008432,0.84667313,0.4035247,0.37120274,0.83515733,0.65655005,0.21005172,0.8439131,0.6354607,0.212262,0.7301694,0.63410264,0.4755642,0.4935097,0.6250549,0.47441977,0.74920523
Pigeon,0.64927727,0.74261075,0.49640012,0.64487475,0.7164373,0.50867367,0.6480076,0.71317774,0.4729306,0.5913294,0.6817521,0.49426267,0.59277403,0.68134063,0.5680248,0.4701294,0.75364065,0.8527371,0.45341006,0.70588696,0.6197338,0.6744577,0.9593852,0.8376108,0.6084388,0.78544027,0.21916634,0.6807742,0.71681833,0.5491941,0.663721,0.71545553,0.39801952,0.36867654,0.3338055,0.86098045,0.36068314,0.3262512,0.7514312,0.72311765,0.064741924,0.8633959,0.6213018,0.12852512,0.5408095,0.689991,0.56758046,0.31874666,0.62209827,0.44874546,0.50466675
Pigeon,0.6370034,0.91880107,0.4910345,0.658927,0.8931728,0.43676737,0.6560544,0.8941515,0.5191833,0.6327137,0.817912,0.602929,0.6279088,0.82304716,0.69194186,0.4678192,0.7946595,0.66182965,0.42917526,0.81361675,0.61505914,0.78591,0.97862434,0.9082344,0.67855525,0.9030905,0.24866685,0.7483222,0.673966,0.8358555,0.6668803,0.6684142,0.42588928,0.3935797,0.3334323,0.8448994,0.36211488,0.29924083,0.8052905,0.7789644,0.08740407,0.741699,0.7019766,0.14362049,0.355068,0.76906556,0.61758524,0.2778301,0.68918157,0.51459813,0.73072165
Pigeon,0.20155367,0.36424062,0.75350183,0.23528449,0.35455018,0.6738392,0.23588896,0.3565064,0.6715017,0.28974968,0.40886205,0.8038712,0.30195475,0.41503385,0.77715605,0.31905353,0.5339767,0.8896599,0.33714637,0.5125962,0.6792056,0.54877925,0.68674093,0.7780728,0.5944691,0.5861437,0.88265437,0.7335745,0.82277304,0.948201,0.78330225,0.7294702,0.84730613,0.6752536,0.44739273,0.7187562,0.68698555,0.43482217,0.6889322,0.7013622,0.16216673,0.42040676,0.74872106,0.03672658,0.8564273,0.4243118,0.28572363,0.5218917,0.42419156,0.26544648,0.5183309
Pigeon,0.6415912,0.8159148,0.39212295,0.66005313,0.7877186,0.4592701,0.65710527,0.78565246,0.3589299,0.61968875,0.7181972,0.7507404,0.62313485,0.7180262,0.7619379,0.4987265,0.6937982,0.6299523,0.45255828,0.77370554,0.6376639,0.7064386,0.91759735,0.80252236,0.58318067,0.91776985,0.8696659,0.7324349,0.7321169,0.79208547,0.7266218,0.7415959,0.40718296,0.35808024,0.3133885,0.8814341,0.36085626,0.31910598,0.8630597,0.7557396,0.038533747,0.542482,0.61016333,0.16846359,0.6104621,0.73549247,0.4251552,0.8225065,0.6152191,0.43000197,0.5639886
Pigeon,0.5125207,0.36317593,0.34674993,0.5236092,0.36540926,0.48830554,0.5217051,0.36447605,0.45275,0.5056942,0.39965117,0.6447427,0.498913,0.39725697,0.66991925,0.43500784,0.42336175,0.5780682,0.43577623,0.4215985,0.6510392,0.5450319,0.32079306,0.73545164,0.5569315,0.32002866,0.8294311,0.646895,0.32909018,0.33823317,0.6716568,0.31357396,0.6946566,0.4379269,0.62284696,0.66387445,0.44587234,0.62935853,0.68443704,0.67347324,0.59256166,0.65051645,0.7071629,0.5862436,0.7752215,0.67281276,0.37190545,0.42115542,0.7149918,0.36878687,0.26773983
Pigeon,0.7221032,0.844734,0.37695754,0.77720106,0.83233094,0.43718442,0.7685895,0.83225936,0.43828556,0.7162054,0.7528317,0.500642,0.7192479,0.7574221,0.62974834,0.5154218,0.7771877,0.6062144,0.5429064,0.7310682,0.72001636,0.89458007,0.95092565,0.73244673,0.8847844,0.73474884,0.22271836,0.8951775,0.6892115,0.4289089,0.8937866,0.65603936,0.26709503,0.18395856,0.41789073,0.46718675,0.23633024,0.41378224,0.46805975,0.84572184,0.0688614,0.6541399,0.7633939,0.10864751,0.44091177,0.837815,0.48196587,0.33038142,0.81632304,0.4407926,0.44848892
Pigeon,0.67967427,0.89265376,0.6016485,0.68520474,0.86598825,0.42369318,0.6834861,0.8692054,0.48834792,0.62029964,0.8034991,0.7903062,0.62330157,0.8091992,0.62399703,0.46930212,0.8224047,0.8383182,0.47218776,0.81610084,0.53365403,0.7309604,0.9750142,0.7858119,0.7056609,0.9210168,0.5077695,0.76635176,0.714381,0.7078876,0.755508,0.72725606,0.42330757,0.37719554,0.3512049,0.78110945,0.38281107,0.35664985,0.76661223,0.73229325,0.04573651,0.9083376,0.71572775,0.05050243,0.815214,0.72655624,0.46587247,0.7788381,0.713059,0.45823473,0.6162938
Pigeon,0.6764021,0.9724355,0.4155951,0.73603994,0.91948354,0.4123622,0.72653437,0.9316952,0.39095664,0.69607913,0.83432835,0.5528994,0.69159216,0.8361818,0.741373,0.49097377,0.8017781,0.72275925,0.48965833,0.79390615,0.49606895,0.80399436,0.9798606,0.49484023,0.79142755,0.97769743,0.80087847,0.76715493,0.70096684,0.57886136,0.7738284,0.8061201,0.10901619,0.37256342,0.27738723,0.8806377,0.3745793,0.28636885,0.82808983,0.7800411,0.0773874,0.81375885,0.7663275,0.08063276,0.6197648,0.7843439,0.54190195,0.49046984,0.7533654,0.52484167,0.37984738
Pigeon,0.61428267,0.20845592,0.6267716,0.6151978,0.22844279,0.66181827,0.61719406,0.22810678,0.7619652,0.5593577,0.2730202,0.57513756,0.56089026,0.27524245,0.6187689,0.45337728,0.26339704,0.6481743,0.46334064,0.24999793,0.7670805,0.64933795,0.13595094,0.52619386,0.67094684,0.119283624,0.926397,0.65138817,0.2986606,0.49052286,0.662229,0.30040365,0.6243441,0.34170103,0.6128812,0.7760821,0.34562144,0.6137588,0.76459223,0.6189604,0.8676613,0.8126618,0.6480827,0.8744826,0.9184664,0.6234767,0.53565884,0.67006207,0.64910686,0.5244221,0.6742291
Pigeon,0.5609861,0.14881937,0.4849294,0.5775989,0.15941517,0.6452074,0.5790598,0.1579803,0.6070943,0.5665857,0.22682638,0.6918603,0.5627814,0.22612363,0.6604489,0.45472527,0.27669007,0.4954674,0.43860808,0.26698875,0.74726313,0.5735071,0.17826328,0.26473135,0.5919539,0.03605179,0.83978057,0.67489946,0.24449405,0.35367587,0.6953802,0.22345112,0.49234775,0.37781107,0.63398165,0.6607881,0.38791555,0.6379822,0.6182491,0.6789602,0.9507814,0.7716708,0.6683439,0.9353536,0.41763365,0.69023806,0.58426183,0.712077,0.70675284,0.58018166,0.5257759
Pigeon,0.5861868,0.34147787,0.2946055,0.6080746,0.33797425,0.5037351,0.60321176,0.35931262,0.3072951,0.6259909,0.35590294,0.5203865,0.6186482,0.406315,0.55549073,0.6169938,0.34474152,0.5708025,0.58072233,0.46151513,0.48463735,0.54798,0.47660944,0.2823883,0.58407205,0.58896124,0.17939635,0.54959494,0.48742414,0.09955604,0.58826643,0.67955446,0.18969434,0.4062591,0.523922,0.4135129,0.40441835,0.59367603,0.594674,0.62765884,0.50933975,0.14462785,0.60856557,0.706942,0.6567818,0.6395942,0.56123304,0.16782708,0.59781295,0.6979382,0.10090404
Pigeon,0.7215339,0.26122022,0.6234126,0.73342276,0.27365327,0.69559884,0.7294351,0.2693779,0.57426137,0.71512306,0.3344939,0.56829953,0.69416344,0.335613,0.48234335,0.60931504,0.3689898,0.4106356,0.57225466,0.36415842,0.6402336,0.32075158,0.35250464,0.4325404,0.31347528,0.35229966,0.6408097,0.14758335,0.3365585,0.4399741,0.14697471,0.33665535,0.75600636,0.5174475,0.62671757,0.78252447,0.5044851,0.62779737,0.6291556,0.91270113,0.7007933,0.6654328,0.9245273,0.7001155,0.8520606,0.8463777,0.39707065,0.7098742,0.8411431,0.3938522,0.59262943
Pigeon,0.64008564,0.17121558,0.40915054,0.6526151,0.19199046,0.5598393,0.6567101,0.19250849,0.56071043,0.6229111,0.24454328,0.5342834,0.6272279,0.24479853,0.60124457,0.50364953,0.23431373,0.77299327,0.51243633,0.25323945,0.6755943,0.66783,0.054175,0.4925961,0.72646743,0.063139975,0.8842444,0.65312195,0.27603295,0.34479064,0.6688757,0.30193618,0.7457733,0.33329785,0.6041225,0.89018095,0.33888435,0.6018705,0.7748746,0.62360346,0.42004988,0.06292846,0.71763295,0.7914745,0.894089,0.6578397,0.3537015,0.28675568,0.7001319,0.3820266,0.42166665
Pigeon,0.66456807,0.44461268,0.45473188,0.6665766,0.44300073,0.4739111,0.670518,0.44062024,0.57892865,0.6385149,0.45617494,0.4649151,0.64728886,0.45046014,0.53646004,0.57296157,0.45739493,0.517774,0.5721654,0.4564652,0.5235893,0.68705374,0.35122633,0.5415868,0.7094521,0.3515638,0.7872491,0.69514847,0.48132384,0.33724242,0.71084565,0.49058738,0.5823637,0.5088576,0.6852223,0.7990247,0.5062262,0.7072536,0.63738805,0.6195857,0.7554441,0.43348444,0.6887298,0.8426433,0.88725156,0.6721636,0.6082298,0.37806866,0.7028914,0.6094823,0.5248288
Pigeon,0.6111748,0.1517269,0.4443761,0.6322282,0.16941665,0.52416813,0.6355609,0.16788848,0.41684845,0.61645633,0.23828553,0.65729517,0.6160977,0.22961326,0.47612214,0.49817538,0.28509134,0.67094326,0.5008132,0.27207738,0.6186972,0.65874773,0.10867332,0.5484939,0.68561405,0.084190905,0.7865483,0.6821421,0.327257,0.19855432,0.7011662,0.31002498,0.38192248,0.41328183,0.63256407,0.88060033,0.42460868,0.63837785,0.8353024,0.6324323,0.74980456,0.5780839,0.718381,0.8190582,0.9271487,0.65854615,0.47229642,0.44511476,0.7060155,0.4726028,0.52541816
Pigeon,0.58506155,0.32173938,0.58089954,0.5895675,0.33747795,0.46980384,0.59190315,0.33548436,0.6825437,0.5549977,0.3662935,0.73937726,0.55648124,0.36320573,0.72614896,0.48024234,0.36061555,0.62775546,0.49005207,0.35177934,0.7165049,0.61525273,0.27718705,0.5533697,0.6258161,0.26074797,0.8999684,0.61450464,0.37753284,0.5508718,0.61920744,0.39015767,0.3333117,0.4066352,0.5981548,0.73798186,0.40436137,0.6023495,0.745237,0.5910269,0.7605066,0.84069085,0.609814,0.76433235,0.82364035,0.59025824,0.5395572,0.5689587,0.6063922,0.53501725,0.6134723
Pigeon,0.7167756,0.22997452,0.3430274,0.71468353,0.26736337,0.5462203,0.7052341,0.27808517,0.30064127,0.6168738,0.3198933,0.57044667,0.61634445,0.31780067,0.5322806,0.473357,0.24753694,0.7571949,0.47048858,0.24974889,0.7467432,0.67653525,0.2629172,0.093643196,0.80241907,0.058789533,0.88986504,0.6926833,0.3252291,0.5866646,0.7130119,0.3191409,0.6831884,0.28251255,0.73332983,0.35531652,0.28311083,0.7331446,0.35669696,0.79713327,0.9277996,0.6852582,0.808826,0.92952377,0.8517746,0.75180113,0.44154504,0.45875275,0.78224677,0.4480068,0.6584487
Pigeon,0.6685366,0.73946106,0.69455284,0.6662234,0.71856076,0.50769734,0.6660041,0.71765953,0.44675842,0.6073931,0.6722551,0.62502885,0.60991234,0.67399454,0.6765089,0.5024285,0.69165874,0.8509884,0.51781696,0.69400555,0.6615223,0.70866424,0.80784833,0.73831457,0.6931121,0.78564626,0.7112481,0.718534,0.6052195,0.80281514,0.7145203,0.6135568,0.4191403,0.4305196,0.363028,0.89455986,0.42751098,0.36395228,0.83437485,0.69897985,0.12633605,0.8636852,0.68613523,0.13064434,0.8383753,0.6957002,0.43298128,0.6881027,0.6924503,0.43251854,0.53747475
Pigeon,0.5773494,0.20369789,0.4246759,0.5875269,0.23878294,0.5257122,0.58711654,0.24030899,0.57952666,0.47502446,0.30524305,0.47690123,0.4690867,0.29385123,0.4284915,0.2843737,0.37875703,0.41191697,0.2992624,0.2921993,0.48997235,0.53880334,0.25522816,0.20289534,0.6176745,0.050162666,0.7475631,0.7672119,0.21481831,0.51423895,0.82263976,0.2131177,0.6743414,0.36180317,0.69679433,0.5744789,0.34869334,0.81599236,0.5187073,0.78510326,0.73797953,0.58941334,0.92846304,0.8602935,0.50295097,0.8318856,0.35319787,0.20944792,0.89344513,0.36361736,0.32991678
Pigeon,0.6409311,0.70308864,0.42515916,0.6347643,0.6971848,0.5467781,0.6377141,0.6967769,0.56261665,0.61677754,0.67544615,0.4721133,0.62088585,0.67742866,0.4870062,0.60805583,0.6522199,0.27951345,0.592217,0.6581845,0.3469112,0.65046406,0.75586635,0.6194177,0.6450645,0.75223213,0.5385515,0.64450336,0.6784145,0.20216216,0.6451907,0.6683767,0.4578803,0.53267294,0.5050935,0.5934383,0.5282113,0.5047674,0.65258163,0.6583712,0.3847895,0.884402,0.6398756,0.38942087,0.37598073,0.65876526,0.51273197,0.5194747,0.649508,0.5149789,0.41310763
Pigeon,0.55356467,0.957827,0.3068082,0.60091805,0.9428271,0.36650428,0.58689445,0.9500871,0.33373728,0.609932,0.8882744,0.41492373,0.5963732,0.8946787,0.51870376,0.49371406,0.7922797,0.50433505,0.4603147,0.80476147,0.6435314,0.6939368,0.97096753,0.7970432,0.55650353,0.94236594,0.4461882,0.6975204,0.85470647,0.0730214,0.6683544,0.91235363,0.21160203,0.37583768,0.3502106,0.8198501,0.37866786,0.35321024,0.7922785,0.7011474,0.058034968,0.83287644,0.6948474,0.060123105,0.7042789,0.69273597,0.4598122,0.7610241,0.6668847,0.4642549,0.68023217
Pigeon,0.54970104,0.2339935,0.37981647,0.5670066,0.25165504,0.61743426,0.56730247,0.24650754,0.52635837,0.53860235,0.299409,0.6611128,0.5352454,0.29507172,0.61697626,0.4496659,0.31985402,0.75039166,0.44128233,0.31661135,0.6708629,0.5866858,0.16509601,0.50021213,0.6025946,0.13061771,0.8256278,0.5975574,0.3324726,0.4375416,0.61119974,0.34098685,0.61527133,0.38628116,0.6106384,0.5361516,0.3824534,0.63777053,0.655865,0.5891081,0.9057355,0.71868503,0.59486425,0.9108411,0.76936954,0.5896575,0.5979007,0.59314317,0.60633487,0.5927701,0.5071181
Pigeon,0.64261764,0.3126064,0.5167593,0.6455007,0.32755467,0.60836047,0.6462554,0.3275172,0.5387539,0.6048485,0.36515823,0.5738008,0.6039718,0.36126566,0.75845647,0.50941575,0.3567523,0.5749125,0.5159694,0.3397176,0.6190802,0.6481555,0.30449083,0.3112577,0.70873094,0.22799413,0.8969061,0.65689784,0.3627159,0.6536347,0.66679764,0.37794688,0.41470003,0.42580652,0.6422262,0.79727393,0.42570883,0.6407976,0.71928746,0.6890472,0.71768576,0.80481267,0.7078702,0.7210542,0.82625526,0.6757743,0.4543375,0.43429765,0.70027894,0.45142034,0.55795515
