Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Plank,0.5658232,0.9401181,0.546959,0.5404624,0.9459855,0.8366357,0.54102176,0.9462588,0.825131,0.5102265,0.91042787,0.7261027,0.5095429,0.9039315,0.68509656,0.53184396,0.7968087,0.7582854,0.5420116,0.80482185,0.89990133,0.72282934,0.8048546,0.72546494,0.74091995,0.8089442,0.6320141,0.72480214,0.9207827,0.7170972,0.7385149,0.9353131,0.70117706,0.54548967,0.51946515,0.79866904,0.54993373,0.51979554,0.79823864,0.604113,0.28344327,0.79105836,0.6068481,0.2782155,0.72935665,0.66422313,0.031721838,0.558695,0.6670988,0.030710507,0.6767247
Plank,0.47292653,0.88621867,0.73467386,0.45244268,0.89910084,0.684067,0.45127818,0.8989148,0.6316939,0.4092921,0.8715867,0.67134017,0.41001987,0.8692339,0.8222533,0.43502036,0.7604466,0.61515534,0.43149632,0.75917494,0.79097706,0.5914826,0.7320388,0.8411153,0.59597915,0.7358424,0.7833276,0.70122504,0.7345428,0.7279427,0.7296007,0.74299496,0.71131974,0.52159584,0.51876503,0.7178846,0.46973598,0.4940259,0.5925421,0.6139396,0.32746175,0.82155204,0.5593725,0.291303,0.70334566,0.68437344,0.13115664,0.71948206,0.646719,0.10976747,0.63563716
Plank,0.43880004,0.82350916,0.6255169,0.42277676,0.8347891,0.6408554,0.42325726,0.83503115,0.6944765,0.386898,0.80983144,0.6561454,0.3899965,0.8124326,0.7122545,0.39463735,0.7119412,0.73343545,0.40549716,0.70198554,0.8404239,0.54389083,0.6967842,0.65680313,0.5659971,0.6882276,0.845672,0.6278295,0.69328153,0.64163285,0.71143866,0.6927173,0.89276505,0.46050444,0.47723463,0.86805415,0.47738802,0.47448045,0.82737464,0.5240662,0.2972181,0.81080693,0.5504103,0.27804875,0.7021786,0.5837745,0.14101645,0.79268336,0.61061186,0.10435174,0.7939808
Plank,0.45235518,0.39678752,0.63285434,0.43750668,0.3946939,0.5351502,0.43932137,0.39691675,0.62156403,0.42109612,0.42206055,0.57989955,0.42427468,0.41868752,0.5512826,0.44804016,0.4661687,0.8458036,0.44492427,0.48144513,0.80198413,0.55264676,0.47034603,0.43448266,0.5496303,0.48482028,0.7274995,0.6266443,0.46363667,0.50902855,0.6193629,0.47909385,0.47191292,0.501586,0.60516095,0.74995077,0.50923014,0.601026,0.7294727,0.5541236,0.7239325,0.5508467,0.548606,0.71940815,0.453226,0.5874489,0.8301072,0.47436526,0.5833307,0.8215255,0.7738984
Plank,0.39046198,0.890154,0.6302,0.36569628,0.8918786,0.7640274,0.36592707,0.89166427,0.70600015,0.3445616,0.849212,0.81512165,0.34493256,0.846842,0.8242886,0.38996935,0.75312364,0.8687085,0.3903454,0.7793597,0.8412568,0.557157,0.73996496,0.8083123,0.559169,0.78236854,0.8160477,0.6978194,0.7569348,0.87527025,0.7242161,0.80468935,0.73039657,0.48513,0.5315661,0.89008313,0.49282208,0.54065484,0.7421143,0.57118165,0.31588224,0.7959343,0.5985567,0.32199007,0.8437818,0.63719386,0.109335676,0.8134611,0.6739708,0.117349066,0.62499183
Plank,0.4093753,0.8782638,0.7855197,0.3872989,0.87872386,0.77099055,0.38766828,0.87811655,0.7459656,0.36628193,0.8386014,0.57395715,0.3655346,0.835154,0.89501697,0.39474064,0.7349033,0.89624083,0.4034671,0.75156194,0.7557688,0.5491184,0.7188143,0.84702474,0.557583,0.74690634,0.7542429,0.6623838,0.7162288,0.79361343,0.6787804,0.73894876,0.8715748,0.4817847,0.5043056,0.8639047,0.4880483,0.5078503,0.75643504,0.55309254,0.34842312,0.7136315,0.5601201,0.34892333,0.719731,0.61664695,0.16626024,0.7498872,0.62763214,0.15488431,0.7746597
Plank,0.4949755,0.82203156,0.74673814,0.47636712,0.8321331,0.85262054,0.4752601,0.83179355,0.79448104,0.43893552,0.80743563,0.7214038,0.44013336,0.804194,0.8376253,0.45324853,0.7209118,0.7611346,0.45288298,0.7173664,0.5940783,0.5866823,0.7155247,0.7697439,0.5906151,0.71342033,0.704588,0.69515,0.7162047,0.80282843,0.69896954,0.7163017,0.61389375,0.48513958,0.4936238,0.88341826,0.48602372,0.49105865,0.7862088,0.5672655,0.3173698,0.76655203,0.5658235,0.32078034,0.7272235,0.6317775,0.16830803,0.7747741,0.6314187,0.1618236,0.7099416
Plank,0.42507342,0.80447155,0.67774004,0.40711623,0.81708187,0.7145167,0.40641284,0.81544566,0.67965,0.36466274,0.79448503,0.7538404,0.36771908,0.7923456,0.865472,0.38617355,0.6961192,0.57060987,0.39001778,0.691895,0.7460773,0.53221923,0.6928621,0.83067316,0.5346062,0.6905294,0.7654087,0.6540568,0.7065585,0.749313,0.66633904,0.70504344,0.5316981,0.46725097,0.48379007,0.8177233,0.4753967,0.4820766,0.83837944,0.532502,0.29659474,0.696096,0.5416365,0.2894712,0.65173554,0.564805,0.09733919,0.7686783,0.5733247,0.09132808,0.841351
Plank,0.44932073,0.85091066,0.7779727,0.4321949,0.8560054,0.74895763,0.43231148,0.85747725,0.5261556,0.40993986,0.8216271,0.8055559,0.41162786,0.82301086,0.8436616,0.41844487,0.72728753,0.85969853,0.45224822,0.74095505,0.60764384,0.56448984,0.716227,0.5610431,0.60488987,0.73505425,0.74217325,0.64083576,0.72413254,0.5830427,0.7193826,0.754014,0.75013566,0.4830304,0.5041663,0.8640119,0.51491886,0.5110978,0.7523534,0.54816747,0.32826778,0.6977877,0.5913259,0.32652277,0.7904565,0.6085628,0.19358976,0.71862096,0.6673345,0.16093616,0.83231485
Plank,0.40029028,0.90733325,0.7662914,0.37973928,0.9187405,0.7270025,0.37776786,0.9204817,0.72435015,0.33070508,0.8925343,0.8088767,0.32835996,0.8896953,0.7081802,0.36180454,0.7747249,0.76499987,0.3695832,0.776368,0.8604847,0.5396933,0.7569065,0.8592157,0.54723537,0.7573364,0.9186844,0.6626636,0.7577141,0.7767622,0.6810456,0.7618275,0.63151515,0.41240078,0.5059507,0.8563491,0.4205662,0.5076234,0.8354316,0.5206847,0.29397622,0.84710824,0.52746844,0.29187596,0.7071668,0.6042393,0.07911638,0.90949935,0.6144108,0.07272695,0.8088853
