Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Plow,0.53141344,0.4488957,0.39049077,0.5423856,0.43500122,0.5789997,0.5515132,0.43291086,0.69236404,0.5951615,0.42979243,0.47978818,0.61189383,0.42341772,0.6552588,0.5968566,0.54068226,0.76298696,0.62796026,0.5080178,0.7658199,0.6001396,0.70442766,0.72378516,0.6572403,0.69987404,0.93157166,0.59817183,0.82939875,0.8727565,0.65913105,0.84890765,0.6993018,0.33809882,0.5193534,0.71137625,0.3406353,0.5107992,0.8284671,0.47261125,0.30190203,0.71893674,0.48020014,0.30292988,0.8174976,0.59248835,0.084195346,0.5788584,0.5890667,0.06803139,0.5605502
Plow,0.57195145,0.46049324,0.6303391,0.58379483,0.4455644,0.70807177,0.59288865,0.44760308,0.72499573,0.6371427,0.4433664,0.49096075,0.6493751,0.44291347,0.763361,0.6362063,0.5413761,0.56047726,0.6466636,0.5368104,0.7657289,0.64443374,0.73796767,0.75413346,0.66349703,0.739166,0.8611531,0.6617465,0.8782773,0.5393991,0.6704202,0.8925783,0.8188221,0.36980873,0.53872,0.7776408,0.37306094,0.54324627,0.79250735,0.47854525,0.2924737,0.78558856,0.48367718,0.29087508,0.88150495,0.57025385,0.08983569,0.84725213,0.573712,0.07792311,0.81742346
Plow,0.57699263,0.4397079,0.5255581,0.5866058,0.4190714,0.6537897,0.59779406,0.424917,0.6718699,0.64514965,0.41684762,0.7964616,0.658539,0.42093265,0.70472324,0.64576,0.50830644,0.7567239,0.6539091,0.5262256,0.8308331,0.64898944,0.7072814,0.24846636,0.67307436,0.7467171,0.81181943,0.66591775,0.8980615,0.31742373,0.6786967,0.9064731,0.8560091,0.3432984,0.55779886,0.8615733,0.34606272,0.5671253,0.8705656,0.47591987,0.30323327,0.63465303,0.47999752,0.30132377,0.8585903,0.5980746,0.046535417,0.8546543,0.6055816,0.041764926,0.8221025
Plow,0.5721926,0.51829106,0.53568125,0.58506596,0.5366612,0.6244972,0.57689553,0.5295295,0.6215188,0.64851904,0.53305876,0.8861149,0.6408682,0.5295648,0.7542634,0.66400075,0.43429184,0.65965337,0.65307367,0.44880712,0.56062645,0.66030604,0.24646255,0.66875905,0.655175,0.24249844,0.72339314,0.67804366,0.102082096,0.90789735,0.66670424,0.10637118,0.43764037,0.36108324,0.41783905,0.9099108,0.3563114,0.41877604,0.8628024,0.4648053,0.65391684,0.8034216,0.4719761,0.6481443,0.7012477,0.58891034,0.8898542,0.7939655,0.58476025,0.88192034,0.7857682
Plow,0.57313144,0.5210258,0.6432412,0.58113,0.50831276,0.6399237,0.58888817,0.50907266,0.77546656,0.63117886,0.5057064,0.65347964,0.6400849,0.50438535,0.66725624,0.6264293,0.59317017,0.5920345,0.6442914,0.594209,0.8778378,0.64353067,0.7703295,0.6653455,0.6749687,0.77413476,0.7547362,0.64013016,0.89989823,0.56735325,0.6568439,0.91021955,0.9130691,0.37843093,0.615882,0.85699254,0.37937686,0.6209893,0.7720849,0.49281615,0.38574243,0.64017105,0.5020382,0.3823939,0.7002656,0.595476,0.16070695,0.7995436,0.6012323,0.16006851,0.8366714
Plow,0.4947049,0.5220379,0.43001464,0.5044975,0.5389234,0.5774026,0.4897597,0.5341072,0.46760106,0.56048715,0.5331159,0.7764646,0.54096395,0.5331717,0.6726303,0.58270216,0.45476362,0.7860277,0.5467448,0.47159037,0.4538103,0.6031847,0.28172982,0.3287111,0.55023336,0.35367548,0.6546925,0.6043147,0.122997485,0.73527426,0.52115554,0.25256693,0.8346956,0.3462198,0.45009372,0.6868025,0.3392009,0.45752668,0.66715586,0.447029,0.6655832,0.7224214,0.44214228,0.6688682,0.60504687,0.53068835,0.88242406,0.8163968,0.5291833,0.8814653,0.5978491
Plow,0.6321224,0.4656347,0.46632195,0.64671606,0.44806662,0.6821732,0.65388113,0.4486665,0.62062186,0.6978525,0.44746363,0.59762436,0.7169924,0.4410341,0.7882001,0.6933882,0.5549483,0.70197487,0.7353863,0.5412098,0.77379847,0.69088274,0.72362375,0.76142377,0.746318,0.72472084,0.75925374,0.6937794,0.8488007,0.7781223,0.7302628,0.85957503,0.6721049,0.4663401,0.56980073,0.8794419,0.47154337,0.5670744,0.87378365,0.58559465,0.353957,0.7469645,0.57689047,0.35608914,0.83410174,0.65453804,0.12919244,0.7985867,0.6660045,0.12743184,0.84845465
Plow,0.6321593,0.5747777,0.27665627,0.64106375,0.5730493,0.32782248,0.632002,0.57816046,0.36044025,0.6556776,0.5621444,0.41472712,0.64753443,0.5725149,0.27654544,0.6366181,0.5057883,0.31507695,0.6352206,0.5485447,0.24395482,0.6478689,0.4282082,0.42363858,0.6374332,0.52724475,0.20140088,0.64165175,0.41676646,0.18992594,0.64334166,0.5370585,0.21209608,0.48693684,0.548443,0.63942724,0.49138504,0.5497826,0.6965956,0.58192015,0.67370296,0.62832946,0.5820152,0.6740343,0.6384118,0.67003506,0.7770074,0.5314392,0.67142314,0.77801865,0.46568495
Plow,0.6260992,0.51885027,0.3252206,0.635594,0.5117127,0.5690697,0.6423539,0.5090897,0.59045446,0.67941076,0.5230094,0.4625664,0.6889869,0.50970817,0.30968854,0.6806292,0.5956919,0.70857453,0.71462196,0.5898529,0.5018752,0.6731057,0.75109833,0.61283696,0.6968219,0.7413059,0.30758044,0.6631653,0.834857,0.47383603,0.6783514,0.83969384,0.26161343,0.45935246,0.5906303,0.852735,0.4618071,0.59417725,0.7449793,0.5778301,0.39746383,0.6265321,0.5765646,0.39406338,0.74083894,0.641078,0.22715992,0.59664565,0.64899313,0.22158757,0.6636968
Plow,0.56392735,0.57370406,0.46588904,0.579416,0.5909517,0.6198359,0.5733199,0.58874893,0.618943,0.64997715,0.5898196,0.80694145,0.6463121,0.592631,0.6536655,0.6656178,0.5143762,0.86885667,0.6580652,0.5126924,0.6891892,0.6865876,0.31036457,0.7490849,0.675535,0.31123966,0.6367785,0.6937924,0.13226125,0.78532976,0.6845163,0.14688863,0.46793106,0.33260587,0.42024243,0.87180644,0.3469293,0.4206719,0.7610744,0.4494862,0.68602693,0.62808067,0.46141392,0.6703169,0.6526732,0.58974165,0.93420523,0.80273443,0.5836521,0.8779666,0.69427407
