Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Reclining_Bound_Angle,0.45136407,0.7464751,0.50124514,0.46626806,0.7790824,0.5092285,0.46384948,0.77686614,0.66930425,0.5327945,0.7869551,0.82960683,0.5251882,0.7828852,0.7965433,0.60685587,0.68754214,0.7760328,0.5677948,0.6422606,0.5582566,0.7328506,0.5850747,0.87800163,0.6533042,0.5550241,0.27380496,0.7904511,0.56952274,0.729629,0.64562136,0.47901082,0.060208626,0.661134,0.32451314,0.8234848,0.608294,0.31415096,0.7601122,0.58367604,0.07934395,0.6954228,0.56567097,0.09370327,0.48804134,0.6945869,0.1547344,0.42723945,0.67737454,0.14341456,0.29892063
Reclining_Bound_Angle,0.5113045,0.7722717,0.7016979,0.52866936,0.7940298,0.46323645,0.5132341,0.7940236,0.6359852,0.59559745,0.78608185,0.6982654,0.558603,0.7867717,0.67628294,0.6174555,0.7190294,0.71453696,0.5447922,0.7150781,0.60874176,0.67892814,0.8902503,0.6796754,0.5275871,0.79285544,0.29029053,0.64827394,0.886968,0.246951,0.577497,0.8523284,0.2377316,0.6131355,0.4393229,0.58897835,0.5509768,0.42472112,0.74183685,0.6980512,0.23835455,0.8393774,0.48381022,0.29176426,0.93816966,0.6463202,0.1825757,0.5668393,0.6094544,0.18978049,0.64212286
Reclining_Bound_Angle,0.408051,0.6430002,0.6738953,0.4236324,0.66647995,0.6171661,0.41424313,0.65874314,0.647671,0.47201923,0.6739065,0.76403457,0.4442113,0.65437627,0.5593236,0.51794535,0.6516909,0.6842279,0.46858513,0.5667947,0.7586347,0.6098109,0.63811225,0.9103517,0.47724143,0.5029063,0.33270803,0.66485006,0.67095894,0.80870736,0.537069,0.45363942,0.11723028,0.5855586,0.44684836,0.66983324,0.5518712,0.36176816,0.5856011,0.6203182,0.42216662,0.5607403,0.49705014,0.15543965,0.9485876,0.6552655,0.2986149,0.53204864,0.6311114,0.21794765,0.359262
Reclining_Bound_Angle,0.5341772,0.2388381,0.6253415,0.54901206,0.22078803,0.60520846,0.56225836,0.24462205,0.4759008,0.58139694,0.20465042,0.61663127,0.62504846,0.29407817,0.65897834,0.52198255,0.23249821,0.49801016,0.6037693,0.41571963,0.6759121,0.45920599,0.3245263,0.59139305,0.6537057,0.59448683,0.7964488,0.43515334,0.35017905,0.442069,0.64772826,0.7397168,0.8730731,0.4189603,0.5141469,0.66449815,0.47690803,0.577756,0.6387752,0.27721846,0.47471887,0.7212888,0.49690506,0.738342,0.27103448,0.39422664,0.6418475,0.5108439,0.5099,0.80678076,0.097723976
Reclining_Bound_Angle,0.36428553,0.26818246,0.5797378,0.36344403,0.24656159,0.5603772,0.3673897,0.24134384,0.80692685,0.40618938,0.23672563,0.5131659,0.42134765,0.22264269,0.6460964,0.45567548,0.32205984,0.6337874,0.49651268,0.26558295,0.6968998,0.5491768,0.41592765,0.17050323,0.63839495,0.3802288,0.8509169,0.51260173,0.51190555,0.18713118,0.5143734,0.46974847,0.49342754,0.5231933,0.54627514,0.5481174,0.57463413,0.53588504,0.54264665,0.48370603,0.667254,0.645718,0.6068993,0.7449678,0.6292685,0.5486409,0.6623834,0.43238991,0.57558554,0.6657317,0.2236688
Reclining_Bound_Angle,0.5706257,0.4315196,0.5408613,0.5869318,0.41026494,0.5144912,0.58675545,0.45300278,0.46016973,0.6536928,0.36496213,0.6393463,0.6350927,0.49233627,0.41406435,0.65378064,0.30480045,0.7014769,0.6350158,0.57196593,0.41558042,0.62783974,0.20509061,0.57342225,0.60690403,0.7068712,0.6232217,0.604092,0.12875946,0.6734307,0.5732924,0.83792883,0.8753418,0.5162356,0.3993105,0.6333944,0.5226506,0.5600874,0.6918952,0.47070572,0.20245562,0.693717,0.43306035,0.75705403,0.5440606,0.53343016,0.3579217,0.11751171,0.5395398,0.63974607,0.17681095
Reclining_Bound_Angle,0.48133442,0.7265774,0.5298161,0.49320957,0.74909467,0.59631467,0.4884851,0.7475532,0.48533866,0.5440945,0.75400037,0.7842295,0.5308847,0.7499169,0.57122403,0.5880082,0.6852255,0.6375529,0.53111255,0.64398164,0.74915254,0.68113977,0.60064304,0.8552013,0.53407484,0.5548338,0.27292567,0.7331087,0.53934306,0.73607457,0.56159455,0.47507066,0.18113485,0.62135774,0.42023152,0.7610319,0.555793,0.41278198,0.7293232,0.6358806,0.24193785,0.5894038,0.5136482,0.29103994,0.7840071,0.62831867,0.24993593,0.45975935,0.6013548,0.26146907,0.32723153
Reclining_Bound_Angle,0.48966935,0.1268452,0.5502396,0.50662196,0.12669314,0.6076786,0.5118543,0.12676767,0.5790015,0.53431064,0.17585856,0.7302679,0.5449882,0.17167115,0.7076909,0.4401026,0.27291486,0.7281543,0.54751843,0.24466518,0.6111579,0.40980843,0.49182734,0.087347,0.5850021,0.42168203,0.81726635,0.31645623,0.58668673,0.60582346,0.4335732,0.5170691,0.6534824,0.45391938,0.5855826,0.5690932,0.5310819,0.56367344,0.64124733,0.31353652,0.75320643,0.40443403,0.60981077,0.7931256,0.7687851,0.4961551,0.7846874,0.14591333,0.5381365,0.81662023,0.17449528
Reclining_Bound_Angle,0.35630238,0.713386,0.7562471,0.37398708,0.73577416,0.6704059,0.36109832,0.7368498,0.6316838,0.4308847,0.7276945,0.7904905,0.39180803,0.7317189,0.61896807,0.47792456,0.64761436,0.8234845,0.35909954,0.63571787,0.8087589,0.60298926,0.60331875,0.8745219,0.3551223,0.6175624,0.5147813,0.71337146,0.60982645,0.8390972,0.3299549,0.6129181,0.55382794,0.48164234,0.38830197,0.5992269,0.3869577,0.383336,0.7788893,0.5744554,0.20291257,0.92635626,0.30045313,0.3275003,0.90010315,0.52526,0.22784488,0.2565249,0.4442845,0.22715718,0.7652528
Reclining_Bound_Angle,0.26648152,0.82674444,0.6766408,0.29121146,0.8567203,0.65476424,0.27190804,0.8432331,0.6924308,0.36004075,0.85254484,0.8418953,0.31271502,0.83392334,0.6057688,0.4151971,0.7955913,0.77581817,0.32372344,0.66116875,0.7312118,0.61590487,0.70686454,0.8400795,0.3787676,0.5251463,0.593853,0.53520733,0.55894196,0.80060476,0.400376,0.41944927,0.7127676,0.5328386,0.50416124,0.8493406,0.44473913,0.3963365,0.7343219,0.7239037,0.38219565,0.65982443,0.39923495,0.17976873,0.8624621,0.6623097,0.1602668,0.50428694,0.59692746,0.16824222,0.8020032
