Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Reclining_Hand-to-Big-Toe,0.6678238,0.49660924,0.5251382,0.6696156,0.47020748,0.55530494,0.6826095,0.51235783,0.47846872,0.73287475,0.42894208,0.5350632,0.7325028,0.53668946,0.5962988,0.7292349,0.37583733,0.67112345,0.7530484,0.61548036,0.659244,0.6880784,0.40595874,0.24532002,0.7754294,0.6832619,0.58031255,0.6789973,0.4969636,0.1665,0.6933474,0.62025595,0.6185314,0.7291708,0.35130483,0.16401882,0.70934093,0.5732376,0.52539706,0.5388047,0.4179852,0.45107856,0.48835,0.49121958,0.5990868,0.41137117,0.3992367,0.33111525,0.20505822,0.42761287,0.42694473
Reclining_Hand-to-Big-Toe,0.6406117,0.14978579,0.797293,0.65105337,0.12580977,0.8111072,0.6536124,0.124138676,0.763537,0.7046557,0.13067266,0.7785745,0.70814055,0.12823357,0.84538954,0.6916132,0.23226883,0.5219496,0.70757705,0.23074389,0.7722742,0.5504754,0.291576,0.7615248,0.5503696,0.28764728,0.8450258,0.42462832,0.29850113,0.5250247,0.42529306,0.2956716,0.80740035,0.68420726,0.49701512,0.84868777,0.70604044,0.49629813,0.8748888,0.6961846,0.7013867,0.8095752,0.46827227,0.4454768,0.825904,0.71550214,0.9277598,0.92129064,0.2530478,0.37700096,0.82105505
Reclining_Hand-to-Big-Toe,0.27778232,0.08313168,0.75314695,0.29031584,0.063105226,0.6979778,0.3043173,0.06096624,0.75258327,0.333647,0.07821136,0.60388386,0.367044,0.08711305,0.7160259,0.25975278,0.20858613,0.68293756,0.40484703,0.1677959,0.7334143,0.2583652,0.349003,0.39791384,0.52616805,0.1428033,0.8176553,0.23190528,0.41995272,0.508888,0.64551604,0.10540897,0.7993822,0.27643532,0.47857636,0.68854636,0.3877837,0.44081888,0.6611642,0.30968812,0.71956146,0.83779836,0.49652568,0.36504543,0.66166663,0.33455986,0.9404875,0.91155773,0.6829124,0.17986083,0.68176866
Reclining_Hand-to-Big-Toe,0.5276088,0.027802777,0.74145746,0.52030015,0.008647555,0.73848283,0.559557,0.0038001211,0.4396856,0.51722187,0.02770267,0.38966975,0.6074685,0.043554187,0.43891653,0.48169726,0.15071039,0.5390627,0.6221215,0.1334295,0.8062697,0.35268858,0.14926717,0.8443115,0.71532476,0.2727881,0.76318276,0.22807875,0.09452453,0.8106069,0.80340046,0.40724844,0.84948665,0.49835628,0.41601905,0.7257098,0.58974546,0.40877908,0.8296714,0.3196515,0.30336747,0.8107664,0.6069194,0.66413623,0.8789688,0.12767358,0.18501112,0.6972333,0.67743784,0.91372705,0.6362034
Reclining_Hand-to-Big-Toe,0.53903335,0.09159039,0.8206025,0.5475728,0.07127791,0.55528325,0.55748254,0.064167954,0.6486536,0.59986347,0.073248096,0.75513625,0.6203864,0.065597974,0.6972598,0.5880603,0.18479821,0.6219081,0.6463862,0.14442445,0.7859173,0.58454305,0.31166127,0.22939356,0.712165,0.25598344,0.9163455,0.623368,0.4179094,0.21389148,0.7376004,0.3797399,0.86211187,0.5760449,0.4427855,0.86072683,0.64192647,0.42687872,0.69776297,0.40369797,0.44919094,0.71276575,0.6587643,0.68115884,0.8433023,0.26143745,0.4209691,0.9050319,0.71850234,0.94536936,0.8970831
Reclining_Hand-to-Big-Toe,0.6232346,0.80528665,0.6362342,0.6378961,0.82342815,0.7302444,0.6319604,0.8231414,0.8172327,0.67913324,0.8064781,0.7668157,0.6682255,0.80922043,0.49020067,0.68868333,0.7481587,0.8744664,0.65389955,0.7360905,0.71580124,0.55252403,0.7011812,0.73822075,0.55332017,0.69301945,0.57624596,0.46825486,0.76909107,0.6981103,0.46764645,0.7569175,0.34544504,0.6827283,0.49009567,0.73954654,0.66445684,0.48976177,0.7988569,0.5382392,0.6483099,0.69374764,0.66092676,0.3249417,0.873617,0.4118512,0.73845774,0.5125461,0.68805504,0.15735552,0.8163899
Reclining_Hand-to-Big-Toe,0.5404812,0.293761,0.75915396,0.53780645,0.28538108,0.79993373,0.550714,0.27683243,0.74854225,0.5643545,0.2838255,0.6845972,0.58743423,0.27348748,0.763848,0.55683166,0.37203473,0.63658303,0.5899884,0.29549432,0.7997177,0.5340918,0.4244782,0.31846774,0.5464624,0.34996092,0.6150443,0.46490675,0.3758072,0.5272593,0.47055635,0.36773443,0.71687305,0.5891857,0.4979195,0.66081923,0.6301252,0.44474036,0.45591962,0.44549942,0.47180018,0.5329767,0.6357001,0.60425776,0.67551893,0.29732257,0.4702241,0.68095946,0.692396,0.77953583,0.8417094
Reclining_Hand-to-Big-Toe,0.62066936,0.14623842,0.67959267,0.6150802,0.12946054,0.61086965,0.6462729,0.12422682,0.71919954,0.6309517,0.13702802,0.52408177,0.6957803,0.14731301,0.8198959,0.5882536,0.2082516,0.751297,0.69983727,0.2665667,0.7893865,0.48582143,0.28160122,0.73392177,0.5728861,0.36432192,0.65284675,0.38251644,0.31748646,0.6075642,0.3925709,0.3331089,0.54014474,0.5841543,0.49018693,0.489294,0.63903725,0.53110725,0.6892357,0.5106724,0.70223093,0.8251611,0.43678498,0.45563176,0.70272577,0.4831543,0.9114411,0.8879417,0.5156628,0.65182877,0.05009177
Reclining_Hand-to-Big-Toe,0.54389554,0.25073072,0.44791114,0.5574606,0.23312914,0.57515776,0.5584999,0.23234044,0.39160395,0.6006942,0.23794496,0.6486106,0.60878754,0.23750003,0.8055339,0.587004,0.30653706,0.79642916,0.61322594,0.30156457,0.7243164,0.4834971,0.37892812,0.22140555,0.48808423,0.37587437,0.46275118,0.43759564,0.4427143,0.20909211,0.39816698,0.40456602,0.6020944,0.59014004,0.5398571,0.8432636,0.6083426,0.54187286,0.8292167,0.4308389,0.65748596,0.90904874,0.40647992,0.42338908,0.5976771,0.60492015,0.66901463,0.8510024,0.2619152,0.37410942,0.66129875
Reclining_Hand-to-Big-Toe,0.5784128,0.1640448,0.6866204,0.58887607,0.14100398,0.6720973,0.5918957,0.13990214,0.4837872,0.64079124,0.14308293,0.74561113,0.648404,0.14595068,0.88513017,0.63881475,0.23539045,0.74929327,0.64640963,0.22764842,0.84550846,0.48410258,0.26931998,0.64115494,0.48873758,0.26692006,0.82692736,0.34857178,0.25918955,0.45608956,0.34651273,0.24494351,0.575824,0.6401155,0.48069084,0.8238411,0.65121293,0.4776236,0.8207591,0.6416368,0.698859,0.7920719,0.4558147,0.3927465,0.729116,0.67419195,0.8998259,0.8999066,0.28374434,0.31413206,0.38579476
