Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Reverse_Warrior,0.39085215,0.6211064,0.5256537,0.3971386,0.62412447,0.5842926,0.38531983,0.6245962,0.6275203,0.41325942,0.6041078,0.6521888,0.3847212,0.60531944,0.5363635,0.46148324,0.5741789,0.7538695,0.37326944,0.5526178,0.7513321,0.5622894,0.57731545,0.58493966,0.30400637,0.61173046,0.63129926,0.6420088,0.61262995,0.4673749,0.31154376,0.69826794,0.6047088,0.5404753,0.4823651,0.786283,0.5199411,0.42932874,0.59151936,0.6555273,0.57171494,0.87527,0.5822814,0.28093052,0.8785408,0.7237771,0.67859817,0.65610003,0.7097727,0.32113463,0.8230003
Reverse_Warrior,0.29823673,0.56219065,0.65546775,0.30744058,0.58486706,0.7784601,0.30613494,0.5822915,0.7473494,0.34631717,0.5820366,0.8250947,0.3437223,0.57933396,0.6079103,0.40847987,0.5527409,0.86995256,0.34842226,0.5306789,0.52608204,0.5270331,0.56589276,0.5780569,0.274807,0.5936462,0.577073,0.61312187,0.5828631,0.8655567,0.23752378,0.68628234,0.8288682,0.5427773,0.4685614,0.88261056,0.5272507,0.4246903,0.6019546,0.66893,0.56895155,0.6251409,0.588003,0.25114965,0.8768524,0.72239685,0.6979723,0.75368524,0.75413907,0.23332806,0.84488237
Reverse_Warrior,0.26008868,0.47349167,0.52039766,0.2560673,0.465697,0.62997335,0.26653004,0.4533202,0.45625857,0.27636278,0.46334234,0.3964982,0.30353948,0.44079912,0.6306575,0.30480072,0.5289417,0.6577914,0.382451,0.45229903,0.60643953,0.19713517,0.50395626,0.71715647,0.4810642,0.4477962,0.711015,0.14089325,0.4452791,0.5259112,0.5767248,0.40765145,0.48702005,0.51088905,0.60743105,0.80719435,0.5218123,0.52875483,0.80938375,0.57333547,0.75280446,0.90900284,0.6356253,0.42596424,0.42012522,0.7339818,0.78326404,0.62791175,0.72834194,0.28393504,0.6760815
Reverse_Warrior,0.3336862,0.3927475,0.6405162,0.3304833,0.38783905,0.4950172,0.3439054,0.37564072,0.39777234,0.3509178,0.39315325,0.7521395,0.3773393,0.3701946,0.84471256,0.36568475,0.4543133,0.86268425,0.44734532,0.3801395,0.8756838,0.2589346,0.45063078,0.89078134,0.5523831,0.39016593,0.8539082,0.16363516,0.39178678,0.849318,0.6584574,0.36757052,0.82241356,0.5714678,0.53089535,0.76509124,0.5826948,0.453584,0.8486156,0.6887033,0.6319166,0.91985923,0.70456684,0.3807099,0.91626054,0.8095241,0.66626436,0.7575252,0.808447,0.29898253,0.77536654
Reverse_Warrior,0.39443743,0.5956311,0.56741506,0.40598086,0.6063562,0.48825595,0.3913802,0.60286367,0.516391,0.43863928,0.5954475,0.4793105,0.41284925,0.58819544,0.32398173,0.49001878,0.5595355,0.68933284,0.4056912,0.52987874,0.36781323,0.57277226,0.585547,0.38508448,0.33995584,0.6135375,0.2868515,0.66350925,0.61613166,0.45075366,0.3250683,0.7136401,0.6639065,0.569804,0.48125044,0.47591954,0.5543178,0.44844717,0.47641376,0.61646354,0.5438413,0.23635031,0.6006245,0.28300703,0.23667659,0.69400555,0.6329624,0.18487442,0.74462044,0.25062457,0.27677152
Reverse_Warrior,0.39193892,0.4924748,0.3405533,0.38692078,0.4811329,0.34042194,0.39459112,0.47839874,0.5344178,0.40762857,0.4677266,0.39030254,0.4233933,0.46136665,0.4911714,0.4437581,0.514787,0.54209685,0.49953243,0.45458603,0.5881476,0.35751158,0.45871487,0.51506096,0.600236,0.4320759,0.4946672,0.29867917,0.38232067,0.36368087,0.671828,0.4002345,0.2688888,0.62350726,0.5491411,0.506237,0.6295357,0.5047714,0.5548628,0.6455517,0.70047873,0.4374853,0.74684656,0.3930534,0.2512239,0.8002913,0.6852538,0.29721394,0.7975529,0.68600136,0.38940248
Reverse_Warrior,0.36699095,0.5040364,0.49741387,0.3719818,0.5174466,0.43130398,0.36512104,0.516695,0.49499938,0.40985283,0.5436493,0.649509,0.3953302,0.53375053,0.3904781,0.49040574,0.53704286,0.6924298,0.42005873,0.46485773,0.5694081,0.61987877,0.56071055,0.65245014,0.32452783,0.4207214,0.57952404,0.72414404,0.6044099,0.5115228,0.21540965,0.396286,0.5301128,0.64136124,0.4806372,0.81904894,0.62940437,0.43890104,0.7182794,0.7430894,0.5352311,0.082707115,0.6924369,0.30534488,0.44263488,0.8218764,0.68465006,0.53060853,0.8351098,0.31812567,0.54876107
Reverse_Warrior,0.08877797,0.44724724,0.90096337,0.06773399,0.46722534,0.6541602,0.06689139,0.46538806,0.8868017,0.081228316,0.5317973,0.7867757,0.07992472,0.5220991,0.87696874,0.19983482,0.5538302,0.8849315,0.20603856,0.51269853,0.93688005,0.34994742,0.6523583,0.77054065,0.33341435,0.5677106,0.7314871,0.45413193,0.5571533,0.9121923,0.45251808,0.5448565,0.5555016,0.50428456,0.54639536,0.94494146,0.5076858,0.49014017,0.93055016,0.7368834,0.686902,0.7809355,0.7297854,0.36381763,0.76013905,0.93186057,0.845842,0.86431706,0.9223253,0.19843653,0.8891692
Reverse_Warrior,0.30605462,0.6335343,0.48711598,0.31430694,0.65228736,0.5391191,0.3058678,0.64073706,0.43613234,0.3594033,0.6566443,0.5626853,0.33906642,0.6273826,0.41961235,0.46120948,0.62267953,0.48737338,0.3666213,0.5590389,0.61752903,0.5906378,0.62695557,0.66183394,0.25738692,0.6138236,0.5941654,0.7011956,0.64889205,0.5277437,0.18227106,0.709498,0.49949002,0.6189564,0.5437468,0.6702641,0.60738754,0.44976705,0.69795805,0.76463234,0.63615286,0.47717124,0.6730078,0.29886708,0.6422225,0.863237,0.76355517,0.46334204,0.8514923,0.28673622,0.64264405
Reverse_Warrior,0.4371003,0.7355841,0.4948544,0.4426233,0.74723285,0.6739549,0.43305707,0.73831505,0.488966,0.47518852,0.7526453,0.64209074,0.4521115,0.73578054,0.52614105,0.5303439,0.7438275,0.6019967,0.47904703,0.6806759,0.678897,0.61755896,0.79225117,0.7295917,0.37779844,0.694954,0.5548682,0.66966385,0.8227501,0.2826649,0.33026943,0.7449721,0.71957517,0.6652996,0.70276743,0.7677726,0.6598133,0.6297416,0.7950189,0.7317319,0.80900306,0.5742461,0.6861182,0.52173895,0.77360934,0.8225379,0.915688,0.76213104,0.83171684,0.52042705,0.7829866
