Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Revolved_Head-to-Knee,0.49894166,0.64566225,0.57849336,0.5258849,0.66079104,0.63368714,0.50413024,0.6704597,0.68320817,0.5720949,0.6440093,0.67843926,0.5198264,0.66934574,0.55061686,0.60505176,0.59482765,0.4046914,0.47023514,0.5777473,0.8075715,0.68977094,0.70719975,0.8137416,0.48158997,0.73785704,0.8286563,0.63582987,0.83049375,0.44503686,0.56507534,0.8255195,0.79149604,0.62970966,0.4551189,0.7242674,0.6178446,0.33842307,0.8342775,0.67105097,0.6808877,0.622951,0.6819055,0.16188106,0.8268256,0.6786462,0.85744816,0.7006873,0.68418294,0.39402455,0.8127266
Revolved_Head-to-Knee,0.50669855,0.6242368,0.6532657,0.5357463,0.642358,0.5803127,0.4897791,0.6553648,0.7141281,0.57230675,0.61738735,0.7239742,0.4706439,0.6608838,0.7728625,0.59413165,0.562018,0.84376615,0.4022058,0.52406836,0.7068592,0.7211486,0.67737806,0.81665885,0.43752027,0.7611633,0.8047331,0.65780234,0.86334234,0.57626456,0.55157536,0.9001935,0.7949197,0.6294728,0.4035014,0.8053143,0.60448474,0.25872606,0.8078994,0.692955,0.6686586,0.5741898,0.68767834,0.032945253,0.92126864,0.7180994,0.92406815,0.7135261,0.6853797,0.32084876,0.8283884
Revolved_Head-to-Knee,0.31569546,0.51586866,0.7190136,0.3209861,0.5398609,0.80023205,0.30728206,0.5258158,0.75963527,0.37475595,0.5566812,0.5608214,0.3367037,0.5277487,0.4905291,0.4571342,0.55484885,0.54693127,0.33974043,0.44452074,0.7902711,0.5210914,0.6447235,0.787041,0.19039713,0.44344312,0.8637682,0.5638852,0.762879,0.77548236,0.0905361,0.5076174,0.7139508,0.58332086,0.43663174,0.88155264,0.58783406,0.32086477,0.88935184,0.6203695,0.58699334,0.81994784,0.6079484,0.16772431,0.82404727,0.61244124,0.77339876,0.7769936,0.6450011,0.3546955,0.6247578
Revolved_Head-to-Knee,0.3770427,0.48711255,0.54469746,0.3673405,0.47380173,0.6156882,0.38436657,0.46275732,0.6002461,0.38629732,0.47416905,0.62346125,0.4211003,0.45506066,0.58762467,0.40142033,0.56334865,0.87818706,0.48081386,0.46244073,0.78526264,0.28770676,0.51932096,0.8402415,0.5644972,0.39025846,0.82075197,0.22743507,0.4338972,0.87967294,0.6303582,0.2767721,0.7600332,0.60762686,0.64528936,0.92923546,0.60696286,0.54774874,0.8711727,0.6475588,0.7450626,0.81466067,0.6301651,0.40869674,0.8832173,0.66011876,0.5902735,0.67333144,0.65390813,0.24339823,0.55350244
Revolved_Head-to-Knee,0.40591717,0.3204994,0.6461264,0.42251864,0.30596453,0.6231876,0.4369685,0.305593,0.63989913,0.46751207,0.3318965,0.6358533,0.49529013,0.33670056,0.7191216,0.45337287,0.42475325,0.49719018,0.5466202,0.3910665,0.70861274,0.40515125,0.23343828,0.71764016,0.6978823,0.29480794,0.94266474,0.5290618,0.11648052,0.34499052,0.6270585,0.14056708,0.8070127,0.6114437,0.72091717,0.662548,0.63936627,0.5984837,0.80673105,0.65578514,0.9780604,0.90652156,0.6701192,0.37495995,0.6128379,0.68593,0.709582,0.8451449,0.6778108,0.07155973,0.8036659
Revolved_Head-to-Knee,0.4998211,0.37574178,0.44491288,0.48481023,0.3635898,0.57360506,0.50859714,0.35121506,0.33617535,0.48270983,0.3735501,0.5889842,0.52928114,0.35476497,0.73692834,0.48595685,0.4594362,0.6688121,0.5898457,0.3756002,0.58942443,0.402656,0.34052485,0.8553919,0.6819023,0.30328342,0.73683494,0.37577075,0.22355238,0.79480314,0.71131736,0.18102893,0.76686776,0.65768147,0.59925,0.82139856,0.66503537,0.49770215,0.8718809,0.7029093,0.7462773,0.8277217,0.68328255,0.3281814,0.78155804,0.7095986,0.57597625,0.66555434,0.7125227,0.1718862,0.7138531
Revolved_Head-to-Knee,0.45267054,0.57708555,0.47964874,0.46156996,0.58137846,0.5657106,0.45040154,0.58349216,0.43929914,0.47373492,0.55587137,0.3675613,0.44588894,0.5674681,0.66772574,0.5179637,0.5099854,0.36716294,0.42412636,0.5212178,0.43979454,0.56722254,0.5131317,0.18987893,0.407934,0.64111286,0.649554,0.57011354,0.4345411,0.36499763,0.47044006,0.72662467,0.49427143,0.57041043,0.43053913,0.6606573,0.5494482,0.33839,0.71571916,0.5665564,0.6119413,0.4484812,0.569986,0.3179706,0.5659833,0.57536525,0.73183596,0.70671624,0.57731146,0.42364535,0.1515813
Revolved_Head-to-Knee,0.446552,0.420394,0.6490929,0.41968095,0.42237547,0.45893008,0.42563504,0.4198785,0.7283731,0.38455674,0.472054,0.8010311,0.39724657,0.4642761,0.76405364,0.39988267,0.6220971,0.89710253,0.53247476,0.49924913,0.78932226,0.25995475,0.50704914,0.91189325,0.6393772,0.39362204,0.79215837,0.26573485,0.3446962,0.8463613,0.732762,0.22069514,0.63945526,0.71489346,0.7651726,0.88891476,0.7097179,0.6385153,0.8631701,0.7351043,0.93001366,0.89142567,0.7339767,0.4347371,0.8746488,0.78391093,0.6976232,0.6651185,0.7699465,0.18791711,0.40978935
Revolved_Head-to-Knee,0.46926486,0.5242001,0.34653988,0.4788986,0.5390639,0.46425858,0.4548517,0.54375535,0.37448508,0.49013573,0.5407797,0.60152775,0.43872935,0.5599954,0.5326653,0.5096061,0.50179946,0.49729136,0.35160083,0.49536484,0.8615027,0.5791196,0.61255807,0.5876987,0.39525613,0.64685833,0.8131566,0.61447966,0.7844438,0.72403634,0.44768205,0.79135346,0.92925113,0.5811423,0.37023014,0.75699747,0.57358754,0.24983753,0.8765214,0.61084586,0.57188225,0.7791088,0.6326687,0.11902219,0.90837616,0.66138464,0.7871102,0.8103752,0.6571072,0.33635485,0.89498836
Revolved_Head-to-Knee,0.53724676,0.6523907,0.58221424,0.5659229,0.6508044,0.61674994,0.5607179,0.672652,0.6228337,0.62938875,0.6088492,0.6947772,0.61004025,0.6677284,0.39191753,0.66981614,0.5112926,0.23269673,0.5254091,0.6488144,0.6695396,0.7529379,0.34027928,0.7856344,0.5839693,0.79856,0.47871897,0.70727295,0.19311085,0.6253031,0.6541625,0.92247784,0.7935651,0.696811,0.32687682,0.5720596,0.66283923,0.26823676,0.6825897,0.73343354,0.5582886,0.60862553,0.44982064,0.07959792,0.6861821,0.7637208,0.84645885,0.7934382,0.72518164,0.14962578,0.59670323
