Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Scale,0.21832258,0.46584454,0.7871103,0.1714471,0.50471824,0.78212714,0.17467695,0.42428932,0.86753744,0.18850863,0.5576551,0.85949594,0.19373336,0.38105232,0.860134,0.38576445,0.6672026,0.7916834,0.38276556,0.29625136,0.78924066,0.6823163,0.7525376,0.8586651,0.6760452,0.23716493,0.78098524,0.90917754,0.8116508,0.83397543,0.90629125,0.18967512,0.7156598,0.76582956,0.5856812,0.49177584,0.76389605,0.3723011,0.68124986,0.7409337,0.7809744,0.74623305,0.81972903,0.19322318,0.092994824,0.7203494,0.38320354,0.35679397,0.82017326,0.5501654,0.46230558
Scale,0.21852392,0.50252074,0.75903815,0.18458667,0.53781986,0.69343525,0.18660428,0.46943203,0.7527143,0.21201241,0.57911205,0.86197007,0.21464811,0.43037203,0.905097,0.38971788,0.6573719,0.9216784,0.38744938,0.34239164,0.9398784,0.6413693,0.7189125,0.7444886,0.63871825,0.2547812,0.9002815,0.75662416,0.7598363,0.1626081,0.8451503,0.19429116,0.63263935,0.7226638,0.5972037,0.76688546,0.7238662,0.40930396,0.72879887,0.7296008,0.8505001,0.873313,0.7116516,0.20551595,0.7940509,0.7872852,0.43138564,0.40434888,0.71601087,0.59601444,0.7656185
Scale,0.27106148,0.4981299,0.7412802,0.21498615,0.5381045,0.9338233,0.22162351,0.45323643,0.82118094,0.20233995,0.5887283,0.8739464,0.2111305,0.4040262,0.57926846,0.36920524,0.6955129,0.74733907,0.37876463,0.32198107,0.82730347,0.6683115,0.774818,0.71138227,0.67353296,0.23123488,0.8011857,0.9312473,0.8276329,0.94161546,0.9277447,0.1783609,0.857927,0.7320152,0.6370673,0.9138869,0.7384174,0.40867308,0.8611092,0.802135,0.8062636,0.88597935,0.7862017,0.1643891,0.8316466,0.71970105,0.39697284,0.6641284,0.8047196,0.64161265,0.32324666
Scale,0.15690559,0.47675958,0.82323074,0.12369871,0.5156451,0.8248642,0.12267664,0.4404712,0.8614214,0.16601822,0.55568993,0.91241026,0.1619112,0.38883358,0.87353635,0.3454115,0.65308696,0.89039034,0.34917203,0.2929106,0.87307245,0.6563597,0.722816,0.79765385,0.6707122,0.2627924,0.8426709,0.90351933,0.7605512,0.9501268,0.9230475,0.21727888,0.8303197,0.77126336,0.58892196,0.47637993,0.7692492,0.39546514,0.6982181,0.6718608,0.72770315,0.8457355,0.7780557,0.19500704,0.8815072,0.71547,0.4072037,0.5741237,0.8098589,0.5846349,0.33371356
Scale,0.16893929,0.4937505,0.7475267,0.13249944,0.5339561,0.7249902,0.132471,0.4567103,0.75339144,0.16407382,0.5821039,0.637748,0.16554786,0.41298106,0.8157627,0.33636802,0.6593519,0.87917936,0.3365317,0.32236233,0.8706979,0.617799,0.67559886,0.5394244,0.6095817,0.28210193,0.7445803,0.8785565,0.7378864,0.8190323,0.88786465,0.2388323,0.69306064,0.70448714,0.57934564,0.73325735,0.7064663,0.38495073,0.7234596,0.7056282,0.78921384,0.6588413,0.74642175,0.21470748,0.7738931,0.66441596,0.38809744,0.39058915,0.76544255,0.6151771,0.20188668
Scale,0.40551487,0.49907055,0.39733058,0.38000435,0.51338506,0.71320647,0.38989776,0.478849,0.5414794,0.35915056,0.5281064,0.55383074,0.3747455,0.45450073,0.5097108,0.419125,0.5769537,0.7281716,0.42737064,0.41258112,0.8915079,0.56447566,0.63183254,0.6632781,0.58046407,0.37927148,0.8853626,0.6839665,0.6507553,0.44903743,0.62728405,0.3994115,0.2247839,0.6122405,0.5569645,0.77380204,0.62367463,0.46050084,0.58446753,0.63050956,0.66526276,0.57328343,0.67194337,0.33553547,0.76106125,0.63663304,0.4666347,0.38417476,0.64339995,0.5430094,0.27691796
Scale,0.19054733,0.52267337,0.8696797,0.14610754,0.56260294,0.7980764,0.15037523,0.48116562,0.7501346,0.16969731,0.61291385,0.7385309,0.17801934,0.43350568,0.89824694,0.3541108,0.7067576,0.90969396,0.35724086,0.33535734,0.92567724,0.655874,0.74393284,0.7837649,0.6457383,0.28926367,0.8795815,0.8982095,0.7714239,0.8937851,0.8718049,0.23813094,0.8360677,0.7469079,0.6217004,0.68311167,0.7340358,0.4001719,0.65018535,0.68352914,0.7797698,0.67273605,0.7154511,0.22648993,0.62458074,0.8062424,0.4898405,0.13401565,0.8097213,0.48725304,0.21660624
Scale,0.35437623,0.49791434,0.7507627,0.3381455,0.51458305,0.6943814,0.34005666,0.47782004,0.82648456,0.35520476,0.5392784,0.81737673,0.36226138,0.460137,0.7159758,0.42640924,0.57151026,0.8093933,0.42929202,0.4173396,0.73571247,0.53069735,0.59548557,0.7535925,0.5495846,0.4144579,0.63110787,0.60733825,0.6023461,0.38159683,0.6239916,0.39579472,0.6005975,0.67775923,0.5492641,0.7777045,0.68296,0.45903292,0.7851817,0.6405678,0.6668566,0.7966081,0.6633794,0.32219958,0.7530607,0.7147427,0.44418308,0.25447237,0.70929664,0.55637795,0.28625053
Scale,0.23971067,0.5290729,0.80327016,0.19486411,0.5629458,0.82495624,0.19925702,0.49069825,0.905747,0.20378308,0.60792613,0.7957286,0.20900756,0.44397798,0.92214006,0.3505452,0.715449,0.85145557,0.3660411,0.33035153,0.84504235,0.6252519,0.74843305,0.7946527,0.60112166,0.25738764,0.85648227,0.83917946,0.7403972,0.3201249,0.7924921,0.25087065,0.33144695,0.6779779,0.60643077,0.83268404,0.67437273,0.41487592,0.8591065,0.8118257,0.723826,0.47642782,0.8323002,0.2246229,0.71933436,0.7170985,0.43772018,0.54814583,0.7380562,0.5923142,0.37552777
Scale,0.2643957,0.60297424,0.7703341,0.22731678,0.6341158,0.84162766,0.21517558,0.57030904,0.6730104,0.2116108,0.64003253,0.30622053,0.17398265,0.47986272,0.7536805,0.37729943,0.6378742,0.6778112,0.33285055,0.32434368,0.6545375,0.6639339,0.66393405,0.46114647,0.6476181,0.18914974,0.89073586,0.9336953,0.67657495,0.8367286,0.93216425,0.1672545,0.78477925,0.77453226,0.50192654,0.5861645,0.76578563,0.28470752,0.7865582,0.6791216,0.83423615,0.52442724,0.7175153,0.34837312,0.5819677,0.7187095,0.47494924,0.573084,0.8276493,0.6818272,0.10471947
