Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Scorpion,0.60195136,0.47222978,0.71199167,0.58981395,0.46486467,0.5481482,0.58930993,0.46681416,0.6883928,0.55798006,0.4921811,0.801608,0.5629164,0.48017794,0.6541169,0.540712,0.54256254,0.7233582,0.531762,0.52618766,0.52195513,0.6322354,0.55696994,0.83538306,0.63017124,0.55549973,0.6284245,0.72453886,0.57062936,0.7310076,0.7156953,0.5642928,0.7065226,0.3636037,0.5826154,0.8205012,0.36198008,0.5649714,0.65149605,0.39403403,0.71202785,0.7364367,0.25552583,0.43224472,0.5303546,0.25851902,0.7359074,0.7737196,0.34762797,0.31830788,0.40887788
Scorpion,0.6909807,0.36103937,0.63307714,0.677483,0.3501591,0.6093553,0.677378,0.34837517,0.5164389,0.6247018,0.37793192,0.68193525,0.6299584,0.36946872,0.55575305,0.5820437,0.47178185,0.63138586,0.5806688,0.45550144,0.6583078,0.7367756,0.5399507,0.67241836,0.71758056,0.5267139,0.53336316,0.7394057,0.39646256,0.6977772,0.71705127,0.40009898,0.5382851,0.35618308,0.58392453,0.82713336,0.35430878,0.5536543,0.7030169,0.121313035,0.5536127,0.5726673,0.12633447,0.5014488,0.27032772,0.22822991,0.3548996,0.3254869,0.21216308,0.34752697,0.63971514
Scorpion,0.79497945,0.61820877,0.51526016,0.779913,0.62345237,0.21823582,0.7743369,0.61580354,0.5100107,0.741588,0.5866774,0.3136624,0.7408265,0.56708133,0.6203155,0.73596686,0.53949815,0.39835346,0.7248447,0.46866733,0.5806692,0.8624072,0.57865006,0.16358884,0.897901,0.43870693,0.6113346,0.89716256,0.607861,0.34250802,0.8990245,0.56376165,0.40708065,0.5161182,0.41496885,0.48615173,0.5090894,0.3874718,0.5510492,0.28727466,0.53189,0.35343125,0.20828827,0.5136279,0.73498493,0.41414142,0.6430549,0.41097102,0.41140413,0.6476043,0.5171719
Scorpion,0.7576488,0.46409976,0.69901323,0.74649423,0.46589053,0.6828704,0.7456523,0.45354697,0.47687998,0.7008159,0.49426565,0.59809434,0.70296556,0.4612601,0.4091816,0.6792037,0.5695978,0.7799345,0.66340834,0.48430905,0.508543,0.83437973,0.57454675,0.8134168,0.8080441,0.48260024,0.7373091,0.9798884,0.54342365,0.8336482,0.9324758,0.44793186,0.75306356,0.45437354,0.5456445,0.83143795,0.48192602,0.4601149,0.7671895,0.26986617,0.6796664,0.9263108,0.5004017,0.23662592,0.9573546,0.30961114,0.4613259,0.90029067,0.6948959,0.34479442,0.77971625
Scorpion,0.64870894,0.3992742,0.72729474,0.6346423,0.3856616,0.76081026,0.63623166,0.38676775,0.72984695,0.58513397,0.4081815,0.6737527,0.5988854,0.40260738,0.6246294,0.5523461,0.48761833,0.63755685,0.5685552,0.49629077,0.51061946,0.7331601,0.5366429,0.8254645,0.72265893,0.5442167,0.68973887,0.9003953,0.5327875,0.7963145,0.8410435,0.52810264,0.6408396,0.328167,0.5587209,0.77883685,0.32905796,0.5518418,0.789198,0.07832025,0.4310965,0.7805727,0.08727216,0.43131402,0.64864874,0.2598588,0.35075518,0.3227542,0.25547656,0.35915795,0.40488303
Scorpion,0.6133823,0.24572554,0.48078644,0.59796375,0.24080217,0.6105207,0.60040116,0.23554224,0.60730845,0.5666786,0.26599276,0.5548438,0.57916224,0.25526032,0.49152184,0.5608989,0.31731102,0.7309118,0.56716526,0.3200862,0.5710247,0.6691225,0.3433523,0.6891649,0.6590703,0.3390939,0.60066116,0.66714144,0.25074062,0.34839675,0.6617017,0.24810818,0.57047814,0.3944456,0.39304215,0.6231174,0.3954882,0.39098078,0.5303896,0.278881,0.28795946,0.8317278,0.2821492,0.2878663,0.74343824,0.3897671,0.20713377,0.5213274,0.39073923,0.20758933,0.72814953
Scorpion,0.74675536,0.26424247,0.6366129,0.7380795,0.25287724,0.5950983,0.7353023,0.25302857,0.6566163,0.6921963,0.27837986,0.8663517,0.6946707,0.2749362,0.8241547,0.65878457,0.3651977,0.85849637,0.6527336,0.35755324,0.79632056,0.8280372,0.40344465,0.9032573,0.7952462,0.3975197,0.63226473,0.81917447,0.26652423,0.5689841,0.7992005,0.27860397,0.53612834,0.42820358,0.45080814,0.89102113,0.4267775,0.43799216,0.8429609,0.19741684,0.32821783,0.87357,0.22253044,0.31758022,0.7348736,0.3616424,0.18587792,0.7152168,0.35755923,0.18225132,0.7759029
Scorpion,0.68583494,0.39944965,0.7427408,0.6649546,0.39243558,0.77392775,0.6641641,0.38934904,0.67548704,0.6281609,0.44472915,0.73401374,0.63747275,0.43681148,0.62096155,0.6141381,0.5728688,0.7901365,0.62142104,0.55107915,0.7595206,0.82253504,0.6103256,0.80887866,0.77237004,0.5842892,0.6491054,0.81204796,0.45273292,0.71170646,0.7779855,0.452729,0.7839869,0.36012283,0.66275704,0.8770384,0.37063506,0.6499474,0.7362511,0.19666591,0.4462692,0.796642,0.20781468,0.44337726,0.7853903,0.37032026,0.34463936,0.6963782,0.38412014,0.35023567,0.6845952
Scorpion,0.45218018,0.37004042,0.24388897,0.44407827,0.37539068,0.21036658,0.44545034,0.36928055,0.21679993,0.45023212,0.41692987,0.24698754,0.45446354,0.40368348,0.16885088,0.44989976,0.4745032,0.2940917,0.43823028,0.4473614,0.20090027,0.3918551,0.30605826,0.45161027,0.39110363,0.35855544,0.23493998,0.2894943,0.32596418,0.43250057,0.28733993,0.33121598,0.2947897,0.37859535,0.57632995,0.3714672,0.35128313,0.5443731,0.31325194,0.19371888,0.49933636,0.10448223,0.18089242,0.4869321,0.24886496,0.16532163,0.4844508,0.3014435,0.16202472,0.48763347,0.31902894
Scorpion,0.7481848,0.38894597,0.4093997,0.7326056,0.39922953,0.44064638,0.7338762,0.4038773,0.33315688,0.6964915,0.3741801,0.50910556,0.6972239,0.37020037,0.5841124,0.65698797,0.2921969,0.7200618,0.66539323,0.2758801,0.78215647,0.76499045,0.28238937,0.56515557,0.8642973,0.2584456,0.8658739,0.793945,0.39289117,0.7064957,0.8509523,0.40940654,0.68713063,0.3802002,0.19301863,0.7223401,0.39066404,0.17183368,0.78710127,0.12939112,0.308235,0.68627983,0.108887486,0.2990013,0.8338254,0.25586587,0.49080342,0.7562504,0.25818378,0.49196565,0.49163628
Scorpion,0.6560463,0.42336497,0.4284121,0.6557889,0.42913002,0.47689196,0.65003663,0.42385167,0.47940773,0.65855944,0.42247078,0.33118606,0.6518836,0.40461883,0.44561592,0.66062534,0.4085942,0.35547623,0.6463711,0.37170616,0.4128939,0.63806593,0.44164982,0.09636273,0.57442933,0.34215698,0.38770974,0.6762478,0.4147457,0.09922789,0.51423955,0.40453437,0.35053828,0.6275565,0.39257595,0.19315493,0.6304016,0.35664278,0.15559745,0.6581403,0.42240727,0.1512823,0.6627302,0.3745075,0.34197742,0.6930972,0.40892583,0.16318244,0.69149053,0.39047816,0.12003013
Scorpion,0.6066921,0.28510246,0.508924,0.59722,0.27422577,0.670169,0.60104096,0.27499038,0.6933511,0.55503184,0.29068014,0.62049145,0.5629803,0.2868996,0.39973179,0.5264303,0.33142513,0.6547137,0.5244419,0.34848055,0.61971164,0.62908167,0.36651066,0.79086614,0.62853545,0.3799319,0.7251092,0.72945476,0.35395902,0.6679394,0.7185405,0.36631125,0.6760782,0.33759627,0.29004925,0.63954896,0.35162324,0.3043769,0.47620094,0.2641169,0.17429894,0.7158772,0.42140552,0.3543624,0.1364761,0.41533446,0.17622395,0.53539234,0.40815854,0.17492867,0.40411946
Scorpion,0.6167666,0.48167935,0.6989251,0.61163723,0.4715238,0.5466505,0.6143359,0.47551283,0.5490597,0.57655436,0.47598675,0.74231315,0.58308643,0.47593662,0.7217829,0.52925354,0.5100819,0.72636825,0.5288832,0.5323894,0.64831907,0.6444591,0.52777934,0.91143775,0.634062,0.55011475,0.8140018,0.7354145,0.53587776,0.68282306,0.73024654,0.5453201,0.824535,0.32818282,0.52109456,0.81844634,0.32583275,0.53627807,0.8335475,0.2460158,0.369401,0.65070856,0.35975182,0.6821773,0.6624728,0.28919715,0.22109361,0.55627745,0.2841025,0.79770726,0.5786027
Scorpion,0.7947624,0.59123796,0.7948471,0.76799417,0.59311664,0.6768767,0.7670634,0.5931223,0.7417375,0.72798264,0.5392666,0.7971666,0.72969997,0.53393626,0.67935425,0.7240258,0.45839208,0.5480952,0.70724803,0.4158311,0.7138454,0.8972107,0.40095508,0.3804644,0.91638327,0.36613297,0.8172859,0.9208902,0.5418169,0.60877085,0.9262226,0.5426689,0.7181496,0.47096202,0.39742494,0.7967502,0.45161608,0.33061856,0.8173169,0.31696114,0.55922055,0.64178824,0.2311088,0.5586331,0.76468223,0.49666485,0.68253124,0.55182225,0.50059766,0.6906324,0.8357732
Scorpion,0.6432135,0.27639368,0.6808214,0.62793714,0.27475885,0.6379701,0.6296555,0.2711983,0.71887726,0.6068533,0.31217158,0.53485537,0.6211762,0.30189323,0.49016917,0.6120957,0.3921232,0.6454648,0.62521136,0.37831858,0.7183208,0.75129205,0.4501998,0.9067488,0.7165684,0.4127639,0.3330982,0.76111895,0.33558452,0.48063913,0.7341562,0.33243775,0.5369189,0.48683676,0.45873755,0.56980807,0.4818586,0.45630124,0.6549097,0.32758147,0.40189302,0.89689624,0.33276853,0.39602616,0.7404391,0.4441339,0.3073773,0.41107643,0.44010678,0.30725712,0.6240486
Scorpion,0.78215,0.25152567,0.59790045,0.7483134,0.26631728,0.6109525,0.7479747,0.2627669,0.5735999,0.74260443,0.36018646,0.9044993,0.7448999,0.35188043,0.77887475,0.7992582,0.50160754,0.5442497,0.7934343,0.45543906,0.3715546,0.70630646,0.6655004,0.061444853,0.7631744,0.57836413,0.0728209,0.76462775,0.66958433,0.04670154,0.77750504,0.70129836,0.18469952,0.48195273,0.7500321,0.35362935,0.48967156,0.7224391,0.5700662,0.1121909,0.60808843,0.8204771,0.12416769,0.6081994,0.59314793,0.3095284,0.32625863,0.7029257,0.3114491,0.33161992,0.67226124
