Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Seated_Forward_Bend,0.60329384,0.5399909,0.35870647,0.60198104,0.5138752,0.4175415,0.604797,0.5135424,0.46800464,0.5614675,0.4835149,0.42354035,0.5671812,0.48819858,0.5120365,0.49815354,0.5446032,0.52187043,0.48906973,0.5500173,0.4318263,0.6289611,0.36434007,0.34230646,0.596143,0.4251945,0.29240972,0.6484201,0.20361477,0.42105874,0.6084914,0.33235464,0.2619407,0.58753854,0.88187355,0.6382827,0.5840801,0.89098966,0.64841676,0.6164189,0.5821189,0.44182932,0.60715264,0.5496717,0.33520332,0.621282,0.31164035,0.2821088,0.58277786,0.30402434,0.35611463
Seated_Forward_Bend,0.5552629,0.6862138,0.279382,0.5070631,0.7295461,0.5636519,0.50232196,0.65859365,0.35423443,0.43416256,0.7814493,0.4240221,0.40781233,0.60905945,0.49394035,0.35090894,0.9023708,0.8276537,0.342161,0.5221264,0.8313566,0.63718706,0.89789265,0.86380124,0.59244317,0.49292254,0.6246671,0.7001865,0.8093882,0.5395933,0.68540716,0.4809256,0.39407352,0.5887128,0.80488664,0.8217633,0.5980889,0.61115557,0.6206221,0.67990804,0.805373,0.19298929,0.6378218,0.60353315,0.2336786,0.7072391,0.77978384,0.38915643,0.6791359,0.62392074,0.4375616
Seated_Forward_Bend,0.48462886,0.48861623,0.48019546,0.4642467,0.46999526,0.32338867,0.469448,0.47138172,0.49053478,0.40689233,0.48045567,0.46106142,0.41552916,0.48408362,0.5532802,0.38368127,0.57630163,0.7208454,0.37462872,0.5802523,0.7112241,0.52427083,0.37460545,0.70112085,0.5145656,0.37997863,0.6901493,0.610475,0.16991316,0.5434952,0.5961888,0.19090423,0.7021105,0.600295,0.8365547,0.8305687,0.59279066,0.8211591,0.54237276,0.62227017,0.4973404,0.6280012,0.6168339,0.50372905,0.7082192,0.6400902,0.18364364,0.4908939,0.6302153,0.19576536,0.5362715
Seated_Forward_Bend,0.08616475,0.65300363,0.6560625,0.06918806,0.6781272,0.7092442,0.06812372,0.66463023,0.44755384,0.09251727,0.7447796,0.44351694,0.08593163,0.73653024,0.09482386,0.16619435,0.7768052,0.35118368,0.17669289,0.7479908,0.2875386,0.3026059,0.6345804,0.33006945,0.28712526,0.58103114,0.34396452,0.3356467,0.39988872,0.5232702,0.33428037,0.40188134,0.53527474,0.3827751,0.9837575,0.28338712,0.410917,0.9823214,0.16504274,0.4281285,0.7317287,0.67276174,0.4224271,0.7313751,0.2651417,0.48167297,0.43467128,0.39356712,0.4774056,0.43025225,0.24177551
Seated_Forward_Bend,0.35025656,0.5150264,0.75550306,0.32170522,0.51007634,0.9278107,0.32160792,0.5067085,0.8916593,0.31546074,0.4515518,0.7330741,0.31495577,0.44332296,0.92462033,0.40012026,0.40242034,0.7158183,0.4104176,0.43268868,0.77939427,0.5259383,0.55856246,0.37765995,0.52890325,0.60171676,0.68122196,0.5865926,0.74646735,0.41073483,0.59154165,0.76187944,0.82764983,0.68415403,0.178244,0.7809065,0.6937968,0.1701093,0.8114873,0.6947305,0.4602516,0.80440557,0.70232964,0.4773313,0.7026569,0.7273552,0.7544616,0.5069448,0.7320587,0.7576866,0.45654258
Seated_Forward_Bend,0.61118716,0.58449185,0.51151395,0.60164887,0.594454,0.6508458,0.59729815,0.5915982,0.4888896,0.552429,0.5829874,0.64418614,0.55039,0.57771456,0.599874,0.54916686,0.5340906,0.42866713,0.53939575,0.52404773,0.6214459,0.6534056,0.6116229,0.35057884,0.661366,0.60614496,0.59144396,0.69585764,0.7380744,0.27002332,0.7092299,0.7458532,0.5158155,0.69487816,0.34949997,0.77636385,0.70408076,0.34202716,0.8417851,0.6147785,0.5665563,0.23796085,0.6070963,0.55231434,0.2544446,0.6953297,0.7169101,0.3914164,0.70316076,0.7164229,0.27298793
Seated_Forward_Bend,0.47608414,0.3611818,0.7425043,0.44520494,0.37290764,0.6894662,0.44631952,0.35443446,0.81655926,0.41909838,0.45305192,0.78713155,0.41550922,0.41911444,0.49085706,0.475166,0.60279286,0.759205,0.44062677,0.45843706,0.6865537,0.7224582,0.49823305,0.8287036,0.619944,0.3954872,0.30211794,0.60495204,0.30351833,0.6047032,0.6002211,0.3101625,0.5403127,0.53339875,0.8362132,0.7353904,0.52568585,0.67863524,0.56727636,0.6066876,0.47584045,0.42648628,0.58962584,0.45257288,0.6358126,0.7102983,0.24633683,0.6037721,0.703259,0.22926927,0.61114645
Seated_Forward_Bend,0.27284294,0.47479635,0.73391116,0.24998733,0.49816474,0.36479318,0.24982828,0.45280498,0.35972717,0.25928026,0.53484845,0.7571186,0.26254883,0.42449608,0.5746026,0.3502969,0.5819423,0.5928695,0.35889405,0.3845984,0.54227823,0.46656576,0.55792034,0.63390833,0.4734966,0.39763278,0.6184222,0.5854403,0.5161543,0.50068647,0.59789747,0.4272343,0.29636613,0.56276536,0.5348699,0.54158795,0.5541454,0.4248672,0.5007393,0.59964585,0.5652017,0.09882644,0.6508341,0.41766757,0.50012827,0.78220236,0.5414563,0.4768071,0.78359157,0.42535293,0.39710927
Seated_Forward_Bend,0.5365449,0.50739515,0.1850963,0.49434483,0.5637542,0.33967388,0.49758235,0.4640835,0.20667244,0.39213848,0.6387375,0.3338178,0.37314674,0.40313458,0.45307687,0.29086748,0.75679755,0.52757424,0.32178912,0.29698822,0.5471652,0.5991199,0.8398132,0.8629589,0.5749048,0.12165971,0.31007704,0.44398662,0.6882651,0.3252746,0.4551332,0.3879082,0.5090689,0.31017572,0.65934134,0.23397547,0.3048807,0.39040974,0.14919698,0.5314538,0.6282392,0.19523011,0.7014376,0.41349015,0.24659662,0.52814573,0.58799314,0.20249245,0.546393,0.3984851,0.27313957
Seated_Forward_Bend,0.39281026,0.5000406,0.43905035,0.3719196,0.52273923,0.746826,0.36974978,0.47745237,0.6852377,0.3691816,0.55728775,0.66368234,0.36166078,0.4442184,0.45954508,0.41921437,0.59681016,0.5753413,0.4360987,0.40423372,0.60806036,0.58562005,0.6328981,0.7514195,0.58354765,0.37110764,0.86492664,0.62661487,0.5806095,0.31927475,0.63381594,0.41831017,0.36843875,0.59746,0.565518,0.32229653,0.60591304,0.45607492,0.35743767,0.57686895,0.60058457,0.12037889,0.5620879,0.46396387,0.14625308,0.66680527,0.55631006,0.34195155,0.6545581,0.44009778,0.3455199
Seated_Forward_Bend,0.34177727,0.5167406,0.6300238,0.31564644,0.50189173,0.77262,0.31470913,0.50230855,0.68207324,0.32848313,0.440414,0.74495953,0.325949,0.4376896,0.7623712,0.4480069,0.39730042,0.6889722,0.4487347,0.39834765,0.7153878,0.5527017,0.58493704,0.7210894,0.5488871,0.5900552,0.64768684,0.6050392,0.7664818,0.48651886,0.60999143,0.7734278,0.69210184,0.69508064,0.18250749,0.58446246,0.70380133,0.1728795,0.6706674,0.7204237,0.51327616,0.7600521,0.72501385,0.51358336,0.7322917,0.728824,0.81064767,0.6713572,0.7351152,0.8132753,0.7703702
Seated_Forward_Bend,0.4659688,0.4989428,0.49301156,0.45637107,0.48959732,0.4952612,0.44034535,0.50776345,0.5739923,0.47539207,0.5029997,0.30599996,0.43620443,0.5704883,0.362811,0.5466653,0.5179533,0.6873654,0.42424864,0.6496191,0.7369766,0.58036035,0.3274744,0.84199744,0.3277463,0.58032215,0.67312294,0.46028093,0.31043333,0.7614993,0.3519146,0.43104097,0.62876666,0.8104436,0.73707205,0.5847839,0.7400132,0.8546167,0.5035784,0.58937186,0.47641417,0.22296037,0.57415277,0.60075366,0.21354643,0.4674333,0.31429085,0.37521031,0.36587343,0.41498637,0.27682137
