Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Shoulder-Pressing,0.43757617,0.23499654,0.48041525,0.41998872,0.22805597,0.78280836,0.41771695,0.22695263,0.7997659,0.3814841,0.26992735,0.837487,0.38007793,0.2648686,0.56392276,0.43522137,0.3626185,0.67467105,0.40224406,0.363715,0.6340542,0.5692605,0.46503443,0.84875697,0.5614422,0.4632043,0.59205395,0.7144731,0.46683586,0.8049858,0.6956554,0.46872914,0.3871021,0.52692765,0.61299175,0.84966385,0.5127142,0.5986648,0.7439302,0.46083462,0.3844074,0.601785,0.45095474,0.37964833,0.49551594,0.6035172,0.29811475,0.390154,0.5816312,0.29783842,0.31099176
Shoulder-Pressing,0.3206544,0.6815215,0.86388546,0.26702306,0.714399,0.7864481,0.26552138,0.6343247,0.75657815,0.24130104,0.71422577,0.4733364,0.21781601,0.5208286,0.7802207,0.37420818,0.74001426,0.6798418,0.31650776,0.37507552,0.54034746,0.6402743,0.7142567,0.576606,0.66720706,0.26080403,0.6901968,0.8289116,0.6891047,0.21936776,0.93082124,0.24801718,0.7799874,0.53053176,0.5629048,0.4594749,0.5125478,0.38483542,0.40526745,0.41941342,0.84756607,0.84825945,0.44012573,0.21787782,0.76676416,0.7833556,0.6477072,0.4614327,0.7839148,0.610005,0.46134585
Shoulder-Pressing,0.40411475,0.5251095,0.6256592,0.37750885,0.5428786,0.70649475,0.3783053,0.51066667,0.7654942,0.36826223,0.5889259,0.6597879,0.37278542,0.51803136,0.47285178,0.4325209,0.70393896,0.6439823,0.45796883,0.52811885,0.7479918,0.61066425,0.7533295,0.80672544,0.5925151,0.58459026,0.5953026,0.74892,0.7997831,0.6863554,0.7274181,0.5898425,0.7861069,0.5720326,0.85688627,0.7826669,0.57424784,0.73633426,0.5668621,0.52926004,0.72129,0.47223634,0.51823634,0.53095,0.28946462,0.58025664,0.6164182,0.21789809,0.59317124,0.5071463,0.15078364
Shoulder-Pressing,0.31289315,0.51798254,0.66079587,0.28509253,0.5432415,0.7307116,0.28693464,0.4901588,0.9027727,0.29030406,0.5870172,0.9025989,0.29665983,0.47305363,0.755228,0.37333813,0.6327276,0.7132615,0.3859948,0.44309336,0.8706994,0.5578966,0.67058516,0.7568788,0.5669129,0.37481505,0.6514793,0.7225619,0.68796796,0.33515522,0.70851535,0.35187858,0.6145179,0.66021645,0.5921858,0.8233655,0.6525623,0.4714319,0.8427956,0.44713762,0.74807686,0.7127878,0.4454763,0.30881897,0.89462316,0.71093047,0.6483277,0.34997523,0.6937055,0.45710486,0.5893726
Shoulder-Pressing,0.19050375,0.48627576,0.7668536,0.1492604,0.5212872,0.94421935,0.15079704,0.45499948,0.85867685,0.15659791,0.56938124,0.8867492,0.15368532,0.4184111,0.7690247,0.34176728,0.6576891,0.9364917,0.34499976,0.33489466,0.9314183,0.59825224,0.7827596,0.7150132,0.6144474,0.22959387,0.92442244,0.6035723,0.5369968,0.8561352,0.6167396,0.44481432,0.94202405,0.76061577,0.6153151,0.7591059,0.76425153,0.42381555,0.9161735,0.5915672,0.8436267,0.913267,0.5992959,0.16224171,0.9544073,0.9328102,0.78448987,0.88189906,0.9351524,0.27647176,0.6536348
Shoulder-Pressing,0.3409863,0.62063205,0.4804815,0.3349155,0.62178755,0.3980344,0.33468744,0.6161547,0.5179631,0.3308843,0.61014384,0.2970474,0.3294474,0.6052126,0.4553974,0.3577857,0.58314776,0.44931078,0.34760153,0.57019883,0.41654983,0.4101039,0.5903493,0.36010867,0.40311894,0.57115996,0.3271289,0.44851464,0.61750156,0.3219559,0.44392863,0.6068864,0.43000546,0.43667853,0.503376,0.41147774,0.4282203,0.4892626,0.5448206,0.46541572,0.5547453,0.2614332,0.47566715,0.5174535,0.16412067,0.52813494,0.5109868,0.117071815,0.52501583,0.49651498,0.084490396
Shoulder-Pressing,0.387,0.38571072,0.72664833,0.35056323,0.3774379,0.63457215,0.38091803,0.3593637,0.74493074,0.28628516,0.4241192,0.8137855,0.3621355,0.37196642,0.531128,0.3625351,0.5142712,0.6104371,0.4044508,0.4520346,0.61799693,0.580453,0.57547235,0.284663,0.5843874,0.55025,0.40887067,0.73485893,0.5980644,0.26705346,0.7309477,0.60178125,0.6614696,0.49727428,0.7965526,0.7438418,0.5072685,0.74300784,0.5588822,0.41746908,0.5647717,0.6455518,0.44195056,0.54111546,0.25957817,0.58055454,0.26311892,0.4323354,0.591634,0.25938976,0.44448566
Shoulder-Pressing,0.15998137,0.49894652,0.5717593,0.12751566,0.5355242,0.7182502,0.12826458,0.45964667,0.63281333,0.1595135,0.58191913,0.76236635,0.16343087,0.41543522,0.79237014,0.31287777,0.6456305,0.79684687,0.31494,0.35076883,0.7777587,0.57749486,0.7387616,0.14342721,0.6098339,0.29759306,0.13576326,0.9176986,0.7488249,0.49480414,0.63524884,0.42394868,0.4420851,0.64113003,0.5880312,0.5571169,0.6356081,0.3969448,0.42300975,0.39509794,0.8318138,0.71813893,0.3929327,0.1678755,0.7257845,0.66057664,0.46674338,0.1885646,0.6622441,0.41854993,0.26252326
Shoulder-Pressing,0.5298607,0.27682772,0.49144357,0.5204879,0.29242387,0.5564632,0.5199498,0.26637346,0.40306914,0.5209948,0.30978855,0.57287246,0.5192063,0.24936993,0.3728144,0.56718063,0.32868275,0.5889697,0.5517131,0.2171839,0.50753796,0.61646366,0.31720838,0.2723635,0.59483355,0.19149747,0.27934694,0.6462969,0.29179054,0.29560134,0.6772502,0.18549265,0.30171606,0.6213744,0.28433263,0.3072641,0.60697967,0.22111814,0.24422921,0.60957825,0.31709048,0.17828542,0.59681183,0.19790693,0.21948484,0.6755386,0.30015734,0.2988976,0.6729902,0.19071116,0.29503015
Shoulder-Pressing,0.5424899,0.7072762,0.5671394,0.5096057,0.7410416,0.80022717,0.50906944,0.7399745,0.7726771,0.39876273,0.6915421,0.6295246,0.4058053,0.6854838,0.67745906,0.37240726,0.50509197,0.42114776,0.37810063,0.4969007,0.49834603,0.6452042,0.35202825,0.572503,0.65285456,0.34699285,0.7163787,0.93041915,0.318971,0.358954,0.96625745,0.29565695,0.56488127,0.12919158,0.08849839,0.5037091,0.13244459,0.07717923,0.69952524,0.51963305,0.39781928,0.4071283,0.5030562,0.4117728,0.7516387,0.77643186,0.7330101,0.32237852,0.7851518,0.73890954,0.6181475
