Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Side-Reclining_Leg_Lift,0.6070542,0.7567182,0.7594445,0.60425484,0.7832495,0.7871166,0.588736,0.76302725,0.8763145,0.6275789,0.8001674,0.8610984,0.5879171,0.76064014,0.8340582,0.6918122,0.7730614,0.77101934,0.59234536,0.700164,0.7574606,0.7490286,0.90155315,0.8680736,0.49095312,0.69977695,0.72829866,0.6500872,0.8337239,0.8320784,0.38601658,0.71436214,0.5954945,0.69851094,0.53009623,0.8235189,0.6434752,0.5299537,0.79470825,0.7232219,0.3043002,0.75639296,0.46589974,0.58707845,0.74424946,0.73378503,0.09686954,0.6363816,0.27247646,0.65445375,0.5891485
Side-Reclining_Leg_Lift,0.6279184,0.3037013,0.39028627,0.61967874,0.30578727,0.55858034,0.6283691,0.2938467,0.40161753,0.6143641,0.30583516,0.51260465,0.63774496,0.2848427,0.4200133,0.63949335,0.34425393,0.53770727,0.65009737,0.3306291,0.3300778,0.53113693,0.3379948,0.4987088,0.52819157,0.3392313,0.3534681,0.69820756,0.2238349,0.3542189,0.42763257,0.31885833,0.29293612,0.671771,0.51084375,0.54725075,0.6810032,0.5325095,0.46623456,0.5205874,0.42803928,0.5551162,0.7019779,0.62912136,0.43104076,0.6959656,0.22331284,0.1491472,0.7134134,0.789226,0.29911816
Side-Reclining_Leg_Lift,0.60937023,0.8197056,0.73294574,0.60635585,0.8534846,0.8137503,0.5806813,0.82016784,0.8672981,0.6381772,0.86795616,0.6300375,0.5756956,0.80556613,0.8172257,0.7308688,0.8196487,0.75041044,0.56411093,0.72674733,0.8411156,0.7435925,0.9728905,0.81390876,0.41187945,0.7541429,0.68834525,0.6282454,0.93971205,0.6729262,0.2986124,0.7930656,0.42320526,0.7229797,0.478202,0.83461744,0.6435061,0.49892852,0.68316454,0.72239566,0.2467421,0.8964805,0.44930065,0.6119927,0.7982927,0.74329156,0.07656935,0.7589155,0.26531085,0.73132426,0.7713221
Side-Reclining_Leg_Lift,0.536535,0.19255051,0.8012383,0.5117675,0.18588385,0.7143295,0.545626,0.16055788,0.8711451,0.50088096,0.20070861,0.6380817,0.57482964,0.15892552,0.72400725,0.4945121,0.26768377,0.79195327,0.65326524,0.21480338,0.6618465,0.37169543,0.2711236,0.85871285,0.6860944,0.06161578,0.82267666,0.23227894,0.27216107,0.5229284,0.6267258,0.11885014,0.44472596,0.5724772,0.46782833,0.75346696,0.64943874,0.47469264,0.579171,0.41075405,0.4234254,0.5216616,0.6353834,0.67317915,0.8276727,0.1920846,0.35933805,0.71469945,0.65608925,0.8830107,0.8746918
Side-Reclining_Leg_Lift,0.60334504,0.85474455,0.4555149,0.57080567,0.85377866,0.59936094,0.6066091,0.87168944,0.46601853,0.55780107,0.81014395,0.5551388,0.6385319,0.8454138,0.489673,0.53426117,0.7009349,0.53892213,0.72127134,0.7619363,0.85214,0.37473,0.7646346,0.7867138,0.7998235,0.9409759,0.88133824,0.2366873,0.8318832,0.80855745,0.6693844,0.89517045,0.9493498,0.6145625,0.41635358,0.46966764,0.6955117,0.4252753,0.7458348,0.647729,0.23527603,0.9335667,0.4252311,0.59744114,0.4464506,0.6308208,0.10231967,0.7702863,0.17698121,0.7913085,0.22165291
Side-Reclining_Leg_Lift,0.6622931,0.2339218,0.70742065,0.6382278,0.23582356,0.6439363,0.6577467,0.20681939,0.72468066,0.6173431,0.24727614,0.57230234,0.67237645,0.18809459,0.6314962,0.5690205,0.3134075,0.7262545,0.7407183,0.21023957,0.61607355,0.46536618,0.36623174,0.64906496,0.7613091,0.06038023,0.8527897,0.33248907,0.41631275,0.6955182,0.66544306,0.1501034,0.794343,0.6462097,0.47757208,0.77243674,0.7270193,0.48497087,0.7594974,0.48055005,0.44825572,0.54593027,0.7854525,0.6852839,0.8850275,0.288117,0.45329437,0.6551011,0.79930216,0.9006698,0.848963
Side-Reclining_Leg_Lift,0.60842717,0.253126,0.5962201,0.58751637,0.24817738,0.6348608,0.6105069,0.22933353,0.7035023,0.573238,0.2593784,0.6114017,0.6221771,0.22698611,0.66695756,0.57190466,0.31840417,0.53303605,0.68833435,0.26802266,0.8348225,0.4553178,0.3367406,0.7858892,0.70648503,0.15656817,0.88049006,0.34743562,0.343403,0.5602015,0.6417267,0.20796145,0.6335043,0.6360902,0.4873487,0.61725855,0.6876296,0.495839,0.7590699,0.46995702,0.44220072,0.5376983,0.6848619,0.6628395,0.85013664,0.3165362,0.39848843,0.6519962,0.7106097,0.86241585,0.6165236
Side-Reclining_Leg_Lift,0.6671106,0.8336226,0.78046066,0.6612191,0.8609236,0.75908816,0.63902146,0.834762,0.76296,0.6792287,0.86806476,0.88610405,0.62685364,0.8182788,0.8479273,0.75386006,0.8119262,0.65145487,0.62133527,0.76359195,0.8796612,0.7846229,0.9654862,0.9510835,0.48131624,0.7637858,0.7396156,0.6705686,0.9124742,0.8788524,0.37702042,0.77385473,0.7777742,0.749779,0.552291,0.8001192,0.68172866,0.5699428,0.7825304,0.77162707,0.28212014,0.9637267,0.4812862,0.61562943,0.8533716,0.79289424,0.06515742,0.76929873,0.2814055,0.6739645,0.80373025
Side-Reclining_Leg_Lift,0.5779968,0.18664415,0.43450484,0.56844306,0.1749933,0.64432275,0.58311015,0.15704642,0.55519795,0.58781344,0.17543258,0.27758887,0.6347364,0.14144565,0.55723685,0.59888434,0.26017553,0.7097065,0.7292671,0.19194841,0.598122,0.46293426,0.3075447,0.5323065,0.7573225,0.02871383,0.54816407,0.33444083,0.3281518,0.408981,0.71016717,0.08850831,0.123376854,0.64288664,0.48614043,0.65761155,0.7411076,0.4784955,0.61985564,0.59528047,0.68987644,0.2319972,0.7511231,0.7026401,0.6284949,0.53410256,0.88353497,0.4988835,0.76149476,0.9387747,0.61842525
Side-Reclining_Leg_Lift,0.76926494,0.78036624,0.7508187,0.762073,0.80425864,0.8311842,0.74294156,0.7787617,0.6908016,0.78176147,0.8174452,0.73373055,0.7409927,0.76286185,0.7347834,0.8693439,0.778454,0.7887589,0.75222254,0.70153636,0.8417449,0.90982634,0.910553,0.86138844,0.6285059,0.6798684,0.75742286,0.7975026,0.8506871,0.8049693,0.49366188,0.6806507,0.718861,0.88365346,0.5126085,0.80207086,0.8069928,0.51636237,0.8691726,0.89120114,0.27366617,0.9439406,0.6201158,0.5387108,0.7465739,0.89369774,0.087866224,0.7641069,0.4327745,0.589022,0.78351814
