Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Side_Crow,0.5909164,0.28486052,0.61397845,0.5558933,0.26191363,0.53730685,0.5838768,0.24899973,0.49376214,0.45309928,0.26559508,0.76371485,0.51176673,0.24703652,0.32736996,0.48744532,0.42264074,0.559127,0.4323117,0.30009198,0.6060281,0.592869,0.5394416,0.43799466,0.49865124,0.43008167,0.23565425,0.72173405,0.5156805,0.7620968,0.6093648,0.39830774,0.5886548,0.30105048,0.6545044,0.7069011,0.30795255,0.61742705,0.63064426,0.5713897,0.54035324,0.67132133,0.52947164,0.51982546,0.44514024,0.4544618,0.7914967,0.87331057,0.45624647,0.71402687,0.39063784
Side_Crow,0.6833987,0.22503464,0.5829685,0.6819667,0.21052755,0.68014914,0.6840813,0.20636508,0.6289086,0.65266526,0.20913412,0.6404716,0.6572045,0.19743696,0.535282,0.6154168,0.24934825,0.67077833,0.59886885,0.27826682,0.50670666,0.68430346,0.34160486,0.6145253,0.6571205,0.36538553,0.60954946,0.7746241,0.32741326,0.8415891,0.74465007,0.35567528,0.5448583,0.49379525,0.36339802,0.6237836,0.50786686,0.40272993,0.6317628,0.6172876,0.35674554,0.5167007,0.59780896,0.36125457,0.5848266,0.5374175,0.46179065,0.24747722,0.5322665,0.46900713,0.6194444
Side_Crow,0.63031715,0.3351094,0.64671683,0.60717493,0.35257235,0.6675395,0.6163213,0.3123375,0.57478017,0.55484074,0.39455622,0.48574728,0.574773,0.2974555,0.5179789,0.5138438,0.46643436,0.66187346,0.50654197,0.29024816,0.5717024,0.5146479,0.60237265,0.56677705,0.5274964,0.37967515,0.040685557,0.64479434,0.5942628,0.9086525,0.60195756,0.37865534,0.2352862,0.34013575,0.5297922,0.6393504,0.36667404,0.48370558,0.43096,0.47241557,0.6551069,0.56722116,0.47629344,0.58742416,0.28889927,0.45373785,0.8160386,0.54613924,0.46933112,0.63586926,0.2088678
Side_Crow,0.5895821,0.49783692,0.53173476,0.5679738,0.5215497,0.78062373,0.566488,0.48868445,0.56695354,0.54901797,0.55512863,0.7081704,0.53835523,0.47120333,0.57101494,0.56331074,0.61346626,0.6232048,0.536028,0.41469336,0.54854226,0.65062624,0.6533348,0.5800527,0.6441276,0.39474714,0.63430685,0.7554459,0.59209603,0.8421404,0.7640725,0.42457312,0.74978274,0.61763567,0.46414685,0.18603225,0.5401714,0.38895065,0.36550698,0.64563453,0.38802153,0.17020859,0.55788094,0.2622433,0.6804624,0.6403569,0.10674584,0.6533264,0.6153989,0.10160726,0.5800637
Side_Crow,0.83289963,0.7026353,0.7990554,0.8211025,0.71600425,0.6632874,0.8177989,0.717226,0.7198529,0.7865703,0.6933743,0.8626737,0.78030443,0.6972277,0.87318486,0.75346637,0.62599427,0.74298835,0.7552505,0.6326942,0.82513094,0.7820553,0.51692784,0.5574588,0.7902019,0.5110876,0.7980769,0.91349834,0.5238662,0.62850136,0.9193657,0.5224401,0.7751902,0.5274103,0.5251198,0.71804816,0.5663017,0.5046799,0.75899297,0.39639038,0.3730513,0.9000708,0.7647622,0.5208128,0.39770237,0.2401044,0.29134852,0.9050645,0.5880828,0.42387378,0.5846306
Side_Crow,0.4989076,0.70026666,0.57848096,0.48089305,0.7262166,0.82641685,0.4727888,0.6883894,0.46519133,0.47871888,0.761071,0.6949777,0.45171908,0.6613831,0.6677847,0.49825,0.778016,0.64360785,0.45807508,0.61917955,0.70349646,0.5422919,0.71104705,0.3271698,0.5417631,0.55088174,0.8117128,0.6281263,0.70058787,0.6120867,0.65602213,0.5758945,0.54541516,0.51048154,0.5682147,0.39698097,0.48284614,0.47692627,0.57707363,0.530559,0.5550956,0.21449931,0.54940003,0.37302145,0.64783937,0.6067373,0.54634464,0.11222534,0.5545717,0.34601897,0.46108562
Side_Crow,0.63722855,0.3275194,0.47516286,0.62672484,0.31612322,0.48551667,0.6279211,0.31550586,0.54881436,0.5808978,0.31588265,0.622207,0.5886483,0.30572417,0.51428115,0.51754606,0.36687693,0.5658521,0.54650176,0.33640397,0.6982613,0.5949754,0.47678438,0.5817751,0.5939111,0.470408,0.5277098,0.6889133,0.4892911,0.7661456,0.6774839,0.47232273,0.6202451,0.49582288,0.5093715,0.5070188,0.5124242,0.49352312,0.2679576,0.5751003,0.48028588,0.19571018,0.5818318,0.47774395,0.10191656,0.56586164,0.6110784,0.54456276,0.56529415,0.6043346,0.2900031
Side_Crow,0.75493616,0.87060213,0.55099916,0.7397343,0.89419967,0.83640176,0.73879266,0.8959521,0.8218942,0.6836555,0.88957846,0.6681907,0.68320376,0.8895657,0.75137484,0.6279473,0.78377646,0.7456696,0.63008404,0.80832076,0.7965765,0.7006963,0.6078554,0.44083393,0.7052327,0.5951155,0.71656066,0.84874606,0.5948073,0.73566014,0.8625906,0.60455686,0.7990507,0.38585094,0.5936141,0.92579603,0.39472747,0.61089694,0.8105929,0.3153497,0.3913492,0.7511841,0.6643748,0.5682519,0.8791909,0.15327038,0.21964343,0.8510828,0.4827846,0.37787658,0.7138535
Side_Crow,0.69732684,0.73838323,0.8119907,0.68379223,0.75376046,0.82213813,0.6757997,0.7485993,0.8313251,0.63746536,0.73533,0.5581314,0.6269944,0.7202094,0.71257377,0.6046866,0.6838134,0.5419304,0.61999184,0.63183093,0.7055891,0.63066465,0.56125796,0.35939303,0.6308231,0.48759472,0.8512978,0.74374473,0.5770164,0.9403584,0.7628608,0.48618963,0.86500454,0.36137456,0.5031108,0.7370724,0.39671206,0.48715028,0.525331,0.31230578,0.3252566,0.8669356,0.59601367,0.5808433,0.3489882,0.21561515,0.16767438,0.91782147,0.5287499,0.54369885,0.08178868
Side_Crow,0.4408169,0.50264865,0.55059195,0.4204041,0.5136338,0.5639626,0.42156547,0.48571756,0.44122258,0.422343,0.5026888,0.34971532,0.42296028,0.43329763,0.49616107,0.4766791,0.5184055,0.66326004,0.4500583,0.35466343,0.5122211,0.5383091,0.4800685,0.59823287,0.54113257,0.30545893,0.6510754,0.6143236,0.46487668,0.51737726,0.6334054,0.31935224,0.67436576,0.5279451,0.43682852,0.5125008,0.51654065,0.33670774,0.51730484,0.5073843,0.4968027,0.3241797,0.52070177,0.330252,0.46977806,0.53120315,0.4560004,0.100176565,0.54605526,0.31781983,0.17655021
Side_Crow,0.45819086,0.6443336,0.56862426,0.46268427,0.66568696,0.6716237,0.43082693,0.65832055,0.51544875,0.4535371,0.65646243,0.5986915,0.37099874,0.6349335,0.68753767,0.43909258,0.58252156,0.52587926,0.33234137,0.5519858,0.58651483,0.4319465,0.4266766,0.3640808,0.4114497,0.3820961,0.6118448,0.5367485,0.4079243,0.5830567,0.547846,0.38273308,0.8319731,0.30123428,0.39537328,0.26675564,0.22671407,0.3135341,0.32828766,0.43696335,0.47043604,0.12771073,0.4001782,0.39503393,0.27702767,0.30138916,0.31523195,0.31402773,0.32711962,0.24331845,0.3936122
Side_Crow,0.62928176,0.4123335,0.43321592,0.6170963,0.40037498,0.43222615,0.63035595,0.39339226,0.48555234,0.55703723,0.39787465,0.3020267,0.59425974,0.36594078,0.38396084,0.43008497,0.4865617,0.2716632,0.52985764,0.35900667,0.24450688,0.54188347,0.66404104,0.3817252,0.6322046,0.35744762,0.13128144,0.6946413,0.66705334,0.7879761,0.68995804,0.48538652,0.59735006,0.31331226,0.55680656,0.6226131,0.40873867,0.52515197,0.29155302,0.39316314,0.77837706,0.51470625,0.4980597,0.7214049,0.15889435,0.4013104,0.84176546,0.33634493,0.41513532,0.82545877,0.18713062
Side_Crow,0.6062234,0.72752774,0.49392474,0.5982067,0.7412559,0.5142384,0.5955256,0.727904,0.41723347,0.5498897,0.73999023,0.40620968,0.5431653,0.702774,0.6429882,0.48207405,0.71135503,0.53067076,0.48771513,0.59527224,0.66339195,0.52090096,0.67286664,0.22537519,0.52144414,0.4373514,0.6681439,0.62679875,0.6770906,0.804516,0.6508523,0.4405684,0.7441466,0.37505555,0.5039051,0.41601998,0.35989815,0.47583893,0.38877916,0.5006865,0.44227257,0.33673465,0.46094084,0.36439255,0.3932324,0.4543586,0.3515261,0.28992912,0.45389795,0.2526595,0.42786157
Side_Crow,0.6625275,0.2452313,0.40379512,0.6545708,0.24578685,0.53921264,0.6557559,0.22945523,0.36794874,0.6075094,0.27785414,0.5016813,0.6155509,0.24844788,0.39773834,0.56827056,0.362875,0.41891938,0.5673914,0.3115495,0.52560467,0.60792816,0.49201447,0.3926907,0.57917726,0.39231104,0.15516788,0.7173259,0.50705296,0.48905388,0.6777817,0.4043213,0.73709,0.49520436,0.49521482,0.29756942,0.51497626,0.4468116,0.16528744,0.5768196,0.55494344,0.32897368,0.5933274,0.47975266,0.14433584,0.6025058,0.62088054,0.42748126,0.67731214,0.4132687,0.31501916
