Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Side_Plank,0.57329494,0.3636543,0.58933973,0.5570861,0.36063153,0.48126638,0.56540906,0.3543709,0.67741865,0.530689,0.37669805,0.563316,0.54699385,0.36191177,0.45758703,0.535421,0.41163194,0.8074426,0.5713055,0.40028498,0.3528339,0.63622665,0.3970527,0.792487,0.6409676,0.38862765,0.38278198,0.7364058,0.39768636,0.49307734,0.7379244,0.39712396,0.5254065,0.60794014,0.51934856,0.42742985,0.64307433,0.51433074,0.47030184,0.6844519,0.641702,0.64543474,0.7041808,0.62540406,0.6436455,0.7273821,0.7326147,0.34756947,0.7284544,0.7298042,0.5940476
Side_Plank,0.4798197,0.33223903,0.22543114,0.47774127,0.27083758,0.5841565,0.49409598,0.28359205,0.4310469,0.46863654,0.3185789,0.39822122,0.5113959,0.33051696,0.51708466,0.43398404,0.40686473,0.48837695,0.5565453,0.41607788,0.8211258,0.35865876,0.4448368,0.4178519,0.6350233,0.43234178,0.74616015,0.28017855,0.43924212,0.7065563,0.7216439,0.41070163,0.889037,0.5408172,0.58878475,0.771399,0.6011877,0.5534664,0.73753196,0.6308988,0.70668375,0.79306644,0.67187595,0.6237938,0.74166095,0.71272266,0.8205822,0.857217,0.72289264,0.7962619,0.391129
Side_Plank,0.53851014,0.5658124,0.45543036,0.5425343,0.5749794,0.46244785,0.53955907,0.5669515,0.4485688,0.54654676,0.5733423,0.39042202,0.53993833,0.56134486,0.4449095,0.5701192,0.53979594,0.48421723,0.52014256,0.52374345,0.45879176,0.64708287,0.54610914,0.59813327,0.47546446,0.4614535,0.10322403,0.69952726,0.55515444,0.74627346,0.42322072,0.5208052,0.31394562,0.5658081,0.46662316,0.4445201,0.53712875,0.4622436,0.56118274,0.5791796,0.43629798,0.20416482,0.50863755,0.52611476,0.2690942,0.65990955,0.34066793,0.45077774,0.42171875,0.5219239,0.5508985
Side_Plank,0.469198,0.8511954,0.7065373,0.4837588,0.87013483,0.6837924,0.4861438,0.8693211,0.8956158,0.532766,0.8492706,0.7883108,0.54221857,0.8526162,0.7468564,0.46806267,0.7334113,0.67044693,0.646877,0.76406455,0.9149787,0.28187558,0.7250581,0.92723113,0.791746,0.75399405,0.9291272,0.11361097,0.7363588,0.63747853,0.9506951,0.7764939,0.9568477,0.64574146,0.4615436,0.5564938,0.70281744,0.51972765,0.86901945,0.77134943,0.26914766,0.91201955,0.8226607,0.5262853,0.6519863,0.91536444,0.08463617,0.71505576,0.85686445,0.533241,0.81016904
Side_Plank,0.60029656,0.9954779,0.43485555,0.6100293,1.0079814,0.49104327,0.58179027,0.99721956,0.5141726,0.6252704,0.9976042,0.5607365,0.55724275,0.9743628,0.73140424,0.7086601,0.92451906,0.80093676,0.52774847,0.8710994,0.8034365,0.84696007,0.90801996,0.8796446,0.36528125,0.81436485,0.9108956,0.9279053,0.9469412,0.8879514,0.20382768,0.786745,0.8883993,0.7690755,0.61287874,0.86924016,0.65868294,0.5734203,0.7022757,0.8796296,0.34652826,0.79988176,0.8011664,0.3497201,0.49884236,0.8136528,0.3664549,0.32415998,0.7841194,0.36398068,0.58145154
Side_Plank,0.40948796,0.15413956,0.8293305,0.4182989,0.13087836,0.8751315,0.4256491,0.12784183,0.8856147,0.47003776,0.13531598,0.8162592,0.4874811,0.13630636,0.8747751,0.38246858,0.24548975,0.9119342,0.6052377,0.24092713,0.86491615,0.2404983,0.2911333,0.8193789,0.77845,0.20188548,0.8043605,0.09922205,0.32419777,0.7454915,0.9444877,0.17463098,0.9205216,0.47926545,0.5256959,0.78837806,0.5776342,0.5274603,0.6476396,0.3072235,0.490009,0.8545925,0.7411501,0.73658156,0.92877907,0.06491622,0.39682287,0.56897765,0.91432035,0.9288956,0.8638325
Side_Plank,0.4256515,0.87680936,0.88939154,0.4458069,0.9097465,0.90705246,0.42932767,0.9012006,0.8952149,0.515433,0.90820175,0.87875277,0.4787149,0.8951087,0.868907,0.62386566,0.78463423,0.7436342,0.42418796,0.7529446,0.840183,0.8018597,0.80681294,0.85733646,0.2715903,0.6800845,0.8305605,0.95028776,0.84993446,0.8756741,0.1250867,0.62194633,0.6293556,0.6283252,0.48889732,0.6441651,0.5102532,0.47953966,0.6200517,0.7666257,0.29484043,0.89726615,0.31617874,0.4690638,0.82121605,0.9251703,0.09219821,0.8590386,0.08080974,0.4672105,0.8214948
Side_Plank,0.43538818,0.71204185,0.8201307,0.43043005,0.7387596,0.84627527,0.4100571,0.7089978,0.8556044,0.45302758,0.7428779,0.6776695,0.406032,0.68674785,0.63082266,0.5496457,0.69185776,0.7056206,0.41608664,0.6161999,0.78501767,0.66462016,0.6779154,0.36653078,0.32820782,0.5558436,0.60225797,0.775378,0.6904341,0.8841137,0.22195305,0.49626842,0.76564497,0.61228424,0.46975273,0.6778496,0.5176722,0.47226304,0.7072627,0.69615287,0.29770133,0.7946783,0.3859868,0.43784037,0.6558567,0.7598415,0.15209253,0.8973176,0.212764,0.40698943,0.75412357
Side_Plank,0.44350523,0.21578267,0.7712091,0.42286074,0.21505627,0.6501315,0.4485465,0.19784732,0.6839546,0.4072157,0.23641397,0.7559557,0.4622732,0.20541753,0.84415394,0.40253013,0.2910657,0.84791094,0.5227275,0.2634474,0.6771109,0.33010146,0.3092245,0.28749007,0.6245935,0.26253635,0.8210602,0.22991164,0.3157712,0.85083497,0.7341182,0.26673254,0.6335782,0.5024793,0.47509962,0.7625822,0.5647885,0.4479838,0.82242477,0.5966332,0.6066332,0.9211011,0.6421197,0.56845087,0.6697838,0.67300963,0.7490662,0.819611,0.7086136,0.71938014,0.69896704
Side_Plank,0.40018222,0.74724364,0.370394,0.39525974,0.750375,0.4209367,0.39693037,0.75210464,0.48340127,0.40441626,0.72992533,0.35241535,0.40855008,0.73667324,0.4143891,0.40315172,0.67022264,0.34098917,0.42360967,0.68329287,0.42827392,0.2641492,0.6452327,0.35823563,0.5473157,0.70297486,0.6047792,0.17294447,0.63555187,0.4359985,0.63014996,0.7114754,0.5362365,0.43891656,0.518976,0.6563523,0.443772,0.52785575,0.776699,0.5324166,0.40569314,0.48390052,0.28196675,0.5473674,0.5317734,0.62764925,0.29690167,0.52334934,0.15909785,0.57949436,0.16312988
