Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Sitting,0.4208721,0.51742977,0.50096476,0.40269718,0.5314873,0.5799908,0.40452075,0.501369,0.56092167,0.4104619,0.5504139,0.7243868,0.41325915,0.48529714,0.6028328,0.4965251,0.5955821,0.67731017,0.4895377,0.44513792,0.7701439,0.59960455,0.60279673,0.7512279,0.6019914,0.43280235,0.8443551,0.6634873,0.6351322,0.7307057,0.67369825,0.4051633,0.6826063,0.70530975,0.55943733,0.43461937,0.70522684,0.48241562,0.7011338,0.7218437,0.63172424,0.63236296,0.7206037,0.40976173,0.6819383,0.69040465,0.50140584,0.43246728,0.7046418,0.546101,0.30910915
Sitting,0.3514727,0.5869343,0.76348597,0.33511922,0.61170495,0.7227228,0.32612896,0.58976346,0.57948077,0.34535155,0.6760362,0.6486405,0.32580444,0.62042856,0.26313028,0.47797927,0.71882266,0.64851624,0.40021887,0.58899516,0.5589584,0.6713559,0.7074915,0.60486543,0.5447453,0.55025893,0.34268218,0.8013391,0.65665746,0.5939178,0.6368114,0.5329563,0.25805262,0.7137507,0.62207776,0.53886575,0.66035324,0.5600873,0.53976274,0.8321077,0.5203191,0.42873242,0.62845474,0.40794963,0.6349545,0.82424676,0.5112959,0.2523674,0.76367676,0.5397597,0.29593644
Sitting,0.387378,0.5087853,0.6168655,0.37111712,0.5228067,0.8591284,0.37240738,0.4922633,0.7794718,0.37036815,0.53905296,0.7497554,0.37324437,0.46865922,0.6729215,0.44379753,0.5803283,0.8084643,0.445379,0.42140174,0.71555805,0.5659974,0.6607969,0.782301,0.5803354,0.3385402,0.8667119,0.6706414,0.70805323,0.76926994,0.68871665,0.28463596,0.6264034,0.6716317,0.54722893,0.75253624,0.66421914,0.45346552,0.7893252,0.68733597,0.6446114,0.65619737,0.60175985,0.3792725,0.47014278,0.70795083,0.43732277,0.56198776,0.6560268,0.5931187,0.76036555
Sitting,0.18678656,0.48108342,0.45797968,0.16634224,0.50677043,0.62845963,0.1633909,0.46407184,0.6155998,0.17846029,0.5346222,0.77042377,0.174625,0.43466216,0.61908686,0.31457743,0.5981115,0.7430819,0.30988863,0.39501882,0.8796333,0.47838527,0.6226194,0.5532797,0.45329532,0.34071082,0.47714037,0.54874206,0.5251369,0.2527728,0.61713624,0.26217097,0.629752,0.56068295,0.55491966,0.6561173,0.5643946,0.45580888,0.6853364,0.53363097,0.55155736,0.0820631,0.5469736,0.3937722,0.19990632,0.6714248,0.54349977,0.20885864,0.6594871,0.44332877,0.3395312
Sitting,0.36232838,0.4905968,0.80816233,0.34477216,0.50859106,0.67858917,0.34234917,0.47016016,0.51334643,0.34757596,0.5285792,0.7058828,0.3439951,0.4468183,0.7432035,0.436294,0.57697386,0.81443787,0.43377602,0.3988525,0.8440986,0.56110877,0.59927464,0.7381452,0.556597,0.3721845,0.8551575,0.6311512,0.6664644,0.8126879,0.63563293,0.29299024,0.75281256,0.679889,0.551429,0.75634176,0.67282736,0.4319219,0.828615,0.68744564,0.6906507,0.47985777,0.68559974,0.2749607,0.8407543,0.6808448,0.45199838,0.5504931,0.6704289,0.5211399,0.6307115
Sitting,0.29305044,0.50083447,0.7359942,0.25713393,0.5296269,0.7842873,0.25683168,0.4737052,0.90722907,0.2534449,0.5648523,0.8170344,0.25076625,0.43596312,0.70896703,0.40908727,0.63250506,0.78664327,0.39094245,0.35212258,0.8933657,0.610755,0.6750257,0.6999609,0.5879701,0.379238,0.74635,0.7136462,0.7269011,0.8400206,0.6181494,0.4190351,0.12927614,0.75013715,0.5654621,0.8760836,0.74560434,0.40660402,0.9005861,0.7976666,0.75647837,0.8564545,0.7745523,0.20629808,0.96397644,0.8811024,0.41206563,0.62895447,0.91644895,0.5612468,0.7902054
Sitting,0.44492784,0.48723954,0.7886156,0.42712173,0.50914603,0.86181444,0.4261532,0.4843797,0.74844766,0.43595037,0.56673217,0.7554026,0.43043566,0.51050806,0.67859864,0.5476908,0.60811883,0.81629395,0.5358389,0.45597634,0.8534112,0.71629167,0.6064583,0.755887,0.7022005,0.4225128,0.8042078,0.7985006,0.60457283,0.6805115,0.74381876,0.30967513,0.6725297,0.8110919,0.5738622,0.7605095,0.8043777,0.4881863,0.799246,0.85642004,0.5953981,0.5447045,0.7832559,0.27270257,0.731843,0.85469705,0.47251585,0.6273162,0.8678102,0.44302157,0.4600467
Sitting,0.46748054,0.5118599,0.34707272,0.46418515,0.515231,0.49864122,0.4639468,0.51359606,0.3979005,0.47543335,0.5013452,0.38254374,0.47178447,0.5068566,0.38050458,0.49715498,0.45933592,0.444961,0.4981644,0.51061106,0.45711812,0.42986852,0.4501996,0.46879044,0.44104767,0.5240276,0.16160233,0.38784996,0.48270243,0.28151652,0.3752101,0.48913193,0.25672907,0.5737045,0.46512666,0.19791903,0.58214444,0.49340492,0.29705524,0.55854625,0.46400473,0.1614067,0.54304093,0.5315348,0.32813397,0.5984641,0.4765509,0.19452536,0.5979768,0.52348256,0.16873917
Sitting,0.46761093,0.3890243,0.60340554,0.451256,0.3989743,0.57629883,0.4526844,0.37145132,0.34640965,0.4583484,0.41025743,0.71897185,0.464973,0.34896085,0.77584696,0.5365831,0.4546609,0.81993836,0.55552095,0.31687924,0.6977599,0.6311138,0.49326608,0.7639843,0.66732335,0.2983192,0.6815649,0.6899102,0.553408,0.74868447,0.6925897,0.2927553,0.3774727,0.71959084,0.44539148,0.8027198,0.7335957,0.36339465,0.7408526,0.7319506,0.55375445,0.7391006,0.7441009,0.29733068,0.7262195,0.74811316,0.406881,0.31983232,0.76040757,0.4548304,0.57771796
Sitting,0.27783933,0.5456556,0.6539718,0.25714585,0.57218474,0.92885405,0.25742593,0.5324016,0.84111166,0.27756283,0.6215634,0.79917294,0.27107698,0.5367548,0.70261,0.40221977,0.68707705,0.7542324,0.39449903,0.4703661,0.9276497,0.58148634,0.74556345,0.70719576,0.5558511,0.39297706,0.7292346,0.562201,0.5955013,0.74999654,0.5535088,0.54104024,0.685076,0.67333215,0.6142146,0.76760894,0.6653129,0.49201167,0.87748957,0.6341462,0.765098,0.8619025,0.6198825,0.3691113,0.7502609,0.7531316,0.51013213,0.7752851,0.7520443,0.59688264,0.63550454
