Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Split,0.4788029,0.5155174,0.53222,0.47790927,0.5045998,0.59777164,0.47768715,0.5097242,0.75201964,0.5059317,0.4777104,0.5989556,0.5049493,0.49076986,0.70050883,0.56833416,0.47349104,0.5443106,0.56420475,0.48438966,0.58704245,0.42536965,0.43746346,0.7049233,0.4259967,0.4398239,0.68580645,0.33333898,0.39440706,0.754188,0.32932624,0.38977855,0.69297093,0.8020402,0.43901154,0.76000196,0.82165384,0.5084997,0.8349577,0.8375179,0.3021756,0.77271366,0.83378726,0.697765,0.62807804,0.8442677,0.13622473,0.64160794,0.84868884,0.88183033,0.8007433
Split,0.24129948,0.48889166,0.80042464,0.23683897,0.46724904,0.66801286,0.2369477,0.46819735,0.73670137,0.27803007,0.4445185,0.82699054,0.27938694,0.44628203,0.82958937,0.3665876,0.46184412,0.73365724,0.37140232,0.48211947,0.8113227,0.47492298,0.55861735,0.25450644,0.46862054,0.59463,0.7705474,0.43684646,0.59680146,0.267385,0.424412,0.60542965,0.28231415,0.5864074,0.45268974,0.89608806,0.6107308,0.49112526,0.70246655,0.6212749,0.28547046,0.52259666,0.6140928,0.6933917,0.7836057,0.6115554,0.08807169,0.7751625,0.6484262,0.9043844,0.9332584
Split,0.40832418,0.5472799,0.6489906,0.40433043,0.5314044,0.68411165,0.39936444,0.5362661,0.59303313,0.4302441,0.4982678,0.5467132,0.427006,0.50997454,0.83217365,0.49191833,0.49303588,0.69277966,0.48815966,0.5152221,0.59468067,0.3457119,0.455189,0.78483766,0.34102976,0.45728567,0.63344306,0.24142393,0.40129358,0.763553,0.23656869,0.40122008,0.71662086,0.73852843,0.4634882,0.7635851,0.7582082,0.5429591,0.7332641,0.7913249,0.30054376,0.85574293,0.78737026,0.7390609,0.87899405,0.7960636,0.11063565,0.8294585,0.79659766,0.94129837,0.8844226
Split,0.437235,0.53652215,0.39624557,0.43441564,0.5347858,0.56167936,0.4300968,0.5352117,0.5050988,0.44803926,0.50503933,0.30268708,0.43904445,0.50767416,0.37314427,0.46488982,0.46280715,0.47519833,0.46298093,0.46766716,0.44840622,0.42905778,0.50812835,0.23110263,0.42557025,0.5093187,0.22523087,0.37422818,0.58168954,0.32554492,0.3690325,0.5808265,0.5109942,0.5630692,0.4243235,0.45127347,0.56572413,0.41550982,0.44151598,0.61353034,0.31528956,0.5457271,0.59923756,0.57674444,0.33411047,0.6394963,0.4601685,0.2159353,0.6435507,0.4635977,0.2782857
Split,0.38489676,0.43436408,0.5395596,0.37622944,0.4525168,0.5469165,0.3748112,0.4486845,0.74973345,0.39555424,0.48141074,0.7204157,0.39380282,0.47744256,0.8166512,0.48073295,0.4805142,0.72409964,0.47462407,0.45662305,0.89351875,0.33964482,0.4936174,0.668752,0.33389843,0.4882594,0.66737264,0.25012118,0.547884,0.7170319,0.2509967,0.5426932,0.7574171,0.72540134,0.49594846,0.89941984,0.72786725,0.4397264,0.92118776,0.7629831,0.6942568,0.85912925,0.7481263,0.2573588,0.92352486,0.7735283,0.9043489,0.84063125,0.7701031,0.07575783,0.6921754
Split,0.5078481,0.52575916,0.3087982,0.49614522,0.52381647,0.54397005,0.49887407,0.52616596,0.35648075,0.4971341,0.48881468,0.37731934,0.5055873,0.4832766,0.46495387,0.49716556,0.46556643,0.45678064,0.5571766,0.49111545,0.45110336,0.41417783,0.4672984,0.49534324,0.62939674,0.5768843,0.8274022,0.31145403,0.4938799,0.62858754,0.7058548,0.65121335,0.4463956,0.6385075,0.4137923,0.5549694,0.65796155,0.43663618,0.5668078,0.6701503,0.40847966,0.2868422,0.69593793,0.54065746,0.5205038,0.6453573,0.33012423,0.38791075,0.73818827,0.66030604,0.5716573
Split,0.47027516,0.5610182,0.44783124,0.4666593,0.55603766,0.4934223,0.46537152,0.55839705,0.44859704,0.48045278,0.53303397,0.4178241,0.480807,0.54210895,0.41580337,0.5246855,0.5290584,0.46577603,0.52761614,0.53027415,0.5995538,0.4259294,0.55897194,0.38900748,0.41950545,0.5597728,0.67412853,0.33242217,0.5934838,0.4996561,0.334214,0.5942937,0.7644002,0.72195965,0.5365284,0.8693334,0.714687,0.58898497,0.6707598,0.7317422,0.38880154,0.88908935,0.7463171,0.7089134,0.8156992,0.7465201,0.25537524,0.8417829,0.75636035,0.81732,0.83285075
Split,0.37039208,0.44731033,0.84591526,0.353592,0.45795554,0.86724335,0.35332265,0.4585028,0.841088,0.35476846,0.5017453,0.67795694,0.35852274,0.50293744,0.5156946,0.4404265,0.5190918,0.73998934,0.44231945,0.5029166,0.7722314,0.5623726,0.5296943,0.7549831,0.5435082,0.50075555,0.39060932,0.6618893,0.46247223,0.81506985,0.64631206,0.46925685,0.21686006,0.61037797,0.5213917,0.87734437,0.6072545,0.52457786,0.8009483,0.6322935,0.3341856,0.7971651,0.63611555,0.6987716,0.85044605,0.6366752,0.14098053,0.85041106,0.63705933,0.8656696,0.80657756
Split,0.3994425,0.45250013,0.67987376,0.37124285,0.44989628,0.77377254,0.40046197,0.4230594,0.4585332,0.37001798,0.45716536,0.6264214,0.42591816,0.41638377,0.60006356,0.42559767,0.50928134,0.6366239,0.50085914,0.46503073,0.65235054,0.3093911,0.40188578,0.912663,0.6371176,0.43774685,0.8987822,0.23462987,0.3055477,0.785277,0.7146994,0.33355275,0.793753,0.6760432,0.6153666,0.48636904,0.69364387,0.57168543,0.8031248,0.730979,0.7517077,0.84206146,0.76118284,0.34423402,0.7673947,0.732862,0.8983066,0.80378383,0.77246743,0.11685467,0.73312086
Split,0.34963933,0.5025187,0.7412115,0.3385518,0.48730066,0.56324226,0.3405919,0.4906119,0.681405,0.3719146,0.45652273,0.69284475,0.36990967,0.4625551,0.649565,0.43782634,0.45582435,0.80398643,0.43366677,0.49325386,0.88495636,0.31814456,0.42324865,0.8476861,0.30116957,0.44740066,0.6242538,0.22020215,0.38208148,0.5983887,0.20651296,0.39288914,0.80770683,0.70848596,0.4666248,0.8299939,0.7126044,0.5135786,0.82933205,0.8257257,0.3254643,0.88527113,0.7722991,0.7268418,0.8237501,0.8374435,0.11132337,0.86840105,0.8360442,0.9282943,0.89894044
