Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Staff,0.23075512,0.72957444,0.87335694,0.19544588,0.7482211,0.8808183,0.19343665,0.7476466,0.89793587,0.19361919,0.8336932,0.9249966,0.19339374,0.82880586,0.8464846,0.3365242,0.8717195,0.898116,0.33599165,0.8627768,0.9213856,0.6216261,0.9109898,0.8250086,0.6174996,0.89644074,0.8374236,0.88090336,0.96761924,0.84937555,0.8579828,0.9641514,0.54813755,0.7988518,0.87893814,0.64915556,0.778237,0.8568355,0.808988,0.79995286,0.47268832,0.6415066,0.7911425,0.4747067,0.76848537,0.8291997,0.08604734,0.66887474,0.82899743,0.14827181,0.24974893
Staff,0.27360246,0.71071637,0.86286163,0.24009119,0.72423613,0.88643193,0.23880695,0.7173539,0.7714427,0.2320492,0.81267995,0.62116975,0.22938016,0.7994629,0.6670716,0.4043277,0.87618923,0.8656576,0.3527605,0.84589493,0.84472215,0.6772394,0.91373855,0.9311877,0.61683345,0.88262117,0.42941225,0.88886535,0.8507546,0.9447535,0.76663184,0.78735316,0.33465505,0.76754594,0.8177322,0.7581972,0.7031598,0.7734882,0.7591002,0.78412306,0.48425,0.91622525,0.71725535,0.4828961,0.8053033,0.8210003,0.13865934,0.8641721,0.77920204,0.1489165,0.7057455
Staff,0.32263374,0.35439867,0.8250484,0.3062689,0.3430325,0.7582369,0.3052501,0.34525138,0.7109992,0.3112996,0.30299836,0.7519686,0.31310517,0.3012507,0.7274479,0.40287733,0.2914816,0.89142704,0.41069478,0.28220153,0.90287507,0.56654316,0.29235032,0.56955266,0.5773741,0.2796969,0.8314092,0.6928349,0.32078454,0.5015867,0.70481867,0.31859335,0.82106143,0.63079786,0.3203151,0.674274,0.6474634,0.30752683,0.8024347,0.6471896,0.52883625,0.8283014,0.6492538,0.5290688,0.84933573,0.6560703,0.73736936,0.681776,0.66689134,0.7427006,0.77934074
Staff,0.29360238,0.5710738,0.8452153,0.27578908,0.58994466,0.86747825,0.27444986,0.5767675,0.8265255,0.2828087,0.64811015,0.8085389,0.27884275,0.62052184,0.7485682,0.40342864,0.6756331,0.9038544,0.3886457,0.57840663,0.7315253,0.56807226,0.6867999,0.92887455,0.5375738,0.594722,0.42806405,0.6996093,0.6886162,0.89020395,0.6738791,0.6064189,0.385479,0.64007336,0.63199127,0.85234445,0.6189739,0.57686865,0.79552877,0.68466663,0.41153207,0.7885254,0.66525596,0.3937268,0.8754133,0.70110637,0.17764112,0.7319051,0.6899065,0.18477567,0.81265664
Staff,0.41656336,0.4321999,0.5885879,0.40269834,0.42009297,0.3622369,0.40210485,0.41908035,0.546613,0.41826358,0.38438976,0.48451388,0.42396286,0.38320586,0.7871119,0.48906133,0.38189602,0.75935054,0.4938949,0.37507242,0.7851232,0.36705562,0.42234075,0.65389276,0.37201282,0.42870003,0.64504075,0.25957766,0.4352405,0.6228818,0.2554617,0.43716285,0.6327231,0.68093044,0.4260387,0.86122376,0.69173014,0.42285633,0.7526253,0.6891265,0.60724086,0.8077246,0.6972959,0.61172557,0.7325143,0.7099818,0.7645018,0.7440454,0.71490633,0.7678991,0.73580873
Staff,0.20383961,0.7561067,0.8322241,0.17236589,0.7852441,0.83495104,0.17306033,0.7641316,0.8132797,0.18696558,0.870415,0.8087764,0.18302806,0.8289164,0.70098376,0.37957352,0.9207404,0.8500599,0.35117316,0.7871478,0.8027149,0.629214,0.9291606,0.89844817,0.59512466,0.7752441,0.7337843,0.8377835,0.9367482,0.88842607,0.7907688,0.7995589,0.21918319,0.74276006,0.8580646,0.6673126,0.7096287,0.74307287,0.75095385,0.799191,0.5183633,0.9005715,0.77006006,0.4826098,0.85501665,0.83012617,0.14344911,0.7929752,0.8152781,0.15091875,0.75721335
Staff,0.4198023,0.4228487,0.56920785,0.4067677,0.41021815,0.5513689,0.40680194,0.40773156,0.4735918,0.4191743,0.37254557,0.5712185,0.42321044,0.36807185,0.70390147,0.49047524,0.37136033,0.72924453,0.4828179,0.3509928,0.88552535,0.36159977,0.3850726,0.50946397,0.3562215,0.368539,0.62003136,0.2609193,0.3812103,0.802665,0.26336488,0.36643907,0.671203,0.7080393,0.3617697,0.8021347,0.71410567,0.3524344,0.8628388,0.72453797,0.54274255,0.8922008,0.7311207,0.5457736,0.5820519,0.73818904,0.710893,0.6915213,0.73806906,0.71416515,0.64730334
Staff,0.39851406,0.3854578,0.7672901,0.3814784,0.37802556,0.78440654,0.38100088,0.37317097,0.6736718,0.38490194,0.34243897,0.7303068,0.38559392,0.3348391,0.84317976,0.45573413,0.33674613,0.7767234,0.45731226,0.31752408,0.88816583,0.5672779,0.31150374,0.6598842,0.5745499,0.29868454,0.68774647,0.67475194,0.30739543,0.37045842,0.6785226,0.30142218,0.6781872,0.6334274,0.3429808,0.8203274,0.6501181,0.3282416,0.74461424,0.6502755,0.5047742,0.89557374,0.6538734,0.5023983,0.7125882,0.6581984,0.6676378,0.43607882,0.6584858,0.6703963,0.4297756
Staff,0.36125618,0.42637157,0.7741322,0.34352496,0.4175674,0.5185534,0.3428111,0.4155014,0.55734485,0.34912944,0.37485066,0.756307,0.34907654,0.37177962,0.73056823,0.4271446,0.36003023,0.8160807,0.4353745,0.3414881,0.8283994,0.5620553,0.32107127,0.63461244,0.5822794,0.29112482,0.8764817,0.67040694,0.35569975,0.33511683,0.7020628,0.33458412,0.79055226,0.61804366,0.3876849,0.8366298,0.64276385,0.37309542,0.7218107,0.6287058,0.56203467,0.8077077,0.6554448,0.5620236,0.659531,0.6442636,0.75155264,0.641817,0.6620839,0.76332086,0.810858
Staff,0.19295743,0.75947905,0.8762015,0.1655001,0.7881539,0.91366464,0.16479209,0.7831719,0.8778011,0.18913631,0.8703887,0.84539896,0.1859666,0.8638231,0.6132853,0.36481497,0.9021162,0.88488084,0.35198754,0.8516952,0.7823935,0.6321833,0.9421066,0.8554662,0.6152898,0.8728807,0.44283497,0.8643723,0.9105676,0.9238478,0.83125174,0.8773144,0.3509885,0.76093614,0.83577645,0.70099616,0.74547964,0.80190915,0.7787319,0.78566104,0.46028063,0.8702973,0.76451415,0.46544665,0.8033186,0.83099586,0.10416386,0.7801542,0.8170537,0.11445781,0.72749186
