Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Standing_Forward_Bend,0.6644012,0.46594194,0.33736566,0.66865265,0.45992973,0.39012367,0.66773224,0.4567184,0.42489728,0.6554974,0.4417247,0.37999606,0.6548629,0.4326855,0.4049011,0.623223,0.43810904,0.4687969,0.6180853,0.44300404,0.36284068,0.70112395,0.50834626,0.5727404,0.703091,0.5107462,0.45762792,0.7860893,0.51860607,0.47494352,0.77714276,0.5162025,0.39025596,0.41884312,0.52047426,0.7750431,0.41636586,0.5159327,0.64869887,0.6529776,0.51100725,0.3715186,0.6360727,0.511742,0.22899291,0.7730358,0.5239265,0.35287154,0.7631375,0.5196063,0.37822732
Standing_Forward_Bend,0.69325393,0.6887409,0.40535885,0.69547516,0.6876449,0.5093513,0.69805855,0.6765632,0.36238614,0.6725967,0.6910862,0.37122348,0.67349166,0.65954554,0.38038257,0.6329456,0.74160904,0.54912984,0.629942,0.6610206,0.4697104,0.70677316,0.7821091,0.29169685,0.70425516,0.692478,0.21303734,0.8085548,0.7900396,0.40583715,0.79413664,0.678197,0.21029562,0.5258041,0.8398736,0.6753382,0.50941426,0.7869331,0.26724002,0.67834646,0.7690031,0.5807149,0.66927487,0.7448182,0.20370866,0.7971137,0.7916676,0.35455826,0.77411515,0.7595215,0.1504424
Standing_Forward_Bend,0.6340398,0.45544896,0.4347782,0.6679097,0.46568272,0.52167886,0.6609516,0.46280828,0.63068056,0.6748403,0.532801,0.42524803,0.66357744,0.5273934,0.4217662,0.563945,0.625165,0.6372575,0.5240243,0.5034233,0.5327004,0.58303267,0.4005532,0.26371613,0.55455184,0.29629412,0.8235731,0.75961137,0.40617463,0.17051595,0.7375471,0.33788624,0.8260273,0.16384706,0.4283856,0.6874427,0.15764369,0.4172924,0.72998726,0.49064732,0.39309815,0.5859,0.49014884,0.3834966,0.6287263,0.86821806,0.45903412,0.6233366,0.86942726,0.44462404,0.6872737
Standing_Forward_Bend,0.56040007,0.47688323,0.5242706,0.58228564,0.49358976,0.59047776,0.5716362,0.49548632,0.59356475,0.58001333,0.56222594,0.76150084,0.5787813,0.56217545,0.50750476,0.47678617,0.62692523,0.69250846,0.4850595,0.6264194,0.6928106,0.6802958,0.59846944,0.70126325,0.6847372,0.6046977,0.82825625,0.82335603,0.54331726,0.4563524,0.83888227,0.5541074,0.73488355,0.2019882,0.34533745,0.8409148,0.20061044,0.34339345,0.8294136,0.5346764,0.39358205,0.81455344,0.5340451,0.40007517,0.81108946,0.7781323,0.39248654,0.7585904,0.80978155,0.38568354,0.71195614
Standing_Forward_Bend,0.5980668,0.36538202,0.37632278,0.60419965,0.37516552,0.52763945,0.6005298,0.3575103,0.4881899,0.59322363,0.38620356,0.38398144,0.5847102,0.34012976,0.36120763,0.56087303,0.3953611,0.39408484,0.54484075,0.31670827,0.25558713,0.6001148,0.41907012,0.4186819,0.5955213,0.2675532,0.193524,0.6488567,0.37687045,0.27797377,0.6468152,0.30674744,0.392136,0.378277,0.42659354,0.63575035,0.3763594,0.34976375,0.5899399,0.56444776,0.3995116,0.28553608,0.58412254,0.41386,0.3068421,0.6480088,0.34978318,0.302048,0.658775,0.37494436,0.25079086
Standing_Forward_Bend,0.50639874,0.55879116,0.3914993,0.5204602,0.55377775,0.58549005,0.52175194,0.55439484,0.5461126,0.51707596,0.49920705,0.5064805,0.5218668,0.50151974,0.45616353,0.4826392,0.4529834,0.5876176,0.48592454,0.4742323,0.47995275,0.6245899,0.5182739,0.529476,0.62751144,0.51996344,0.5854785,0.71236455,0.5700541,0.4772297,0.7043859,0.5759409,0.44869843,0.22044481,0.58503217,0.7423609,0.22084989,0.5877096,0.7623511,0.47756305,0.5823283,0.669198,0.47459045,0.5861079,0.68277603,0.7057024,0.57843083,0.4842198,0.70004946,0.57965773,0.67585135
Standing_Forward_Bend,0.5427304,0.581069,0.6918653,0.5232761,0.58994544,0.7398852,0.5232082,0.57786286,0.62429535,0.50824475,0.6377555,0.6618623,0.5072837,0.6082658,0.3978282,0.5335834,0.723179,0.7561435,0.55432814,0.6415518,0.5211521,0.67631716,0.76339585,0.6946631,0.6701757,0.67559814,0.55368286,0.8081112,0.7851348,0.617139,0.7670192,0.68387836,0.66977876,0.46353397,0.92986685,0.6521661,0.4625831,0.8900678,0.5271962,0.64187944,0.8689818,0.58569,0.64215887,0.8617684,0.3165252,0.8165502,0.8512699,0.40409756,0.81116855,0.81326455,0.3522995
Standing_Forward_Bend,0.39302033,0.27425307,0.84873796,0.35904253,0.28836975,0.7357168,0.36550158,0.2609468,0.66537285,0.3299146,0.35323715,0.7927211,0.3375009,0.30128115,0.49189597,0.39428276,0.46204016,0.77616185,0.402272,0.317768,0.7745111,0.58714366,0.4595214,0.8041452,0.5700837,0.34431207,0.8876492,0.75409144,0.45445552,0.679814,0.7426441,0.3359401,0.9043797,0.23985982,0.70340496,0.57801855,0.25251532,0.59392834,0.77200884,0.5117007,0.6254086,0.84951,0.5139198,0.5474074,0.6645256,0.784659,0.62540144,0.817716,0.76476324,0.5044428,0.39556295
Standing_Forward_Bend,0.5629518,0.73254275,0.3940961,0.5843513,0.7173782,0.3372142,0.58155286,0.72261775,0.5253686,0.56751484,0.67732143,0.62526494,0.5662447,0.6788068,0.5526185,0.4973818,0.6416776,0.6182139,0.49799067,0.7218709,0.2529048,0.6028507,0.7852912,0.5956551,0.5778161,0.8289747,0.39527,0.7235917,0.9064642,0.59928316,0.7135028,0.9018443,0.5020034,0.25223956,0.7666485,0.7189455,0.24909802,0.76983535,0.83979636,0.5532131,0.77897227,0.53382033,0.52719414,0.7785007,0.60910296,0.77077955,0.74912405,0.38933972,0.7710596,0.7555414,0.46584794
Standing_Forward_Bend,0.6962661,0.25670192,0.42782634,0.71291393,0.2642949,0.41559532,0.71050566,0.26155388,0.54669183,0.70467794,0.29936984,0.57184607,0.6987036,0.2807319,0.41988793,0.630753,0.3436242,0.60075355,0.6422874,0.25906914,0.43835974,0.67514837,0.27940193,0.3012602,0.73453295,0.17789547,0.8379954,0.78691393,0.26931787,0.37562543,0.8436441,0.18383676,0.8387569,0.4508058,0.19966023,0.68198,0.45356786,0.16143318,0.7702801,0.6415598,0.23778751,0.39110872,0.64980984,0.2095982,0.26032162,0.7870889,0.2229396,0.16362041,0.8381365,0.19472855,0.25741014
Standing_Forward_Bend,0.501542,0.50645155,0.34629127,0.53053474,0.49451008,0.5140564,0.5343579,0.4937544,0.54084116,0.5111751,0.43807375,0.47648984,0.5202838,0.43669215,0.4997467,0.41254464,0.39050213,0.599382,0.41218156,0.39951104,0.69543946,0.61231583,0.564366,0.5097447,0.5634263,0.57059515,0.14458916,0.7983267,0.6486992,0.6349492,0.72986615,0.5987739,0.2443373,0.13481358,0.58932304,0.8345767,0.13099042,0.58362484,0.73709047,0.45661953,0.5760974,0.6509359,0.45036837,0.57355094,0.78150773,0.78879654,0.6423336,0.41681486,0.7282235,0.5879583,0.33313078
