Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Standing_Split,0.7705984,0.6280414,0.55550003,0.7959807,0.6383626,0.6385536,0.7942976,0.6406903,0.50766164,0.79184854,0.69161606,0.4654543,0.78671074,0.6917982,0.59591526,0.70344704,0.7322917,0.406428,0.70365095,0.7526079,0.6610647,0.7314973,0.58736885,0.6555147,0.7325974,0.5849349,0.8662295,0.86204195,0.5795354,0.47252822,0.87730896,0.5891207,0.46909332,0.43330225,0.6267224,0.5286644,0.40528706,0.63995886,0.6839427,0.672783,0.5908084,0.5200594,0.23767428,0.4379129,0.85280305,0.9084888,0.5906303,0.47512394,0.053414933,0.29535636,0.80725026
Standing_Split,0.83762634,0.5053967,0.4261316,0.85887414,0.49077022,0.48333126,0.8583691,0.49460754,0.47781226,0.8534519,0.45150274,0.54740494,0.8521322,0.4540928,0.44582337,0.7693355,0.43941203,0.73646516,0.75691617,0.48693153,0.5147864,0.81300503,0.591848,0.5862958,0.8081615,0.58346105,0.53969026,0.90118366,0.5038389,0.36979693,0.8973645,0.49474978,0.44143552,0.5037762,0.45388675,0.77538824,0.51075786,0.48638195,0.65133846,0.30511156,0.48323727,0.591343,0.3122237,0.48970667,0.5848835,0.13493149,0.4812371,0.5232905,0.13330752,0.49126866,0.6889351
Standing_Split,0.66838104,0.6280237,0.32822376,0.6743549,0.6337117,0.45866492,0.675852,0.6375716,0.40494388,0.6659686,0.65161127,0.44986922,0.6612752,0.65541095,0.32324663,0.6141206,0.64840096,0.41347736,0.60103494,0.6365024,0.3592063,0.5012057,0.693272,0.25580207,0.5015721,0.69361866,0.18570025,0.46913558,0.69386894,0.21979837,0.4682562,0.6889014,0.21333475,0.43155235,0.62132365,0.35858104,0.44889262,0.62358356,0.14251173,0.61642635,0.5922733,0.18734989,0.61739004,0.59495866,0.17388691,0.75749743,0.6068971,0.24683325,0.7609968,0.61934006,0.2165538
Standing_Split,0.67276996,0.34036005,0.40519753,0.6848554,0.3289986,0.51602525,0.6860491,0.33315912,0.559321,0.6820768,0.3048169,0.66601646,0.6809266,0.30595514,0.55220383,0.6396843,0.2738537,0.48559523,0.6534054,0.33601382,0.4697331,0.7641281,0.2794882,0.7121175,0.7286473,0.35985717,0.42669386,0.85060656,0.29460648,0.765606,0.8204335,0.3608591,0.35788667,0.44810122,0.3637353,0.6098956,0.47706747,0.36927542,0.49314132,0.303006,0.42086807,0.7474934,0.6551542,0.37549898,0.3228259,0.15265971,0.4679838,0.7045699,0.8144945,0.37172252,0.5217382
Standing_Split,0.82824993,0.44257528,0.43506023,0.84904516,0.44560808,0.47436938,0.84994304,0.43966568,0.55202335,0.8458077,0.48925158,0.527968,0.84084326,0.46535882,0.4868232,0.75939494,0.53886384,0.7091128,0.74911535,0.4636363,0.39588186,0.8218089,0.47801936,0.14954334,0.8101474,0.39036348,0.5474695,0.9184857,0.41873825,0.3936081,0.9253383,0.40935075,0.49643186,0.5121539,0.50696015,0.59098583,0.5165886,0.47591597,0.80338466,0.751556,0.40599173,0.35664904,0.30750734,0.45578298,0.62939173,0.11961663,0.4437006,0.587366,0.118972085,0.44829437,0.43626943
Standing_Split,0.823739,0.53857774,0.61123633,0.82771236,0.5176239,0.46395686,0.8268636,0.51600724,0.5899616,0.79409575,0.48021257,0.69202447,0.79637957,0.47858316,0.5002139,0.6990835,0.49316883,0.6100934,0.7058261,0.49814668,0.4558086,0.8384342,0.4621965,0.36242655,0.8415552,0.4742296,0.4475208,0.9677041,0.4048799,0.49494898,0.94535005,0.46252385,0.24863978,0.4508,0.59080905,0.59698945,0.45251697,0.5984556,0.70839655,0.26514462,0.6230866,0.6547714,0.26723427,0.6241453,0.62299025,0.08829904,0.60328,0.4736558,0.088897824,0.60512197,0.5762115
Standing_Split,0.8028926,0.4921318,0.55891365,0.80805963,0.49726436,0.5428693,0.8090264,0.51383895,0.49792957,0.7735201,0.51843107,0.55510086,0.77666557,0.5432085,0.58219594,0.6970566,0.4829767,0.6306422,0.6844058,0.5806431,0.61294615,0.8079682,0.44790995,0.07816969,0.8402307,0.5877858,0.78405297,0.8888716,0.39463726,0.40858704,0.9468061,0.6318426,0.82564867,0.48912627,0.42984638,0.5725046,0.45699382,0.49559635,0.7297989,0.694824,0.40227595,0.6457463,0.23794265,0.41803366,0.85759914,0.8856278,0.38966757,0.54854554,0.050801482,0.36814252,0.7828148
Standing_Split,0.42584026,0.5133899,0.42167613,0.41534877,0.53051007,0.44976935,0.41335133,0.50232315,0.54504603,0.4162284,0.5537252,0.46786854,0.413768,0.49479997,0.35752168,0.4654618,0.554008,0.5690716,0.43230635,0.47364745,0.3688358,0.43321586,0.4704352,0.29008988,0.38870546,0.4513074,0.27343425,0.43160367,0.46092257,0.25228548,0.32964137,0.45350924,0.47998872,0.56379586,0.5027437,0.54545695,0.5433048,0.4511446,0.5882402,0.56577176,0.46954903,0.3459656,0.44786504,0.45977718,0.27541646,0.70374507,0.46393615,0.25950614,0.5569898,0.45918313,0.12451472
Standing_Split,0.618133,0.45255315,0.24107999,0.6285981,0.4373171,0.2954103,0.63193583,0.4401472,0.328215,0.6269619,0.40225616,0.48849303,0.63270974,0.39913744,0.5287542,0.57295996,0.38900107,0.53818995,0.58583343,0.42957994,0.28762245,0.68653613,0.43167266,0.37465313,0.671062,0.4538342,0.35128713,0.76007247,0.40205854,0.68382514,0.746926,0.40783924,0.5935664,0.44132888,0.49055606,0.7557734,0.4681024,0.49805158,0.51672924,0.3427382,0.5513851,0.44011453,0.5799072,0.5073659,0.4261909,0.24580058,0.5845278,0.6827528,0.7102597,0.5132766,0.35062286
Standing_Split,0.7349132,0.51328117,0.4011466,0.7481795,0.521188,0.5265107,0.738927,0.51778024,0.3782576,0.74767864,0.5483957,0.48872694,0.72811025,0.54145646,0.39526322,0.74141705,0.54031754,0.49794286,0.67681164,0.53324,0.3854077,0.74951386,0.48883113,0.39778405,0.66250706,0.4862263,0.2988184,0.82791996,0.504831,0.31920537,0.6804291,0.48820913,0.13176253,0.57586277,0.5238263,0.46228006,0.55454916,0.5028387,0.77381754,0.68906647,0.4735598,0.29753378,0.6624866,0.49369755,0.3924598,0.37811363,0.34173468,0.44195655,0.68091214,0.49147338,0.14663513
