Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Supported_Headstand,0.7792117,0.498809,0.5420155,0.7923493,0.5159245,0.45097288,0.7901679,0.47960088,0.4814618,0.7672782,0.5342442,0.5968677,0.76442856,0.44706237,0.5636986,0.68169945,0.58780974,0.8213918,0.6827717,0.41336617,0.74968773,0.8109739,0.60840744,0.7050544,0.77453405,0.4040822,0.45595518,0.7977451,0.5812874,0.2320058,0.80656695,0.42273006,0.39982012,0.42854822,0.5495253,0.68515706,0.42968324,0.43648365,0.6839948,0.16395602,0.6561718,0.8543243,0.17002769,0.34142256,0.64449686,0.2669627,0.5093727,0.51089495,0.26387987,0.5032381,0.6822756
Supported_Headstand,0.8028643,0.47228625,0.485855,0.8115302,0.48647848,0.52275956,0.8138425,0.48609802,0.49480852,0.7841115,0.50230074,0.65859956,0.78491485,0.5034458,0.65060747,0.7292844,0.47652376,0.79439485,0.7332002,0.47598404,0.6592719,0.8202778,0.45477444,0.6060386,0.8501995,0.4596194,0.7956199,0.8210361,0.5457073,0.47419542,0.8371115,0.55077666,0.50906265,0.4888117,0.47496277,0.67098796,0.49237314,0.47266445,0.65626436,0.3169814,0.46500808,0.7974767,0.3133225,0.4658955,0.77168864,0.16202748,0.47153386,0.66295594,0.15695702,0.47509187,0.5201097
Supported_Headstand,0.89129424,0.45431495,0.30576766,0.8992522,0.4392708,0.29790634,0.8999086,0.4457998,0.30830833,0.8849764,0.40973708,0.37126896,0.8875371,0.4197817,0.3767109,0.81624925,0.4275335,0.48212686,0.81452966,0.4581758,0.36198452,0.9175055,0.4797558,0.36761633,0.8880866,0.49564236,0.38593596,0.9243211,0.459183,0.17467718,0.90208364,0.47874847,0.18242308,0.6372278,0.441319,0.31508282,0.61966366,0.4580087,0.3859344,0.47999457,0.5013379,0.595242,0.4855432,0.4959007,0.2630051,0.3208263,0.5424748,0.29241592,0.3190205,0.54230565,0.31191844
Supported_Headstand,0.76010936,0.54973537,0.43605906,0.7599579,0.5393789,0.56138396,0.75820756,0.5401692,0.5295175,0.7455547,0.51921433,0.46143025,0.7442442,0.5229942,0.48891976,0.6949087,0.53018564,0.53870815,0.6922411,0.53267264,0.3849925,0.76904815,0.57803696,0.58720255,0.76965785,0.5760746,0.5126033,0.7757987,0.5402218,0.16394122,0.7724081,0.52229446,0.25478148,0.511311,0.52904475,0.47377867,0.5037892,0.5234445,0.5735822,0.36809912,0.550908,0.5707157,0.36747244,0.5464836,0.58126783,0.22786452,0.5453644,0.71294254,0.23036402,0.5430393,0.7467941
Supported_Headstand,0.83609265,0.4932043,0.37739307,0.84609926,0.48083282,0.5368352,0.8441636,0.48310333,0.5434562,0.8245316,0.45414782,0.60717505,0.8251751,0.45620584,0.5870772,0.7554636,0.4601825,0.77842283,0.7505767,0.46761218,0.629866,0.8737805,0.5201911,0.66632867,0.86019677,0.52108395,0.44607732,0.8823904,0.41802916,0.49462965,0.87358546,0.42452148,0.26689386,0.5225489,0.45333996,0.7114146,0.5157724,0.45670763,0.6113198,0.44404534,0.58976007,0.7833023,0.43982816,0.5838245,0.4926728,0.28292507,0.44533822,0.5294577,0.28352213,0.44490653,0.54466236
Supported_Headstand,0.6966954,0.43821228,0.4625009,0.70925033,0.42195463,0.54129535,0.7064514,0.42577657,0.5642148,0.6995049,0.37701833,0.6919822,0.6967408,0.37906665,0.6984748,0.640849,0.368257,0.80588984,0.63478684,0.3995264,0.54854596,0.76617837,0.4612394,0.65582144,0.73097533,0.4660915,0.5280228,0.74059916,0.35168946,0.6503893,0.73113716,0.3525264,0.6547918,0.3814823,0.283123,0.88469124,0.37715533,0.29200143,0.7810571,0.36970997,0.5043245,0.7815847,0.36917123,0.49947515,0.74722075,0.34568602,0.7032606,0.6736437,0.3419095,0.6977302,0.782102
Supported_Headstand,0.26118973,0.44948846,0.2441765,0.26471514,0.44853303,0.23141831,0.26209262,0.45683455,0.14731957,0.26973984,0.45107096,0.32381725,0.2643672,0.46646303,0.1895213,0.28034166,0.4258424,0.4218166,0.2624437,0.47959936,0.23961894,0.30739173,0.41259393,0.3103793,0.28288886,0.47398913,0.23006044,0.30901682,0.42874935,0.24798204,0.28815085,0.47216383,0.24657187,0.3086445,0.42931244,0.4388065,0.30190393,0.4587473,0.4477459,0.34577507,0.41576645,0.25330186,0.3255234,0.47437337,0.25979877,0.36957112,0.4054543,0.21406113,0.3366984,0.4714672,0.20622344
Supported_Headstand,0.7517727,0.5117536,0.29099938,0.7632604,0.5169774,0.33206725,0.76205057,0.51609623,0.2785298,0.7643728,0.5347076,0.37643155,0.7581357,0.53351104,0.32429093,0.71130615,0.52398115,0.52419406,0.71755624,0.5261367,0.48283863,0.737731,0.5178232,0.20097,0.79199004,0.50449693,0.3429647,0.79544896,0.52880543,0.20674136,0.7981244,0.52784854,0.24858192,0.5046795,0.5213488,0.5793791,0.5044716,0.5252056,0.5966627,0.39135456,0.5127456,0.4073479,0.3978163,0.50716186,0.33024946,0.380607,0.5215723,0.3221747,0.3818698,0.5202904,0.24425185
Supported_Headstand,0.6761861,0.55617875,0.4994427,0.70005363,0.57070905,0.54480064,0.7005705,0.57154876,0.5514575,0.69156545,0.61969787,0.7276439,0.688549,0.6192826,0.7344939,0.6274096,0.6136539,0.7112661,0.621535,0.627514,0.4937574,0.7270684,0.52826124,0.7660712,0.7523474,0.5233974,0.73892224,0.7326551,0.64977014,0.6264986,0.7527309,0.6534029,0.49103606,0.31682423,0.68469286,0.87667596,0.3224637,0.67931783,0.80020225,0.41401303,0.43504888,0.75142723,0.41729823,0.43491238,0.80237114,0.47261205,0.22608067,0.81624556,0.480334,0.22022541,0.7786217
Supported_Headstand,0.83184576,0.5202789,0.50601125,0.8453985,0.510599,0.55813247,0.8437852,0.5089854,0.3977443,0.8355552,0.4669244,0.6595045,0.83438236,0.4650555,0.6733459,0.7665024,0.47251478,0.6944014,0.7720447,0.48269725,0.40034676,0.9079538,0.54353136,0.6857645,0.889305,0.5457236,0.67021203,0.8789704,0.4292882,0.47431365,0.86806995,0.43587482,0.70892954,0.51141727,0.50747603,0.747312,0.5056101,0.5080516,0.61301696,0.31640235,0.5321381,0.69911975,0.31744125,0.5295965,0.68814605,0.1539672,0.5510107,0.62936264,0.15612583,0.55181533,0.646465
