Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Supported_Shoulderstand,0.70150924,0.680178,0.58974504,0.7243838,0.6946941,0.84884715,0.7152872,0.6943677,0.63756794,0.77418536,0.6744307,0.83329433,0.7571949,0.67763764,0.7306998,0.77216464,0.60338193,0.8009646,0.73184776,0.59392685,0.70979005,0.77210516,0.4356997,0.7214243,0.72031707,0.4627969,0.5223386,0.7516647,0.3055631,0.68520916,0.686591,0.35683054,0.6461145,0.542969,0.4714443,0.64405566,0.53346556,0.5029946,0.5550384,0.31990075,0.4506302,0.5087564,0.3153013,0.45912516,0.6520963,0.11073273,0.45412242,0.6678641,0.11128628,0.45926335,0.62354815
Supported_Shoulderstand,0.69258165,0.5557626,0.4495301,0.7016626,0.56820303,0.46401173,0.69284284,0.5659841,0.486114,0.7325926,0.5698631,0.52080107,0.7213161,0.56630653,0.43924877,0.73468554,0.51523817,0.52212685,0.73164666,0.52237785,0.18368198,0.74715537,0.4223547,0.59434325,0.7506198,0.4279058,0.45282856,0.7433337,0.5129736,0.14395191,0.730504,0.45486382,0.14907153,0.53457963,0.49572435,0.7345233,0.53395665,0.4972777,0.7106633,0.40790948,0.50160325,0.5757285,0.4079271,0.49700296,0.76291895,0.28340346,0.5112863,0.7380773,0.27933708,0.5069158,0.68345207
Supported_Shoulderstand,0.7585434,0.42148829,0.7410568,0.7673076,0.40026256,0.67337054,0.7715576,0.40024298,0.8190166,0.821456,0.39539656,0.82168293,0.8302134,0.39706868,0.77112806,0.8271451,0.4828984,0.81132174,0.8462214,0.47954863,0.78502476,0.8537467,0.63744533,0.5228493,0.87535775,0.6413228,0.73296833,0.7510605,0.59058213,0.42768368,0.7550172,0.59382963,0.59947926,0.5311785,0.5022199,0.74130607,0.5360901,0.5008671,0.6712726,0.3445266,0.4735172,0.5608686,0.34843707,0.47291228,0.6345624,0.13992944,0.46873716,0.7403451,0.1475815,0.4750683,0.626133
Supported_Shoulderstand,0.52567387,0.49786595,0.33091235,0.5333634,0.4938793,0.5373424,0.53031516,0.5167616,0.33178517,0.56779754,0.47571063,0.6318108,0.5575513,0.5253983,0.57439464,0.5949813,0.36524162,0.71852666,0.59193665,0.53804094,0.73671246,0.57375747,0.33787948,0.75057566,0.5645122,0.527514,0.2926602,0.5229485,0.36304176,0.35796562,0.50122035,0.46282637,0.10225085,0.38435042,0.40748405,0.45718628,0.39338213,0.46656236,0.6349974,0.39763403,0.28998557,0.45867136,0.4065061,0.66980124,0.74655545,0.39253822,0.8724008,0.65245086,0.39593124,0.86377025,0.59110785
Supported_Shoulderstand,0.6715596,0.56390136,0.49643457,0.6818582,0.57787335,0.523813,0.6785188,0.5795701,0.6364512,0.7236743,0.57751817,0.76880246,0.71909124,0.5798324,0.6842344,0.7363117,0.5227205,0.73481053,0.7249951,0.5319528,0.34257522,0.7482892,0.40048453,0.7678923,0.7316012,0.4090193,0.5271774,0.6685247,0.45623627,0.36634377,0.6635017,0.45094183,0.48298866,0.5347852,0.49632907,0.6378673,0.5348996,0.49844152,0.608716,0.37899768,0.51772696,0.62989146,0.37803,0.51051724,0.823173,0.23252091,0.5226426,0.7731182,0.23788065,0.51754683,0.595422
Supported_Shoulderstand,0.76982766,0.63190067,0.7559939,0.7856927,0.65555453,0.67384094,0.7714991,0.6494899,0.76416177,0.8435031,0.6575208,0.76192117,0.80776143,0.6475924,0.7446952,0.8691237,0.62049234,0.78868467,0.7870182,0.5670414,0.41892877,0.8499523,0.43663484,0.6737222,0.7787772,0.3665864,0.71397024,0.72803813,0.4680519,0.81652844,0.7205155,0.45336592,0.56692946,0.61467224,0.54290444,0.30766842,0.60775536,0.47647816,0.39180067,0.3399956,0.66354036,0.5541488,0.32912618,0.63501126,0.68164253,0.12049708,0.701946,0.6966758,0.1246209,0.69703925,0.7483428
Supported_Shoulderstand,0.75959045,0.6911103,0.46320683,0.7723869,0.71035427,0.6486059,0.7654991,0.7109803,0.47029582,0.82619375,0.7076802,0.62192994,0.8161528,0.7089956,0.6534781,0.8439092,0.61339885,0.54937,0.8189343,0.6131169,0.59739673,0.8496964,0.4572428,0.86137617,0.7781744,0.49102315,0.108403146,0.7309821,0.45748448,0.3108806,0.71768016,0.46132597,0.1499685,0.6440069,0.43612292,0.30824825,0.6177198,0.4536497,0.34082037,0.6537855,0.24239,0.3859693,0.4425173,0.44305834,0.67247355,0.26289147,0.4541046,0.18607004,0.26209462,0.4528997,0.3019188
Supported_Shoulderstand,0.805787,0.40201283,0.50713015,0.8117191,0.38464004,0.5479495,0.8179624,0.38284367,0.64563006,0.86897767,0.38822886,0.5610012,0.8800918,0.3826106,0.42785254,0.8821561,0.4803212,0.46834365,0.89943755,0.4706025,0.5620801,0.91700023,0.64703375,0.41867566,0.9315556,0.6442721,0.42612994,0.7993489,0.5938152,0.32161957,0.80610865,0.5874105,0.40309423,0.61043763,0.48091102,0.5018445,0.6204139,0.48279968,0.40956885,0.3384645,0.44996688,0.58432186,0.33350566,0.446206,0.3721763,0.07946335,0.45306745,0.24922301,0.07869804,0.4570772,0.20310447
Supported_Shoulderstand,0.70652634,0.51161116,0.6033865,0.71223503,0.51781195,0.62230426,0.7076358,0.5161852,0.67083937,0.7492309,0.50807244,0.62501705,0.73900884,0.5035874,0.5394972,0.7489697,0.4601357,0.7113373,0.74027574,0.4675719,0.44216472,0.7574585,0.5890118,0.6210709,0.74726206,0.5710606,0.43787655,0.7720278,0.67726815,0.511025,0.7608327,0.61827,0.19431928,0.5686864,0.44828904,0.4875341,0.54486126,0.45324028,0.73611933,0.6247109,0.5997608,0.27010128,0.396263,0.47989666,0.85747755,0.68790114,0.74490374,0.56793886,0.25111213,0.47229317,0.79157394
Supported_Shoulderstand,0.744451,0.49693364,0.63195294,0.7537099,0.51215535,0.65351874,0.74709255,0.5144347,0.61525536,0.80551744,0.50596905,0.50741595,0.7921193,0.5131138,0.60764,0.8107686,0.41789812,0.74700254,0.7875132,0.4503401,0.37159717,0.8168993,0.2798168,0.8914103,0.7679514,0.41856915,0.06805013,0.7199717,0.34470746,0.5488794,0.7153443,0.34837356,0.54896307,0.5766727,0.4387868,0.62557,0.5778439,0.4431778,0.52219456,0.38539836,0.47420073,0.43059278,0.38390332,0.4759385,0.54710203,0.1685507,0.47595066,0.5996412,0.2022415,0.49489698,0.33587363
