Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Supta_Virasana,0.4070128,0.13128135,0.59461284,0.4187821,0.13210423,0.5722975,0.4235607,0.13250038,0.56601596,0.45024642,0.17367506,0.63237166,0.4586807,0.17320374,0.53950334,0.37766352,0.2854255,0.64716244,0.47270045,0.24471253,0.6897402,0.4496228,0.41897413,0.29706064,0.58957,0.3867883,0.86203706,0.5003411,0.5727967,0.1999912,0.6135748,0.59849125,0.57777476,0.40115538,0.6037559,0.77306426,0.46115068,0.58840334,0.7330158,0.47164434,0.86111057,0.7360511,0.56698817,0.9031026,0.7756769,0.5458627,0.6127292,0.20126921,0.5948469,0.6229672,0.52246416
Supta_Virasana,0.36572814,0.6237904,0.560342,0.36239418,0.64922637,0.6160956,0.3553381,0.6440931,0.68110263,0.40121868,0.68210745,0.44400933,0.38135287,0.6713251,0.47733498,0.4770224,0.6402069,0.59806395,0.42919493,0.6052684,0.5900087,0.62288415,0.54694784,0.7432838,0.5488354,0.5084529,0.38253862,0.64135385,0.42451188,0.6366149,0.5995525,0.4233754,0.23667729,0.562616,0.35870057,0.7021716,0.5214631,0.36211142,0.5346776,0.38275412,0.2648007,0.23086455,0.3698472,0.2757188,0.86506534,0.58241355,0.17579032,0.31206164,0.55194783,0.22691752,0.21048985
Supta_Virasana,0.4520414,0.20196849,0.56629556,0.4629473,0.17872392,0.47777995,0.47092083,0.17497234,0.7725576,0.5219213,0.17717305,0.7008059,0.5390293,0.17919211,0.8389595,0.49979383,0.29658473,0.65580875,0.5573958,0.2619393,0.77642614,0.53800726,0.43496504,0.26149404,0.60165447,0.41494477,0.70437294,0.54881656,0.5729937,0.21551052,0.64189076,0.5801267,0.4591426,0.4746056,0.6046954,0.65884066,0.5113664,0.5931075,0.57609385,0.5136571,0.889774,0.64976776,0.5504245,0.91037256,0.7649236,0.55984586,0.66105163,0.4235124,0.58598185,0.6735099,0.4399386
Supta_Virasana,0.45162672,0.7494876,0.46082515,0.4677811,0.77119744,0.54751116,0.4609263,0.77121687,0.7323537,0.52007794,0.7625901,0.52752775,0.50556755,0.76603854,0.4206802,0.5182136,0.6903272,0.6112941,0.49580914,0.6787099,0.6381156,0.5602151,0.53253603,0.784226,0.5377672,0.54087216,0.43185693,0.47141394,0.44333693,0.3405539,0.46127215,0.4485492,0.45936725,0.521037,0.4063597,0.5975526,0.4878379,0.40186107,0.6115021,0.53249687,0.13007233,0.8015546,0.5110272,0.14187443,0.64864147,0.5554445,0.35020065,0.32956788,0.5317315,0.35538912,0.33013546
Supta_Virasana,0.53181446,0.07233274,0.6622531,0.5503288,0.08286524,0.5870194,0.54900694,0.083871454,0.6942681,0.5464337,0.14832292,0.47061095,0.54615146,0.14930466,0.7532552,0.46550316,0.22752814,0.7002867,0.4724496,0.2294023,0.734859,0.47495744,0.44283694,0.48537812,0.47811285,0.4342435,0.83593136,0.4586316,0.6399216,0.4196288,0.45914242,0.64064395,0.6386101,0.501346,0.5776382,0.6779797,0.5149277,0.5815114,0.6540238,0.5454819,0.85820645,0.5937949,0.5732254,0.875796,0.7533943,0.5915601,0.60670465,0.48580113,0.60126543,0.60028136,0.592767
Supta_Virasana,0.4670259,0.17196994,0.3600018,0.47715598,0.16515043,0.6334139,0.48229524,0.16258986,0.5386777,0.5273395,0.17449376,0.44628182,0.53146327,0.16142493,0.47477183,0.51215786,0.24782707,0.62080157,0.5351736,0.21434107,0.43411,0.6104379,0.32750443,0.27774164,0.6379232,0.3156932,0.7384661,0.6031412,0.4144884,0.2359828,0.65949064,0.43365124,0.1698092,0.5458051,0.46713084,0.68998706,0.56683916,0.46417397,0.60691154,0.5988596,0.6656223,0.5633545,0.62211794,0.67504233,0.6658629,0.60726774,0.52239305,0.20150101,0.64883006,0.48894066,0.3749365
Supta_Virasana,0.6706844,0.3008668,0.3021193,0.6766565,0.28708854,0.42215502,0.6832344,0.29000688,0.35024783,0.70375663,0.28286153,0.40508592,0.7156847,0.28225395,0.41447848,0.6867039,0.35031644,0.5698743,0.7307397,0.33890623,0.53125,0.70745546,0.23218471,0.48213485,0.7342491,0.22648208,0.65076894,0.7281453,0.13849184,0.35803705,0.74704945,0.13076364,0.7398378,0.66271895,0.56837434,0.5620236,0.6973193,0.56313884,0.46998158,0.6913862,0.72815347,0.4679104,0.7344413,0.7430374,0.48218682,0.72464305,0.57458204,0.19786108,0.7463648,0.5671346,0.52008665
Supta_Virasana,0.486173,0.1261239,0.6337238,0.5044697,0.13968451,0.5334229,0.5051217,0.1398491,0.54715246,0.5107374,0.20703076,0.7760123,0.51253194,0.20530266,0.7089775,0.39888617,0.3043603,0.54723924,0.46280375,0.28072667,0.5424989,0.5001603,0.47260168,0.28264242,0.6207666,0.42817453,0.68495804,0.5376428,0.6488847,0.14188755,0.62953115,0.6482066,0.6148461,0.4590148,0.6428572,0.6873139,0.5014632,0.61715215,0.7495952,0.5084306,0.9339033,0.55922455,0.55521125,0.947063,0.7514595,0.56115854,0.69634837,0.49275628,0.6097748,0.68124735,0.60388684
Supta_Virasana,0.46664163,0.26409152,0.43043855,0.47130734,0.2517216,0.5608657,0.4830049,0.25076225,0.53694516,0.5214261,0.24489515,0.3354048,0.5393406,0.2454158,0.7007528,0.5113234,0.3199117,0.38609883,0.56412214,0.3166254,0.6228518,0.47913533,0.2085562,0.1687776,0.58220154,0.13599224,0.7942163,0.4892869,0.18190525,0.32078502,0.5400973,0.15313666,0.13588925,0.47422412,0.56699955,0.6266163,0.51598334,0.5708543,0.5392876,0.47229707,0.8219515,0.75569147,0.58006173,0.855504,0.8193993,0.5698952,0.6246873,0.2698992,0.60049987,0.6154943,0.6055261
Supta_Virasana,0.4662361,0.8348721,0.672372,0.48829812,0.86397785,0.74242026,0.4799982,0.8613644,0.46835482,0.56094325,0.85943115,0.70710045,0.54427433,0.8576353,0.5134836,0.5674554,0.7794976,0.7412476,0.5162737,0.71735287,0.7305224,0.6203908,0.60813427,0.87320286,0.54618317,0.5553041,0.25731972,0.64515966,0.47424513,0.7457345,0.5626649,0.40120384,0.27746347,0.5436112,0.42170972,0.6664565,0.4963993,0.3826093,0.5247996,0.6172008,0.07457641,0.74732065,0.52961475,0.02801381,0.70493615,0.6185517,0.34369725,0.50318563,0.5342891,0.30215898,0.322527
